'chuile sheans	hella hænts
'chuile shórt	xʊ̞j la xɑːrd
'márach	mɔɛdɔk
'spáin dhom	spaːnɐm
'sé	ʃˈe
'sé an fear is cáiliúla.	ʃe̞ĩːn˧tfe̞rɪz kʰɑɮ joːlɑ
... is ainm dom	izɾim dum
100	hˈi
1984	maːrdaːgˈʌsɑkˈæθ
1985	mʲinɪ̞nɪ̞nɔæjædæhɑχnɑnχuːiːg
a	a
a (alphabet)	ˈɔ
a aithint	ˈɑːhɪnt
a amadáin	ɛːmɑtɑːn
a athair	ˈɛh
a aíonna speisialta	ɛ iːn nˈɪs pˈeʃalta
a bhailiú	avalu
a bhairbre	wˈa dˈi ʁə
a bhantiarna	aoan tʃeɾnɛ
a bhastaird	vastad
a bheadh	avˈɛx
a bheannaigh	avane
a bhfios	vˈɛs
a bhformhór	avɑvɑr
a bhfáinne	a bɔni̯a
a bhitseach	æ wɪtʃə
a bhláth	aːvlɑh
a bhríocáin	æˈʋɛd jɑːˈkɑːn
a caint	akanʝ
a caoga	akvægˌa
a ceathair	akˈaɾ
a ceathair déag	kʰeʁdʒɵ
a ceathair is fiche	nʲekajha ʲisʲtʲeħe
a ceathracha	akiavaka
a chailltear	axal tʃʰoɾ
a chara	axara
a charad	qɑrɯ̞t
a chathaoirligh	ˈeɪχəlɪ
a cheaist	a heʃt
a cheannach	æχjɑnʁt
a chlog	əχvɑq
a chomhaireamh	xurav
a chraois	ɦɾeʃ
a chraosa	akresɛ
a chuirfeadh	æxˈoɾˈh
a chuisle	ɒχʃlæ
a chuisle mo chroí	əχɪ̞ʃ ɫæ m äχrɑjɯ̞
a chur san áireamh	ɐχɪ̞ʃ nɑrʲɪf
a chéadsearc	ˈeɪ hˈɪd ʃˈɛk
a chéile	æˈhejlæ
a cliamhuinn	lau̯n
a cúig	akua
a cúig déag	ˈa kˈʊd dʒˈɛd
a cúig is fiche	ækkoːiːk ɪz fɪrˈ
a deich	adʒe
a dhaideo	edʒo
a dhaidí	ajʔdɨ
a dhaltáin	ɢɑlˈtæn
a dhaoine uaisle	ɢɯ̞jnuː ɪ̞ʃɫɪ̞
a dhath	qɯ̞
a dheartháir	ɒgɒhɒt
a dheoch	æjˈɑh
a dhia cabhraigh liom.	ɛja kʰoːɹalæm
a dhia!	ˈeɪeʔa
a dháibhidh	la qɑðˈʃ
a dhéanadh	jɯ̞nɯ̞q
a dinnéar	adʒeːnieːr
a dó	adu
a dó dhéag	atuʲe
a dó is fiche	ɑdˈɔ ɪz fɪhˈeɪ
a eoghain	ˈeˈoˈn
a fheara	aɾˈɑ
a fhiadh	ˈaɪjːɑ
a fiche	aːstraʃa
