'n	e
'n bietjie	tˈɛp wiki
'n bietjie later	ɪ̞bʲikɪ̞ laːʊ̞tɪ̞ɾ
'n bietjie neutmuskaat is heerlik in pampoen..	gə bəkjɪl nˈeːt mɪd skˈœyt ˈɪz hiːɾlək ˈɪn pɑmpˈun
'n klein bordjie kos	akleːn gɔːr ke kɔs
'n paar	ˈeɪ bˈɑːs
'n rukkie	ə rki
'n sielkundige berader die egpaar.	ə ˈilkəndəɣə bəradɛr dˈə ɛxtbaːr
'n skreiende skande	əskrˈajn dˈɛskˈanˈdˈɛ
'n staptog deur die afrika-bos is 'n wonderlike ervaring.	dˈə stˈɑptɔx dˈeːr ɔfɛɪkˈɑ ʋˈɔs ˈɑɪzə ʋˈɔndərləkə ɛrfˈaːrɪŋ
0	nˈoʊ
1	dʑoːn˩˩˦
10	tˈin
100	jænɑrlid
11	aʊf
111	olətənnaʝ
12	tɔovɔv
120	onaɾd̪ai̯ntuẽnt̪a
13	ð̞aɾt̪ĩŋ
14	fˈiːɾtiːn
15	fˈaɪvtiːn
159	ˈhɒnərdnˈɪxˈɛɪnfˈɛɪvdəx
16	zˈɛstɪŋ
17	sevəntˈin
18	ɑqtæm
19	niːjaxɛntim
2	tʃiːɛ
20	twentˈɑʁ
21	iːjʌnˈtˈovˈntˈir
22	tʊ̞jðvɪntɪ̞χ
23	ðrʲiːntʋɛntɪx
24	fʲiːrʲintuʊ̯ɪ̈ntɯ̞χ
25	vˈaɪfˈɛntwˈɪntəx
26	sˈɛsəntwˈˈɛntɑx
27	sʲeːfjˈuˈɛndvʲntˈɐkh
28	ˈɑxˈɛntwˈɛntɪç
29	nʲeːχɪ̞ntbʊntɯ̞q
3	trɪ
30	tɒˈrtɒh
31	jənəndaːrˈtɯg
32	tʊ̞jɛ̀ndaːrdaq
33	tˈriːˈɪndɑːrtəx
34	fˈiʁəntˌɑrtəx
35	fˈɛɪvəndˌaːrtəx
36	sɛksmɛtɑːrdɑːr
37	sivɛɪndɑːrtəx
38	ɑχɪ̞næɑrtɑχ
39	nʲiːxɛɪ̞ndɛɪ̞rtɯ̞χ
4	fiel
40	fʲirtːɐx
41	ʲirənfirtʊ̞χ
42	tʋɪnfʲirtax
43	triːjɛnfjɛrtɪ̞ʁ
44	fiːrʝːmfɪrˈtɑq
45	fˈaɪfˈænfˈɪɐrtəx
46	sɛjsɪ̞mfirtɑq
47	sʲæfænfʲirtæh
48	ɑχɛnfʲirtæç
49	nʲeːxænfʲirteːχ
5	feɪf
50	fˈaɪvtˌɑx
51	iːnɪnfəɪfdˈɑx
52	tʋiːnfæjftˈɑx
53	trˈiˈɛnfˈɛɪftəx
54	fiʎimfʰɑivtɑq
55	fˈaɪfəndfˈaɪfdˈɑːx
56	siːsɪnfaɪvdɑx
57	sjˈəʋˈɛnvˈɛɪftəx
58	nˈɑxɪnfˈaɪvdəx
59	nˈiːxənfˈaɪftəx
6	sˈɛs
60	sˈaɪstə
61	jænɪːnsˈeːstəg
62	tˈuˈeːrˈɛntsɛstə
63	trientseistˈar
64	fʲiːrɪntsʲɛstʊ̞x
65	fˈɛɪfˈɛnsˈɛstəx
66	suːzənsøːzdɑːx
67	sibenkestam
68	ɑχɛnseːstəx
69	niːxənsestɒx
7	sʲieːb
70	sˈɛvəntˌɪx
71	jˈɛnənsˈɛvəntˌɑx
72	tʋiːntʃɛvəntɪx
73	tˈriəndˈseːfəntəx
74	fˈiːrəntˈseːvəntəx
75	fˈɛɪvənzˈɪrtənt
76	sˈɛstˈænˈsevəntəɹ
77	sjɛvɛnˈsjɛvəntəx
78	ˈɑxənsˈɛvəntˌɪç
79	lʲexənsʲɛvəntʊ̞χ
80	daxdax
81	jænʲɪntɑqtɯ̞χ
82	tʃiːdtɐxtɐχ
83	tˈriəntˈɑxtəx
84	fʲirɪ̞ntæqtɑq
85	fˈɛɪfˈntˈɑxtəx
86	sɛsimtɑqtɯq
87	sʲevɛntɑxtɑx
88	ɑχɯ̞ntɑχtɯ̞χ
89	nˈiːxətˈɑxtəx
9	nˈɪxə
90	nɪə̯ʁndɑr
91	jɛnɛnjɛnto
92	tʃuˈjɛnˈjɛntɯˈ
93	trijenjɛntax
94	fiːrəneːntə
95	fˈɛɪvəntˌɪɾ
96	sɛsɛnɛxɨndɑx
97	sʲirɛnjɛntɑx
98	axaniːntɪr
99	nʲexænʲeːxʲɪndɑç
9999	nˈeːɣədˈaːjzəntnˈeːɣhˈɔːrnaːtnˈeːɣaːnˈeːɣɛntɪʒ
a-bom	aːbon
aag	ˈɑː
aak	ok
aaklig	aqətlæx
aakligheid	ɑːklxajd
aal	ˈoɫ
aalagtig	ælɑxɛχ
aalbessie	albeθi
aalbessiebos	oldˈesɪvˈɔs
aalbessiesap	ɔːlbˈɪsˈɪzsˈʌt
aalbessievla	olɛkˈɪstlɔg
aalmoes	almɛs
aalmoesenier	oɫmuʃaːniːr
aalwee	ɔvjɐ
aalwyn	alvˈeɪn
aambeeld	aːmbˈilt
aambei	qɑmbaj
aamborstig	aːmboːrstə
aamborstigheid	ɑmbowʃtʏ̞χæj
aan	aɪn
aan die linkerkant	on dɪ lənkɛɾ kænt
aan die regterkant	an dˈi rˈɛxtər kˈɑn
aan die werk spring	ɔn ðvˈækspɹˈum
aan't	ˈɔnt
aanbeveel	ˈɔnðəfˈild
aanbeveling	anbafjɛlɛng
aanbid	ɑnˈbæt
aanbied	ɔːnbˈeɪt
aanbieder	ɑnvidi
aanbieding	aːnbid̪iːn
aanblaas	aʊndlˈɑs
aanbly	ɔːnβəˈseɪ
aanbod	ɑnbot
aanbou	aɪnboː
aanbouing	aːnboːlɔʒ
aanbrand	onbrɔnt
aanbreek	ɑnbɾiːk
aand	ɑːnt
aandag	ɑːndɑː
aandagtig	ɑndaːχdæx
aandblom	ˈɑɹntblˈoʊm
aandblommetjie	aːntblomiki
aanddiens	aʊntðins
aandeel	aːndˈil
aandelemakelaar	aːn̪d̪iɪ̯əmaːkːɑːgɑːr
aandenking	ant̪eːɲkaː
aandete	ɑntjetɪ̞
aandjie	akompano
aandoen	andʏ̞n
aandra	anˈd̪ɾɒ
aandring	andrn
aandrok	ˈɑndlˈɔk
aangebied	ɑnɣəbˈit
aangee	ɑnxʲiːh
aangenaam	aːnɣənˈɑm
aangename kennis	waːn xaˈnɑm ɑkˈinɪs
aangename kennis, my naam is dino ndlovu.	ɑlɣənˈɑmmɛ kˈɛnərs mˈɛɪn hˈɑlm ˈɪs dˌinˈuən lˈoːgwɛn
aangeraai	ɦɑnˈxarɑj
aangesien	ɑnxəstˈiːn
aangestel	aɪnxɛstɛl
aangetekend	ɔnɣətjˈɛkənt
aangetref	oːnɣətrˈf
aanhang	onon
aanhanger	ænhæŋgeɾ
aanhangers	onɑmɯz
aanhouding	aːnhœyðøn
aanklaer	ɑːntlɑːr
aankom	anko
aankoms	enkom
aankondiging	ɔnkɔndɔxɑːˈn
aanleg	qɒnˈlɒq
aanmerklik	ənmˈɛrklək
aanmoedig	oːnmˈʊdə
aanmoediging	ɑnmydɯgɯŋ
aanname	onome
aanneem	one
aanpak	ɑnpɑ
aanpas	ompas
aanpaskamer	onpaskomɛ
aanpassing	onposɛm
aanraai	anraj
aanraak	ˈɑnrɒk
aanrand	ɾɔnɾɔn
aanranding	anɾandɯŋ
aansien	onsin
aansienlik	asɪnlək
aansit	ɔːnsˈeːt
aansitkabel	aːnsˈɛdgɑːbəl
aanskaf	ɔnsgov
aanskakel	aŋskˈoʊlkəl
aanskoulik	onskoʝok
aanslag	ɔːnslˌɑh
aansluit	oːnslˈaɪt
aansoek	aʋnsyk
aanspoor	hanspuːər
aanstap	ənstɒp
aansteek	ansˈtˈiɹ
aansteeklik	ɑːnstiːəklik
aansteker	ɔnstʲɛkɛr
aanstel	onstɛl
aantal	antau
aantekening	onklikɾen
aantog	entˈɔɹ
aantoon	aʎlɛr̥n
aantref	ˌɔntɹˈaf
aantrek	ontrɛ
aantreklik	antrˈɛklˈa
aantreklikheid	antrɛklɪkaj
aanvaar	ɑnfɑːr
aanvaarbaar	enforbi
aanval	anfaʏ
aanvaller	anfalaɾ
aanvang	nfɑŋ
aanvanklik	ˈɑnfˈanˈklˈɛk
aanvraag	ɑːnfrˈɑːx
aanvullings	ɔnfɔn�ɔs
aanwakker	ɑːnfɑːr
aanwas	onvˈɔs
aanwys	ɑŋveis
aanwyser	onvajsɛr
aanwysing	anvəisˌeɪŋ
aap	op
aar	ɔɾ
aarbei	ɑrbɑj
aard	ɑːst
aardbewing	aːrtbeːrˈɛŋ
aarde	adɯ
aardgas	ɑrtχʊ̞s
aardrykskunde	patrəkskɛndɛ
aards	arts
aardvark	ɑːɾt̪fɑːr
aardverwarming	ˈɑrtfˈørvˈarmˌmˌŋ
aardwolf	artvolf
aarsel	orso
aartappel	aɾt̪apõ
aartappelskyfies	poɾt̪apɾalseifiz
aartsengel	artsɛmo
aas	as
aasvoël	aːsfəl
ab de villiers	ˈeɪ bˈi dˈe vˈiljɚz
abahlali basemjondolo	wwˈwˈ
abakus	abakas
abattoir	amatʂwa
abdourahman waberi	abduɾaman vˈa beːri
abraham faure	obɾɐˈm fˈrɪ
absoluut	abˈsɪlɪt
abstrak	ɔpstrɔk
abuis	ˈʌbˈaɪs
adam	ɾam
adamsgewaad	bɑtɑmsɣəvˈaʎ
adder	adar
addisioneel	aðiʃioˈniːl
adel	aːdaːl
adjektief	ˈtɪktɪf
administrasie	atministruɔsi
advertensie	atfɛrtɛntsɪ
advies	atvis
advokaat	atˈvɔkɑt
af	ˈɔf
af en toe	aːx ənd tuː
afbeelding	lɔːfpˈɪldɪŋ
afbreek	afbr̝eːk
afbreuk	afbrjɛk
afdank	aˈfdˈɑŋk
afdeling	ˈɑfdeːlɪŋ
afdraai	afroa
afdroog	əˈsdalaˈvɑ
affêre	afːara
afgehad	afɣaɾat
afgeleë	afɣəleːeː
afgod	afɣoːt
afgrond	afɣrɔnt
afguns	ˈɔfrˈɵns
afgunstig	afɣɑnˈstakh
afhaal	afɑð
afhaalmaaltijd	afɑːlˈmæltæd
afhandel	afandɑl
afhanklik	afandklɯk
afhanklikheid	afɣoŋklɛkːajt
afknou	afknˈoː
afkoel	afku
afkoms	afkˈɔms
afkorting	ɑfqɔrtɯ̞ŋ
aflaai	aflɑːj
afleer	afleːɾ
aflewer	ɑfˈlɪrɯ
aflewering	qɒvlˈeˈvɒɾˈɒˈm
aflê	ʔʔɛflɛ
afname	afnɔvmə
afneem	afmæm
afpersing	afpɛrseŋ
afrigter	ɑfrɯltɯr
afrika	afrɛka
afrikaans	afɾɪkˈɑns
afrikaans en nasionalisme	əfɹkˈɑnz ˈɪn nˈæʃənəlˌaʊzmə
afrikaans na 1994	afriːkˈɑːns nˈɔɜ nˈɪçend ˈandərə fˈiːrə nˈɪçendə
afrikaanse	afɾɛkˈanˈsˈɾ
afrikaanse taalbeweging	ˈɔf ˈɪk hˈɑn zˈɛɪt ˈɑl bəʋˈɪɣən
afrikaner	afɾɛkɑnɛr
afrikaner broederbond	afɾikoɾ na la bɾuð̞aɾ bõŋt̪
afrikaner weerstandsbeweging	ɑfriˈkɑnɯr bʲeːrʃtɑns bəbʲeːχt
afrikaners	afɾiθos
afrond	afruːnt
afskaffing	afskaf
afskakel	afskakɑl
afskeid	naskid
afskrikmiddel	afskrɛkmɛdˈal
afskuwelik	ɑːfskiːvənək
afslag	ɑfslɑh
afsondering	afsʊndərˈam
afsonderlike	ˈɑfzˈɔndərləkə
afspoel	ofspu
afspraak	aːfspɾa
afspreek	afspɾie
afstand	afstˈɑnt
