3an jadd	en dʒˈɛd
3an jadd?	ɑndʒɑd
3atoul	ɑtuːl
7adid	ħadiːd
7ala	ħala
7alak	ħɑːlɑk
7ale	ħɑlɪ
7alek	ħɑlik
7alkon	ħɑːlkɑn
7alna	ħɑlna
7alo	ħɑːlɑ
7alon	ħɑːl
ana	anˈa
ana akalet	ʔɑnɑ ʔɑkɑlɛt
ana jit	ana dʒit
ar2am	ælˈm
arb3a	arba
azra2	asra
barkeh	berke
be jannin	bʲidʐan nʲen
biyye3	la
ela	la
elak	ela
ele	ɛlɛ
elek	elˈik
elkon	elkˈu
elna	ɛlna
elo	elo
elon	tʃar
enta	ɛnta
enta akalet	ɑntɑ ʔakalat
ente	entɪ
ente akalte	ɛntɛ ʔakɛlˈte
ento	entˈo
fi ghayra?	fiː gajɾa
fii 7ada hoon?	fiːħad hoːn
fiyun	fiˈlˈɛnˈ
hayde	ajdˁe
henne	ennɪ
hiyye	ˈeʎe
houwe akal	hue ʔakal
huwwe	ʁuβe
khebez	χɛbˈz
kis	kiz
ktob	tʊ̞mp
l-yom	ljom
la anno	la ʔan
lawn	ləʊn
ma bedde	ma bˈˈte
ma7al tyeb	maːhal ælˈtæjæb
mazbut	matsʲput
mhemmin	mˌɑmˈin
mreyye	brɛjɛ
ne7na	naħnɑ
ne7tefil	naħtfæl
please sajill	plˈiz səʒˈɛl
ra2em	rɛm
samir	sæmˈir
sawda	sau̯da
shub	ʃɛd
tameman	t̪ɐmɛn
temrin	tˈɛmbriːn
tlete	tlete
tletin alef	tˈlətiːnˈalf
tnen	tˈɛnˈ
wa7ad	wɑːhɑd
yemkin	jɪ̞mkɪ̞n
آخِر شي	axer ʃi
آخِر شي كنت بتوقعو انو يفل بهالطريقة	ɪxjɪr ʃiː kent btwaqħʕu ɪnno jfl biħad dˈɾiːqə
آلهة القدر	æˈliːhæt iːlɑːdɑːr
آورما	aaɾma
أبسط	apzotː
أبسَط	apzot
أبْيَض	abjad
أحببتك	ahbətak
أحد	ʔɑhˈnɑ
أحمر	bɒːɾ
أحيا	ɑħjɑ
أخْضَر	ɑqtɑr
أذى	as-sˈa
أرباتاعش	arbatas
أربعا	orba
أربعة	arba
أربعين	ʔarbaʕjɛn
أرزة	aɾze
أرض	rt
أرمل	ɛrmæn
أسبوعي	tˈɛstspˈɔːi
أسورانس	ˌɐʒyɾˈɐ̃ŋs
أسْوَد	aswað
أشطت	aʃɑtɯtɑʃtɑjt
أشقر	æʃæ̹
أشواك ناعمة	aʃuɫk naʕimʔ
أعجبتني	aːʃbintni
أغاني	ɑɣɑ
أقرئي	aarene
أقرا	ˈɛɾɑ
أقل من	ə ɑːl mɪnˈzɑː ɑːl bina
أكل	ækːl
أكلة	akle
أكيد	ækˈid
أكيد ايه، ليش لأ	akˈid e lˈaːkˈlɑːʔ
أكيد رح اجي زورِك بهالقرب	ɑkˈiːd raħ ɑʒɑzɑˈɾk biaːl ʔarɪb
أكيد؟	ɑkˈiːd
أكيدة	akide
أكيدة رح تحب هالمحل	ɑkˈiːdɪ raħt ħæb ħɑlˈmɑhɑl
أكيدة؟	akjde
ألف	ˈɑlf
أمبسط	nbwset
أمل	amal
أنا	ana
أنا بئدر	a mɛtʁɛlˈtˈsɛ
أنا جيت	ænɛ gˈiːt
أنا كتير مستعجلة اليوم، بكرا منحكي ع رواق	ɑnɑ ktiːr mɪstɑːʕ lɪl joːm bɑkˈra mniħˈgaʕ ɑnɑˈʋɪ
أنا ما بفرق	ana mɑ bafur
أنا مش مؤمنة	ʔanɑmiʃ muʔɑmmɑ
أنا منيحة، انتي كيفِك؟	ɑnɑ mniħah ɑnt kiːk
أنجأ	aɴse
أنطلياس‎	antəliːf
أهلا وسهلا، تِكرمي	ɑhlɑ wsɑhlɑ tɪkrɑmɪ̞
أهلا وسَهلا فيكي	ɑhlɑv sˤɑhlɑ fˈiːk
أهم	ɑm
أهِل	ʔahel
أوضة	oːtɐ
أوضة السفرة	ˈu dˈeːt ˈɛs sˈufra
أوضة الغسيل	ʔudit ɑːl ʁasˈil
أوقات	tɑwʔeːt
أولويات	ɑu̯loːtʃtʃæ
أولوية	awlɔwɨjɛ
أَغلَب	ɛqllæp
أَنين	ɛnɪn
أَنَا بِدِّيْش أَزِعجَك	anabedːiːʃ ɪzɛrˈdʒɛk
أَيَّار	əjˈjɑːr
أَيْلُول	ajluli
أُسرة	bɛst
أُمّي	mmˈe
إبراهيم أبو ثريّا	ibraːhiːm ɑbθrjɑ
إبريئ	brˈia
إبريق قهوة	pobri aɣwe
إتاوَب	tɛtawɔp
إتغَدا	təgədˈda
إجازة	idʒɛze
إخوة	axvæn
إذا بتريد	ʔɪsə betɾˈeɪnt
إذا بدك	izˈɑbe daːk
إستراحة	stɪrɔxɑ
إصغي	ɢoːstsˤaɣˈil
إضطهاد	ʊtːahɯ
إقتصاد	tˈɪsˈɑːd
إقللاع	qɑlɑq
إلا	tɛla
إلكون	ælˈkæn
إلنا	ˈɛlno
إلو	ˈɛlo
إلون	tɾˈa
إلي	ɛli
إلَك	ɦɛjlæk
إلِك	elik
إنت	entˈi
إنكليزي	ˌiŋglˈezɨ
إهانات	iːhæiːnæt
إهانة	ˈene
إيدين	idajn
ابعتلك	ʔabatlɛk
ابوكادو	abwgɛːto
