a	ɑː
a comuña	a komunja
a dures	aːbˈudˈɾɑs
a embute	a iːmbuːtɛ
a esgaya	as gˈaia
a fargataes	a faɾɣ̞at̪ais
a la trágala	alat̪ɾaɣ̞ala
a preciu por cadún	a pɾˈeθjo poɾ kˈaðo ũŋ
a sabiendes	a saβ kai
a sabiendes que	a saβjem d̪e skɾeɣ̞
aabá	aːbɑ
ababayada	ad̪eβ̞elled̪e
ababayao	abavajau
ababayar	aβ̞aβ̞axaɾ
ababayáu	abavajaw
ababazar	abbaθaɾ
abacial	abafiel
abacochar	abakot̪ʃaɾ
abadexu	abadɾʃu
abalanzamiento	aβ̞alanθamjẽn̪t̪o
abalanzar	aβ̞alẽn̪θaɾ
abaliar	aβ̞alð̞ila
abalisar	abaliθaɾ
abalizamientu	aifamilhɛntu
abalizar	abalit̪θaɾ
aballador	abˌaʎˈaðoɾ
aballadora	laβ̞aʝað̞oɾa
aballadoriu	aːbaʎːaðˈoɾiʊ
aballadoro	abaʝað̞oɾo
aballadura	ãmbβ̞aʝað̞uɾa
aballamientu	abaiɣiamient̪u
aballar	abajʝaɾa
aballicar	ãbaɣ̞jkaɾ
aballincar	abalkajŋkaɾ
aballincu	aˈβaʝinko
aballingadoriu	aβ̞aʝjnɣ̞að̞oɾiu
aballingar	aˈβaʝɪŋaɾa
aballoriar	abaʝoɾiaɾ
aballu	abaʝo
aballuncar	aβaʝwnkaɾa
aballón	aβ̞aʝõŋ
abaloriu	abaloɾjno
abanastrada	aβ̞ãn̪est̪ɾað̞a
abanastrao	abãnest̪ɾal
abanastrar	abanast̪ɾaɾ
abanastráu	ãmbβ̞ast̪ɾau
abanderamientu	abandɛramjɛntu
abanderar	abandeɾaɾ
abandonamientu	abandonamient̪o
abandonamientu abandonar	abandɔnamietʊ
abandonu	aβ̞ãn̪d̪oɾlo
abangada	aβ̞ãŋɣ̞ɾð̞a
abangamientu	aβaŋgamjẽŋt̪ʊ
abangao	abãŋgɾau̯
abangar	aβ̞ãŋɣ̞ɾ
abangavigues	ãβ̞aŋɣ̞aβ̞ises
abangu	aβ̞ãŋɣ̞lo
abanguera	aːbãŋgɯɾa
abanguero	ˌaβaŋgɾˈeɾo
abangueru	aβ̞anɣ̞ɾeɾu
abanguesa	abãŋgɾsza
abangueso	abandɾɯʃo
abanguesu	abanɣ̞ɾesso
abangáu	abãnd̪au̯
abanicadoriu	ãβ̞anikað̞oɾiu
abanicadura	ãβ̞anjkad̪uɾa
abanicamientu	aβ̞anikamient̪o
abanicar	abɑnikaɾ
abanicu	aβ̞aniko
abaniellu	aβ̞ãn̪iaaʝ
abanillu	abaŋijo
abanu	abãn
abaragañar	abãɾaɣ̞ãĩŋʝaɾ
abaratador	aβ̞aɾat̪að̞oɾ
abaratadora	abaɾatað̞oɾa
abaratadoro	abaɾatadɔro
abaratadura	aβ̞aɾat̪ad̪uɾa
abaratamientu	aabaɾat̪ɐmɪn̪t̪u
abarbechar	abaɾbetsaɾ
abarbetar	abˌaɾbitˈaɾ
abarbuyar	abaɾβ̞oiʝaɾa
abarcada	apaɾkað̞a
