185	zˈaɪtəfˈɪlmfɜdˌaxtɪg
2	tˈsvˈɔː
250	tsvˈahˈʊndɜtfˈʊçtsɪç
330	trajundaprastɪ
896	ˈaxthˈʊndɜtsˈɛçzˈaɪnənsgˌɔl
902	naɪ̞hʊ̞ndətːkːɑ
a diam	at jem
a geh	ãmb k
a so a hamperer	ɐ sˌuɐ ʁˈompɐɾɐ
a weng zweng	aɾvæŋzˈ vˈɪng
aafgleint	afklˈaɪnt
aaschlings	boˈaʃlɪŋks
ab und zu	oːp ʊnt tsuːɾ
abbeereln	oppɛjln
abbetteln	oppetun
abbeuteln	oːpbˈaɪtən
abbiaschdln	oppjeston
abblatteln	opplaton
abbrennt	opplɛnt
abbrocken	opɔkˈɑ
abbräunen	oppɾajnɑː
abbusseln	apuzlam
abdanken	optoɔka
abdraht	potʁˈɑt
abdriggn	ɔːtrikːɛn
abdrucken	ɔptrʊkːɑ
abessen	opˈɛsən
abfechsen	ˈɔpfvˈɛxˌsɛn
abfieseln	opfizlɛn
abfotzen	apfˈɔtsˈn
abfressen	opfɾɛsən
abfretten	ˈɔpfɾɛtˌtˈɛn
abgeben	opke
abgedreht	otɾat
abgehen	opke
abgeschmach	opɣ̞smoːx
abgrasen	opgˈɾˈɔsˈnˈ
abhackeln	ˈopːaɾto
abidaucha	ɔwiːdaːˈɑːlxa
abidoa	oːvitoːa
abischwoam	oʃuʃuɦam
abkrageln	opkrakˌeːn
ableeren	ɔpˈlɑɾm
abluchsen	oplˈlˌɔkseːn
abluren	oblˈuən
abort	apoɾt
abortdeckel	abwatɛkle
abpassen	opasn
abpecken	oppeˈkˈkˈa
abpudeln	oːpːʊtˈlˈɯn
abputzen	obˈtˈsˈn
abrahmen	ɑpɾama
abrui	abwˈe
abruiaff	aprˈyːɜf
abräumen	oprama
abschauen	optʃaːn
abschieben	opɕiom
abschlecken	ɔpʃlɛkːa
abschmatzen	opʃmˈɑtsən
abschnallen	opʃnojn
absehen	opseŋ
abseilen	opsaɪln
abseitel	optsaɪtɫ
absperren	abspɛrˈl
abspülen	opspũinː
abspülhadern	ɑːbspoihɑːdæn
abstauben	opstɑm
abstechen	opʃtɛxɛɾ
abstrampfeln	opstɾompfɛn
abtritt	ɔpˈtɾɪt
abtun	optua
abziehen	rɔptsiːɑːn
abzuzeln	optzˈoːtsˈln
ach wo	aɣo
achetzen	o˩˥ːx˥˩h˥əˈɪstən
achter	ˈaxta
achzge	axtsg
ackern	ˈakːan
adabei	aːtaapaj
adamsbutzn	aɾlamspʊtseːn
aderl	aːdˌɑl
adla	ɦoʊ̞tlæ
adolf	atːuɪv
adolf hitler	ɑːɾɑː tʰitle
aft	ˈaft
agerl	agal
agrasel	okɾasɛl
agratt	agˈrˈt
ahndel	antl
ahndl	ˈaɪʊ
akkurat	akrad
alina	ɑlina
allerweil	oːlˈlaːvaj
alloa	alua
allweil	ˈoːiːvɑːl
almasattl	ɑlmɑsɑtɯl
alt ausschauen	hˈoːj dˈaːls ʃˈaŋ
altbacken	boːjbaxa
am	ˈeɪm
am end	ament
am nächsten tag	am nˈɛçst dˈɔk
amadé	amatˈe
ameis	ɑːmˌaɪz
amerikaner	ˈɑmˈɛɾˌiːkɑnɜ
amixel	aːmɪgzl
amoi	amue
an guadn	ælʲkɔdˈn
anbandeln	oːbˈaːnton
anbauen	oːpɒn
anbenzen	oːpənˈtsˈn
anblümeln	oːplˌɛɾmɛn
andatschen	o˩˥ːdatʃn˥˩
anddara	aːndaˈla
anddn	antən
anderl	aːnˈdol
anderst	ɑŋdɑʃt
anderthalb	anˈdɑhoːəb
andivi	antive
andreas	ondrjos
andreckeln	otɾakljˈ
andrel	antɾeɾ
anfegen	oːfə
angankerln	pɔ˥˥
angefangen	okvæŋɑ
angeln	maːnglənd
angestochen	aːkestɔha
anglahnt	ʊ̞kloːæt
anglangen	okɫanka
angstig	aŋstˈɪk
anhauen	ˈoːhɑːl
anhin	ane
ankennen	okena
ankäsen	oːkˈɑːzˈn
anlangen	o˥˩lɑ˥˩
anlegen	ˈoːlɪŋ
anläuten	voːlˈaɪtən
annamirl	annamjɛl
annelies	anəlees
annemie	anmi
annerl	an˩˥ːal˨
annägeln	oneglem
anpacken	ˈopakːɑ
anpatzen	oːpɒtsiː
anpfeifen	opˈaɪfˈa
anpfurren	oːpːuan
anpfurzen	hoːpfˈʊɐtsən
anpicken	oːpˈekːa
anrennen	oːrɛnːæ
anrumpeln	oɣopɪn
ansagen	u˨˩sõŋ˨˩
anschaffen	aːsjˈafə
anscheißen	ˈoːʃˈaɪsən
anseichen	ʔuːsuːɒhɒ
anspeiben	bʃbɒːm
anspinnen	oʃpina
antanzt	utˈaŋst
antauchen	poːtaːɣa
anterer	aɱðaɣa
antn	antən
antrenzen	oːtɔːnʲtsɔn
antrisch	antrˈɪç
anwandeln	oːlβaːrdʊn
anweigen	voːzˈtˈ
anzipfen	otsɪpɛ
aper	apa
apfe	apːe
april	aproi
aprilaff	apɾɔːjaf
aprü	apɔj
