(й)езуитщина	ɑːwezoːliːˈstænæm
14 февруари	tʃɛ tʲiɾi na jɛs tifɛ buˈuaɾi
1997	siːlaːvdeːdˈeɾɯztəgˈuˈɹeɪfɜlˈændmɪtɪkˈændmˈɔɹtʰˈændmˈɔɹtʰˈændmɔːɹtʰˈændmˈɔɹtʰˈændmˈɔɹtʰˈ
1998	kilaðaakestutojtɨmɨnɨsetjosnɨ
1999	kɫleɫadɛvɛtstotindɛvɛdɛsɛtidɛvɛtɐ
21	dvadɛsɛtsjɛdnɔ
eвров	ɛvrof
kузмов	kozmov
legitimate	doberapetit
love	ɫɔdɯ
mckeown	tovaɛɔpasnɔ
my name is явор, and in english it is spelled 'yavor' and pronounced "y ah v oh r".	mˈaɪ nˈeɪm ˈɪz ðɪ ˈɑlvˈɚ ənd ˈɛn ˈɪŋglɪʃ ðə spˈɛl ðɪ ˈɑlvɚ
nordschleife	tʃɔvɛkbezdraxi
selcouth	kafjaɓamɛtʃka
а	a
аба	aba
абаджийка	avədʒˈikə
абаджийство	abaʒistvu
абаджия	aːbadʒia
абажур	aβ̞asuɾ
абазия	abˈazɪɐ
абак	aːbaːk
абака	abaka
абалиенация	pabolʲenatsʲa
абанос	abanˈɔs
абаносов	abanosov
абат	abat
абатство	abatstvˈu
абдал	apdau
абдикация	abdokatsija
абдикирам	abdikiːram
абдикиране	abdɪkirane
абдоминален	abdominalɛn
абдукция	apduktsia
абелсонит	abelsʊnit
аберация	abɛratsjɛ
абернатит	abɛrˈnˈatjtˈ
абзац	apzats
аби	aːbːi
абиотичен	abjotʃʲatʃeŋ
абисален	abisaːlən
абисинец	abɪsˈiːnɪts
абисинка	abisinka
абитуриент	abð̞ikt̪oɾjẽn
абитуриенти	aːbituɾiɑɛnti
абитуриентка	abit̪oɾient̪ka
аблактация	abɫaktatsijɛ
абланица	apɔnitsa
аблена	abelænə
абокат	abokat
аболиция	apulɨtsia
абонамент	abonamẽn̪t̪
абонаменти	abonumente
абонат	abonat
абонати	abonatɛ
абонирам	abuɲjram
абониране	abuɲiɾane
абордаж	abɔɾdɑʒ
абордирам	abordirɐm
абориген	aburɨɣʲen
аборигенка	aporiɣ̞ẽn̟θa
аборигенче	abˌuɾigˈɛntʃe
аборт	abˈoɾt
абортирам	abortram
абортиране	abortiɾane
абразив	abrazif
абразивен	abrazivɛn
абразия	ɐbɾaːsjɐ
абракадабра	abrkadabra
абревиатура	abɾevˈjɐtˈuɾɐ
абсвурмбахит	abzwɾmbaqid
абсент	apsɛnt
абсолвент	apzɔvɛnt
абсолвентка	aβ̞solβ̞ẽn̪t̪ka
абсолвирам	apsuvʲirom
абсолют	absoˈlˈʌt
абсолютен	abzɔlʲutɛn
абсолютизация	absolutiðatsia
абсолютизирам	abzalutieziɾɯm
абсолютизиране	abˌsɔlʊtiːziːrˌɛnɛ
абсолютизъм	ɑˈbsʊlʏtiːzɯm
абсолютно	abzuljotno
абсолютност	abzalutnʊst
абсорбент	aβ̞soɾβ̞ent̪
абсорбирам	ɑpsuɾbʲerʊ̞m
абсорбиране	ɑbˈsuɾbiɾnɛ
абсорбция	absoɾβtɪja
абстинент	apstinˈɛnt
абстиненция	abstinɛntsʲia
абстрактен	apstraktɛn
абстрактна	apstrɨktna
абстрактни	abstraktsnɪ
абстрактност	abstradnɔst
абстракционизъм	ɔbstrɐktsjɔˈnism
абстракция	apstraktsɨja
абстрахира се	ap straxʲirazɛ
абстрахирам	abstrˈxirɭ
абсурд	ɑbsùːrt
абсурден	abzurdɛn
абсурдно	apsurdnu
абсурдност	absudnust
абсцес	aptsɛz
абсциса	apstziːsɛ
абулия	abulɪa
абушев	abuset
абхазия	abxazja
абхурит	abxorid
абюдикация	abjudikatsijau̯
абюрация	apjurats̺ja
авалист	avaljst
авангард	avɑŋgɑrt
авангардизъм	aːvngaɾdizam
аванложа	avonɫɔʒa
аванпост	avanˈpɔst
аванс	ɑvɑn̪sɯ
авансирам	avɐ̃ŋsˈiɾɐm
авансов	avˈansʌf
авансцена	avantstsɛnɛ
аванта	avanta
авантаджия	avɑntɑdʒi
авантюра	afonˈtˈiɾˈɯ
авантюризъм	avonturizau̯
авантюрист	avandjuɾiɾst
авантюристичен	avontjuristitʃen
авантюристка	avˈantjuɾiztka
авар	avˈar
авариен	aporiem
авариен изход	avarijen ʲisxuʲt
аварийни светлини	a fariːni sʋetlʲini
аварин	avˈarˈɪn
авария	ɐvˈaɾiɐ
аварка	avˈarka
аваруит	aːvaːrvˈit
авгит	avkɪt
август	aːvgust
августейши	ɑvˈgʊstɑiːɕi
авеню	avn
аверсия	aˈvˈɛrsˈjɐ
