anowr	ənˈɔɾ
anowr hossain	ɑnɑˈvɑl sˈaɪn
guide	lidilidio
home	boːˈdiː
md. anowr hossain	ɛːmdiː tl˧æn˧ waːhussain
mukhopadhyay	mukʰoːpəd̪ɳ
noipita nawhid	noːiː biːt̪aɾ noːɦiːt̪
pather panchali	poːt̪ɔeɾ pəndʒɑːli
quaddus	utus
sahoj	sɔhodʒ
sayan	ʃajon
shafiul	ʃoːˈʃiːul
shilpa rao	ʃiɾipɐɾɐʊ
shuvo noboborsho	ʃubʱ nɔbɔ bɔɾʃ
sonargaon	ʃunaɾgau̯
sougato	ʃuɣato
sudipta	ʃˈudˈˈipta
sylheti	sʲiɛːˈtiː
tajassur	t̪e̞dʒaʃuɾ
tanjil	tanˈdʒiːl
thirthankar	piːd̪ʱonkɹ
udayan	ɔdɔɪɔn
upoma	upoma
urir char	uɾitˈsɔ
valobashi	bʱɔlʊbʰaʃiˑ
welikada	ulikada
yänuyärï	dʒanuaɾi
zurha	zrɑhɑ
অ	sˌoːrɪˈɑː
অংগীকার	oːŋiːkaːr
অংশ	hɑŋ˥˥ʂɚ˥˩
অংশ নেওয়া	oŋʃoʁnɕʉwa
অংশক	aŋʃaːk
অংশগত	ɔŋʃogato
অংশগ্রহণ	oŋsgɾɦon
অংশগ্রহণকারী	oŋʃoˑgɾʱonkaɾiˑ
অংশগ্রাহী	aʊŋsoˑgɾaɦiˑ
অংশত	au̯n˧ʃoto˥˩
অংশন	aŋson
অংশনীয়	æŋʃˈljoʊ˥˩
অংশভাক	oŋʃˈuːbɑˈk
অংশভাগী	ɔŋʃoˑbʱaˑgiˑ
অংশল	ɑŋʃj
অংশহর	ɑŋʃoːxɑːrʊl
অংশহরা	laʃoˈxɑr
অংশহারী	aːŋʃoːhariː
অংশাংশ	ɔŋʃʃu˨˩˦
অংশাংশি	ɔŋ˨˩sŋ˥˥si˥˩
অংশাংশী	ɑŋ˥˥ʂɑŋ˥˥pɛ˥˥
অংশাঙ্কিত	oŋʃaŋkito
অংশানো	æˈnʃano
অংশিত	omʃitʊ
অংশীদার	onʃidar
অংশীদারি	omʃidari
অংশু	oŋʃu
অংশুক	oŋʃuk
অংশুধর	omʃuːdˈɑɹ
অংশুপট	oŋʃupəɾˈʈ
অংশুমতী	umʃumʊt̪i
অংশুমান	omɔʃuman
অংশুমালা	umkˈistˈ
অংশুমালী	omumal
অংশুময়	uŋsɛmˈɔːl
অংশুময়ী	hŋ˥˥mɔːi˨˩˦
অংশুল	ɑŋ˥˥
অংশুলতা	oŋʃulˈɔtˈa
অংশুশিরালদেহ	oŋʃuʃiɾalʊdɨʁˈo
অংশ্যমান	unʃoman
অংস	ɦoːnʃuː
অংসকুট	aŋɕoˑkuːt̪
অংসত্র	aɔ̃sotɾɔ
অংসফলক	ɑŋʃʊ̞pχɑlk
অংসফলকাস্থি	ɑnʃopɑlɔkæsdˈiː
অংসল	ɔ̃ŋʃaːl
অংসলা	ɑːnʃɑːla
অঋণ	orin
অঋণিনী	ɾiːnn
অঋণী	ɑːriːniː
অওরত	ɑwɾot
অক	ak
অকচ	aqaðʒ
অকচা	oɣ̞ot̪ʃa
অকটু	aoːr
অকঠোর	æˈkɑːdɾoː
অকণ্টক	əkɔntɔk
অকণ্টকে	akontke
অকথন	ɑqɑtɔn
অকথনীয়	og
অকথা	ɑqɑtˈsɑ
অকথিত	aːkoːitʃɪtoː
অকথ্য	pokut̪tʃa
অকথ্যকথন	ʔɔːkut˦˥tʰɔːkɔ̀ːtʰun˧
অকনিষ্ঠ	okoniʃtʰo
অকপট	aːkɔgɔtʃ
অকপটচিত্ত	aqpɔttʃiŋtɔ
অকপটতা	auɟopoɾnɾɑdɑ
অকরুণ	oɾoun
অকর্মণ্য	aːkaːrmn
অকল্পনীয়	aqalpʊio
অকল্পনীয়	əqəlpənioʔ
অকস্মাৎ	pʊkʰuʃa
অকাট্য	okazt̪o
অকাট্য যুক্তি	ɔkaʈːɔ dʑokt̪i
অকাতর	akatas
অকারণ	ˈakɑrɔm
অকালকুষ্মাণ্ড	ɔkalːkuʃmaɹdɔ
অকালমৃত্যু	ogalmɾiːkːtuː
অকিঞ্চিৎকর	aːkintʃitqaːr
অকুতোভয়	aːkuːtumɦɔe̯
অকুন্ঠ	aːkwnːtʰu
অকুস্থলে	pʊst̪ʰole
অকূল	ʔaqn
অকূল দরিয়ার বুঝি কূল নাই রে	äːkul d̪ʊɾiːäːɾ bdʒiː kʊl naːiː e̯deː
অকৃত্রিম	ˈæˈɾkˈɾˈistɹm
অকেজো	pɔkɨʒu
অক্টোবর	ɑkˈtɑˈmɔɾ
অক্মট্রও	hokstɹəl
অক্লান্ত	oklanto
অক্ষত	aʃːkʰtʰ
অক্ষম	æˈkæl
অক্ষর	ɒkˈɾˈ
অক্ষাংশ	ˈoˈkʌŋʃəl
অক্ষয়	okhʰoi̯
অগণতান্ত্রিক	ɛɛgɔnɔtɛntrik
অগণিত	ogonitʊ
অগভীর	ɔogbʱɔitʃiˑ
অগাধ	a˥˩ːgat
অগাস্ট	ˈɔɾgɑːst
অগোচর	aːlbɔːtʃaɾ
অগ্নি	omnˈe
অগ্নি ইস্টক	ʒoɣni e̞ʃtɒg
অগ্নিকণা	ognikona
অগ্নিকন্যা	obnikonna
অগ্নিকর্ম	ognikoɾmɔ
অগ্নিকল্প	ognikolpo
অগ্নিকাণ্ড	oɣ̞nikando
অগ্নিকার্য	obnikardʒo
অগ্নিকুণ্ড	obnikundo
অগ্নিকেতু	obneketu
অগ্নিকোণ	ognikon
অগ্নিক্রিয়া	ognɛkɾia
অগ্নিক্রীড়া	ognikɾiˈɾa
অগ্নিগর্ভ	obnigorvo
অগ্নিগিরি	ognegiri
অগ্নিচূর্ণ	koglitʃurno
অগ্নিজিহ্ব	ognidʒivo
অগ্নিতপ্ত	ognitoktə
অগ্নিতুল্য	oglitʊldo
অগ্নিতেজা	ognitedʒa
অগ্নিদগ্ধ	ognidɔbtɔ
অগ্নিদাতা	ognidata
অগ্নিদাত্রী	ognidatri
অগ্নিদাহ	oɣnidauo
অগ্নিদাহ্য	ognidadʒo
অগ্নিদীপ্ত	ognidiptu
অগ্নিদেব	ognidɛbe
অগ্নিনির্বাপক	oɣ̞njnid̪eβ̞apok
অগ্নিপক্ক	ogipogo
অগ্নিপরীক্ষা	ognɪborikʃa
অগ্নিপুরুষ	ognipurʃ
অগ্নিপূজা	oɣnipuʒa
অগ্নিপ্রবেশ	oknipɾoβ̞eʃ
অগ্নিপ্রভা	ˈoːgnipˈrɔbha
অগ্নিপ্রস্তর	og�niprosˈtˈoɾ
অগ্নিবর্ণ	obniborno
অগ্নিবর্ধক	oɣ̞njboɾð̞ɾuk
অগ্নিবর্ষণ	ogniˑbɔɾʃɔn
অগ্নিবলয়	ogniboli
অগ্নিবাণ	ognjban
অগ্নিবীণা	omnˈivija
অগ্নিবৃষ্টি	oɣnɪbˈɾeʃti
অগ্নিবৎ	ognjbot̪
অগ্নিভাণ্ড	ogniˑbʱaɳɖoˑ
অগ্নিমন্ত্র	obnimontro
অগ্নিমান্দ্য	obnimando
অগ্নিমূর্তি	ognimulti
অগ্নিমূল্য	oglimudlʒo
অগ্নিমৃত্তিকা	ognˈimritːika
অগ্নিময়	ognimoi
অগ্নিযুগ	oɣniʒug
অগ্নিশর্মা	ogniʃɾmaː
অগ্নিশিখা	ɔːgmiːʃiːkʰɑːr
অগ্নিশুদ্ধ	obniʃud̪ʱːʱoˑ
অগ্নিশুদ্ধি	ogneʃud̪ʱːi
অগ্নিসংযোগ	uʊpniˑʃɔŋdʑoˑ
অগ্নিসংস্কার	obniʃɔŋskar
অগ্নিসখ	obniʃok
অগ্নিসহ	ogniˑʃɔ�oˑ
অগ্নিসাক্ষী	ʔɔk̚nisapkʰiˑ
অগ্নিসাৎ	ognɪʃatʰ
অগ্নিসেবন	ogniˑsɛbɔn
অগ্নিস্ফুলিঙ্গ	obnispuningo
অগ্নিসৎকার	ogniʃt̪kaɾ
অগ্নিহোত্র	obniɦotru
অগ্নিহোত্রী	ogniɦot̪ri
অগ্নি্দাত্রী	ognedˈatʃi
অগ্ন্যস্ত্র	ognɔstro
অগ্ন্যাশয়	ʔoːʔsaj
অগ্ন্যুদগম	ogludgom
অগ্ন্যুৎপাত	oknudpat
অগ্ন্যুৎসব	oɣnutʃop
অগ্রগতি হওয়া	əp progoʈi ɦɔä
অগ্রণী	ogɾɔni
অগ্রদূত	agɾudut̪
অগ্রসর	ogɣruːsˈoɾ
অগ্রহণযোগ্য	ogɔɹdʑoˑgɔ
অগ্রহায়ণ	ogɾaɪln
অগ্রাহ্য	ogradʒːo
অগ্রিম	okrim
অঘটন	ɔgʰɔtʊɔn
অঘ্রাণ	ogɾajon
অঙ্ক	onko
অঙ্কন	ɔːnkon
অঙ্কুর	onkuɾ
অঙ্গ	ɔᵑgu
অঙ্গন	ɑŋgõn
অঙ্গাঙ্গি	aŋgaŋɲi
অঙ্গীকার	oːŋdiːkaːr
অচলাবস্থা	ɒtʃɒˈlabɒsta
অচিন্তনীয়	karatʃintunio
অচিরে	otʃide
অচেতন	akseton
অচেনা	aɔtʃanah
অজগন্ধা	poˑzɔgonoˑdʑaˑ
অজগর	oːʒɛɣɔj
অজানা	ɑʔtɕja˥˥nɑŋ˧
অজানা তথ্য	ɔdʑanatːut̪ t̪ʰoˑ
অজুহাত	ʔuːhæt
অজুহাতে	oːʒʊɦʰt̪eʔ
অজৈব	aːzoːibʱu
অজ্ঞ	pago
অজ্ঞাত	ogɛtul
অজ্ঞাতনামা	agːetɔnama
অজ্ঞান	ogɛn
অঞ্চল	ændʒɑj
অঞ্জলি	ɔːnʒl
অটবি	ɔːt̪oːbiː
অটল	ɔːˈtɔl
অটিস্টিক শিশু	ɔɔt̪ɪstik ʃiːˈsuː
অট্টালিকা	tʃikwãtkalita
অঢেল	oːɪdˈhel
অণু	ˈonʊ
অণুপস্থিতি	annəpɔstɛti
অণুবীক্ষণযন্ত্র	onobikounjˈɛntɾoːn
অতএব	ɑtɛb
অতন্দ্র	atõŋdɾu
অতর্কিত	ɔtɔkitɔ
অতলস্পর্শ	patʊzpɔrʃu
অতি	otʃa
অতি উচ্চ জোয়ার	o tiu tʃozoaːr
অতি প্রাচীন	o˥˩t˥pratʰin˥˥
অতিক্রম	awtikɾom
অতিক্রান্ত	potikratto
অতিক্রান্ত হওয়া	aːtiːk kɾaːɳtɔ ɦoaː
অতিথি	ot̪i˧˥tʰi˧
অতিথিপরায়ণ	o̯t̪ʰiˑt̪ʰiˑpɾaˑɔɹo
অতিপরিচিত	otiparitsito
অতিবৃষ্টি	ot̪iˑbɾiʃtiˑ
অতিমারি	otimari
অতিরঞ্জন	u̯t̪iˑɾɔn̪dʑɔn̪
অতিরিক্ত	otirikto
অতিষ্ঠ	otʃtʃɔ
অতীত	opit
অতীন্দ্রিয়	otindrio
অতুল	ɔtʊl
অত্যন্ত	otanto
অত্যাচার	ɔːtːaːtʃɔːr
অত্যাধুনিক	pɔtːadvnik
অথচ	aːtoːtʃu
অথবা	ɑːtæbɑː
অদিতি লাহিড়ী	ɔd̪ɪt̪iˑ laxɪɹiˑ
অদৃশ্য	atrisʃo
অদ্ভুত	æˈd̪bɔːt
অধিক	ʔoːd̪ʱiːq
অধিকতর	oːd̪ʱiˑkoˑt̪oro
অধিকর্তা	ʊd̪iˑkɾʊt̪aˑ
অধিকাংশ	ɔd̪ʱikaˑŋʃu
অধিকার	ʊtiːqɑt
অধিকারও	ʊd̪ʱiːkɑːrʊ
অধিকারগুলো	od̪ʱikaˑɾgʊlɔ
অধিকারগুলোর	ʊd̪ʱiˑkaˑɾgʊlɔɹ
অধিকারবলে	od̪ʱikaˑɾbɔle
অধিকারসমূহ	ɔd̪ʱiˑkaˑɾʃmːgɦoˑ
অধিকারসমূহের	od̪ʱkaɾʃɔmoˑɦeˑɹ
অধিকারী হওয়া	ʊd̪ʱɪkaːɾiː ɦɑː
অধিকারের	od̪ʱiˑkɾeːz
অধিকৃত	odʒikɾito
অধিগম্য	oːd̪ʱiːgomːoː
অধিগম্যতা	oːd̪ʱiːgomːoːt̪aː
অধিনায়কত্ব	ot̪iɔn̪japʰaːkʰt̪ːoː
অধিবাসী	ombivasji
অধীন	ʊd̪ʱiːn
অধীনে	ɔːnˈtʰiːne
অধীর	ɔːˈd̪ʱiːɾ
অধ্যাপক	aːddabog
অধ্যাপক আহমদ শরীফ	t̪o ð̞ʱaɓ̞ɔl æmɔd̪ ʃɾiːs
অধ্যাপক সিরাজুল ইসলাম চৌধুরী	hoʈtɑbɔb ʃiɾadʒuːn iːslaːm tʃeɵt
অধ্যায়	n˩˩˦tʰɤ˥˩
অধ্যায়	otʰʰæː
অনন্ত	anumdo
অনন্তলোক	ɑnɔntoˈloɣ
অনবরত	anuboɾoto
অনভিপ্রেত	anobʱipɾet
অনভ্যাস	ɑnɑpæs
অনমনীয়	anˈɔmunˈiu
অনমনীয় মনোভাব	ɒnɒːmoːniː uːmonʊb ɑb
অনলতাপ	oːnɔːlt̪aˑ
অনলাইন	ɒnˈlæin
অনলাইনে	onlain
অনাকাঙ্ক্ষিত	onakanketu
অনাগত	onagoto
অনাথ	ponað
অনাবৃষ্টি	ɔːnɑːbɾiʃt̪iː
অনায়াসলভ্য	ɔːnɑːjəʃlæbːo
অনায়াসসাধ্য	ɔnɛjæʃtʃændu
অনায়াসসিদ্ধ	ɑnɑjæzʃiːntʃiːzi
অনায়াসে	ɑnɑɦe̞ʃe
অনুকূল	ɔnɔkʰuːl
অনুক্ষণ	ɔnʊkɒn
অনুগত	unuˈgoˈtu
অনুগত জনগণ	ɔnuˑgɔtɔ dʑɔnˈogɔn
অনুগামী	onogami
অনুগ্রহ	ɦnɔgɾãːhɔ
অনুঘটক	lɛnkoltʊk
অনুচ্ছেদ	onʊtʃede
অনুদিত	onuð̞jt̪oɾ
অনুধাবন	onud̪ʱaˑbɔn
অনুধাবন করা	onu dʱabon kɾa
অনুন্নত সম্প্রদায়	anunʊtɔ ʃɔmpɹɔdɔe̯
অনুপস্থিত	ɔ̃nˈuːpˈoːsθˈi
অনুপস্থিতি	onuːpɔstʰiːdiː
অনুপাত	onupat
অনুপ্রাণিত	unupɾanit̪oˑ
অনুপ্রাণিত হওয়া	onu pranito hava
অনুপ্রেরণা	onupɾirɔna
অনুবাদ	obata
অনুবাদক	ˈonubadˈok
অনুভব	un
অনুভূতি	onubˌɛˈti
অনুমতি	onumoti
অনুমতি দেওয়া	onumotidaua
অনুমান	onuman
অনুমেয়	ˌɔnˌumˈeʊ
অনুমোদন	onumad̪õ̞n
অনুমোদিত	onumodito
অনুযায়ী	nudʒajiː
অনুযায়ী	wnʊdʒəiː
অনুরাগ	onuɾaɾ
অনুরূপ	uneɾi
অনুরোধ	onuɾoad
অনুষঙ্গ	onʊʃɔŋgɔ
অনুষদে	ɔlʊʃde
অনুষ্ঠিত	onuʃtʃito
অনুষ্ঠিতব্য	unuʃtikabo
অনুসন্ধানী	onuʃɔnd̪ʱaˑn
অনুসরণ	onuʃeɾɾan
অনুসরণ করা	ɔnuʃɔɾn kɹaː
