. རྡོ་གྲུབ་ཆེན་དགོན	dutɾ tʃəŋ keːˈŋ
avalokitesvara	æjvæɐ̯dˈoːg kˈitɪʃ vˈɑːrə
bdang	taŋ˨˦
chenrezig	tʃenrn˧
chögyam trungpa	tɕjɛ̀ŋ˥˥tɕjɛŋ˥˥pɑŋ˥˩
dalai lama	daɫa adzʲin lama
gelug	tɛluːk
gyur	gʏɾb
kagyu	kaak lɛ̃kaak
kale phe	kʰa˥˥lɤ˥˧pʰe˥˧
kalu rinpoche	kã˥˥lũ˨˦ lim˨˦ pɔ˥˥tsʰit˦
kalyanamitta	kliaːn ˈmɪdɾa
karmapa	kaɻmaːpaː
karmapa lama	kaɾma ba ãmb lama
karpo	kapɔ
lama yeshe	la maː jeːˈse
lhasa	fɑː fɔː
mahamudra	mahã̃ mutʃa
manasarovara	maːnɑsɑɾɯvaːtˈta
marpo	mˌaɾboˌ
nirvāna	nivɛnna
nyingma	lˈiŋmˌaɹ
pema chödrön	hemmaːtʃoɾeɣin
phowa	aowɑŋ
rigpa	lɪpa
sakya	saːfiːreː
sangye	sangit
snying rje	nik˥˥ tɕjɛ˥˥
soname	sanɑm
tashi	tʂasj
tassang	datsˈɑŋ
thangka	t̪aːŋka
thupten	tobtɔ̞n
tibetan: ང་ལ་ལག་པ་གཉིས་ཡོད།romanization: nga la lagpa (ལག་པ།) ngyi yoeenglish: (i hands two have) = i have two hands.	mala laχpanʲe jɛ
yab yum	jˈɑp jˈum
yeshe tsoygal	jaʃ ɛj sɔɛgɔ
༄༅།།ལོ་གསར་ལ་བཀྲ་ཤིས་བདེ་ལེགས་ཞུ།	nˈoːt sˈa lˈʁtʃə tˈˈjlˈɛʃv
ཀ	tpa
ཀ་	qah
ཀ་ཁ་	kakˈa
ཀུ་རེ སྐུ་རྩེད་གནང་བ	kuɾe kutsɯnanova
ཀུ་ཤུ་ཁ་པར་	kʃuχ fˈa
ཀུ་ཤུ་འཕྲིན་སྟེགས་	kɯ̟ᵝɕi̥ tɕi̥nɯ̟ᵝtɕi
ཀླད་ཀོར་	lekoɾ
ཁ	qɑ
ཁ་པར་	qɑːpɯr
ཁ་པར་ཨང་གྲངས་	kaba ɑŋdɑ
ཁ་བ་	kʰawa
ཁ་བྱང་	qɛʃɛŋ
ཁ་ལག	qɑlɑ
ཁང་	kʰɑ̃
ཁབ	dʒɑbɛɾ
ཁམས།	kʰam
ཁེ་ན་ཌ་	kʲanadɑ
ཁོང་ཚོ་རེད།	huntsorre
ཁོང་རེད།	kɔ̃ʒˈɛ
ཁོངས་མི་འདུ་ར	kʏŋmʲitdʏɾa
ཁྱི་	tʃi
ཁྱེད་རང	tʃɛra
ཁྱེད་རང་	tʃɛr̥
ཁྱེད་རང་གང་དུ་ཕེབས་སམ།	kʲiɾːng kʰɑnt pəpsam
ཁྱེད་རང་ཚོ་	tɕerantstso
ཁྱོད་ཀྱི་མིང་ག་རེ་རེད།	tʃiʧ mʲin karɾa
ཁྲི།	tʃɨ
ཁྲུས་ཁང་	tsʰy˥˩xɑŋ˥˥
ཁྲོམ	ʈʂʰʊŋ˥˥
ག་རེ	kʊ̞ræ
ག་རེ་ཟ་ཡི་ཡོད།	kalsai e
ག་ལེར་ཕེབས་།	klipˈit
གཅིག	tɕʰiːm˨˩˦
གཅིག་	tɕik˦
གཅིག་བུ་	tɕipɔ
གཆིག་པུ་	tɕʰi˨˩˦kɔ˨
གཉན་ཆེན་ཐང་ལྷ	n˥˥tɕjɛn˥˥tʰɑŋ˧˥ la˥
གཉིས་	nˈe
གནམ་གྲུ་འབབ་ཚུགས་	nandu patsu
གཙུག་ལག་ཁང་	tsʊlɑkʰɑŋ
གཙོ་ངོས	sũŋ˥˥
གཙོ་ངོས།	sʊŋ
གཞིས་ཀ་རྩེ།	ɕi˥˧ i˧˥kɤ˥˩tsɯ˧
གཞོན་པ་	ʃʏ̞mbe
གཟའ་ཟླ་བ	sa dava
གཟའ་ལྷག་པ་	sælɑpə
གཟི་རྩ་སྡེ་དགུ་	seztadɛgu
གཟིགས་	sˈɪk
གཟིམ་	m
གཟིམ་ལཇག་གནང་དགོས་།	sinˈdʒaːn nˈaŋgu
གཟིམས་འཇག་གནང་གོ	seẽ˥˥nkʰoː˧˥
གཟུགས་པོ་	supo
གཟུགས་པོ་རིང་པོ་	sʊbʊrjɛnˈbo
གསང་སྤྱོད	saɴtɕɯ
གསར་པ་	sɑbɑ
གསར་འགྱུར།	ʃɑndʒir
གསལ་པོ།	selbo
གསུབ་པ	supɑ
གསུམ་	sum
གསུམ་པ	sʊ̞mbɑ
གྲོག་མ	ʃɑmɑ
གྲོགས་པོ་	opo
གྲོགས་མོ་	tomo
གྲོས་བསྡུར	tʃetɯr
གླིང་ག་	lɪŋkˈæ
གློག་ཀླད་	lˈˈɛk
ང་བདེ་པོ་ཡིན།	akompanovasi
ང་ཚོ་	ʁaːtsɯ
ང་ཚོ་ཡིན།	na tsɯj
ང་ཡིན།	nˈaɪ
ང་རང་བོད་ལ་དགའ་པོ་ཡོད།	mɑːrɑːn føːl ɑqɑbɯjɯ
ང་རང་ལ་དགའ་པོ་ཡོད།	ɢɑʃaːlaː qɑbʊx
ངག་དབང་བསོད་ནམས།	moɪˈvɑːs fɪnˈæm
ངའི་གླེང་མོལ	ne lenmø
ངའི་ཕ་ཡུལ།	nʲe pʰɤˈjuː
ངའི་བྱས་རྗེས	tɕʰjɛn˧˥tɕi˨˩˦
ངའི་མཉམ་འཇོག་ཐོ	neːn jam dʒɔtɔ
ངའི་མཛེས་པའི་ཕ་ཡུལ་བོད་ལྗོངས།	niː eːtʃtiːbɛkmɛj eːtʃtʃɔnːdʒɔn
ངའི་ཞ་མོ་དེ་གང་དུ་འདུག	ne ʃɑmɔ dɛ kɔwɑdu
ངའི་ལེགས་སྒྲིག	nɛ ljtʃik
ངའི་སློབ་གྲོགས་ཞིག་གི་རེ་བ།	kʰiːt kə ʃaːsiːg ʒæˈwaː
ངུ་	mwa
ངེས་འབྱུང	y˧˥ʈʂu˥˩
ཅན	tʃɛm
ཆང་ཁང་	tʃʰɑŋ˥˥hŋ˥˥
ཆབ།	tʃap
ཆུ	tʃu
ཆུ་ཚོད་	tɕʰy˨˩˦tsɯ˥˩
ཆོས་	tɕʰɥœn˨˩˦
ཆོས་ཀྱི་བདག་	tɕʰɥœ˥˥ tɕi˥˥ʈʂu˧˥ ta˥˩
ཆོས་ཀྱི་སྐུ་	tʃa tʃã tʃã
ཆོས་ཉིད་	tɕʰyː˥n
ཆོས་ཉིད་ཟད་པའི་དབྱིངས་	tʃɔːn
ཆོས་དབྱིངས་ཡེ་ཤེས་	tɕʰɥœ˥˥ i˨˩˦
