0	nɔla
10000	desetxilada
100000	stɔːxilata
1001	hjilˈlˈɛtˈujˈɛdɛn
110	stoːdeset
111	stɔːjɛdanɛst
200	dvjɛstɔ
2000	dvʲaxʲilʲadɨ
21	dvaːdɛsɛtjɛdɛm
22	dvadɛsɛtdva
300	tˈrɪsto
31	tridɛsɛtjɛdɑm
32	tr̝iːdɛsɛtdvaː
400	tʃɛtrʲsdɔ
41	tʃɛtɾtɛsɛtɛdeŋ
42	tʃɛtrdɛsɪtdva
500	peɾstɔ
51	tədæssjɛtjædæn
52	pʲatʲɛtɪtdva
61	ʃɛstɛsʲɛtjɛden
62	ʃɛstdɛsɛtdva
71	sɛðɪ̞mdɛsɪ̞tjæðæm
72	sɛdantɛsɛtdva
81	ɒsimdɒˈsɒtjɒdiˈm
82	ɔsɛmdɛsɛtdva
91	dɛvɛtɛsɛtjɛdɛn
92	dɛvjdɛsɛtdva
a	a
a vi?	da
abandonirati	ʔaboːndoniːrati
abdest	abdɛs
abdic	apd̪e
abdikacija	aːbdiːkɑːtsia
abdikacijski	abdokatsiske
abdikant	ɑːbd̪ekænt
abdomen	abdɑmɛn
abdomenski	abɗɛmɛnski
abdominalan	abdɔminaɫɛn
abducirati	abdotsirati
abdukcija	apduktsija
abduktor	abdʊktoɾ
abeceda	abetsið̞
abecedar	abɛtsædɑr
abecedirati	aːbatsɛdiːrɛti
abecedni	abe˥˩ːtseni
abecedno	abatɛna
aberacija	ˈabɛraːtsia
aberacijski	abaratioki
aberirati	abeˈriːrati
abesinac	abæskɛːnats
abesinija	ɑbɑsiniː
abesinijski	abjessiːnʲeskʲi
abesinka	abɛsɛnka
abesinski	abɛsinski
abhorentan	abɑːrɑːntæn
abhorescirati	æbˈhɑːrɑːstsiːrti
abhortacija	abɣɔrtɑːtsia
abiogeneza	abiogeneza
abiologija	abiˈɔlʊʒɪa
abiostatika	abiostatika
abiotički	abjɛtjtʃki
abiotički faktori	ɛnbjɛːtjtʃkɛj faːktori
abiotrofija	abjɔtɾɔfia
abioza	abjɔzɑ
abisal	aˈbˈesˈal
abisalan	aːbisaːlɛn
abisodinamika	ʔabisdɪnʔmika
abisus	abesos
abit	ɑːbɪt
abitati	ɑːbitˈtˈiː
abitura	aːbitːˈura
abiturijent	abtoːriːɑnt
abiturijentica	abiturijɛntitsa
abjudicirati	abjɔtitsirati
abjudikacija	abiˈɔdiˈˈatsiˈ
abjuracija	abjuratsia
abjurirati	abjuɾiːraːti
abkomandiran	ʔabkɔːmɑːndiːɾɒːn
abkomandirati	apkomandirati
ablacija	aabɫatsia
ablajter	ablæjtər
ablaktacija	ablaktaːtsia
ablativ	ablativ
ablativ apsolutni	a bɫɑtivɑ ɑbsɑɫutni
ablativni	abɫatɛmni
ablaut	aβ̞lou̯d̪
ablefarija	aːblefaːrja
ablegat	aβ̞leɣ̞at̪
ablendati	nabelendati
ablender	aːblajndr
ablocirati	abɫo˩˥ːtsi˥˩ːrati
ablokacija	ablokaːtsia
ablucija	ablɔtsia
abluirati	abluirati
ablutomanija	aːblutamania
abmontirati	ʔabmˈontiːraːti
abnegacija	abnɛgatʃja
abnegirati	apnegiːrati
abnormalan	abnɔrmalɛn
abnormalno	apnurnoɾmalno
abnormalnost	apnurmalnost
abnormitet	abnormitˈeˈt
abolicija	abolitsia
abolicijski	ɑbɔliːtsiski
abolicionist	abolitsionist
abolicionistica	ɑbɔɫitsiɔnistitsa
abolicionizam	ɑʋɑlitsiɔnism
abolirati	abɔlirati
abominalan	abominalɛn
abonentica	abonɛntitʃa
abonet	ɑbɑnɑt
