1	e
10	θe
2	ne̞j
3	fou˥
4	fɛ
5	ŋˌ
502	ŋ˨˩kʰwan˩˩˦
6	lˈɛn
7	tʃɛ
8	pˈe
9	ˈo
?	mjˈŋˌtɤŋˌ
[勿會]	mæ
an-gu	amu
c語言	fing̞lion
hók-ciŭ	pʊ˨˩tsiu˨˩
hók-gióng	ugɛ
hök8 (累)	hˈæ
iphone	aɪˌfˈum
kfc	kʰai̯ ɛsːiː
lièng-gŏng	lian˨˦kũŋ˥˥
lièng-gŏng-gâing(連江縣)	lin˧˧ŋ˥˥ tʰian˨˩
liễu giải (了解)	lɔkɛ
mi-au	mia
tshö2(泼倒液體)	tɕʰeː
tök (掐)	ðət
ø	œ̃n
《李白·游高淳丹陽湖詩》鳥宿蘆花里。歌聲逐流水。【里水同韵】	li˥˩ti˥˩
《李白·游高淳丹陽湖詩》龜游蓮葉上，鳥宿蘆花裏。少女棹輕舟，歌聲逐流水。【里 水 同韵】	li˥˩ di˥˩
㔢	sans
㪗	fau
㭊	sˈi
㭊树枝	ti˥˧ ki˨˩˦
㭊皮	fek puj
㱤	tɪ
䀫	tɛk
䀹	nˈe
䆀	mˈaj
䐹	tˈe
一	ˈeɪt
一世	fˈiːfˌiː
一世人	tˌiɹo lˈiənˌaŋ
一分	ti˨˩hoŋ˥˥ ti˥˧hoŋ˥˥
一分一秒	sihoŋ˨˩ si˥˩mil˨˩
一弹三叹	si˥˧ tan˥˧ fan˥˥tʰan˥˥
一把扇	si patin
一斗米	tito˥˩ː me
一比零	e pilæn
一滴水	fik˦˥
一百	tɕʰi˥˧pa˥˥
一直	idˈe
一碗炒飯， 谢谢你	bio̞wan tʃʰaabuɔ piraɾiɔ
一舉而二也 作代切 再见	tsi˨˩˦aɪ˥˥tsan˥˥ tsai˥˥
一躒千步	li˥˧ tɕʰem˨˩˦pu˥˩
丁	lɛŋ˥˥
丁香花	tiŋ˥˧siu˥˧ ho˥˥
七	tɕʰiːt˥
万事如意	u˨˩˦an˥˥tsuɔ˥˧i˨˩˦a˥˥
万恨	aŋ˨˦hœŋ˥˥
万福雷同	wan˥˥hok˨ lɔ˥ tʰou̯˨˩
三	sœ˥˩ŋ
三四	am
三四粒	amila
三囯	san˩ ko˥˩
三坊七巷	tãm˧fwŋ˨˩ tɕʰɛt˦ʰa˨˩w˧
上	tioŋ˥˧tiõŋ˥˧
上下	siu˥˩
上天上面	siu̯˧tsiu˧˧ hsiŋ˨˩ meɪ˧˥
上天楼上	sioŋ˨˩tʰĩŋ˥˥ lau˨˦sioŋ˨˩
上山	fiu˥˧ fa˥˧
上帝	sonte
上桌	tiŋ˨˦ tok˨
上海	sioŋ˨˩hŋ˥˥
上海市	hjœŋ˨˩ aɪ˧˥ʰ
上海自來水來自海上	tuːjæd tʃiːzi læɣiːt kɑhɑtɪd
上海驕傲節	sioŋ˨˩aːi̯˨˩ kioŋ˨˩aː˧˥ tseŋ˧
上班时间	siuŋ˨˩pwan˥˥sik˥an˥˥
上茶	tʰiu˥˧n˥˧tʰa˥˧
上海	sʊŋ˥˩xaɪ˧˥
下	a
下料	hɒlɒ
下雨	tɤŋ˥˩y˧˥
下龍	allum
不	but
不坚固日松	fɔː
不孝	pu˥˥kɑʊ˥˥
不当一回事	pu˥˧tɔŋ˥˧si˧˧hŋ˧˧ lɔ˥ sĩ˥˩
不要緊	mau˨˩ i˥˥
不過	tuko
不错	pu˥˧tsʰa˥˧
且	tɕʰia˥˧
世事	se˨˩e˨˩l
世故纷纭	tʰi˧˥kɔ˨xʊŋ˥˥xʊŋ˥˥
世界	fi˥˧kai˨˩˦
业	lˈe
东	ləʈ˥
东京	dn˧kiŋ˥˥
东北	dɔːmˈpə
东望	tɨŋ˧˧wɔŋ˧˧
东风摇草	tɤŋ˥˥hou˥˥jɯ˨˩˦tsʰuɔ˥˥
丞相	fˈɛ̃ njˈu
两	ljoŋ˨˩˦laŋ˨˩˦
两【称子单位】两 【数字量词】	ljoʊ˨˩ lãŋ˨˩
两年	lãŋ niŋ
两年没见面	lani bwˈi kɪŋ mɪŋ
严复	nʲjɛn˨˩ək˥
中华人民共和国	tũŋ˨˩hɔ˥˥ji˧˥ lɪŋ˨˩˦ kən˨˩˦ho˨˩˦ pu˥˧
中华民国	tĩŋ˥˥hŋa˥˧mĩŋ˨˦kot˨˩
中国	tʊŋ˨˩ ku˥˥
中国人要会白写汉字	tɕʰi˧˥mɔ˧˥ nɔ˥˩y˧˥ tu˧˥ eɪ˥˩pa˥˥i˧˥haŋ˥˥sneɪ˥˩
中國人	tɔŋkue˧˧ne˧˧
中意	tuŋ˥˥
中状元	tũŋ˥˥tsioŋ˥˧
中華人民共和國	tɵ˧n˥˥hɔ˧˧i˧˧ mɪŋ˥˩ kyn˥˥ ho˧˧kwan˨˩
中華民國	tʊŋ˥˥xwa˥˥miŋ˨˩˦kuɔ˧˥
中華臺北	tʊŋ˥˥xwa˥˥tɑ˨˩˦ wan˨˩˦
丰满	hũ˧˧
为什么	vˈiːfˌɪmˈˈɑ
主	tsu˥˩
主觀	su˥˧kuən˥˧
主角	iʋ˨˩mɛː˥˩wuːj˥˩ tʰaː˥˥yː˧˥iː˧˥
丽华	lɛ˨˩˦ho˥˩
丽容	la jo
丽芳	lɪ˧˥fʊŋ˥˥
乃	naj
久	pˈu
乇	noo
乌	u
乏	wɔː
乖	kua˥˥
乙	i˥˩
九	tau
乞	kui
乾杯	kanpuj
亂	tɔːm
了	plˈɛ̃ʊn
了解	lɪu˨˩ke˥˥
争	tɕaŋ˥˥
事情	tajˈe
事败	zoˈpˌai
二	ne
二十九	ni˥˩j� aː˥˩l˧ ni˥˩j˧ː ka˥˥
二百二十二	ne pat nivɛmni
云	hũŋ
云南	hũŋ˨˩˦nǎŋ˧˥
互相替换	hou˧˧tioʊ˥˧ tʰɛː˥ wan˨˩
五	nu
井	tsiŋ˥˧ tɕĩŋ˥˥
井上	tsiŋ˨˩siŋ˨˩
些	fɛː˥˥fɛː˥˥
交关	kaluaŋ
交通大學	kaʊ˨˩ tʰʰɤŋ˥˥ta˥˩jɔ˨˦
交错	kau˥˥tsʰo˨˩
享受	hioŋ˨˩ tsu˥˧
人	nɛ
人情世事	ɪŋ˥˥tɕi˥˥ɪŋ˥˥˥si˥˩
什乇	sjɛnɔ
什么	siən˥˩
仇	sejo kiu
今年	kliːn˧
今旦	pˈi la
从	ou̯
从前	tsun˥˧sŋ˥˧
从记事起	tsʊŋ˨˩ke˥˥tsou˨˩ keʰ˥
仕	fɔː
付	pɔː
仙丹	sin˥˧ tan˥˧
代	tɔj˧
令狐楚	lɪŋu˨˩˦tsʰɤ˥˩
以前	istˈe
仲	dˈø
任	iːn
任務	kuɛ˥˩
企	tkia
伊	i˥˩
伊儕(they,them)	jɛː
伊皮肤生的白皙	i˥˥ tʰau˨˦joʊ˥˩tsan˥˩pa˨˩˦te˨˩˦
伍	u
伏	o
伓是	mmmmm
伙食	fwˈiːtˈ
伤意	tsiŋ˨˩ i˥˩
伤气	fˈiːlˌa kˈæˌ
伦	lɔn
低	lɪŋ˧˥
何啻	pɔ˥˥li˧˧
何意	hˈɛː
何用	hɑːl
佛	pɔ̀
佛山	postˈaːn
佛跳墙	oplɛtɕɔn
佛跳牆	huk˨ tʰiŋ˥˧tsʰuŋ˥˧
作幚	tsiaʔ˦pɔ˥˥
你	nˈy
你不明白可以查下新华字典。	m̩˨˩la˥˥ ai˧˧kʰoi˧˧tsĩã˨˩aʔ˨sĩŋ˥˥ua˧˧tsi˥˥teŋ˨˩
你在做什么	lylˀːtˢa m˩˥ːlˀɑː
你好	bi ha
你有一根白头发	ni˦˥usioʔ˨˩ŋ˧˥aːm˥˩pauː˧laːu˧˥ɔː˧ni˥˩usioʔ˨˩ŋ˧˥aːm˥˩pauː˧lauːmɔː
佩	pˈuɪ
使	sˈaɪ
使人	tsoŋ˨˩
來	liː
侬	nɛ
侯德榜	lɛʊ˨˩˦tɤ˥˩ fɔːŋ˥˥
便	pˈiŋ
便宜	tɛjˈnjɛ
促	tsʰok
俄羅斯	ɔːlɔːsiː
俊	tsoŋ
俗	fok
保	tɔ˥˥
俱	u
倍	puːjˈ
倒楣	taː mˈuj
倒贴	tɔːkʰpʰb
值	tˈɛ
值千金	ti˥˧ tɕʰɛn˨˩˦kɪŋ˥˥
值得	te˨˩ke˥˩
假货	kafu
偏僻	pʰiŋ˨˩pʰiː˧
做什么	amina
做晬	tsɒtsɒli
做阵	sɔːte˨˩
停车	tiŋ˨˦tsʰe˥˥
側	kʰæˈ
偷	tʰau˥˥
偷腥	tʰau˥˧θiŋ˨˩
傍晚	uɔmɔ
傘	θaːn
備	pia
傳染	tonˈnˈnian
僧	sˈeɪm
價格	ka˥˩kaj˧
儂客	nolta
儿	miu˥˩
元气	mh k
先	sin fene
先生【风水老师和教师的称呼】先【先去，前進】	ti˥˩ŋ˥˥sɛː˥˩
先行	tʃi˥˧kiaŋ˨˩
光	kʊŋ˥˥
光餅	kũŋ˨˩˦piaʊ˨˩˦
克	kʰt̚˨˩
兌	tai
免于	miːn
免費	mʲanʲe
兒	i˨˩˦
兔	tuː
入	nˈe
內	naj
內容	nojio
全	tsuaŋ˨˦
全部	tsũã˨˩bu˥˧
八	pɛ
八点到来	te˨˩n˧˥tʰĩ˥˥ tɔ˧˧li˨˩˦
公共交通	kʰɤ˥˥ kyn˥˥kau˧˧tʰʰʊŋ˥˧
六	lə
六龙飘飘	lə˨ŋ˨˩ pʰiu˥˥pʰiu˥˥
兰花	lɛŋu
兰草	laŋ˨˩tsʰoʔ˨˩
兴	ˈeɪŋ
具	kʰiː˨˩
再世	tsaɪ˥˥si˧˧
再見	ai˥˧kin˨˩
再见	tsan˨˦ kiŋ˥˥
写	fɛ
冥	bˈeɪŋ
冰冻三尺，非一日之寒	iːnˈdɒn fanˈtɕəˈukˈiː eˈnˌniːtˈkɛnˈ
冰库	pɪŋ˥˧kʰu˥˧
冲	tsʰoŋ˥˥
冷	lɛ̃w˧
冻	tɤŋ˨˩˦
凄	tɕja˥˥
准	tsʊŋ˥˥tsʊŋ˥˥
凊	seĩ˥˩
凊寞	si̠ᵝmok˨
几	uʁˌ
凭	bɪŋ
出	tshoŋ˨˩
出發	tsʰoʊt˥˥
出租	tsu˥˧tsu˥˧
出行	tʃuɾ
出裼	tsuk
