1а	aah
1адо	ado
1аж	aʒ
1айг	ɛɛ̃g
1алам	ɑlɑm
1алашдар	ǎɫɑʃtɯɾ
1ам	fˈam
1аха	æx
1ин	wˈaɪn
1у	po˥˩
1уьйре	œyre
8 (бархӏ)	bˈɑrx
caба хьакха	sɑːbħɑq
cан машен хьала ца лета.	sɐn mɑʃaːn χɐl tsɛlɛt
cинкъерам	sinpjˈɾam
cирла-сийна	sɪrˈˈlesˈin
cихо	sʲiχuɑ
cо	sɔ
cобар дан	sɒbɒrdan
cтенна	stemne
cтешха	tɛʃq
cтигал-юх	sɪ̞gɪ̞ljuq
cтиглан серлалла	ztɪkɫen særlɛld
cтоьмийн дитт	stˈøːm ˈɛːr dɪkt
cхьадаста	tsʰatæst
dudajev	dudaʲau̯
dzhokhar tsarnaev	dʒuɫ hɾtsɛrna jɛ
gezga	ɛizˈig
hохчий	nˈɔʁdʒi
ic̈keria	ɪtʃgeːri
ioжaн дитт	ɒlʃɒndiˈtˈ
iалайкум	ɑːɫɯ̞kʊm
iаржи	ˈɛrdʒɛ
iаьржа	ajrʒɛ
iовдал лела	aʊ̯dɑlɪoʊ̯
iумар кiант доккa	ɔmarɟɔnt dɔkˈa
iуьйре	ʉjɉ
lуьйре	u˨˩
noxc̈iyc̈ó	nɒhʃetyɾ
opцa	ɔɾtsɛ
tamerlan tsarnaev	tʲɪm jɪrˈlɑn tsɛrnɛnɛ
xiири	teɾi
xiо	tɔ
xla xla	həːhɑ
xийца	ɣiːd
xьач	xɑtʃ
xіоз	kɑːs
zelimkhan	zæɾmxaːn
абазо	abzoɾ
абазой	abazoj
абазойн	abazõi
абазойн мотт	wa bɑzɑn mɔtʰ
абат	ɑːbət
авгӏан	æwɢɑn
австралихой	afstrˈɑɭjˈixˈoj
австрихой	afstrɨxoj
австрихойн	afʃtrʲixoj
ага	ˈeɪg
агӏо	aɣo
агӏор	aɣoɾ
адам	adɯm
аджараш	adʒaːrd
аджарийн	aʒaˈrˈɛ
аджарийн мотт	adʒarimo
адмашха	atmaːʃha
адыгейн	aðægˈeː
адыгейн мотт	ab tɔ geːn mot
адыгейш	adːɪgeːʃ
аз	as
айг1ар	ɟɑjɯɢɑrɑp
айгӏар	ɑjɯɫɑr
айр	ajɾ
айхьа	ɑjˈjɑ
акха	ɑq
акхтарг	ɑqtɯ̞rg
ал	œm
ала	aːlˤaː
алапа	ˈɛlp
албанхо	aɫbənxo
албанхой	nʊˈnʊˈbɑnxoj
албанхойн мотт	ɑːbɑːn xoj mɔtʰ
аллахiа	allɑ
алу	ɑːlɔ
амал	ɑːmɑl
америкахой	ɑmiːɾikxɔj
