1	iktɪ̞ʲik
100	ʃide
11	uɫätɯ̞k
13	pɫatkum
15	ɫatvitʃ
19	latʲindʲæ̀ːʃ
2	kɔkɛtkɔk
3	kumɑtkum
4	nɔlɔtnɔl
5	viːzɔtviːtʃ
55	vitlɛvizɛtbitɛbɪtʃ
57	vʲidlʲaʂamak
60	kudlɔ
7	ʃamatʃam
70	ʂamɫuv
8	kandˈɑʃˈikˈandˈɑʃˈ
9	ĩnvʲerʂajidu
«костенечым» ямдылат, витне», — шоналтыш йыван семынже.	kostɨ nʲetʂɨm jam doɫa atvʲitne ʂonau̯ta tɨ jɨvon sɛmenʲːɨ
а	aː
абажур	abɣ̞soɾ
абажуран	abazsoɾan
абай	abaj
абакей	abakˈi
абаш	abɑʃ
аббревиатур	abɾeviat̪uɾ
абдай	ɑbdɑj
абей	ɑːd̪eː
абзай	abzaɪ
абзац	abzats
абзацым	apzats
абиссин	abʲesʲin
абитуриент	abiturjɛn
абла	abɫa
аблай	ablaj
аблий	apli
абонемент	abanʲemʲen
абонент	abanʲen
абонентше	abanʲentʂɨ
абориген	abɔrʲikʲan
абраси	abrasʲi
абрикос	abrikˈos
абсолютизм	apsaɫitˈizm
абстрактный	abstrɑkˈtnɪj
абстракций	apstrɑktsi
абсурд	apzul
абу-даби	abudɑbʲe
абукаев	abukaiv
абукай	aabukaj
абулек	ɑbʊlɛk
абхаз	abχaz
ава	avɑ
ававареҥге	abɔbɔrʲindʲæ
ававел	afavˈe
ававун	avavun
авагалта	abol̟galt̪a
авагараш	alagɑɾaːs
авагашта	abagɑʃta
авагудо	avɑɣˈudə
авагудышто	avˈagˈoduʃtˈ
авагумдыр	avagumdɯɾ
авадыме	avatɐmɯ
аваже	avaʐɨ
аважлан	ʔɑmɑʃɫɑn
аважым	ɑvɑʒɯm
аважын	ɑvɑʒɯn
авай	avaj
авакалта	avɐkɐltˈɑ
авакараш	avɑkaɾaʃ
авала	tɾɑβɑla
авалаш	avɑɫɑʃ
авалийше	avaɫɨʂɨ
авалт	avɑlt
авалтат	aβ̞alt̪aɾ
авалташ	avɑɫtɑʃ
авалте	avultɛ
авалтен	avaltæn
авалткала	avɑɫtkala
авалткалаш	af�ɫɯ̞kä̹lɑʂ
авалткален	avaltqaɫɯ̞n
авалтмаш	avɑltmarʃ
авалтме	tɑfɑltmɯ
авалтше	avaɫtʂɨ
авалтыдымаш	pavaɫtadɑmɑʃ
авалтылын	avaltɐlɨn
авалтыман	lad̪elt̪emels
авалтымаш	aːfɐlt̪ɐmɐʃ
авалтыме	abaltɯmɛj
авалтын	aˈmɑlʈɯ
авалтынеже	abaltɯnɯz
авалтынешт	aːfɑltɯnɛk
авалтыш	aːlt̪ɪs
авалтыше	aːbalt̪ʊsɪ
авалтышыла	abɑɫtɑʃɯɫɯ
авалык	avaɫɯ̞k
авалымаш	abalamas
