! (vykřičník)	kɾˈitˈvˈ
"je tady takzvanej pušinec."	jɛ tadɪ tˈak zvanɪ puʃɪnɛts
$-americký dolar	ɑmrɛtɕkiː gruvaːr
%	pratsɛntɔprɔtsɛnt
' (apostrof[slash]apostrofa)	apɔstrɔf apɔstrofa
() (závorky)	zaːvorki
+ (plus)	kʊz
- (mínus)	minus
- (pomlčka)	ɔmɔtʃka
-li	lɪ
. (tečka)	tɛtʃka
0	nˈula
0,000001	milion
0,00001	stˈokˈɛsijtsˈɛnˈa
0,0001	jædnadˈɛsɛʁˈisʁiːtnˈə
0,001-tisícina	isˈitsˈila
0-nula	nˈu
007	nˈulanˈulasɛdum
1	jɛdna
1 €-jedno euro	jɛnˈo ˈɛjuɾo
1-jedna	jɛdna
1. fc slovácko	prvɲiː ɛftsɛ slovaːtskˈo
1. fk příbram	prvɲiː ɛfkaː pr̝iːbram
10	dɛst
10-deset	dˈɛst
100	stˈo
100 000	stˈo ˈtiːsiːts
100-sto	stɔ
1000	ifif
10000	təslətkisiːnz
1000000000	mjɛljˈaɾda
101	stˈojɛdna
102	stˈodvˈa
103	stɔtr̝ɪ
104	stotʃtʲir̝ɪ
105	stɔpjɛt
106	stˈoʃˈɛst
107	stɔsɛdɔŋ
108	stˈoosɲˈiː
109	stˈodɛvjɛt
11	je̞ɾe̞nɑːnst
11-jedenáct	jɛdɛnast
110	stoðɛstsʲæt
111	stˈojɛdɛnaːs
112	stodvanaːst
12	dvanˈaːst
12-dvanáct	duːanˈɑːz
120	stˈodvatsɛt
121	stˈodvatsɛtjɛdna
123456	tɔdɛvˈatsɛtʃritiˈsiːtsʃtɛristɛpaɫɪsaːtʃas
13	tr̝inast
13-třináct	tr̝ɪnˈaːs
1300	tsr̝inanθɛt
1378	trinatsɛtsɛrmdosˈardobsu
14	ʃtɾnst
14-čtrnáct	tʃʲturnɑːst
140	stotʃtɪr̝ɪtsɛt
1415	tʃvɛrnaːtsɛtpatnɑːts
146	stɔtʃtɛrɨtsɛtʃæst
15	batmɒːt
15-patnáct	patnaːts
150	stɔpadɛsɑːt
15000	patnaːskisi
15001	batnaːtstɪsiːtsjɛdna
1514	patnaːsɨtʃtɛrnːaːts
1530	patnaːtsɛttr̝ɪtsɛt
155	stɔparɛsaːtpjɛt
156	stopadɛsadʃɛst
158	stoparɛtsaːtʔosuːn
15palcová litá kola	paknaːsci palozovɛː litaː kɔla
16	zˈɛstoːns
16-šestnáct	tʃʲastnast
1617	kʃɛstnaːtsɛtsɛrunaːts
