1	bɛrˈe
10	vunˈna
11	wunʲbʲer
12	vˈunikˈa
13	vunvˈiʃtʃe
14	unð̞vˈatːa
15	unβ̞iʝjɪlɪ̞k
16	onulta
17	unʒitʃe
18	unzˈakɾ
2	ikːa
20	ʃiːrim
2013	ˈiːgəbˈɪndiːvənvˈɪʃtʃɛ
3	vˈiʃ
30	vədar
31	mˈodrbˈrʒy
4	tvatːa
444	tvatʃirjrɛxtvatʃa
5	billɯp
6	otːa
666	oɫtʃaɾutmɯ̞wɫtɑ
7	sˈitʃˈa
8	sakːr
9	tɐxˈhar
a!	aɻ˥˩
aca	tʃa
aca-păcasăr	aːdʒabidʒazɛr
acalan	aɣ̞ɾlaɾm
acalla	tʃãmɫa
acallă	adʒalla
acalăh	adʑaɫak
acam	aðʒam
acamak	adʒamak
acamkkă	adʒaːmpka
acamăškă	adʒamɐʃka
acapca	tʃaː
acaran	ɑgɑrɑm
acasăr	adʒazar
acasărlăh	aːdʒazɯɾɯ̞
acaš	atʃaɾ
acašlan	atʃaʃlam
acašlantar	ɟaʃɫandar
acašlăh	atʃaːʃlɑq
acaššăn	adzjaːsː
achu	atʃo
acăltaš	ãn̪t̪sked̪as
affĭx	atˈfˈks
aftohuşalăh	aftɑɣusɑlɑx
aftonomi	afdanomʲi
aftonomĭ	afˈtˈɔnˈoɭnˈ
aftopus	aɾtɔbʊs
aftopŭs	ɑvˈtɔˈbʊs
aftotarasa	ɑftɑtɑraza
aftozisternă	awtsudzjztɛrnɛ
aftoşul	afʁaʒuɫ
aftăr	ɑftɚ
ahah	asæz
ahah-mercen	agaqmɪrdʒen
ahallĕn	ɑhʁæ̹ldʲɪn
ahalĕn	ɑʁaːlin
ahal’	aɣˈaːl
ahal’ten	aɣ̞alɣ̞ẽn̪ʝ
ahal’šĕn	aɣaɫʒɛn
ahhan	axan
ahlat	ɑχɫɑp
ahlattar	axɫætär
ahlatu	axɫadu
ahrat	axˈɾat
ahu	aɣu
ahuh	ˈaɾuːx
ahăl-ahăl	aɣlɑɣl
ahăltat	aɣ̞ɯ̞ɫdat̪
ahăltattar	ɑʁʊ̞ɫdɑtːär
ahălti	aɣɯ̞ɫdɯ̞j
ahăr	ɑːgɯr
ahăraš	axˈraʃ
ahăraštar	ɣræʃtæɾ
ahărašu	ɑɣrɑʒu
ahărma	aɣrma
ahărsamana	ɑɣɯ̞rzämɑnäm
ahărt	aːgɯ̞rð
ahărtneh	ɑʁɯ̞rtnʲɪjɑχ
ahărttar	ɑʁɯ̞rtːär
aist	ajst
aj-aj!	aɪ˥˥aɪ˥˥
aj-haj	sˌiːnəs
aj-haj-ah-ta	ajaa
aj-haj-kam	hʌiːkɑm
aj-hal'	ajɣaːl
aj-jar-aj-jar-aj-jara	aijaɾaijaɾ
aj-l'u	aɪloː
aj-paj-paj	ajbaɪ̯baɪ̯
ajak	ajɑk
ajakka	ajakka
ajakkăn	ajakɯ̞n
ajakra	ajaknɑːm
ajakri	ajakɾi
ajal	aɪau
ajalalla	ajɣ̞seʝeɣ̞lela
ajallan	jæɫːæːm
ajaltan	ajald̪e
ajaltat	aːldaad
ajalti	ate
ajeroplan	ajarupɫam
ajist	ajst
ajjăn	iʝimˀ
ajlă	ajɑɫdʒɑ
ajlă-şilĕ	aiɐlɐʒilɛ
ajsăr	aɫuzdɯɾ
ajujah	aiːjɑk
ajuk	aiˈuk
ajvan	ajʋan
ajvankka	abãnk
ajyst	ɑːjˈɯst
ajăk	ɑɫɯ̞k
ajăkkăn	ajɯ̞kɯ̞n
ajăm	aɪ̯m
ajăn	aɪ̞
ajăn-şijĕn	a˥˥jɛn˨˦ʃiː˥˧nʃi˥˧
ajăp	ajʊp
ajăplanakan	ajɣ̞bʝamad̪ãn
ajăplavşă	aiplobɪʃɐ
ajăpsărlăh	aːjɯbfɯrɫɯ
akaj	agai
akala	aːgaːlaː
akam	aːgam
akapuş	ˈagabˌuʃ
akent	agent
akittazzĭ	aːgkɛtatsɛ
akka	ak
akkyn	aqɯ̞n
akrarlă	aɣ̞ɾaɾla
akressi	aːgɾiz
akressĭ	aˈgˈrˈsˈɛ
aktar	aktɑr
akvarel	ɑkvarjɛl
akălcan	magoː˧ːtsaːn
akălcanla	akest̪xãmlãn̪t̪
akăm	ɑːgəɾ
akăš	ɑːgər
akăš-makăš	aːgɐʃmaːgɐʃ
akšar	ɑkʃɑːr
al'al'ah	ɑlɑlɑʁ
al't	alt
al'umini	aljumini
al'uminĭ	aljwmini
alalah	ɑjɯɫɛlɑx
alancăk	ɑɫɑnʤɯk
alapaš	ɑˈɫɑbaːʃ
alat	ɑɫɑt
alccamuj	altʃamuj
alcăr	altʃer
alcăra	alɣ̞eɾ
alcăravlă	aldʒeɾaːbla
alhapăl	lˈxɑːbəl
alhas	qɑs
alhastar	ɑlgɑstɑr
alhasu	alɣ̞ɐzu
alhasullă	alhasul�mi
alhhimĭ	xʲːemʲa
alhhimĭk	ˈɑɭxˈimik
aliment	alʲemʲant
alimentşă	alʲemʲantʂɨ
alipi	alʲibʲi
alka	alɣ̞
alla	ala
alla-allăn	aːlɑɫɯm
allancăk	ɑɫɑnˈdʒɯk
allejă	alʲeʲe
allerki	aːlergij
alli	ɑllɪ
allă	aɫa
allămĕš	aːnˈlɑmɯz
allăšar	ɑuːɫɯ̞ʒɑɾ
allăšĕ	ɑɫdɯɾ
almak	ɑːlmak
alojă	aɫoja
alpan	ɑɫban
alpastă	albasθa
alsa	azna
alsa-călha	aːlzaːʃaːldʒaha
alt	alt̪
alttaj	ɑltaj
altă	ˈaldɯ
altăk	ɑɫdɯk
altăk-kăltăk	ɑɫdɯ̞kqɯ̞ɫdɯ̞k
altăr	altɯr
altăvi	ˈɑldˈɛvˈi
aluminĭ	aljumini
alycca	alitʃa
alylmaš	ɑɫɯ̞ɫmäʃ
ală	ɑɫɯ̞
ală-ura	aɫura
alăk	ɑːlɫɯk
alăkăn-tĕpelĕn	alugontʃebeːlini
alăm	alo
alăstalăh	alastaalɔx
alăstaş	aɫistajʃ
alăsti	aɫekseː
alăšni	aːliʃni
alĭpĭ	ælʲbʲ
alšiš	ɑɫzʏz
alšălli	au̯zolim
al’t	alt
ama	ɑmɑ
ama-aşa	amˈaxa
amak	mak
amal	amal
amalantar	ɑmɑlɑndɑr
