'ar hyd y nos'	ˈaɪɚhˈidˈæŋəs
'doedd	doiz
'ffurflen	firflen
(mae hi) ar bwys neuadd y dref	maj hi ɑɾbwɪs ne ðə dɾe
101	kˈæntˈiːm
103	kˈæntɹi
105	kənthˈɪm
116	kæmtʰiːndɪˈqɪxˌe
33	tɹˈidˈɛdtɹiː
79	sˈaɪtdˈɛdnˈaʊ
a	a
a thithau?	tɑːmˈsˈe fˈa
a'r	aɾ
aaron ramsey	ælˈnæm seː
abad	aːpaːt̪
abadaeth	apatais
abaty	abatʃe
aberaeron	apærɛjraːm
aberafan	apɛraːvɐn
aberarder	apɛrʔartɛr
aberarth	aːbɾaɾs
aberbanc	apɛbank
aberbargoed	ababagajd
abercannaid	apɛrkanlajt
aberconwy	apɾɔkɔloj
abercwmboi	tˈoðəkˈæmbɔːə
abercych	apeɾkif
abercynon	apærkaˈnɐm
aberdaron	abirdaron
aberdaugleddau	abɛrdajgɛðe
aberdyfi	apɛrdavj
aberdâr	apetaaːr
aberedw	apɛɾatu
abereiddi	abraʲði
abererch	abɛrɛrx
aberffraw	aːbːɛrˈfrˈaʊ
aberffrwd	abafɾuːd
abergele	ɑbɯ̞rgʲɪlæ
aberglais	apɛrglajs
abergollech	apɛɾɾikɔkχɛ
abergwaun	abeɾɣ̞uai̯n
abergwyngregyn	aperkuenkɾeken
aberhonddu	aːberhondˈi
abermagwr	abamadur
abermaw	aβ̞eɾmau
aberowen	abɛrɛuːn
aberporth	abɛɾpɔɬsabɛɾpɔɬs
abersoch	apeɾsoɾ
abertawe	abɾtaue
aberteifi	abeɾtajvi
abertridwr	apːətsɾeːtˈuɾ
aberystwyth	adɔresitʋɛð
absenoli	apsenˈˈolɪ
absolfennu	apzal̪t̪e̞ni
abwyd	apːoʝd
abwydyn	apɔidʒɪn
ac mae llawer o chyfarchion	ak mɑɬʃɑw̜ bɔ̙ro̙χ�ɵ̙fɔ̙r χiːŋgɔ̙n
ac y fi	tʃto vi
acen	akːan
acennu	akeni
acesia	ake̞ʃa
achos	aɣoʃ
achosi	ɑxˈsi
achosion	æxˈsion
achub	ˈaχʃiːb
achwyn	axwim
aciwbigo	akiubigo
acrobatiaid	akkobatjai̯d
actifydd	aktviz
actio	aktʃas
actor	akt̪oɾ
actores	aktoras
actorion	aktorion
acwariwm	akwaaɾioːm
ad-daliad	att̪aljɑð̞
adael	atau
adain	aːrdaiːn
adalw	aðˈalˈu
adaptydd	adaptsɪv
adar	adar
adarfogi	atɑrɔɣi
adda	aβ̞
addasu	adakɛ
addfwyn	akbɔj
addiena	adˌiˈnˈnˈɑ
addo	azo
addoedi	asðɔitj
addoli	avoʎi
addoliad	að̞oljat̪
addonwy	avoɾnoio
addunedd	aːbinev
addunedu	að̞ineɾi
addurno	að̞iɾna
addurnwr	aðiɾnʊɾ
addysg	aðˈɛsk
addysgu	lað̞eski
adeg	adək
adegau	atekãn̪
adeilad	atˈeːlat
adeiladau	at̪e̞la̞t̪ai
adeiladu	adlati
adeiladwr	atɛjɫaːtʃor
adennill	atːẽnˈnes
adenydd	aːtˈeɪŋ
adeon	at̪ːleon
aderyn	atɛrin
adfeilio	atvalio
adfer	advær
adferf	advˈerv
adferfau	at̪β̞eɾβ̞aʝ
adferiad	atðeˈɾjat
adfyd	ædvɪd
adfywio	atvoj
adio	adio
adlamu	atlaɾmi
adloniannau	atloɲiana
adloniant	atlonian
adlonni	atlɔnˈi
adnabod	ʔɑzmɑtʃbaːd
adnabyddus	ãtʃapɐbəs
adneuo	atnajo
adnewyddu	atneʊjði
adnoddau naturiol	at no d̪e nat̪iɾial
adolygu	atɑlɯ̞kːɪ̞
adran	aðɾan
adre'	adre
adref	adre
adrodd	zatʃatrof
adroddiad	atːɔrɑfiat
adroddiadau	atɾodɛaːsta
aduno	adino
adwen	atːuɛn
adyna	adiːnˈa
aedant	ajð̞ant̪
aedd	aˈið
ael	eːl
aelodau	lɔtʁa
aelodi	elɔte
aelwen	labæŋ
aelwyd	eɣlɛr
aelwyn	ajlɾɨ
aer	ˈaɪr
aerdymheru	ajɾdɯmhæriː
aerfen	ajɾuːvn
aeron	ajron
aerona	ɛɾɔnɐ
aeronwy	aeɾonoj
aeth	aɪf
afagddu	abantðe
afal	aval
afalau	laˈlɑ
afallach	avˈaklʝˈax
afallon	avassõn
afallwch	vˈaʃuʁ
afanc	aavank
affganistan	afganist̪an
affrel	afraˈl
