!	jɔøoːbˈstaɪm
"	kuˀˀsæˀːin
"karel appel"	taʁˈaːl ˈapɛl
$	dajˈlaːtsajn
%	pʁosˈɛt
&	ˈoʊldtaɪm
(	vˈɛlstˌapˈɑːnteːˈs
)	hjɑːpæntʃiːst
*	stjˈane
,	kɔmɛ
-	tʰankes̺tɾæ
- du er sent på den.- nej, jeg er ej!  jeg er tidligt på den.	d̥u ɒw seˀd̥ pʰo̯ d̥nð̩ mɑjˀjɑj jɑjˀ jɑjˀ jɑjˀ ɑjˀ tˢiðg̊ eˀpˢo̝ˀ d̥eˀ
- du kommer for sent.- nej, jeg gør ej! jeg kom til tiden.	d̥u kʌmɐr ˀoɐ̯ sˀeˀɛt nei jɑj g̊ɐ jæj jæj kʌm tˢe̝ tˢið̩
- hvor er du fra? - jeg er fra havnen.	vˈɑːr ˈɛɐt dˈu frˈɑː jˈɑː ˈɛɐ̯ frˈa hˈaːˈɑːnˈɛn
... er i færd med at ...	æɒˀ i fɛːˀ mɑðˀð̩ æɐ̯ i fɛːˀ ˈmeːɐ
... er i gang med at ...	ɛɐ̯ i gˀɑŋ mɛð æɐ̯ˀ ɑːr iː gˈɑŋ mæɐ̯
... er ved at ...	ɛɐ̯ ʋeðɑð ɛɐ̯ veːr
... er ved at blive ...	ɑɾð̞ɑ et̪ β̞liːvɑ ɑɾð̞ vˈeːrβ̞liː
... gå i gang med at ...	g̊u iːˀ g̊ɑ̈ŋ mɛð næt g̊u iːˀ g̊ɑ̈ŋ mæɐ
... skal nok ...	skˈælnˌɑg skˈænˌɑg
... var i færd med at ...	vˈɑːr i fˈɛːr mɛð ˈat vˈɑːr i fˈɛːr mɛ̝ːr
... var i gang med at ...	vɑˀ iː gˈɑŋ mɛðɛrt vɑˀ iː gˈɑŋ mˈeːr
... var ved at ...	ʋˈɑː vˈɛːd ˈɛt vˈɑːˀ vˈɑːr vˈeːd
... var ved at blive ...	ʋɑ̈ ʋeðˀ aˀd̥s b̥liˀˀʋeʁ vɑ̈ ʋeðə ɑwˀ b̥liˀ˩ʋe
0	nøl
00'erne	nulɑne
007	nˈoːlnˈoːlsˈɛw
1	eɪ̞n
1 000 000 000 000	tˈɪ kˈom tɪ lˈje ʁˈɔ̃
1 og 2 klar	ˈɛdɐ tˢoˀ klˈɑˀ
1 og 2 klar til at gå ombord	ɛd̥ ɒw tˢo klar tˢæ ɛɐ̯ g̊u ɑmˀ b̥oɐ̯
1,5	iːnkɔːmɜːfip
1-årig	iˀ˧tɔjˀ˩
1. verdenskrig	bˈœstə vˈɛrdənz kɹˈiːn
1.g	fˈɚstəˈgiː
10	tˢiˀ
10'ere	tˢeˀ
100	bunɑ
100 kilometer i timen	ʌnˈɑ kˌiːloːmˈeːtɜ ɪt jˈiːmən
100,000	ˈɛthʌnˀad̥ˈænd̥sʌmˀən
100-kroneseddel	hunˈakɾˈõnsɛl
100.000	ˈeːt̚hʌnɑːd̥θuːsən
1000	tˢuˀsøˀ
101	unˈaɾˈɑːiːm
11	ɛlv
110	ettˈənˈəsi
12	tɔːk
13	tsrˈatən
1300	øwˀseŋˀtˢʰɐ̯eːˀɐ̯
14	fˈiːɔɾtˌɛn
14.000	fjɔɐ̯nˀθˈuːsən
15	fɛmˈpˈɛn
16	sajspen
17	søːtˈɛn
1715	søtˢˀnhʊeːˀɑeːˀfˈɛnˀt̚n
1720	søˀnˀntˢyˀə
1789	søːtˈnnˈiːˈɛɾfˈiːɾst
18	tɛ̃
1804	æltˢn�hˈuːnədɒwfˈiːɐ
181	geːthənaːrɑːbɛnæz
1836	æɐ̯tˢən̩siksɒwtˢɐ̯b̥e
1840	æ̝ːlˀhundɑːˀˀfɑːˀ
185	unaelselsɣ̞oθies
1864	kˈɛntfˈiːɐ̯tɾˈɛs
1879	ɛɛmuːnɑːniːɛlkjɛrs
1889	ætˢː̩ːnhʌndɐˀɾ̥nˈiːɒwfˈiːɐs
19	nɛt̪
1903	nˈɛk̚ˀnˀhʊnˀɑːɛɐ̯tʁeːˀ
1931	nˈiːb̥ˀn̩ˀɛːˀnɑ̈eːˀnɑ̈t̥ʁð̩vɑ̈
1934	nˈeːb̥ˀnfˈiɐ̯ˀtˢɑˀˀwˀ
1939	nˈɛnˀnˀnˈiːˈɑːg̊ˀɐ̯ˀːtˢɑˀˀwˀˀ
1944	nˈɪtənfˈiːɾfˌøːɾ
1950	nˈɪtənhˈɛlsrɪz
1954	nˈɛnˈnfˈiːɐhaltˁˢˀiːˀ
1960	nɛtˢtˢuˀsɑ̈nɛˀːli̯ˀɒneːˀɐ̯ˀtˢɐs
1960'erne	nˈɪtəntˈɾˈsɜnə
