aah	ˈɑː
aardvark	ˈɑːdvɑːk
aardvarks	ˈɑːdvɑːks
aardwolf	ˈɑːdwʊlf
aba	ɐbˈæ
abaca	æbˈækɐ
aback	ɐbˈæk
abacus	ˈæbækəs
abacuses	ˈæbɐkəsɪz
abalone	ɐbˈæləʊn
abandon	ɐbˈændən
abandoned	ɐbˈændənd
abandoning	ɐbˈændənɪŋ
abandonment	ɐbˈændənmənt
abandons	ɐbˈændənz
abas	ɐbˈæz
abase	ɐbˈeɪs
abasement	ɐbˈeɪsmənt
abashed	ɐbˈæʃt
abate	ɐbˈeɪt
abated	ɐbˈeɪtɪd
abatement	ɐbˈeɪtmənt
abates	ɐbˈeɪts
abating	ɐbˈeɪtɪŋ
abattoir	ˈæbɐtwˌɑː
abattoirs	ˈæbɐtwˌɑːz
abb	ˈæb
abba	ˈæbɐ
abbess	ˈæbɛs
abbesses	ˈæbɛsɪz
abbey	ˈæbi
abbeys	ˈæbiz
abbot	ˈæbət
abbots	ˈæbəts
abbreviate	ɐbɹˈiːvɪˌeɪt
abbreviated	ɐbɹˈiːvɪˌeɪtɪd
abbreviates	ɐbɹˈiːvɪˌeɪts
abbreviating	ɐbɹˈiːvɪˌeɪtɪŋ
abbreviation	ɐbɹˌiːvɪˈeɪʃən
abbreviations	ɐbɹˌiːvɪˈeɪʃənz
abdicate	ˈæbdɪkˌeɪt
abdicated	ˈæbdɪkˌeɪtɪd
abdicates	ˈæbdɪkˌeɪts
abdicating	ˈæbdɪkˌeɪtɪŋ
abdication	ˌæbdɪkˈeɪʃən
abdomen	ˈæbdəmən
abdomens	ˈæbdəmənz
abdominal	æbdˈɒmɪnəl
abduct	ɐbdˈʌkt
abducted	ɐbdˈʌktɪd
abducting	ɐbdˈʌktɪŋ
abduction	ɐbdˈʌkʃən
abductions	ɐbdˈʌkʃənz
abductor	ɐbdˈʌktɐ
abductors	ɐbdˈʌktəz
abducts	ɐbdˈʌkts
abeam	ɐbˈiːm
abed	ɐbˈɛd
aberrant	ɐbˈɛɹənt
aberration	ˌæbəɹˈeɪʃən
aberrations	ˌæbəɹˈeɪʃənz
abet	ɐbˈɛt
abetted	ɐbˈɛtɪd
abetting	ɐbˈɛtɪŋ
abeyance	ɐbˈeɪəns
abhor	ɐbhˈɔː
abhorred	ɐbhˈɔːd
abhorrence	ɐbhˈɒɹəns
abhorrent	ɐbhˈɒɹənt
abhorring	ɐbhˈɔːɹɪŋ
abhors	ɐbhˈɔːz
abide	ɐbˈaɪd
abided	ɐbˈaɪdɪd
abides	ɐbˈaɪdz
abiding	ɐbˈaɪdɪŋ
abies	ɐbˈaɪz
abigail	ˈæbɪɡˌeɪl
abilities	ɐbˈɪlətˌiz
ability	ɐbˈɪlətˌi
abjection	æbdʒˈɛkʃən
abjectly	ˈæbdʒɛktli
abjure	ɐbdʒjˈɔː
ablation	ɐblˈeɪtiən
ablaze	ɐblˈeɪz
able	ˈeɪbəl
abler	ˈeɪblɐ
ablest	ˈeɪbləst
