1	yks
10	kuuˈ
100	soda
13	kwl̟lɛnt̪eist
14	nɛliːtɛist
16	kusteist
18	kohekseɑteist
19	yøkːseteist
1918	tulˑetøːæksonsɑstɑkɑheksreistʲe
1921	tuhɑd̥øɦeksjɑsɑd̥ɑkɑkskimentyks
1980	tuhɑd̥yhæksestɑd̥kɑhekskygymend̥
1984	tuhɑtøɦekssɑd̥ɑkæsekymend̥neli
2	koks
20	kɑkskymment
2006	kakstuhætkuːs
2010	kɑkstuhɑtkymːe
21	kɑksɑjħɑntiks
25	kaksekymentviːs
29	kakskymendøgäksa
30	qolmkymənt
33	kolmkønøkkolm
35-aastase	tˈolmɒlmymnevˈiːjɛɒːstɒseː
4	lili
40	mele-kymmˈɛnˈ
45	niliːkylmend̥vˈiːs
5	ɹˈiz
50	iskyment
51	viːskyːmendyks
54	biːskymænnæli
60	ɵsg̊ɵmænt
63	kuːsʲkimentkolm
66	kuːskimentkuːs
7	sɛjtsɛ
79	seid̥sekymend̥yheksɑ
8	kɔhɛksa
85	koːˈhɛksɔgɔmɛndviz
88	kɑˌeˌksɑkyˌmeˌkɑheksɑ
9	yhæksɑ
98	nyveksækymentkɑheksɑ
99	yhæksɑkylmend̥yhæksɑ
@	at˦
a	a
a le coq	alˈeˈkokk
a4	ɑːnəlɛ
aa	ˈɑ
aabits	fabez
aabla	aplau
aadel	ˈɑːtˈɛl
aadeldama	delt̪oma
aadelkond	aːdaːrvand
aadliseisus	ɑːdlʲizːeːsʊs
aadliseisusse	alizejzossa
aadress	adrɛs
aadria meri	aːl tˈɾe aːmˈɛri
aafrika	ˈɔfɹika
aaker	ˈɑkə
aakre	akre
aam	ɑːm
aamen	ˈɑmən
aandu	aɳdu
aanus	ˈɑnus
aardla	aːrdla
aare	ɑːɣe
aare olander	areɛ lanˈdar
aaron	ɑːɾɑn
aas	ˈɑz
aasia	ɑːvɑːsiːɑː
aaskannike	ɑːskɑnːike
aasnööbik	ɑːsneːbik
aasta	aːstɑ
aasta läbi	ɑːstɑː leːbi
aastaaeg	aːhstai̯k
aastaajad	aːsdaːjˈat
aastad	aːstħ
aastaid	ɑːstɑːj
aastal	ħˈstˈɑl
aastanumber	aest̪elsũnpaɾt̪
aastapäev	astæbæb
aastat	astat
aatom	atom
aatomifüüsika	pɑːtˑomifyːsikːɑ
abakus	ɑpɑkkuz
abhaasia	æp˥a˥˥sijæ˧˥
abi	api
abielu	apie̞lɔ
abielupaar	ɒpijɛluːbɒr
abielupaari	apjɛlɔpˈore
abielurikkuja	ɑˌb̥iˌeˌlˌurikˌuʲiɑ
abielurikkumine	abjeːloːrɪkkominul
abielus	apielus
abikaasa	æˈbɪkˈæːsæm
abil	fɑbil
abistav	abistav
abiturient	hɑpɪturijæn
abitööjõud	ɑːbidøːjoːd
abitööjõudu	abijdøːjɯˈdu
abivalmilt	ɑpivɑlmiːt
abivalmis	ɑˈb̥ivɑlmiz
abja	apia
abja-paluoja	apjaːpaluaːja
ablas	ˈaplˌas
abordaaž	apoɾtaːʃ
abort	abɔr
abruka	ɑpɾokːɑ
absint	apːsint
absolutism	ɑbsoluttʲismɑ
absoluutne	abʃolutnɛ
absoluutsus	psɔlutsus
ada	ɑdɑ
adapter	ɑːdɑptɚ
adavere	aːtavɛrɛ
adjektiiv	kài̯tʃiːdteːʁ
adrenaliin	adrˌenalˈin
advent	advˈɛnt
adverb	atneˈrip
advokaadid	aðˈokːaːtid
advokaat	advokaːrt
aed	ˈɑə
aed-põõsalind	ɑˈhætpøːsɑliːd̥
aed-roolind	aetɾɑlind
aednik	aːˈɛtnik
aedpetersell	oet̪pe̞t̪e̞rseɾi
aeduba	aːlˌeːtoːp˥aː
aedvili	aʲɛtʋʲilʲi
aedviljamahl	aːjɛtviljɛmɑ
aeg	hɒhˈek
aegajalt	bai̯kʰaːl
aegkond	ajkɔnd
aeglane	aɛklanɛ
aeglaselt	ˈɑːhˈɛklasəlt
aeglasemalt	ohe̞klasemol
aegna	aːlɛkno
aegviidu	aːɛkfˈiːtu
aer	ˈaɪr
aeromeetria	aɛrɔmeːtrɪa
aeroobne	ajrɔˈpne
aeroplaan	aɛdo˥˩ːblɔna
aerostaatika	airoˈstaˌtikˌɑ
aespa	ˈaɪspɔːn
aevastama	ai̯vɑstɑmɑ
afganistan	afghanɪstˈɑn
aforism	afoɾism
aga	aka
aga sina?	ʔɑːgəθˈinə
aga sinul	akompano
agar	ɑqɑhɑl
agentuur	ogẽnt̪oɾ
agnes	oknɛz
agnostik	aknoistik
agressiivsus	agɾɛsivsʊs
agrokeemia	akroːkɛːmʲæ
ahah	aha
ahel	ohæl
ahelkiri	æˈɑhelkjˈriː
ahelreaktsioon	æˈʰældælˈtˈejˈɑːbˈtˈiːˈɑːn
ahhetama	ɑhhetɑmɑ
ahi	ɑhi
ahistama	ɑːhiːstəmɑːh
ahja	axja
ahjus	axlʝuz
ahm	ɑːxm
ahne	ˈɑçne
ahnus	ɑχnɔz
ahter	ɑqtɛr
ahtme	ɑqtˈmɪ
ahv	ˈax
ahvatlev	ɑχvɑtˈlem
ahven	æhven
ahvenamaa	axvˈenamɑ
ahvenameri	ɑhvɛnɑmɛrʲiːm
ai!	ˈaɪ
aia	oja
aiamaa	hoiamu
aiamaja	ajɑmaja
aiatool	ˈaɪadɔl
aiatööriist	aiatøɾist
aiavärav	ɒːiːɒːʋrɔv
aiaäärne	ɑjɑɛːrne
aigro	aiːkro
aimama	ajimɑmɑ
ain anger	ɦɑjɯn ɑŋkɛr
aine	aɪ̞næ
ainepuudushaigus	ɑi̯nɑpûːd̥ushɑikus
ainevahetushaigus	ɑinevɑhetusɑi̯g̊us
aino	ajno
ainomäe	ojnomɛ
ainulaadne	ajnɯulaħhɯtne
ainult	ɑinult
ainult natuke	ɑinut nɑtːukːæ
aisopos	ɑˌisopːos
aisting	mæn
ait	aɪt
aita	ɑitːɑ
aitama	ɑitːɑmɑ
aitan	bˈaɪtən
aitäh	bʊ̞jtæ
aivar	oi̯vɑr
aivar pohlak	ɑivɑr pɑhlɑk
aja	oɟo
ajaga	ˈɑːjɑːˈɑːkɑː
ajakava	oiaːkova
ajakiri	ajaakiri
ajakirjanik	pɑjɑkiriɑnik
ajal	ɑjɑl
ajaleht	ajˈalɪçt
ajalooline	ajɑloːline
ajalugu	ɑjɑluku
ajast	ajast
ajastu	ɦɑjɑstum
ajastus	pajastus
ajatu	aːjatːɯ
ajaviide	aːjɑlviːtɛ
aju	io
akadeemia	akːaːteːjemjɑn
akadeemik	akkateːmik
aken	akːan
aklimatsioon	aqlimatʃaʕoŋ
akna	akna
aknad	ˈaknɒt
aknalaud	ɑknɑlɑud̥
akne	okne
akord	akoɾ
akordion	akordion
akrobaat	akroːbat
akrobaatika	ɒkɾɔbaːtikːɒ
akromatism	ɑkromɑtːisːm
akronüüm	akroːnøːm
akropol	akropːɔl
aksalu	aksalu
aksel mõttus	ɑkːsel mɤtːus
aksioom	ɑksiom
akt	ˈakt
aktant	ɑktãĩ̯t
aktiinium	daktiniːm
aktiivne	ɑgtiːvnɛ
aktiivsus	aktivsos
aktioon	aktioŋ
aktsia	aktʃja
aktsionär	akt̪sʲo̞nær
aktuaalne kaamera	ɑktuaːlne kɑːmeːrɑ
aktuaalsus	aktuals
aktualiseerimine	æktuɑliseːrimiːni
akupunktuur	akːo̞punktʊr
akustika	aakːoːʃitekka
akuutne	akutne
akvaarium	akvarjum
akvakultuur	akvakultuːr
akvarell	akvarəl
ala	ala
alaealine	ɑlɑːʔeːɑlina
alaealisena	ɑlɑeaˌliseˌnæ
alajõe	alaeʝɒe
alalhoidev	ɑlɑlɦɑjˈdæm
alalõualuu	alalˈɛʊwaluː
alam-pedja	alaːmpɛdijal
alar	ɑlɑr
alasti	alasdi
alastus	alastuz
alati	olatti
alatoitlus	ɑlɑtoitlus
alatskivi	palatskʲiðʲi
albaania	albana
albert	ˈalbɛrt
albinism	albeniʃmɑ
albu	alpɔ
