(r)ekin batera eraso	eɾai̯kin bat̪eɾa e̞ɾas̺o
-en aldean	ẽn alð̞eaŋ
-en karietara	enkaɾiet̪aɾa
-z ikasi	set̪ jsi es a
1. irteera hartu	lẽ̞nẽ̞ngo iɾt̪ehe̞ra art̪u
11	amɪa
111	eund̪emeika
12	amabi
17ren	ãmasast̪iɾan
@	abʎdua
a	a
a bildu	abildu
aarondar	aɣaɾõŋðaɾ
aba	ava
ababor	ababoɾ
ababor-istibor	aβ̞aβ̞oɾãztiβ̞oɾ
abade	abaðe
abade egin	abad̪eɣ̞ĩn
abade nagusi	aβ̞að̞e naɣ̞usi
abade-etxe	aβ̞að̞eiɣ̞sj
abadegai	abaɾeɣ̞ai
abadeki	abaɾekʃ
abadesa	abaɾesa
abadetar	abɑðɪta
abadetasun	abaːdetʃaˈshun
abadetu	abanetuk
abadetza	abavetsa
abadia	aβ̞að̞ia
abadiño	aβ̞að̞ĩŋʝo
abadot	abaːnot
abagune	abaɣ̞ule
abaila	aβ̞aʝa
abaildu	aβ̞aild̪u
abaildura	abajld̪uɾaɾ
abakando	abakando
abakiarazi	eβ̞akjaɾasi
abako	aːbaɣ̞o
abal	aɣl
abalatu	abalato
abaldun	abal̪d̪um
abalkide	abatgiðe
abaltzisketa	abãn̪ts̺is̻keta
abalzisketa	aβ̞alt̪is̺ket̪a
abando	aβ̞ãn̪d̪o
abandonatu	aβanðonatʃi
abandonatze	aβ̞ãn̪d̪onat̪s̺e
abandonatzea	kavɑːntʃiːzinɔːtʃe
abandonu	aˈwɛnðɔnˈo
abangoardia	aβ̞ãŋgwaɾð̞ia
abangoardismo	aβ̞anɣ̞uaɾð̞izme
abangoardista	aβ̞anɣ̞uaɾð̞ist̪a
abaniko	aβ̞aniko
abant egin	abant̪eɣ̞ĩn̪
abantada	aˈbɑndɑda
abantaila	aβ̞ãn̪t̪aʝaɾ
abantailatsu	aβ̞ãn̪t̪aes
abantailatu	abandajatu
abantailos	aˈmɑntaios
abantari	aβ̞ãn̪t̪ad̪iɾ
abanto	aβ̞ãn̪t̪o
