abbabeiggi	æpːaːbatʃa
abbar	apaɭ
abbasystir	apasastu
abbi	a
adjø	atʃe
afganistan	əvgaːnəstˈɑn
aka	ˈɛst
akrar	lˈkɹæn
ala	l
albania	alpˈɑːnlˈjɑ
albogi	auo
aldis	altɛz
aldri	altɾa
alisevnafrøði	ˈɛləsənnˈaːfˈøːrjad
alisfrøði	ˈælɪsɹˈɛlɪə
alisfrøðingar	ælˈɛsfˈɛɹiːkˌaɪm
alligatorur	alɨkatɔʒu
alt tað besta	astə bɛstɑ
altíð	astɨ
anda	antˈa
andast	antaz
andlit	qɒnˈliːt
andorra	antˈɔzə
angela	ɑntʃɭɑ
anna	anna
ansur	alsˈɔl
apa	alpɐ
appelsingul	apɔsiːnkul
appelsingult	apəlsɛnkəl
appelsingulur	ablisiɴkoloɾ
appilsin	apɛlsiːn
apríl	apɾɔjɔð
apur	ˈapə
arabiskt	æˈʒæbdʲɪs
arbeiða	ˈalbʊjɑ
arbeiði	kəllfɑːr
arbeiðsfelagi	ˈæɹpˈusfe̞le
arge	aɻka
argir	aɾtʃɨ
argja bóltfelag	ˈardʒa bˈoftfˈældˈæ
ari	aʁ
armenia	armenia
armur	ˈaɪɚmlɚ
arnar	alnˈˈal
aron	aːɾɯ
aserbajdjan	zəɾbaːldʒaːm
at	eːt
atli gregersen	ɑqtlɯz kæɾlæʃæl
atlit	rtɛ
august	aukɔst
av	f
av flogvøllinum	ˈaɪ ˈaʊtlˈɑktlˈɛn
avdúka	aːltɛka
avreiða	aʊ̯rɑjɑ
avstralia	astrˈɑljɑ
avtalu	ɛltˈɑl
b36 tórshavn	bɪ saksə sɪ tʃotʰyʁ tʃa
b68 toftir	ðeː ˈɔt ðə rˈʌstˈoːftə
babba	papa
bakaði	plakaje
balla	tɑtlɑ
bangladessj	panklate̞ʃ
banka	bɛkːa
bankar	bˈæŋkˌaɪ
banki	patʃːa
banna	bamma
barn	batn
barnavognur	patnavokna
barnburður	pˈɑnpˈʊlə
barndømi	antɔmɛ
barnið	patnɨ
batna	pˈaʁtnˈɑ̃
bavianur	avˈjˈaŋˈor
baða	feˈɾ
bei	bˈaɪ
bei bei	baɪ˧˥
beiggi	batʃɯ
beiggjar	potʃar
bein	bˈaɪ
beina	poˈjɛndo
beina fyri	poiː na fˈiʒɐ
beinagrind	vˈaɪnɜgɾˈɛnt
beiskur	baʃkɔɾ
belgia	plke̞a
benda	æn
bera	beʃa
berja	beʃtʃə
bh	pe˨˩hoɔ˧˧
bilur	bɪlˈlʊɾˈ
binda	ɛnˈtɑ
binding	pente
bindinga	tentenga
bindinganna	pɛn˥˩diːn˧˥gama˥˩˦
bindingar	penˈteŋgaj
bindingarinnar	pen˥˩ten˥˩ka˥˥ten˥˩laj˨ˀ˩ʰ
bindingarnar	teːlˈtˈeːgːənˈɑl
bindingin	pen˨˩˦tenɢen˨˩˦
bindingina	pen˥˥tʰən˧˥tɕʰian˥˧la˥˧
bindingini	li˥˩tɕʰian˨˩˦la˥˧
bindingum	pen˨˩˦peŋ˨˩˦kõ˥˥mɕə
bindingunum	benteŋgɔŋa
biðja	paja
bjarga	tialka
bjarnir	bˈiˈatnˈu
bjór	biɔːuɾ
bjóða	vjɛ̀u̯ɑ
bjørk	pˈjaʃk
bjørn	bʲit
blankur	leŋgwɾ
blað	lɛːɑː
blaðmaður	lamaver
blusa	bɫusa
blá	dˈɛ
blása	lasa
blátt	nˈɔt
bláur	laβe
blíva	pluˈiva
blíður	plˈoʊjɚ
blóma	sɛumɑ
bløðum	plavon
boga	bola
bogaskjóting	puɫuaʃautɛŋk
bogi løkin	baːjæˈnɑːstʃiːd
boppa	dʒoːspa
borin í heim	boːr nøː˩˦hɔːj
borð	ɔʒ
borðoy	pɔʒɔj
bosnia	bosne
boyggja	pɔtʃa
boða	a
boðorð	bɔːlɔɹ
boðsenda	pɔsʃɛntɑ
branda	rˈanta
brandur	brantœ
brenna	plenːo
brennisteinur	rɛnnɪstaajdloʒ
bresta	presta
bringa	brinka
broyta	pɾɔjta
brósthaldari	brɔstʰaltarʊ
bróta	plʲaːlita
bróðir	browə
bróðursynir	plœw̜bəzˈinə
brølari	brˈøːlˌaɾa
brøður	plˈoːvɚ
brúka	ʒɛuka
brún	ʒʊɫn
brúnt	rˈynt
brúnur	brˈuːnər
brúsa	ʒʁˈɛlsɑ̃
buksur	poksɜ
bulgaria	ulkaðɪ
bummull	pumʔut
butan	puːtːan
bygd	pe
byggja	vitʃa
bygningar	bˈɪkəlnˌeːkɪ
bygningur	pʲiknikul
byrja	fˈeʎa
bævur	beˈaʊvɚ
bíddi	pute
bína	pujna
bíta	pɔitɐ
bíða	tˈuj
bóghvítuhvalur	ˈɛɹwkutðəkˈʌlɚ
bók	oɫk
bókadeild	au̯kaːˈðɑl
bókstavligur	otʃtajlnɪ
bólgna	bˈʔalmˈa
bóltfelag	baʃtajnˈa
bónus	pɔɫnɔs
bøga	bɑːbɑː
bøkur	bɔɦkɔ
børn	tˈɛ
bøur	bɐbɔr
búgva	vˈikvˈa
búkur	pˈɛlkˈɛɹ
búseta	ɪˈusɪtˈa
búð	pˈeʊ
býfluga	vojflua
býflugur	buːiːflˈuːɛr
býir	pojjɛʃ
býta	pujita
býur	bojɯɾ
clark gable	klar ke eɣ̞aple
dagblað	tapla
dagur	taβoɾ
dagurin	ðævərdən
dalur	dˈaʊnlˈɚ
danmark	tãnmask
danmørk	tɑmmɯzk
danny	tannɛ
danskt	tawŋkst
degi	tej
deildin	dandʒiβ̞sẽn
depil	tɛpɛn
desember	tˈɪzˈɛmpə
detta	tˌɛta
deyður	dajɛ
djurhuus	tʃiurus
djór	tʃauɾ
djórafrøði	tʃaːvɾɒvɾɒjˈja
djóralæknar	tʃeuɾalakla
djóralækni	dʒɛwralaknɨ
dominikalýðveldið	tʊ̞mʲjne̞kälʊ̞jwɛlta
doyggja	tɔtʃa
doyva	tɔjva
