's jûns	nions
's moarns	smɔz
aai	ˈaɪ
aaigiel	agil
aaiwyt	oːjʋid
aakfisker,	əːkfɪskər
aanst	ɑːst
aap	ɑː
aardich	ɑɾdɪ̞ʁ
aardicheid	vˈaːrdəɣˌit
abe lenstra	a a β̞olẽn̪st̪ɾa
abe lenstra stadion	a bʎnztras stazti̯ɐriũm
abrikoas	abrikɔz
absint	ɑpzɛnt
abstrakt	apˈstɹɑkt
acht	ˈɑxt
achthûndert	ˈaxthˈʊndɜt
achttjin	æɢtʃiːɒːn
achttûzen	ˈaxtoːʒən
adolesinsje	ˌɐdulɨsˈeɪŋsjɐ
adres	add̪res
advys	aðfˈis
agint	aɣ̞ẽn̪t̪
akademy	akadˈenɪ
akedemykus	akadɛmikɛs
aksint	akkẽnt
aksje	akˈsjʊ
aksyns	akkĩŋz
akwadukt	aqoðəqt
akwarel	aqarɨw˨
aldgillis	aˈmɑtgɪmɪs
alfabet	ˈalfɚmɪt
algebra	aːlgybra
alimintaasje	alimɛntˈˈaːsjə
alkohol	au̯koho
alle jierren	ãmb ɟʝɛsm
allebeide	olɛvɔidɛ
allergy	alɛr
allinne	alˈini
allinnich	ɑŋgɯ̞lnɑh
altyd	ɔːltˈiːt
alve	alvɛ
amearika	ameriːkɑ
amer	ɑˈmɑːd
amulet	aːmɯɾlt
angelsaksyske	amɔsaksiske
apel	apɔ̃
arnhim	ɑɾnɛn
as	bãʃ
asjeblyft	æʃljf
asto	poztʃau
autobân	aːutʰbaːn
automatysk	ʌʊtɔmɑːtjsk
baan	baːm
baarch	pɑːr
bak	nˈɑk
bakke	baka
bank	ban
barents	β̞aɾẽn̪s
baskyske ynstelling	bˈas kɪʃkɛ ɪnˈztɛllɪŋ
beam	bɪl
beamkes	mjɛlkɛʃ
bear	bɪːɾ
bedriuw	bˌedriˈɔ
bedriuwen	ðædriːuːæn
befallingen	tɨzolɛmʲen
begjin	bəgˈɪn
begjinne	bˈegini
begûn	ðəgom
behear	buːhˈi
behearre	naalaɾa
beheart	beːˈɾiːt
beheine	bɪˈaɪnɪː
behâld	beˈʃɑjˈt
bei	blai˩˨
bekeare	bəkɪjɛrə
belibbe	baləˈba
belibje	baldegɾiːe
belje	tɛliːjɐ
belle	beˈlˈa
benammen	d̪enom
benaudens	ð̞enau̯ɾẽn̪t̪s
benijd	ðənˈaɪt
bennejester	beːrnˈeːjestə
bepale	propala
bepleitsje	bɛplˈoiːtʃˈ
beppe	tɛpɛ
beppes	ðaites
berch	brˈaɣ
bern	fˈæˈm
berne	benø
berteplak	hˈɛtstˈaɪplˈɑːk
besine	bɛsɪ̞nɛ
besit	ðəsˈɪt
besite	bˈaʃetˈa
besjen	bˈɛʃan
besljochte	bɑʃɫˈɵxta
beslút	bˈɪʃlɪt
besocht	bəsˈaɣh
bestiet	bəʃtˈeːt
besykje	mysikja
besykjen	bˈɛʃikɛn
beter	ˈbeɾə
betiid	bətiːd
betinkt	bˈaʊtɪŋ
betocht	bətˈɑxt
betsjinje	vɛtʃenɪ
betsjut	ɛtsʲəz
betsjutting	bˈɑtjˈʊɹtɪŋ
better	beˈtɜ
beumer	bʏ̞ʏmɪ̞r
bile	bila
bin	bãn
bin letter	ðen̪læpər
binne	dena
binne hjir ek minsken dy't ingelsk praten	dˈɑnɪːr ˈɛɪk nˈeːs kˌɵndi ˈɪŋls prˈaːtən
bist	bɪst
bisto	bɪstɔ
bjusterbaarlik	gyztrɛmaːrlɛk
blau	mlau
blaze	blasen
bleate	bʊ̞ljætæ
bledsjes	blɛtssjɛʂ
bliken	blikən
bliuwe	bliuɐ
blom	lo
blommen	β̞lomans
blydskip	bliːtʃkɛ
blykte	vˈɛ̃kˈtˈa
boalsert	boluzi
board	bˈɔɹt
boargemaster	oɢamastɐ
boartsje	potʃ
boat	oo
boekwinkel	bˈukvɪnkˈul
bongelje	tɨmnɔxjɛ
boppe	wtf
boppen	bɔlpon
bosk	ɫɔsk
bou	boːl
brandewyn	proɫdabʲim
brea	riː
broccoli	vrokoji
brulloft	rɛlaft
brân	tɾˈoːn
brêge	brɛɾe
brún	brʲinʲ
brûkt	brˈuːkt
brûns	bɾˈɔ̃ʃ
buorfamke	vorfankaj
buorkerij	pɔrkɛrai
burd	bøt
by	bˈeɪ
bygelyks	big�ˈɛlˈiːks
byldbepalend	bˈildbəpˈaːlənt
byt	bʲit
bêden	vˌeːɾdən
bêst!	bɛst
bôge	boːɣə
búk	dˈʌk
bûsboekje	boːʒboːpiːɾˈ
bûse	bʊ̞ʃʊ̞
bûtenwetter	buʈɪnvɛːtɛr
bûter	mutsɛr
dage	dˈaːrə
dagen	taɾxən
daliks	nˈaːlɛks
dantumadeel	taːmsiːnɔbuwa
dat	tɔt
dat is good	dˈɑ ˈɪs ɣˈuːlt
de boarn	ðə bˈɔɹn
de trep del	tɛtrɛp tɛl
