12345678910	jɯ˨˩˦ tsan˥˩sɯ˥˥ ntɕʰi˨˩˦ pɑk˥˥iu˨˦ʂan˥˩
777	tɕʰi˧˥tɕʰi˧˥
erzhena	bˈɑst
ho臭	o keu̯
javascript	tʃaːvɒːskuːpt
li keqiang	li˨˦ tʃiaʔ˨
nansong huang	lɑŋ sʊŋ˥˥fɑŋ˧˥
nii不了	ni˥˩pɹjɑː˧
nn册组犀利	miː za tuzˈtˈɾˈistiː
qin shi huang	tɕʰɪn˧˥ʂɚ˥˩fan˧˥
㚻星	tɕi˥˥
㚻片	tɕi˥˥
㚻片演员	tʰi˥˥ pjɛn˨˩˦jɛn˨˩˦jɤan˥˥
㚻片演員	ti˥˧pjɛ˥˥nyian˨˦ jɔ˨˦i˥˧
㚻色	dˈiː ʁɛ
一	i˨˩˦
一俓	ktsian
一日到夜	jɛn˩˥njɛ̀ːt̚˨˩taːw˧ja˥˩
一滴子	jˈɛːˈk˥˥tse˨˩˦
一生世	je˥˩sian˨˩ sɯ˥˥
一阵家子	jɛ˥˥tsʰɪŋ˨˩˦ ka˥˥tsɯ˧
丁	tjɛŋ
七	tɕʰi˧˧
万后年	wan˨˦hẽ˨˦lĩən˧˧
万后日	wǎŋ˨˩hʰeu˨˩
万圣节	wan˨˦ sən˥˧ tɕiat˥˥
万寿宫	mˌaɪʒukˈũŋ
三	san˩
三十夜晚	sa˥˩ɕjɛn˨˩˦  wan˨˩˦
三更半夜	sãn˥˥kɑŋ˥˥puan˥˥ɕja˨˩˦
三梁冠	san˩lĩũãn˨˩kũaŋ˥˥
上	ʂʊŋ˥˥ʂɤŋ˥˥
上古贛語	sʊŋ˨˩˦ku˨˩˦peɪ˨˩˦ny˨˩˦
上学	sǎŋ˥˧hɑːk˥
上學	sˈɑ̃gɑː
上昼	sɔːm˧˧tsiː˥
上晝	sœ˧˧tsiu˨˩
上水	sǎŋ˨˩˦sɯ˥˥
上海	sõŋ˨˩haːi˨˦
上海市	sŋ˨˩hʰ˥ai˥˧
上饶	sŋ˨˩niau˥˧
上海	ʂuɔ˨˩˦xaɪ˧˥
下昼	kʰaːsiu
下里巴人	ɦa˨˩˦  pa˨˩˦n
不	pa
不佮	pəˈkɔ
不要	bˈeɪdjˈæ
专制主义	suən˨˩tsɯ˥˥ tɕy˧˧ni˨˩˦
丘	tio
