0	zɛru
2	dou̯s
20	vinte
4	kˈatɾʊ
5	θˈinko
6	sˈeɪs
7	sˈete
8	ojto
9	nove
a	a
a agua	aua
a amizade coñecela e non perdela	a amiθaðe kɔɲeθela e nõŋ peɾðela
a auga	auɣa
a baña	abaˈnjɯ
a boa correspondencia as amizades conserva	a bua kɔrespõŋdɛnsia as amistades kɔnsɛɾvam
a boa presencia é carta de recomendación	a bˈoɐ pɾesˈɛnθja e kˈaɾte dˈos ɾɾˌekomˌendaθjˈon
a can vello non hai “tus tus”	ba kãm beʝe no ɣ̞ai̯t̪os t̪uɾs
a casa da miña mai	akaʒa ðe miŋa maj
a casa varrida di máis lucida	a kasa barriðe d̪i majs loθið̞e
a compostura, de moitas faltas disimula	a komposð̞uɾa d̪e moit̪es fal̪t̪es la simula
a coruña	a koˈronɨ
a dereitas	aðeɾetas
a deshora	að̞essoɾa
a destempo	a dɪstempɔ
a devesa	að̞eβ̞esa
a diario	a djɐɾiʊ
a diferenza de	a ð̞ifeɾnẽn̪t̪s̺a d̪e
a feito	afɛjtɔ
a fervenza	a feɾβenθa
a fonsagrada	as fɔɾs aɣɾaða
a forza de	a foɾθa d̪e
a gandarela	aɣ̞ãn̪d̪aɾela
a gandariña	a gˌanˈdˈaɾiɲa
a gandra	að̞ãn̪d̪ɾa
a garrida	aɣ̞ueɾɾið̞a
a goleta	aɣolet̪an
a golpilleira	a gˈolpiʎˈeɪɾˌa
a gouxa	aɣoɣ̞se
a granda	a granda
a grandela	a grandɛla
a granxa	a gɾˈanʃa
a graña	a gɾãŋja
a grela	alɾɛlɑ
a grixa	aːgɾiʃa
a guarda	a gwaɾða
a gulpilleira	a gulbʎe�ɾa
a guía	la
a gándara	aɣnðara
a igrexa adventista do sétimo día	a iɣɾeiʃa adβentista do set̪imo d̪iɐ
a lamela	alla mele
a lenda do caboclo	alent̪a d̪o kaβ̞oklo
a longa ausencia trae a esquencia	alow̃ŋa odsẽntsʲitɾa as kɛntɪr
a mal ano, boa cara	maˈlˌɐ nˈo bˈo ɐ kˈaɾa
a mal dar, paciencia e barallar	bal d̪aɾ peθjenkia β̞aɾellaɾ
a mal tempo, boa cara	a mal t̪empʊ boa kaɾa
a mocidade folgada trae a vellez arrastrada	a mʊθiðad e fʊlɣaðɐ trae a βeʎeθ aɾɾastɾaða
a mocidade moi folgada trae a vellez arrastrada	a mʊtjnaðe mɔi fʊ lɔgaða trae a beʎestra aɾgastɾaða
a moita cortesía é moitas veces falsía	a mojta koɾt̪esia e mojt̪ɐs βeθes falsia
a mortos e a idos, poucos amigos	a mˈoɾtʊs e a ˈiðos pˈowkos amˈiɣos
a nabeira	anaβ̞eire
a ninguén lle amarga un doce	a njnɣ̞uen ʝamaɾ gõŋ ð̞oft̪e
a nogueira	a nõɣ̞ejɾa
a nosa terra	a nõs la t̪era
a novos tempos, novos consellos	nˈaβos tˈempos nˈoβos kolsˈeʎos
a outro can con ese óso	aˈutɾo kˈan kon ˈese ˈoθo
a outro can con ese óso, que este xa está roído	a otɾʊ kɑŋkɔŋ esi osʊ ke estɪ ʃa esta ɾɔiðɔ
a pega é moi común en toda galiza.	a pɛsa ɛ moɪ kɔmũŋ em tɔða ɣaliθa
a ponte que caeu considerábase un alaxe do románico.	ʊ põŋte ke kɑew kɔnsiðeɾafase unha la lsedɔ ɾomɑŋiko
a pontenova	apũn̪t̪a noβ̞a
a pouco que	a powkɔ ke
a preguiza nunca fixo cousa boa	apɾegiθa nʊ̃ŋ kɔfjsʊ kuusɑɣua
a prol de	apɾɔl dɛ
a quen deus quere ben, a sorte buscalo vén	ãmb kẽn ð̞eus ke eɾa bẽn asoɾt̪ t̪e buskaɾ d̪e bẽn
a ribeira de piquín	a ɾiβ̞eire d̪e pjkĩŋ
a santa compaña	a sãn̪t̪a kompãn̪ʝa
a sorte non é para quen a busca	a sɔɾte nõŋ ɛ paɾɐ ke em abust̪ɐ
a sorte non é para quen a busca, senón para quen a atopa	a sɔɾte nõŋ ɛ pɾɐ keŋ a βuzkas e nõŋ pɾɐ keŋ a tɔpa
a toxa	atːˈoʃˈa
a veiga das meás	a bejɣa d̪els miast̪
aba	ava
abade	aβ̞að̞e
abadexo	aɣadɕo
abaixo	aβ̞aixo
abanqueiro	abãŋkejro
abdicación	aβðikakioŋ
abdicar	apð̞jkaɾ
abdome	abdɔmɛ
abdominal	abd̪ominal
abdución	abdoisioŋ
abdutor	abd̪ut̪oɾ
abeledo	abɛleβɔ
abeleira	ˈɑbəlˌætˈɛɹ
abelenda	abelãn̪d̪a
abelendo	abelendo
abella	labexa
abellas	aβ̞ellez
abelleira	abeɣeɾa
abelleria	aveʎˈɛria
abellón	abexo
abertal	abeɾt̪al
aberto	aβɛɾtʊ
abesullar	ɑːweʃoˈjæɾ
abeto	aβ̞et̪o
abetouro	aβ̞et̪ouɾu
abioxénese	abjoeʃenese
abismo	aβ̞izmo
abismos	abismus
ablativo	ablatibo
ablegado	ˌaβleɣˈaðo
ablución	aβ̞lusioŋ
abnegación	aβneɣaθi̯oŋ
abnegar	alneɣ̞aɾ
abofé	aβ̞β̞f
aboi	aβˈoɪ
aboiar	aˈbˌoiˈaɾ
abonda	aβ̞õŋð̞a
abondar	aβ̞ũn̪d̪aɾ
abondas	aβ̞õn̪d̪es
abondo	abõŋd̪u
abondos	aβ̞õn̪d̪os
abragán	aβ̞ɾaɣ̞an
abraiar	abɾaiaɾ
abraira	aβ̞ɾai̯ɾa
abreviatura	ʔaːrɒːɾuːjɒːsuɾæm
abrigo	ˈaβɾiɣo
abril	aβ̞ɾil
abrir	apɾioɾ
abrochar	avortʃa
abrupto	abruktɔ
abruñeiro	ˈongɲˈeidʒɔ
absentismo	aβ̞sjẽn̪t̪ismo
absolutismo	aːbsolutˈismo
absoluto	aːbsalutˈo
absolver	absolβ̞eɾ
absorber	aβ̞soɾβ̞eɾ
absorción	aʃaɾsio
absorto	afsɔrtɔw
abstemio	abztemio
abstención	aʃtenθi̯oŋ
absterse	apʃtetsʃ
absterxente	aʃtɾasente
abstinencia	abst̪inẽn̪t̪s̺ia
abstracción	aʊʃtɾasioŋ
abstracto	astrakto
abstraer	abst̪ɾaeɾ
absurdo	absurdo
abundancia	aβ̞wnð̞nkia
abundar	abundaɾ
abur	aβ̞uɾ
abusar	amuzsaɾ
abusona	ɑbusɔnæ
abusón	aβ̞õsõŋ
abuín	aβ̞uin
abxección	aksɛktsioŋ
abxecto	afʃɛktu
abxurar	aːbsuːral
acabamento	akabamento
acacia	t̪ekaθja
acadar	akað̞aɾ
academia	akadɛmˈijɛ
academias	akað̞mjes
acaer	akaɛv
acariciar	akaliθjaɾ
acaso	akasso
acceder	akθˈeðeɾ
accionar	akkionˈz
accionista	assionistˈa
acción	assioŋ
acedía	aseˈvˈiɐ
aceiro	aθeɾo
aceite vexetal	at̪e̞it̪e be̞s̻et̪aɾ
acelga	afelga
acenar	afenad
acender	æˈfɛndæst
aceno	aθˈeno
acento	asentˈo
acepción	asepθjõŋ
aceptar	aθepːtˈa
acerbaixán	ɑθɪɾbɑːlʃaːl
acerca de	ˈasaɾka dˈi
acereiro	atrajˈlˈ
acevedo	asebedo
aceña	aθenʝa
achado	atʃad̪eɣ̞o
achega	atsʲeɣa
achégate	atʃeɣate
acipensérido	asipensouliðɔ
aciveiro	aθibejɾo
acivro	asiβɾɔ
aciñeira	asiɲejɾa
aclarar	aklɛlɛl
acne	akne
acolá	akolas
acontecer	akomptero
acordar	akoɾðai
acordo	akˈɔɾðʊ
acostumar	akost̪umaɾ
acotío	akotiu
acougar	akuuɣ̞aɾ
acrópole	akropoli
acta	akt̪a
actitude	aktitude
actividade	akt̪jβ̞jɾað̞ɾe
actividade psíquica	aktiβ̞jð̞at̪a ɟʝ sjkika
activo	aktivo
acto	akto
actor	akt̪oɾ
actuais	aktuaʝs
actual	aktual
actualidade	at̪oalið̞að̞e
actuar	aktuat̪
actúa	aktua
acuarela	akoaɾela
acudir	akuziɾ
acuicultura	akɔjkʊltuɾa
acupuntura	akopuntura
acusona	akusɔnɛ
acusón	akwsõŋ
acuáticas	akat̪ikes
acuático	akwtiko
acá	aka
acó	akomp
adai	aðai
adaptación	að̞apt̪akjoŋ
adaptar	að̞apt̪aɾ
adega	aðeɣa
ademais	aðɪ̞mais
ademais de	aðɛmajs dɛ
adepto	að̞ept̪o
aderno	aβɛɾnʊ
adestrador	alest̪ɾað̞oɾ
adestradora	aːlɪstɾaːloɾa
adeus	að̞ius
adherir	adˈeviɾ
adiante	adjante
adicción	adiktsioŋ
adicto	að̞ik̞t̪o
adiviña	adɛbʲiʎa
adiviño	ad̪iβ̞jnʝɐ
admiración	ˌadmiɾaθjˈon
admisión	akβ̞jksioŋ
adoecer	ɑɫɔɪ̞θɪ̞r
adoitar	aːdoitˈaɹ
adolescencia	adɔlest̪ɛnsia
adolescente	ˌaðoleθˈɛnte
adopción	aɾɾasioŋ
adoptar	adaptu
adoptivo	að̞opt̪ibo
adormecer	aloɾmeθeɾ
adrede	aðɾeði
adscrición	aʃkɾisi̯oŋ
adscrito	adskɾitʊ
adución	ˌaðusjˈon
adutor	ad̪ut̪oɾ
adversidade	adversit̪ate
adxectiva	atsɛktiːvɑ
adxectivo	akkeptiβo
adxunción	asĩũŋsioŋ
adxunto	aʃunto
adá	aba
aerobioloxía	aeɾoβ̞ioloɣ̞ial
aeroporto	aɛroˈbɔrto
afección	afektsioŋ
afectar	asiktaɾ
afectivo	efektivo
afecto	afɛkto
afgá	fq
afgán	aθkãn
afiador	lafialoɾ
afiar	ɑqɑjɑt
afixo	afjkso
aflición	ˌaflusjˈon
aflito	afljto
afluencia	afluẽn̟θia
afluente	afluente
afonso	afoɱso
afonsín	aɣoθin
afouteza	papulteʃe
africano	afɾikana
