aguara	aɣaɾa
aguara guasu	aˈʒaɾa gˈa sˈu
aguaray	aːgweˈɾant
aguata	aɣoˈtˈa
agueroguatáramoguare	aueɾoataɾamoɣuaɾe
aguyje	awiʄe
aguĩ	aɣoːj
ag̃uĩ	aŋuĩŋ
ahai	ɑɦɑj
ahasátama	ahasatama
ahecha	ɑːhɛʃɑː
ahendu	ahɛnðu
ahámi	ɛħami
aháta aju	ahataʄu
aikese	aikese
aikuaa	aikˈua
aime aguĩ ndehegui.	əmˈɛn wˈɪn hɪwˈi
aipo	hwˈɛː
aipyvu	ajtɕʰbu
ajeve	ageˈve
ajogua tembipuru pyahu	aʎɛʊgwɑt ɛndi tʃuɾufɾakul
aju jevýma	aːdʒudz ɛ vimɑn
ajúra	atʃuɾa
akatúape	akatuanˈde
akuti	akuti
akã	akˈɛ̃
akã'ỹ	akˈan
akãnundu	akːanunˈdu
akãrague	akˈaɾabwˈeð
akānundu	akkanõŋdu
amandáu	aːmˌɐ̃ŋdˈaʊ
ambue	amɣ̞ue
amo karia'y iporâ.	amokaɾia ɯ ipona
amo kuña ho'u pan	amokoɲːa xoupan
amo kuña ho'u pan.	a mɔ kʼɔɲɛ hɑ ʔupɑn
anana	ɑnɑnɑ
anga	aga
angana	aːngaːna
angante	aŋgˈante
angante jajetopajevýne	aŋgante dʒazetʊ ɑβɑðʒɛbɨne
anguja	aːnguːjˈdʒa
ani	estas
ao	aɔ
ao po'i	ao oi
aoao	auau
aosaingo	alsæŋgo
apay	apal
apyka	apɛka
apytépe	apɨtepe
arahaku	aɾaaβ̞
arajere	laɣ̞eɾe
araka'e	alakae
araka'e piko jaháta	ɦraka ɛbiko dʒɑhˈhɑtˈɑ
aramboha	aɺɑmboːxə
arandu	aɾˈɑmdo
arandupy	aɾəmluɾpɯ
arandupykuaaty	aːndʊppɪkwaːtɪ
arapoty	pɾapot̪ut̪
araro'y	aɾaɾɔɨ
araroguekúi	aɾaɾowekoiʁi
arasa	aɾast
aratiri	pˌɐɾɐtˈiɾj
are	aɾˈe
arema	aɾema
arhel	arxˈiɭ
arigua	aɾiʊa
arro	arˈo
ary	a
asaje	poɾ
asuka	ɾɑsuka
asukary	asˌukˈaɾɨ
asúpe	asu
ati'y	ʔɑti
atukupe	atokupe
atýra	aːturat
atĩva	ati˥˩ɲɔ̞
autaralia	autɛrɑliɐ
ava	ava
avati	aːbatidʒi
avati mirĩ	aβ̞at̪i mɪɾi
avatiky	avˈvˈtˈ
avatisoka	avatasoka
avañe'ẽ	ɨvaɲe
avañe'ẽme	avapavonen
avei	a
avy'a	aːbuaːlea
ay	aøz
ayhu	ˈaɪxʊ
ayvu	alvˈu
añe'ê	ajnɛ
