1	tjˈe
10	tɤp˨˩ tʰə˥˩
10,000,000	ŋ˨˩˦ʰtɕʰian˥˥man˥˩
100	lip˦ip˦˥˥
1000	ni˥˩tɕʰjɛn˥˥
10000	e̞wan
100000	sˈik mɑːn
1000000	ta˥˥la˥˥
10000000	ti˨˩˦tɕʰjɛn˨˩˦va˥˥
100000000	jɛ˨˩˦
101	i˥˩ laŋ˨˦hĩ˥˥
102	ipa˧˧liŋgi˥˩
103	tiː paːlaŋsam˧
104	tip˨a˥˧lin˨˩sia
105	i˥˩ pa˥˥ yn˩˧
106	ˈoːpa lˈim ljˈoː
107	ti˨˩p̚˧laːŋ˧ ŋ˧
108	i˥˩paːn˥˩ xin˨˩˦paːn˥˩
109	ip˨a˥˧lin˧˧ kiu˥˧
11	tɕʰip˥˥
110	ipˢ˨in˩˩˦
111	it˦aʎ˥˥
12	sʲɛkʲi
13	tɕˈe pˈsa
14	ʃip si
15	sʲi
16	sip lœ̃
160	a˥˥pa˥˥ liu˥˩k˥
17	tsʰi˧
18	tɕip˦a˥˧
19	sik˦ kiu˧˧
2	nˈe
20	ni˥˩sik˥
21	i˥˩sɪb˨˩ i˧˥
22	ni˥˩sip˨˩ni˥˩
23	iːtɕ pˈsaːm
24	gɛt ʃɛp si
25	tɑjˈsʌ
250	n˩˩˦j˩˩˦bã˥˥
26	ni˥˩sip˨˩lok˨ ni˥˩sip˨˩lok˨
27	nˈiːʃiɛ̯pːtɕʰi
28	i˥˥ɕi˥˥pɑŋ˨˩˦
29	í˧˥sip˨ kʰeʔ˨
3	sam
30	sà˥˩m˥˩sik̚˨
31	sˈɑ̃ʁˈi
32	saːmɪsəb gi
33	sˈɑm tsˈe pˈsˈɑm
34	sɑm kəpsi
35	sˈɑ̃bkɛ
36	sǎ˥˥m˥˩liɔ˨˩
360	sam˨˩liũk˨ lam˨˦
37	saːm ʃiːpp nɛ
38	sˈɛ̃ sˈɛpˈˈ
39	saːm˥
4	sˈi
40	sˈiː
41	i˥˩kɪŋ˥˥u˥˩
42	ti˥˩sjɛm˨˩˦ juː˧˥
43	siː kˈɛ pˈɛˈ
44	sˈiːkɛp sˈiː
45	sˈiːz
46	si˥˧ sip˥˥ljoʊ˨˦
47	si˥˧
48	si kˈa pa
49	si˥˧ tʃip˨˩ kio˨˦
5	mh
50	m si
51	ɑ̃nmkiaʔkue
52	mʰ ms̺abəɾs̺ɛrds̺a ni
53	m ʃˈɛk sˈɑm
54	ɛ̃ʃɛp si
55	mh sɛ mh
56	m ʃi˥˩ljɑʊ˥˩
57	m ʃɪp tsʰiʔ
58	mˌɛsipˈa
58同城	m̩˨˩tʰʊŋ˨˩sœ˧ŋ˧˥
59	m̩˨˩sip˨ kiʲoŋ˧
6	ljoʊ˥˩
60	ljoʊ˨˩˦ɕjɛ˥˥
61	lyɛk ʃɛm ji
62	lykseŋˈgiˈ
63	lʲuk zɨps sam
64	lyksʃipˈsi
65	løksim
66	lyɣ
67	lyɛʁ ʃˈup tʃi
68	ljoʊ˨˩˦sip˦pa˨˩˦
69	lyk˥ siŋ˥˧ kio˨˦
7	tɕʰi˧˥
70	tʰi˧˥
71	tʰɤ˧˥ɕʰɯ˥˩ i˥˩
72	tsiʃi
73	tiː˥˩ si˥˩p˥ samˀ
74	siːtɕʰip˨siː
75	sə
76	ti˥˩sip˦ljoʊ˨˩
77	tsʰi˧˧
78	tɕi˥˩p˥a˥˧
79	tɕʰi˧˧
8	pa˥˥
80	pɑ˥˥
81	pa˨˩˦tɕʰip˨˩˦y˧˥
82	pa˥˥sĩ˥˥kʰi˨˩
83	pʌsˈip sˈɑm
84	tˈəkʰə si
85	patsʃa
86	fa˥˥ɕi˥˧p˥ljoʊ˨˩˦
87	pa˥˥sip˦ tʃi˨˩˦
88	pɑ˥˥ ɕjɛ˥˥p˥a˥˥
89	pa˥˥
9	kiu
90	kiu
91	tʃiŋ˨˩˦kʰoʊ˨˩˦ʐj˧
92	kʰiu˥˩kʰi˨˩˦
93	kʲiu̯sʲip sɑm
94	ke wˈzi ˈeɪˈɛstˈi
95	tˈɛkʰ tʃˈup mˈɛ̃
96	tiw˧˧ sip˦˥ luŋ˨˦ tiw˧˧ sad˥˥ luŋ˧˧
97	ke˥˥sip˦tsʰi˧˥
98	tɕʰiːpɑʔ˦
99	��w̜
<	ɕjɑʊ˨˩˦i˨˩˦
chûng-fà	ʈʂu˥˥fɑ˧˥
chûng-koet (中國)	tɕuaŋ˥˥kua˨˦at˦
hak-kâ-fa	aːkaniː aːkasaːni
hakka	tska
hiông-kóng	lɔːŋ˧˥kɔːŋ˨˩˦
iphone 5	aɪ˥˥fɔːŋ˥˥m
iphone 5s	aɪfˈoʊn ˈæs
like	si˥˧i˧˧tsweɪ˥˧i˧˧tsʊŋ˥˥i˧˥
lí hién-liùng	li˥˧ and˥˩
lí kông-yeu	li˥˧kɔ˧ŋ˨˩iau˥˧
ngi̍t-pún	n˩˩˦tp̚˨˩n˧
ngî-ngièn	miu miu
nàm-kîn (南京)	n˧a˥m˥˩kʰin˥˥
pet-kîn (北京)	patʃin
sencha (煎茶)	tsian˨˩˦tsʰa˨˩˦
shashwat	ʃa˥˥sat˦
sûn chûng-sân	suən˥˥ ʈʂuən˥˥san˥˩
sûn vùn	suən˥˥ vən˧˧
tanah　tunux	na nadoɯn˧˥
thòi-vân	tʰɔːi̯˨˩faːn˥
£	tĩ˥˥ pʰoŋ˥˥
²	pʰiːn˨˩fɔːŋ˥
δ	ta˥˥
ζ	tsʰt
κ	kʌpa
λ	laːm˧t̚˨˩aː
σ	sˈɛst mˈɑː
τ	tˈaˈʊ
φ	pɔːi˥˧
ω	om˧igaː
₤	li˥˩la˥˥
∂	pʰi˨˩˦an˥˩ mi˥˩ fun˥˥
