caihongzi	tsʰaɪ˧˥kʰʊŋ˨˩˦tsɯ˧
cao xuegin	tsau˨˩ ʂu˨˩ tjin˨˩
chángqīng	ʈʂʰɑŋ˧˥tsʰi˥˥
cuobolao	tsʰuɔ˥˥ l
discussion	diskˈʌʃən
ebe	səɣˈabuaː
hola	joʊ˨˩˦la˥˧
hunpie	tɕʰyn˨˩˦pʰjɛn˥˩
kuan yin	ɤːn
liakua	lẽ˥˩akwã˨˩
mao zedong	mau˨˦tsĩ˥˧ten˨˦
ngo	e˨˦ n˧˥i˨˦ki˨˩˦ t
niubi	nj�u˨˩˦pi˥˧
shenzhen	tʃa tsˈɛn
sicuo	sɯ˥˥ʈʂʰu˧˥
thomas	tsu˨˩˦ma˥˩ sɯ˥˥
we	wˈeɪ
wohuoda	ɦoɾhɔːda
wong	tũŋ˨˩˦
xian	ɕjɛn˥˥
xiaomi	flˈo̞mjˈ
yiyang	iːe̞
you	jˈu
“鞋带子”的意思是指鞋帶	a˨taɪ˥˩tsɤ˧˥   i˥˥fɑŋ˥˥ʂɚ˥˩ ʈʂɚ˨˩˦ ʂttaɪ˥˩
䭰香的	pennˈgˈnˈɛnkˈnˈdi
一	i˨˩˦
一口气囵吞	i˨˩˦ tɕʰi˥˥ lʊŋ˧˥tʰɤŋ˥˥
一句	tsɛˈwe
一句言	i˥˩tɕy˥˩
一句话	jy˥˩ fɔ˧˥
一塌糊涂	i kˈuv
一声喊	i˥˩ sin˥˩tʰaː˥˩
一打无风	liː toːoːʋuːhɯ̞ŋ
一杀橘子	i˨˩˦ɕtɕy˨˩˦tsɯ˧
一杀西瓜	i˥˩suɔ˨˩˦ ɕʈi˥˩i˥˩ kluɔ˥˩
一步两搭桥	ni˨˩˦ pu˨˩˦ɑtɕiaʔ˨
一点点	ti˥˩ti˥˩tsɤ˥˩
一片四片的	ni˨˩˦tʰjɛn˨˩˦tʰjɛn˧˥ni˨˩˦
一直	tʃinto
一脬尿	ni˨˩˦pʰa˥˥ɑt˥ɕjɑŋ˥˥
一脬屎	tɑpʰɑ˥˩ sɯ˥˥
一致同意	i˥˩ʈʂi˥˥tẽŋ˨˩˦i˥˩
一起	iːlɛːʊ
一路来[slash]路来	ni˨˩˦lʊŋ˨˩˦laɪ˧˥
丁	tiŋ˥˧
七	səˈiː
七里八里	tʃiː˧˥ ri˨˩˦ po˥˩ː˧
万	wˈʌn
三	san˩
三角幔	saŋgoma
上	sã˥˥
上海	ʃˈɔn hˈat
上海市	lɔŋ˨˩˦xaɪ˧˥ʈʂɚ˧˥san˥˩xaɪ˧˥ʈʂɚ˧˥
上街	sɑŋ˨˩˦kɑ˨˩˦
上海	liau˨˦kʰa˥˥
下	hɑː
下不得地	ʃɔbɔdɑ d̪iː
下雨	loːˈy
下雪	loːsɯː
不作声	u˨˩˦tsau˥˥ sən˨˩˦
不作声不作气	ku˨˩˦ tɑʊ˥˩ ʂɤŋ˨˩˦ ptsɑʊ˥˩
不如法	u˧˥
不嬲塞	u˨˩˦nɕŋ˥˥satʰ
不带爱相	toɔ˥˩tan˥˥a˥˥ɕn˥˥
不得到岸	m̩˨˩tɐi̯˥
不是	moza
不碍	puːn˧a
不要	nˈe
不进油盐	u˧˥tɕɪŋ˥˥ ɪŋ˥˥
不黏边	uŋuape
不齿他	tsu˨˩˦
世界	sɯ˥˩ kʰan˨˩˦
世界和平	sɯ˥˥ kaɪ˥˥ku˨˩˦pɪŋ˨˩˦
东	tʊŋ˥˥
东屯渡	tɯ̞n˪tɯ̞n˥dɑb
丟臉	seke
丢了	toːgada
丢堆	tio˨˩˦ te˨˩˦
丢格	tio˨˩ kɔ˨
丫开嘴巴	nʔkʰaː˧tɕaj˧bɔːk˨˩
中共中央军事委员会	tsʊŋ˥˥kɔːŋ˧˥ tɤn˥˥ jen˧˥ tɕyn˥˥ tɤ˧˥ jœɔ˨˩˦
中午	tənˈu
中华人民共和国	tsɤŋ˥˥ fɔ˧˥ ʐən˧˥mɪŋ˧˥kɤŋ˥˥ xu˧˥u˧˥kuɔ˧˥
中国	tjɛn˨˩˦kwat˦
中文	ʈʂʰuŋ˥˥uən˧˥
中華人民共和國	tsɐn˥ wɔː˧˥ mĩːn˨˩kʰʊm˥
中華民國	tsɤ˧˥fu˧˧ min˨˦kwan˨˩˦
中華臺北	tsɤŋ˥˩fa˥˥tɕjɛ˥˩ peɪ˥˩
串门子	tsʰu˥˥mən˧˥tsɯ˧
乃	nˈaɪ
么子	muzɯ
乙	i˨˩˦
九	etjˈo
九寨溝	tsiːue˧˥
也卵	jˈeʁoʊ
习惯	i˥˥kwan˥˥
乱它	lundɯˀ˩
了	lˈ
了撇	liau˨˦pʰi˥˧
了解	lia˧˧ɔ˨˦ ka˥˥
了难	lal
二	pɔː
二里半	lə
二马路	ɯːmɔːlɔː
云里雾里	ɥœn˧˥ li˨˩˦ʊ˥li˨˩˦
五	u˨˩˦
交通大學	tɕjɛ˥˥sən˥˥tɕjɛ˥˥ ʂoʊ˥˥
产权	tɥœn˨˩˦
亮窗	ljɛn˨˩˦ʈʂʰwan˥˥
人	n
人参米	zən˧˥sən˥˥mi˥˩
人脑壳	lian˨˩ma˥˥ kʰoʊ˥˩
亿	iˈe
仇	tso˧˧
今天	tɕɪn˥˥tʰi˧˥ tsit˦
今日子	tʃaːnˈiː
今日早上煮两砸圞蛋呷	tɪŋ˥˥li˥˩tsaʊ˥˩ʂan˥˩ tɕy˥˥ljɛn˥˥ʈʂoʊ˥˥luən˧˥tɑŋ˨˩˦ tɕʰjoʊ˧˥
介紹	ka˥˥sɔ˥˧
他	tɕi˥˥
他人	tʰa˥˥ɕjɛn˨˩˦
令狐楚	liŋfu˨˩tsʰoʊ˥˧
任	pjẽn˨˩
伏得桌子上	u˧˥ tsu˨˩˦tsɯ˧kɑ˥˥
会场	fɑŋ˥˥fɑŋ˧˥
伢仔	ŋuaː˧˥
伢子	nˈɑːtsə
伢崽	ɑ˨˩˦tsɯ˧
伢老官	joʊ˧˥kʊŋ˥˥
佃	tɪŋ
佃户	lˈɛ̃fʊ
佃房子	tɪŋ˥˥fɑŋ˥˥an˧˥ʈʂɚ˨˩˦
体育场	tʰi˥˥ joʊ˨˩˦tsǎŋ˨˩˦
体育课	tɕi˥˥satʰkoʊ˥˥
何之個？	u˨˩˦tsɯ˥˥ku˥˥
何解咯	ugaro
佘山	ʃaːsaː
佛山	fu˧˥sən˥˥
作古正经	sɯɢudɯŋit
作呕	tsu˨˩˦mɤ˥˩
作揖	kwa
作死	tsɑʊ˥˩ sɯ˥˥
你	u
你人	mijan
你到岸（到目的地）哒冇咯	la kaːn akompano malo
你哪里堌憨咗！你真的是杂憨子咧！	niː ɔːlɪgɔ hɑːnz uː ɪtsənliːs zɔː haːnz leː
你好	tɕʰi˧˥kɤ˥˩ lɤ˥˩ kɤ˧˥
你爷老子还在后背（后面）。	ni˨˩˦ ɑ˧la˥˥ tsən˧˥ txaɪ˧˥tɕjɛ˥˥xɑʊ˨˩˦ beɪ˥˩
你自家去撒	li˨˩˦tsɯ˧˥ʂukɔ˨˩˦kʰɤ˥˥sa˥˩
你跟我跪得那里咯	ɬiː kɔŋɔː kʰɔ̀ːɹɔ̙ lɔ lɔː ɮ lɔː
佻脑壳	tjɛ˨˩˦la˥˥kʰu˥˥
俄羅斯	na bɔɾɔsɔ
俨像的	n˩˩˦i˨˩˦jɑŋ˥˥tɕjɛn˨˩˦
修理工	sioʔ˨li˨˩˦kʊŋ˥˥
倒瓤	tɑʊ˥˥jɛn˨˩˦
倫敦	lndən
倭國	wokai
倭寇	uɔ˨˩˦kʰoʊ˨˩˦
倾瓢	kʰw˥˥a˥˥pjɑʊ˨˩˦
倾（kaung）水	kʰw˩˦aŋ˨˩ʃuː˩˧
做什么	tsɛʊ̃mɔːtsɐ
做梦	tsuːman
做死地（个）	zau̯sɛko
做生意	tsɤ˥˩  i˥˩
做道场	lɐu˨˩tɑŋ˨˩
偷人	tʰa̠i̯˧˥jɐn˨˩
偷油婆	tʰɤ˥˩jɛ˨˩˦ pu˧˧
储物柜	tɕy˨˩˦ u˥˩kweɪ˥˩
傻呆呆	haaːtq
傻得死	fɑŋ˥˥tɤ˧˥sɯ˥˥
傻瓜	ha˥˥ɕiŋ˨˩˦
僅僅是	tɕʰɪŋ˥˥tɕʰɪŋ˥˥ʂɚ˨˩˦
像	tɕjɛn˨˩˦
像模像样	tɕjɛn˨˩˦mɤ˧tɕjɛn˨˩˦jɛn˧
儿	ɚ
元稹	ɥœn˧˥ʈʂən˨˩˦
兆	tsau˥˧
先生	ɕən˥˥sən˥˥
光荣	kuan˨˩˦a˥˧jɪn˨˩˦
光蒂油	kwan˨˩a˥˧ti˥˩
入	lɛp˦
入你妈妈逼	ioːnim˧˧ŋ˧mɔː˥mɔː˥bi˧˧
全国代表大会	tɪŋ˥˩ kuɔ˥˥ta˥˩  ta˨˩˦fɤŋ˧˥
八	fou˥
八角亭	poːgoːtn
公安局	senaŋˈgy
六	lɔː
关严	kwan˥˥a˥˧
养崽	tɑʊ˥˩ʐan˥˩
冇	mɔːnˈ
冇事	ma˨˩˦lɤ˨˩˦lɤ˧˥
冇始(了)影	maːlsɔ ɾɔnˈ
冇得	mau˨˩ti˧˧
冇得嘞	maʊ˨˩ de˨˩raː˧j˧
冇得板	maːtˈɐpaːhə
冇挨你一下（没碰你一下）	mɔːŋaːriːhɔː
冇洒起	mɑʊ˨˩˦sat˦ai˥˩tɕʰi˧˥
冇究事	ma˥˩i˨˩˦tɕjɑʊ˨˩˦aʂ
冒失	malsɨ
冷	lɔn
冷火秋烟	lɔːŋ˧huː˧tɕʰɑː˧iːn˧
几	tɕĩ˧˥
出洋相	tɕy˥˥jɑŋ˨˩˦ ʰ
出老	ylˈɑp
出街	tɕɥœ˧˥kai˨˩˦
刀	tɔ˥˥
列位	li˨˩˦
刘少奇	fˈɛʁ ʒˈɑki
刘海砍樵	liau˨˦a˥˧ kʰan˥˥tsi˨˩ hau˧˧
刘禹锡	ljoʊ˨˩˦y˨˩˦ɕi˥˥
刘采春	tsʰɐi̯˨˩
别个	bən˧˥
刮瘦的	ko æz ði
刮风	pɔːfən˧
到堂	ta˥˥ta˥˥
到岸	tɑma
到岸噠冇	laːwnaːn˩˩˦t˥ʊm˨˩˦
剁饼	tuː bĩ˧˧
前世	tɕyn˥˩ʂɚ˥˩
前天	tsĩ˥˥ ɕy˥˩weɪ˥˥
劈成两半	lo˧˧tən˧˥neː˥˩ bu˥˧
劉少奇	ljoʊ˨˩˦ʂɑʊ˥˥ʈ
劋薄	lən˥˥pɔː˥˥
力	li˥˩
力不从心	li˨˩˦ pu˥˩ tɕɪn˥˥
劲咸的	tsiːn haːniː
劳为	lɑʊ˨˩˦weɪ˧˥
劳共	lˈɑːgən
匀净	miːn˧tsɯ˥˩
包括	pɔ˥˥kʰu˨˩˦
化学课	fɔː ʃokwˈˈ
化龍池	ɑʊ˥˥lɤŋ˧˥tsɯ˧
北京	bɑːɑːn
北京市	pɤ˥˥tɕɪŋ˨˩˦sɯ˧
北正街	tsən˥˥ka˥˥
十	ʂɚ˥˥
十二个月	sa˥˩ kue˥˥ɥœ˧˥
千	tɕʰi˧˧
千字文	tɕʰi˥˥ tsu˧˥luən˧˥
卓	su
单车	antˈo
南京	la˥˥an˨˩˦tɕɪŋ˥˥
南京市	n˪˥an˧˥tɕɪŋ˥˥tsɯ˧
南门口	lɑːmən˧kʰɔː
卜	u˨˩˦
卢纶	lɔːlɛː
卵弹琴	løndæŋ jæm
卵弹鬼	tãn˥˥ tʰã˥˥kɰɯ̀˨˩˦
厂	tɕʰaŋ˧˥
去	kə
又	dˌiːzə
发宝气	pɔ˥˥pa˥˥ɔ˥˩
发狠	fˈoːɢən
发狠读书	fo˧˥xan˥˩ tɑʊ˥˩ɕy˥˥
发猛气	fɑŋ˥˥mɑŋ˧˥tsʰi˥˩
发财	fu˥˩
叔伯兄弟	sau˨˩pa˥˥ sin˥˥ti˥˩
叔伯姊妹	tɕʰoʊ˨˩˦ tse˨˩˦ meɪ˧˥
取	tɕʰi˥˥
取下来	si˥˧ ho˨˦la˥˧
取钱	tɕʰi˥˥tɕy˨˩˦
口味虾	kʰɔː˧wʰj˩˦ hɔːk˨
只个[slash]直个[slash]是个	tsɯga
叫花子	kɔnˈfatsɯ
叫鸡公	kɪːk kiːkɐn
台北	taːbe
台北市	ta˨˩˦aɪ˥˥pɔ˥˥ sɯ˨˩˦
台湾	tajˈvɑ
史书	sɯ˥˥
司空曙	sɯ˥˥kʰɤŋ˥˥ɕɥœ˧˥
吃	tsja˥˥
吃亏	tsʰakʰue˧˧
吃什么	tɕʰjɛ˨˩˦mɔ˥˩tsɯ˧
吃住别个	tɕʰoʊ˨˩˦ tsy˥˥ peɪ˨˩˦ kɔ˨
吃子	køːt bu
吃水	tɕja˥˥
吃烟	tsiajɛn˧˥
吃粥	kiatɯ
吃酒	tɕatʃoɯ
吃面	tʃami
吃饭	tɕʰjoʊ˧˥fan˥˩
吊儿郎当	tˈɛ tjˈə ˈo ljˈ ˈo nˈɔ̃
吊颈	tiau˥˧tsĩŋ˨˩
同伴	tʰũŋ˨˩pan˥˥
同学	tʁ˨t˥sɯ˥˧
后天	ho˩˦tsɯ˥˩im˥˩
后排	aɪ˥˥
后日	aw nˈi
后番	hˈeːfə
后背（后面）	aɪˈvɛ
后面	hɑl
吐涎	tʰau˥˥tsǎŋ˨˩˦
听讲	tʰiŋ˨˩ ka˥˥
吸手指	tɕi˧˥səʊ˥˥ʈʂɚ˥˥
吸管	tʁˈiːkʊŋ
呂	lˈeɪ
呆卵	ale
呆滞	aɪ˥˥tsɯ˥˥
呆痴	n˥˥aɪ˥˥tsʰɯ˥˩
呷饭	kʰoː˧faː˧
呸涎	hɛ˥˥
和	u˨˩˦
和平	xu˥˩˦ pi˨˩˦
咬人	mɔ˥˩ ʐən˧˥
咯里	ko˥˩li˨˩˦
哈利油	halio
哈卵	kʰaːn˥˩oːʔ
哈爾濱	pojˈbˈinˈ
哑子	nˈɔto
哥哥	kɔkɔ
哪个	naːko
唐山	dŋsaː
售票员	tsou˨˩˦pʰjɑʊ˥˥y˧˧
唱夜歌子	tsʰan˥˩ ko˥˥tsɯ˧
唱歌	tʰaŋ˥˥ku˨˩˦
喂猪	tɕy˧˥
喊应	hɒːiːm
喜欢	si˥˧hoŋ˥˥
嗍	suː˨˩
嗍一下	su˨˩˦
嗍米粉	su˨˩mi˥˩ pən˥˥
嗦螺	sˈuːlˈʊ
嗲嗲	tɪã˨˩ tɪã˨˩
嚇人	xɤ˧˥
嚇死噶人	ʂɚ˥˩ʂɚ˥˩  ʐən˧˥
嚇老子一跳	xɤ˧˥la˥˥ʈʂitʰjɑʊ˥˩
嚼骨头	tɕʰuɔ˥˥ku˨˩˦ tɑʊ˥˩
四	sɯ˥˥
四川	sɯ˥˥tɕʰu˨˩˦
四平路	sɯz
四路子	sɯ˥˥ ɑʊ˨˩˦tsɯ˥˩
四路子觑	sɯ˥˥   ʈʂɚ˥˥
回去	sǎ˥˥hɐ
回屋	vˈe vˈu
困觉	kunt̪a
囵吞	lʊŋ˨˩˦tʰɤŋ˥˥
固态硬盘	ku˥˥tʰan˥˥tŋ˨˩˦pŋ˥˥
国庆	gɤ˧˥aɪ˥˥kɤ˧˥fɑŋ˥˥ʂɚ˥˩la˥˥kwan˨˩˦aɪ˧˥kɤ˧˥fɑŋ˥˥kwan˨˩˦a i˥˩
国际语音学协会	kʰeʔ˨ tɕi˥˩yn˨˩˦kɤ˥˥sioʔ˨˩˦sie˥˩feɪ˨˩˦
圞	dˈiʁ
圞巴巴	nˈoːɛ̀
圞蛋	nˈoːŋdˈa
土矮子	tʰɤ˥˩ŋ˥˥aɪ˥˥tsɯ˧
在大街上	taːi̯˨kaːi̯˧˥
在旁边觑	ta˥˩pa˥˥ min˥˥tɕʰi˧˥
圪	kɔ˥˥
圪圪子	kɔːgɔtsi
坡子街	tʰu˥˥tsit˦˥ka˥˥
坨肚	tʊ˥˩tɑʊ˥˩
垛起来	tɔ̀u̯tɕiɾa
垻脑壳	pɔː laːʊpɔː
埃及	ɑ˥˥ aɪ˥˥
堂客	tʰonkat˦˥
堂客们	t̪õŋ kama
堂屋	tʰaŋ˨˩
塞进去	sa˨˩˦ tɕɪn˥˥kɤ˥˩
墨鱼	miai
墨黑	mˈɛʁə
壁爐	fau̯t̪o
壮语	tsʊŋ˨˩˦y˥˩
外地人	vaːtiːjɪn
外理	tyˈriː
多少銭	a˥˥kɑʊ˥˥tʰu˥˥ni˧˥
多时	tuɔ˥˩ʂɚ˥˥
夜光	jɔːgɔm
夜歌子	ɯˈɔɫtʃuz
夜里	joɯ ɾi
大古道巷	ta˨˩˦i˨˩˦ku˥˥ta˥˩xɑŋ˧˥
大學之道,在明明德	taɪ˨˩˦ɕjoʊ˥˥tsit˦aʊ˥˩aŋ˥˥mjɛn˨˩˦mjɛn˨˩˦tɤ˧˥
大峡谷	da˩˥ːj ʃa˥˥kok˨
大虫	tsa˥˩
大跃进	ta˨˩˦ʔiaʊ˥˧tɕĩŋ˥˥
大連	dˈoːli
大鱼大肉	ta˥˩ y˧˥ta˨˩˦lɔ˥
天安門	tʰiː˥˩ŋ˧ŋ˧mɑm˥˩
天安門事件	tʰɪŋ˥˥an˥˩ muən˧˥ʂɚ˨˩˦tɕɪn˥˥
天安门	tien˥˥an˥˥mən˧˧
天心閣	tʰi˧˥
天晏了	tjˈɛ̃˨g˨aː˧˧nˈɛˈ
天晴	tʰi˧˧tsĩ˧˧
天津	teːˈnzɪn
天要下雨，娘要嫁人	tʰjɛn˥˥ɕɥœ˧˥ɕjɑʊ˥˩ y˧˥jɑŋ˧˥ɕjɑʊ˥˩
天高皇帝遠	tʰjɛn˧˥ka˥˥ɔ˨ŋ˨˩˦ti˥˩ɥœ˥˥
太上隐者	tʰʰaɪ˥˩ʂɑŋ˥˩ɪn˧˥ʈʂɤ˨˩˦
太阳穴	tajˈunkə
失噶哒	sɯ˥˩ gɤdɑŋ
失本	sɯːbɯn
失格	sok˨ou˨˩
失过著	seɾente
头	tɕʰo˨˩˦
头前	lau̯tɕi
头皮	tau˨˩pi˧˧
夹	a
夹多利多	gio˨˩a˨˩n˩˩˦lito˨˩
夹衣	tsa
夹跘	tɕuɔ˥˥
奶子	la˥˥tsɯ˨˩˦
好	ˈɑː
好焐	aˈvu
好生讲话	pʰa˥˥sən˥˩ ka˥˥pu˥˩
好生读书	tʰau˨˩sən˥˧ tʰau˨˩˦ɕy˧˥
好窄	pʰa˥˥tsɯ˧
好自为之	pɑʊ˥˥y˥˩ʈʂɚ˥˩weɪ˧˥ʈʂɚ˥˥
好衰	aɪ˥˥ʂu˥˥
如今	y˧˥tɕɪn˥˥
妈妈	mˈˈ
妹子	maʒi
妹崽	meɪ˨˩˦tsɯ˥˩
妹幾	mɛ̃˨
姊妹	tsɯ˥˥ mi˨˩˦
姐姐	tʃaːtʃa
威廉姆斯	i˨˩˦nɕjɛ˥˥mu˨˩˦ sɯ˥˥
娘老子	n˩˩˦jɑʊ˥˩  ˥
娭毑	najdz
婆婆子	boːbɯtsɯ
婆子	bɯːtsɯ
嫩白的	laːm pəgəri
嬲	io
嬲卵谈	tjalɛnda
嬲塞	nensaː
嬲屄	nˈoːp˨eɪ
嬲里	ɲali
孝子	tɕi˨˩˦ ɕjɑʊ˨˩˦tsɯ˧
孟	mɑn
孟子是伟大的思想家	mən˥˥ʈʂɚ˨˩˦ʂɚ˨˩˦  tta˨˩˦  ɕɥœn˥˥kɔ˨
学习	siu˨˩sĩ˥˩
学堂	tɕu to
学堂坡	tɕjoʊ˨˩˦ tan˨˩˦ pʰu˨˩˦
学校	ɕjɑʊ˥˥
学生	ɕuɔ˥˥sən˥˥
孫	sən
學生	tɕˈɛ
安亭	n tiən˨˩˦
宋	sɯ̃
