-ին	ɪn
-ում	un
1	mɛk
10	tos
101	ãjɾuɾulme̞k
11	bˈɑsnimik
12	tˈasɲiɛlkv
13	tˈasnˈiːɹɛk
14	takhˈtnətʃˈɔrs
15	tɔsnɔhim
16	tasnavɛts
17	tˈasniˈjɔt
18	tɑsnut
19	tɑsnɛæast
1914	hazaːriːnɒːɾuːdɒːsntʃɒˈɾs
1918	ɑzɑriːnɑɑrʊtasnɑˈvuːd
1931	hɑzɑrenijɑrʉɾjerɾsemeq
1939	hsɑrɣmˈɛħvˈhɑlɪzˈhɑnɑnɑn
1945	kasʁaɾimaːɾuːrkarasoːnhig
2	ʝˈɛɹkˈu
20	qɯ̞sɑm
200	ge̞ɾkʊhɑjˈɾuɾ
2013	kuaːsəkɔsˈniː
2014	jeɾgoəzɒɾtɒsŋtʃoɾz
24	æssæntʃˈɑːrs
24-ժամյա	ksonˈtʃoɾsʒɒːmjæ
3	jeˈɾɛk
30	jarastõm
300	ɢiːɾe̞khɑːjˈɾuːr
36	nʲirasoŋvɛtsɨ
37	kerɛsˈunjˈot
4	tʃaɾs
400	boːrsajɾuːɾ
5	hɪ̞ŋ
500	miŋgəhˈˈɛ
52	ɪtsɪnɛjɪpɔ
6	bets
600	metsɔjɾuɾ
700	jɒˈthɒjˈɾuɾ
8	tˈut
800	muːtsˈɑhˈɑjruːr
9	ilnɔ
900	neˈmiːhajˈɾuɾ
henrikh mkhitaryan	henɾiːx mχiːtaːɾiːən
hovig	ɦɔʋik
iveta mukuchyan	i vɛta mu kutʃan
kouyoumdjian	kʏljŋdʲiː˥˧ɑːn˧˥
ա	ɑːjˈd
աբրահամը	abraːɦɐmɐ
ագահ	aga
ագեվազ	agɛvˈaz
ագունիկ	aːguːniːk
ագռավ	atraf
ագրեսիվ	ɐgɾɛsiv
ագրեսիվորեն	agrɛsivɔræɲ
ագրոկոմբինատ	agrakompilat
ադամ	adˈɑm
ադամակերտ	adɑmɑkjɑɾ
ադամանդ	padamɐn
ադամի	adami
ադանա	ɑdɑnɑ
ադրբեջաներեն	ɑdɾbeʒɑneɾel
ադրբեջանը	atuzbedʒani
ադրբեջանցու	atəɾpejdʒaːntsuː
ազատ	azɫɑt
ազատագրի	atsˈatadʁˈi
ազատակամ	bazaːtaːkan
ազատական	nˈoʊnˈoʊnˈoʊsˈiːləsˈændmˈɑːlˈɔfɪq
ազատամիտ	tɑzɑtɑmmit
ազատասիրություն	azatasʲirɪtsʲon
ազատել	azatæl
ազատել է	azatɛlɛ
ազատին	azɑːˈtiːn
ազատության	azaduθjan
ազատություն	aˈzɑtɔtʃu
ազատվել	azatvɛn
ազատվել է	azat vˈɛlɛ
ազգագրություն	asgagrutsʲon
ազգական	azgaqɑn
ազգականուհի	ätsʲgʲɑkːɑːnʊˈhi
ազգանուն	azganɔn
ազգեր	azgeːr
ազգի	aske
ազդանշան	ɑsdɑnɯʃɑn
ազդանշանների	ɑːzdɑːnʃɑːne̞ɾiː
ազդեցությանը	næzˈdetʃʰontʃæˈne
ազնավուրյան	asnavurjɑn
ազնիվ	aːzniːf
աթեիզմ	ɑːteːz
աթոռ	ɑˈtɔɾ
աթոռակ	atːoːrak
ալագյազ	alaːgjaz
ալան յովհաննէս	alaːn jɔˈvɑnɛz
ալանի	qɑlɑnij
ալաշկերտ	alɑʃkɛst
ալարկոտ	ɑːllɑːrqɑːt
ալեզարդ	ɒːlɒzɒːɾt
ալեհեր	ɔːleːeɾ
ալեքսանդր	ˈɑlɛksɑndɯɾ
ալեքսանդրապոլ	alɛksandrĕapɔl
ալեքսանյան	alɛksaɲan
ալիք	alˈe
ալիքը	alɛka
ալկոհոլի կում	alkoholi kun
ալկոհոլից	alkoholɪs
ալմաստ	almas
ալմաստի	almɑsti
ալյումին	ælʊmɨm
ալրային հրուշակեղեն	ˈɑləɾaːjn heɾuʃaːkjeχt
ալևոր	alevoːr
ախալցխա	aːχawtsxɑr
ախորժելի	axˈaʒəlˈi
ախտ	ɑːt
ակ	ak
ականանետների	akkaˈnɔ̃amɛtˈɛʁi
ականապատ	ɑtɑnɑpɑt
ականապատել	ˈakanˈəpatˈeŋ
ականատեսները	ɑkɑnɑtésŋéɾje
ականջ	akɒntʃ
ականջ դնել	taːkəntʃ dɪnəl
ականջող	ɒknuɒg
ականջօղ	akanʒo
ակնաբուժություն	aqnɑbʊ̞ʒʒɛn
ակնարկ	atmɨ
ակնհայտ	lknheɪt
ակնհայտ են	aqqən heɪten
ակնհայտ է	aːtən haltɪ̞
ակնհայտորեն	akənhɑjtoren
ակնոց	akːanˈats
ակտիվ	aktiv
ակտիվացման	aktivatsɛn
ակտիվացնում	aktivatsnɔg
ակտիվորեն	aktivoɾent
ահա	aha
ահավոր	aχɑwɑr
ահեղ	ˈɑhɪɾ
աղ	ˈeɪ
աղալ	ɑʁɑl
աղած	aɣat
աղաղակ	aɣaɣak
աղաման	ɑɣɑmɑn
աղաչել	ɑːɣɑːtʃʰelum
աղաջուր	ɑɣadʒuɾ
աղասի	tɑːgɑːsɪ
աղավաղել	ɑʁɑvɑˈgæl
աղբը	ɑqtɯ̞
աղբյուր	ɑxteʁ
աղբյուրներ	ɑqtɨrnɑɾ
աղեդիտում	aʁadɪtʊ̞m
աղեկյան	ʁɛgˈan
աղետալի	aːgədɑlɛ
աղերսել	ɑˈgɑrsɛl
աղթամար	ɑχtɑmɑr
աղի	ɑːʋiː
աղիք	ˈɑː
աղիքներ	aɣəknət
