114	θentodetsekvaro
13tie incontro nordic de interlingua	ðə tɛrtʃɛnt tɛrtʃən kontrolnɔrd ɪktɪŋdɪɾbim
1847	mileoktotsentoskarantasepte
20me conferentia international	vintˈezjne konfeɾˈɛntsia internatsionˈale
a	a
a basso	abasso
a fin de	a finð̞e
a fin que	afinke
a fortiori	a fortsiɔri
a parte	a hɑrtɯ̞
a pena	a pɛna
a posteriori	a pˈosteˈrˈiˈɔri
a presso de	a pɾesʊ dɛ
a priori	a pri iori
a revider	ˈɾe βjˈre
a tempo	a tempo
a transverso de	atranʂvər sˈoː dˈeːt
a vices	abvitses
ab	ab
abaca	abaka
abaco	aːbako
abandonamento	abandonˈamento
abandonar	abandonˈɑːr
abandonate	abandonate
abandono	a˩˥ːbãn̪d̪ono
abassamento	abassemɛntɔ
abassar	abafˈar
abatter	abatɛr
abattimento	abatimeto
abattite	aˈbˈatːitˈɛ
abattitor	abat̪t̪it̪oɾ
abattitorio	abatːitorˈio
abbate	aˈbːate
abbatessa	aːbːatˈɛsˈa
abbatia	abatia
abbatial	abat̪siol
abbordabile	aːbːɔrdˈabile
abbordage	abordage
abbordar	aβ̞β̞oɾð̞aɾ
abbreviamento	abrɛviamˈento
abbreviar	apɾeβ̞jaɾ
abbreviate	abreviate
abbreviation	abrɛvjatsiˈon
abbreviative	previativi
abbreviativemente	abbrɛviativemɛntɛ
abbreviator	abreviator
abbreviatura	abrˈeviatʊrˈa
aberrante	aberante
aberrantia	abɛrɾantja
aberrar	aβ̞eɾɾaɾ
abolition	aboliθjõn
abolitionismo	abɔlitsiˈonismo
abonar se	abo nɛrsæ
abonato	abonato
absente	absente
absenteismo	abˈsɛnˈtɛˈizmˈw
absentia	aβ̞sensia
abside	apside
absolute	absolʊtˈa
absolutismo	apːsolutiːsmɔ
absolutista	abzolutista
absorbentia	aβ̞soɾð̞nkia
absorber	absoɾbær
abstinentia	abstinentsiːa
absurde	absoɫɯ̞tːʊ̞
absurditate	absoɾditate
abundante	abunð̞ant̪e
abundantia	abundantsja
abundar	aːbundaɾ
academia	akadɛmja
accelerar	aktsiilbˈɪrˈaˈr
acceleration	aktseleɾatsion
accender	aktsɛndɛr
accento	aktsɛnto
accentuar	aktsɛntuaɾ
acceptar	agtsɛptar
acceptation	aktsɛptatsion
accessibile	aktsɛsiːbla
accesso	aktsɛsso
accidental	aktsiːdentˈal
accidente	aktsiðent
acclamar	ɑkɫɑmɑr
acclamation	aklamatsiõ
acclamator	aklamator
acclarar	aklaɾaɾ
accommodation	akomodatsion
accompaniamento	akompaniamento
accompaniar	akompanʝaɾ
accompaniator	akompaniat̪oɾ
accordabile	aqaɾðabile
accordante	akkoɾdante
accordar	akːoɾðaɾ
accordo	akːordo
accostumabile	kɔstumabilˈe
accostumar	akost̪waɾ
accostumate	akːostʊmatˈe
accreditar	akreditaɾ
accrescer	akɾestseɾ
accrescimento	akressemɛnto
accumular	akumulaːr
accumulation	akomulatsiõ
accumulator	akkumulator
accurate	akkuɾate
accusar	akusaɾ
acere	ɑtsɯɾɯ
aceto	atsɛtɔ
acicula	atsikˈula
acide	æðæmˈsidˈ
aciditate	atsjivistate
acido	aːtsido
aciero	atsjero
aco	ako
acquiescentia	akuiɛstsɛntsja
acrobatia	akrobatia
actinium	aktinjum
action	akθion
activar	aktivaɾ
active	aktiːvi
activitate	aktivitˈatə
acto	akto
actual	aktwˈal
actualisar	akt̪walizaɾ
actualisation	aktualizatsiˈon
actualismo	aktualizm
actualitate	aktualitaːtˤa
actualitates	aktualitates
actualmente	aktualmente
acuitate	akvitatˈe
acustic	akˈustik
acustica	akust̪ika
acute	akute
adaptar	ɑdɑptar
adaptation	ˌadapːtatsiˈon
adaptator	adaptator
adder	at̪eɾ
addition	aditsion
additional	aditsional
additionar	aditsjonaɾ
additive	additive
additivo	additivo
addormir	at̪ð̞oɾmjɾ
addormir se	adormejiɾsɛ
addormite	adormite
adenoide	adenoiðe
adeo	adɨu
adherentia	adjərɛntsʲia
adjacentia	atʃatsensia
adjectivo	adʒeːkˈtɪvʌ
adjunger	atʃoŋgeɾ
adjustar	atsʝust̪aɾ
adjuta	ãnjut̪a
adjutar	at̪xut̪aɾ
administrator	administrator
admirabile	admirabila
admirar	at̪mjɾaɾ
admirator	admirator
admissibile	admisibilɛ
admissibilitate	admisibilitatˈe
admission	admisjon
admitter	atmɪtɚ
admoner	atmoner
admonition	admonitsion
admonitor	admonitor
adolescentia	adɔlɛstsensia
adoptar	adoptaɾ
adoptate	adoptaːtˈe
adoptator	ˌɐdɔptatˈoɾ
adoption	adoptojˈon
adoptive	adoptive
adorabile	adoɾabjle
adorar	adʒoɾar
adoration	ˌaðoɾatsjˈon
adorator	adorator
adoratrice	adoratɾitsɛ
adressar	adˈresˈaɾ
adressario	adresario
adresse	adrese
adriana	adriˈana
adriano	atriano
adulte	adulte
adulterio	adulterio
adulto	adulto
adumbrabile	adumbrabile
adumbrar	að̞omβ̞ɾaɾ
adumbration	adumbratsiõŋ
adverbial	advɛrbiau
adverbio	abveɾbjo
adversario	adversario
adverse	adverse
adversitate	adversitate
advertentia	advɛrtɛntsia
advertimento	adertimento
advertir	advɛrtyr
advertitor	advɛrtitor
advocar	adbokaɾ
advocato	advokaːtɔ
advocatura	advokatura
aerar	ajɾaɾ
aerate	la
aeration	ajratsiˈon
aerator	aeɾatɔɾ
aere	aeɣ̞e
aerobic	ajrɔbʲik
aerobica	ajrobika
aeroclub	ajroklub
aerodromo	airodroˈmˈo
aerodynamic	ajrodjnamik
aerodynamica	airodinamika
aeronautica	ajronau̯tsika
aeronaval	ajrʊˈnaval
aeroplano	ajropˈlˈanˈo
aeroporto	aɛropɔrto
aerosol	aiɾosɔl
affabile	fafʊle
affabilitate	affabilitatˈe
affaire	afeɾ
affamar	aθamaɾ
affamato	affamato
affamator	affamator
affectar	affekt̪ar
affectate	affektate
affectionar	afektsionaɾ
affectionate	afektionatˀe
affective	fektive
affectivitate	affektivitate
affecto	affektʊ
affiliar	æfˈiljˈɑːr
affiliate	ɑfɪliːˈʔat
affin	aθˈɪn
affinitate	affinitate
affirmabile	affirmabile
affirmar	afiɾmara
affirmation	afirmatsion
affirmative	affirmativi
affliger	afligˈer
affluentia	afluẽn̟θia
affollamento	affallamento
affollar	affɔlar
afghanistan	afganistˈan
africa del sud	afɾika del suɾ
agenda	aːgɛnda
agente	agente
agentia	agentsia
ager	ageɾ
aggrandimento	agrandimento
aggrandir	aɣ̞ɾãn̪d̪iɾ
aggranditor	agranditoɾ
agitar	agitɑk
agitate	aːgjtaˈte
agitation	agitatiˈon
agonia	ˌɐgunˈiɐ
agradabile	aːgraˈdabile
agradamento	agradamento
agradar	ˌɐgɹɐdˈaɹ
agrafar	ˌɐgɾɐfˈaɹ
agreste	agreste
agricultor	aɣ̞ɾikul̪t̪oɾ
agricultura	agrikultura
agulia	aːgulɛa
ah, vos ha perdite vostre clave?	a vˈos apˈerditi ˈvostrɪ kˈlavɛ
al	al
al diabolo con illa	al diablo kon ilo
al diabolo con ille	ɑtjɑbɯlɯ̞ kʏn iʎɛ
al diabolo con illo	al djˈaːvolo konˈllo
al fin	alsim
al hasardo	al azadɔ
al merda con illo	al mˈɛrˈdˈa kon lɔ
al merda con isto!	oh merda kun isto
al plus	alə plos
ala	ala
alacre	alakre
alacritate	alakɾitat̪ɛ
alambic	ɑlɑmbek
albania	alβˈɑnja
albe	albe
albergero	albergero
albergo	alβɛrgɔ
alcohol	alkohɔn
alcun	alkun
alcuno	alkˌʊno
aleatori	aliatorɪ
alexandra	aleɣ̞sãn̪d̪ɾa
alexandro	alɛksãn̪d̪ro
alexipharmaco	aleksifarmakon
algebra	ɑɫgɛbɾa
algebric	alɣ̞ueβ̞ɾik
algeria	aldʒˈeɾja
alibi	alɪbi
alicubi	alikɔˈbiː
alicun	alikun
alicunes	alikones
alicuno	alikuno
alimentar	alimɛnˈtˈar
alimento	alimentɔ
alique	alikue
allegre	alˈegre
allegressa	allˈedˈɛgˈrˈɛssa
allergia	allergia
allergic	allˈɛrgik
alliantia	alˈjɐnˈnˈkia
almanac	almenak
alora	alora
alpaca	alpaka
alquanto	alkwnt̪o
alque	alkve
alte	alte
alterabile	alt̪ɛraβ̞ile
alterar	al̪t̪eɾaɾ
altere	alt̪ere
alteres	altərˈeˈs
alternar	alteɾnaɾ
alterubi	alteʁubi
altitude	altitude
alto	alto
aluminium	alˈlˈʊmineˈɔ
alumno	alumno
ama	tama
amabile	amaːbile
amabilitate	amabilitate
amandola	amãn̪d̪ola
amante	amante
amar	lamaɾ
amarea	amaɾea
amata	lamat̪a
amate	amatɛ
amato	amatʊ
amator	amat̪oɾ
amava	amava
ambassada	aːnvɑsˈælɑ
ambassador	aːmbasadoɾ
ambe	ambe
ambiente	ambjente
ambir	labiɾ
ambulantia	ambulãn̪t̪sja
ambular	amβ̞olaɾ
america	amɛɾjka
americium	ameritsio
amica	amika
amical	anekal
amicitate	avitsiate
amico	amiko
amita	amita
ammoniac	ammoniak
ammoniaco	ammoniako
amnestia	amnestia
amonta	amonta
amontar	amontaɾ
amor	amoɾa
amplitude	amplitude
amusamento	amuzamento
amusante	amuzante
amusar	amozaɾ
anal	anˈal
analysar	analisaɾ
analysator	analiθator
analyse	anaˈlize
ananas	ɑnɑˈnɑs
anaphrodisiac	annaproðisiak
anaphrodisiaco	annˈaffrodisˈiako
anatomia	anatomia
anatomic	œ̃natˈomik
ancian	antsjan
ancora	ẽŋkora
andorra	andora
andrea	anð̞ɾeã
andreas	andreas
androgyne	andrɔɔgɲɛ
androide	androide
anello	anello
angelo	angelo
anglese	anglɛse
anglo-romanic	aŋgloromaːnik
anglomaniac	anɣ̞loman̪iak
anglomaniaco	aŋglomanijako
angola	aŋgola
anguilla	aŋgwila
angulo	aŋgulo
angustia	aŋgust̪ia
anima	ɑnima
animal	animal
anna	anːa
anniversario	anniversaɾio
anno	annɔ
annos	anos
annual	anwal
annullar	lanwlaɾ
annunciar	annunkiaɾ
annuncio	annuntsio
anque	anke
ansa	elsa
antagonismo	antagɔmismɔ
ante	ante
antea	ant̪ea
antemeridie	altemeridia
antepenultime	amtɪpæ̝ːnwlætjɪmɛ
anteponer	anteponere
anterior	anteɾjoɾ
anteriormente	anteriormente
antigua e barbuda	antsˈiɣwa ˈun bˈaɾβuta
antimonio	antimonio
antiquate	antikʊate
antitabaco	antitabako
antithese	antitese
antonia	ant̪onja
antonio	ant̪onjo
anulo	ænlæ
anxie	ankse
aparte	aparte
ape	ape
aperir	apeɾɾiɾ
aperte	apete
apertura	apaɾtura
aphrodisiac	afrodisiak
aphrodisiaco	afrodisiako
apparato	ataraːtʊ
apparentia	lapaɾɾnkia
apparer	apaɾɛɾ
appartamento	apartemento
appellar	apellar
appellate	apellate
appello	apːɛllo
appender	apɾẽn̪d̪eɾ
appertinente	akpertʃinente
appertinentia	apertinentsia
appertiner	apˈeˈʁtˈɛ̃ˈɛʁ
appetentia	atpetɛntsja
appetito	apetito
applicate	aplikata
appoiar	apojar
appoio	apoio
apporta	apã
apportar	apoɾt̪aɾ
appreciar	apɾetsjaɾ
apprender	apɾẽn̪d̪eɾ
apprestar	aprɛstar
approbar	apɾobar
approchabile	aproʃabil
approchar	apɾoʃaːr
approche	aproʃɛ
approvisionar	apɾoβ̞jssjoŋaɾ
approximar	apɾoɣ̞simaɾ
approximation	aproːksimatsiˈoːn
approximative	aproksimativ
approximativemente	aproksivativemente
april	aprˈiːl
apte	aptɯ
aptitude	aptitˈude
apud	aqoːd
aqua	akwa
aqua dulce	akwa ð̞ul̪t̪sẽ
aquelle	ad̪e
aquello	adˌelle
aqueste	akwɛste
aquesto	akwˌɛsto
aquiero	akujero
arabia saudita	raːbja saʊdjta
aranea	aˈrɑːnɪa
aratro	aɾɾatɾo
arbore	aɾβ̞ore
arborescente	arborestsente
arborescentia	aɾβ̞oɾest̪s̺ẽn̪θja
archeologo	arkeologo
arco	darko
arder	aɾðeɾ
area	area
argentin	ˈɑrgəntˌiːn
argentina	argentina
argento	arkentʊ
argilla	arɣeːla
arguer	aɾɣ̞oʝeɾ
argutia	aɾɣ̞utsia
aristocratia	aristokratia
arithmomantia	arɪtmɔmɑŋtia
arlequin	artleke
arlequinada	arlekuinaada
arma	arma
armar	armˈaɾ
armate al dentes	armatæ al dæntɪs
armea	aɾmeɾ
armenia	armenia
armeniaca	armeniaka
arrangiamento	aransiamentu
arrangiar	aɾaɾamɣ̞eɾ
arrangiate	arankiat̪a
arrangiator	aɾɾanð̞iat̪oɾ
arrestar	ɑːrɛstɑːr
arriva	ariβ̞a
arrivar	ariˈv
arrivata	ariˈvatˈa
arrogantia	arɾɔɣ̞nθja
arsenico	arseniko
arte	alte
articulo	artikolo
articulos	artikulos
artificial	aɾtifitsial
artificio	aɾtifjtsio
aruba	aɾˈubˈa
ascendentia	astzɛndɛntsia
ascender	ast̪s̺ẽn̪d̪eɾ
ascoltar	eskõl̪t̪aɾ
ascoltate	ɑsqltʰiːttʰe
ascoltatores	askoltatˈoːrəs
asino	azino
aspecto	aspekto
aspere	aspeɣe
asphyxia	æsfiksˈiːə
assatis	asatis
assecurantia	azekuɾãn̪θja
assecurar	aszeθuraɾ
assemblea	asemblea
assertion	jˈuʃeɾtseõŋ
assi	as
assistente	assistente
assistentia	assistˈɛnˈkˈ
assister	assizt̪eɾ
association	ˌasoːtsiˌatsɪˈoːn
assonantia	asɔnansia
assumer	asumar
astatium	astatsiõ
asterisco	asteɾiskɔ
astringentia	astriŋgɛntsia
astronauta	astrɔnaːltɑ
astutia	estutsia
asylo	asˈilo
atmosphera	atmosfɛra
atmospheric	atmosfɛrik
atomic	atˈtˈɔ̃it
atomo	atomɔ
atque	atkue
atroce	atrɔtsɛ
attaccar	atakau
attacco	atakɔ
attachar	at̪ːaiɣ̞saɾ
attender	atendeɾ
attente	atente
attention	at̪ẽn̟θion
attentive	attentive
atterrar	atːerˈar
attinger	atːiŋˈgeɾ
