×	peke
α	aɾɯɸa
α-ヘリックス	aɾɯɸaheɾikːɯsɯ
α-リノレン酸	aɾɯɸaɾinoɾeɴsaɴ
α-ｈｅｌｉｘ	aɾɯɸaheɾikːɯsɯ
αらせん	aɾɯɸaɾaseɴ
αリノレン酸	aɾɯɸaɾinoɾeɴsaɴ
α分類学	aɾɯɸabɯɴɾɯigakɯ
α化	aɾɯɸaka
α化米	aɾɯɸakamai
α崩壊	aɾɯɸahoɯkai
α波	aɾɯɸaha
α米	aɾɯɸamai
α粒子	aɾɯɸaɾjɯɯɕi
α線	aɾɯɸaseɴ
α螺旋	aɾɯɸaɾaseɴ
β	vita
β-カロチン	betakaɾotɕiɴ
β-カロテン	betakaɾoteɴ
βカロチン	betakaɾotɕiɴ
βカロテン	betakaɾoteɴ
β崩壊	beːtahoɯkai
β波	beːtaha
β版	beːtabaɴ
β線	beːtaseɴ
γ	gaɴmaː
γ-オリザノール	gaɴmaoɾizanoːɾɯ
γアミノ酪酸	gaɴmaaminoɾakɯsaɴ
γリノレン酸	gaɴmaɾinoɾeɴsaɴ
γ分布	gaɴmabɯɴpɯ
γ崩壊	gaɴmahoɯkai
γ線	gaɴmaseɴ
δ	deɾɯta
ε	epɯɕiɾoɴ
ζ	zeːta
η	eːta
θ	teːta
θ理論	ɕiːtaɾiɾoɴ
θ関数	teːtakaɴsɯɯ
ι	iota
κ	kapːaː
λ	ɾamɯda
μ	mjɯː
μ粒子	mjɯːɾjɯɯɕi
ν	njɯː
ξ	gɯzai
ο	omikɯɾoɴ
π	pai
π中間子	paitɕɯɯkaɴɕi
π電子	paideɴɕi
ρ	ɾoː
σ	ɕigɯma
σ電子	ɕigɯmadeɴɕi
τ	taɯ
τ粒子	taɯɾjɯɯɕi
υ	jɯpɯɕiɾoɴ
φ	ɸiː
χ	kiː
ψ	pɯɕiː
ω	omega
※	komedʑiɾɯɕi
※印	komedʑiɾɯɕi
←	jadʑiɾɯɕi
↑	jadʑiɾɯɕi
→	jadʑiɾɯɕi
↓	jadʑiɾɯɕi
△	saɴkakɯ
○	maɾɯ
○×	maɾɯbatsɯ
○×テスト	maɾɯbatsɯtesɯto
○○	maɾɯmaɾɯ
◎	nidʑɯɯmaɾɯ
〃	onadʑikɯ
々	noma
〆	ɕime
〆る	ɕimeɾɯ
〆切	ɕimekiɾi
〆切り	ɕimekiɾi
〆切る	ɕimekiɾɯ
〆切日	ɕimekiɾibi
〆粕	ɕimekasɯ
〇	maɾɯ
〇×	maɾɯbatsɯ
〇〇	maɾɯmaɾɯ
〒	jɯɯbiɴ
あ	a
ああ	aa
ああいう	aaiɯ
ああいう風に	aaiɯɸɯɯni
ああいった	aaitːa
ああした	aaɕita
ああして	aaɕite
ああしろこうしろ	aaɕiɾokoɯɕiɾo
ああそうそう	aasoɯsoɯ
ああだこうだ	aadakoɯda
ああでもないこうでもない	aademonaikoɯdemonai
ああやって	aajatːe
ああゆう	aajɯɯ
ああん	aaɴ
ああ見えても	aamietemo
ああ言えばこう言う	aaiebakoɯiɯ
あい	ai
あいうえお	aiɯeo
あいうえお表	aiɯeoçjoɯ
あいうえお順	aiɯeodʑɯɴ
あいきょう	aikjoɯ
あいさつ回り	aisatsɯmaɰᵝaɾi
あいそ笑	aisoɰᵝaɾai
あいそ笑い	aisoɰᵝaɾai
あいた	aita
あいたた	aitata
あいたっ	aita
あいた口が塞がらぬ	aitakɯtɕigaɸɯsagaɾanɯ
あいた口も塞がらぬ	aitakɯtɕimoɸɯsagaɾanɯ
あいだる	aidaɾɯ
