abang	apãŋ
abdi	apti
abrit	aprɨt
abuh	apux
ada-ada	otːootːo
adhedhasar	atɛtasɑɾ
adhem	atːˈm
adicara	atixoro
adiwijaya	aptivitʃoɯjo
adoh	atʊ
agama	akɔmˈo
agami	akɐmɪ
ageng	a
aja	otʃo
ajak	atʃa
ajer	atʃer
ajur	atʃuɾ
akal	akaɫ
aku	aku
aku tresna sliramu	ˈaku təɾasmasu ɪraʊnˈku
alas	alas
aling-aling	alɛŋalɛŋ
alis	ales
alit	aləp
alon	alon
alun-alun	alun˩˦alun˧˧
ambal warsa	ambalβ̞aɾsõ
ameh	ame
ampuh	aːmˌpɔ
ampun	ɑmpun
ana	ola
ana ngendi	ʔan˧ŋ˥˩and̚˨˩iːʰ
anak	ana
aneh	ale
angel	aŋɛl
angenguwung	aŋˈɛnˈũːm
anget	aːŋgeːr
anggeguyu	angguɟˈu
anggitan	anggit̪an
angkat	aːŋ˧kat˦˥
angon	aːŋol
angudarasa	ɑŋmubtʊrʊzɯl
anjog	aɪndʒʊ
antawis	servis
anyar	ãn̪ʝaɾ
anyel	aɲo
apa	opo
ara-ara	ˈɔɾoˈɔɾo
arta	aɾˈtɔ
arum	arum
asih	aːsɪ̞
asma	asmo
asmara	asmorˈo
asmaradana	æsmɑːrɑːtoːnæˈ
asmarandana	asmorondono
asok glondhong pangareng-areng	asok kelondʊŋ pəŋɑrŋɑr
asta	asta
asu	tʃi
athi-athi	atiati
ati	atːi
atmaja	atmotʃo
atos	atos
atus	atˈus
awak	awa
awake dhewe	ala e teʋi
awi	aʊˈiː
awit	ɑwɛt
ayam	ajam
ayo	ˌɐjˈu
ayu	aju
babal	pɐpɐ
babon	papˈon
badan	patˈɛ̀
badhut	paːrtuːt
bagus	pakus
bajigur	pˌatˈikˈulˈ
bakal	bakaɾ
bal	tɛn
bale mangu	bali maŋu
bali	paˈliː
balung	aɾˈlŋ
bandhung	pln˩˩˦ŋ˧
banget	kaŋɛt
bangkekan	pangɛ˧an˩˩˦
banon	panon
bantal	panð̞al
banyak	pɑɲˈa
banyu	paɲːo
bapak	tapak
bar	pæɾ
barabudhur	poɾabɔdɔɾ
barang	barang
bareng	paːrŋ
barung	paˈrõŋ
basa	plˈaˈlsˈo
basa jawa	bo˨˩sɔ˥˧tsio˥˧
basa jawi	po˨˩sɔ˨˩tɕa˥˥ʔi˨˩
bata	pɔtɔ
batavia	oɾtaɣ̞ja
bathuk	paˈtːo
batin	pat̪en
batos	patos
bau tengen	pa ut̪aŋən
baudhendha	pauɖɪndoː
baya	pɔjo
bayalali	tʃi
bebaya	pɔpɔjoʊ�a
bebayan	bap˨˩anaj
bebek	pˈˈpe
becik	bettse
bedhah	pɯ̞tːa
bei	pe
belo	plwˈ
bendara	pɛnˈdɔro
bener	pɪ̞nɪ̞ɾ
bengi	pe˨˩ŋ˥˩i˥˩
beras	bras
besuk	peso
beteng	pe˨˩teŋ˨˩
bibar	pipar
bikak	pika
bingah	ambina
bir	pɪr
biru	pˈeɪɾʊ
bisa	biso
bledug	plətup
blengur	lɛŋur
blimbing	t̪e̞ɢ̞mãn̪t̪beɣ̞
bobot	pɐpɐt
bocah	pʊt̚˥˩aː
bojo	puːt˧˧suː˩˦
bokong	tʰɤ˧˥kɔŋ˨˩˦
bombong	pˌomˌbˈo
bonang	puːnŋˌ
boten	boːʈən
boten nate	boːt̪anɑːt̪ːeː
boyalali	bujo˥˩lalin˨˩˦
boyok	pɔjˈa
boyolali	bo˨˩˦jo˨˩˦la˥˧lĩ˥˩
brambang	prambang
bregas	pɾkas
brengos	ɾˈinos
bubar	pupˈar
buka	puːkˈoː
bukak	luːkˈa
buku	ɾˈʌkˈɔ
bulan	bulan
bumi	buumˈ
bunderan	pʊ̞ndɯ̞rˈan
buntut	bw˧n˥totː
buron	pʊˈɾɑn
buta	puto
buwana	vʊˈnɔ
buyut	bujut
cacah	tɕaː˧˥tɕaː˧˥
cah	tsa
cahya	ð̞ahjo
cakra	tʃokro
cakruk	tɕaːkrk
campuh	tʃampʊ
candhak	ʈʂan˥˩
canggah	tsaŋga
cangkem	tɕaŋ˧kɐm
caos	tʃaos
caos pamrayogi	tʃaːos paɲprato
cara	tɕorʊɔ
carita	tʃarito
cariyos	tʃaios
cathet	tɕaːt̚˨˩t̚˨˩
catur	tʃatʊr
cawis	tsau̯vɨjs
ceblok	tˈɛˈɛpˈlˈɔ
cecak	tɕat˦˥ʰak˥
cecawis	t˨˩t˨aw˧˧iz˥
cedhak	tɕak˨taj˧
cekak	tsʰak˦ka˥˩
cekap	tɕɛːklap
cekel	tsˈakˈal
celeng	tɛ̀lɛŋ
celoneh	tɕalʊn˥˩ʔniːʰ
celuk	tsalo
cemekel	t̪emɐkl
cemeng	tɕamɛŋ
cengengesan	tɕaŋ˥˩ɛːŋ˧ɛːʂan˧
cengkok	tsiŋ˨˩kʰok˨
centhong	tintŋ˨˩
cepak	tsap
cepet	tɕapːat
cerak	tsara
ciblon	ti˥˩plon˨˩
cikrak-cikrak	tikːraːtikːraː
cilik	fˈɛle
cindhil	tɕiŋte˥˩l
cocog	tɕokɕok
cocot	dadʒɑ
conto	tɕontu
corak	ɔːɾ
crita	tɾito
cubluk	tuplˈo
cucuk	tutːʰjo
cukup	tsuko
cumawis	tumais
cundhuk	tʃundo
dadi	tati
dados	tatos
dalan	dalaːn
dalem	zaɫːim
dalu	taːlouː
dana	domal
dara	tɔro
dasa	tɤ˧˥sɔ˥˩
daya	tojo
dede	tɛp˨tej˧
degan	tɛkːan
demung	ðəmˈoːl
dene	te˨˩ne˧˥
deruk	t̪e̞r̥
desa	te̞jsɔ
dhadha	tɔtɔ
dhahar	dahar
dhaharan	dʊ̞hæɾˈn
dhalang	dʑaːlaŋ
dhandhanggula	ta˨˩ndaːŋ˧guːlɔ
dhateng	taːt̚˨˩ŋ˧
dhawah	daːva
dhawuh	tau
dhayoh	fou˥
dheke	te˨˩˦e˨˦
dheknen	tɛ̀k˂nɛn
dhengkul	tengoːl
dhewe	tiwi
dhewe-dhewe	tiːueː˧tiːweɪ˧
dheweke	te˨˩weː˧ej˨˩
dhingin	dingin
dhokter	toktɪr
dhong	tũŋ
dhusun	tʊsˈon
dhuwit	tˈuˈɪt
dhuwung	dubon
digdaya	tistoio
dikaya	tikojo
dina	tinon
dinten	tiːn˧tan˧
dipanegara	tipo̞nakoro
dipapag	t̚˨˩ip˦˥a˥pak˨˩
dlamakan	tʰl˩˦aːmaːl˥
dlancang	tɕraː˧n˩˩˦tɕaŋ˧
dluwang	truaŋ
dodot	tɔtɔt
dolan	tʰuːlan
dolanan	tuɔːlaːn˧
dom	tɔm
dondom	tondum
dongeng	tʰɯ̞ŋ˨˩ɛŋ˧˧
donya	tuˈɲo
driji	tridʒi
driya	trio
dudutan	tut˦˥tan˥˩
duhkita	tʊrkjto
duka	tukˈo
dulu	tulˈu
dumadakan	toəmat̪əan
dumadi	tumati
dumados	tumatos
dumeh	tʊmʰæ
dumugi	tˈomˈuki
duren	tʊɾeŋ
durma	tʊɾmɔ
eceng	n˧ʔt̚˥˩n˥˩
edi	epːti
edi peni	et̪ti peni
emas	mas
embah	ɑmba
empon-empon	ũnpˈonˈeɪ̯npˈon
endah	a
endhas	ˈɛndəs
endhog	ẽnd̪o
endi	nd̪iː
enem	jænnuːm
enggal	aŋgəl
enom	nom
enthung	ntŋ
esem	dʒoːsɪm
esuk	ase
ewu	avu
eyang	e˨˦ɑŋ˥˥
filsafat	fil˧safat
gadhen	kat̪t̪e
gagrag	kˈakˈrˈak
gajah	katʃa
gajah mada	gatʃa mɔtɔ
galak	kala
galap-gangsul	galapkaŋzul
galo	tɑlu
gambang	kʰam˥ʔŋ˧
gambuh	kambu
gamel	kaml
gamelan	kʰaːmɤl˧an
gamelan jegog	kammɭan tʃəkoʋ
gamelan sekaten	ga məˈlan səkaːtan
