agaian	ɑːɣɑjɑn
akhalgori	axˈalgoɾi
akhaltsikhe	axaɫsɨxe
alazanis	alaːzaːnɪs
alexandrouli	alɛksandrˈoˈulɪ
ana zubashvili	anadu bʃuɾj
arveladze	aɾwelɒtzɾ
baadur jobava	maːdu ʒobova
batiashvili	paːtjaʃuːliː
beridze	beridzɛ
besarion tsintsadze	besaɾiom sin satsẽ
bidsina iwanischwili	diːmiːniːʃuːriː
blue	lurdʒi
borjomi	portʃon
chacha	tʃatʃa
chala	tʃala
chikhura	tʃiːxoːˈɾam
chilachava	tʃiːwaːtʃaː
chkhikvishvili	kʃikvɨʃvɪlˈiː
cicita	tsiˈtˈa
colchis	ɣoːlxaʃt
david kipiani	taʋit xefi ja
david targamadze	dóʝó tʰórgɔ mɑdse
david çumburidze	dauɾut dʒombo ɾitæ
davit kipiani	taowit ɦɛ pi ami
dila	tila
dmanisi	tmanisi
dzhugashvili	tsuːxɑːʃviːliː
elene gedevanishvili	ɛlɛne geːˈtevɑn iʃ ʃuˈjɾiːn
exit	kaːsasfˈlˈeːli
gabashvili	kaβ̞asmi
gadeliya	gadɛlia
gamarjoba	kaˈnɯɾdʒoˈvɑn
gamsachurdia	tamsɐpˈukːj
gelati	kɛlatʲi
george gagnidze	tʃuodʒ gagŋidzɛ
georgia	tʃoːtʃe
giorgi	kjoɾn
giorgi gamqrelidze	kijɔɦɑl kiː qɑm qɑriː mɪtʃɪl
giorgi kvilitaia	ɟ� iuɾgik lili dajæ
giorgi margvelashvili	kiːɒrkiː maːrkveːl ɒʃuːjliː
gogotchuri	koˈgotʃuˈri
graciarositamonitadeloritaiii	kresiwɨwɨɕjtɛmɔnɪtatɛdɔɾitɛtetaɾdʊ
guram kashia	ganʃoɾɛba
gvelesiani	kvalesiani
hamlet gonashvili	hem loːred kʰonæʃu
ilia chavchavadze	iliɑ tʃaɫtʃ ɑwɑtsɛ
ilia londaridze	ilijˈn vˈɑndɑr ˈiðzɛ
irakli garibaszwili	iːraːg lɛvaːriː baʃvɪlɪ
jaba kankava	kʲɑːbkʲɑːn gɑːn
kakha kaladze	kähä kɑɫɑtʊ̞
kakheti	tˈe
kakleti	kaːtəleːti
kancheli	χɑnʧːe
karchkhadze	kɑɾtʃiχɑtsɯm
kartuli ena	kartu diana
katleti (not kakleti) კატლეტის შეწვა.	katalɛtˈis ʃˌeːtstvˈa
kchevi	xɔɾɪ
khachapuri	ɣadʒaˈpɔre
kharcho	χɑɾtʃub
kharistvala kolkhuri	χarɨʃtɯpɑlɑr qɯ̞ɫχʊ̞nʊ̞
khatia buniatishvili	xɑdiɑː bʊmniːɑːti ʃwiliː
khinkali	sinkarengo
khvanchkara	xvɑntʃkaɾa
khvicha kvaratskhelia	χɾiʃɑk ɑrɑtsxél lɪ ja
kindzmarauli (wine style)	fˈiŋzɨmˌɐʁˈɑulˌi
kinkladze	kʲinklǎtse
krasnodar	krasnodarid
kutaisi	kutajesi
kvevri	kveˈvori
lekvtadze	lɛktadʑɛ
lela javakhishvili	le la dʒawaxi ʃuɪli
lisa batiashvili	lizɑ paːtiːj ʃvɪlˈdiːm
machaidze	matʃaid
maia chiburdanidze	maija tʃi buda nidzɛ
maxime qavtaradze	mɑkʃiːme kɑvtʰɑrɑts e
mchedlidze	edlidzɛ
me szen miqvarxar	ajʰtɕʰil˧nia̯˧ʔkʰon˧
merab mamardashvili	meːrəb namərðə sulti
meskhishvili	mæsxʲiʃwjlʲɪ
mitkvari	mtkˈbaːri
mkhedruli	ɣˈedɾˈuli
morchiladze	murtʃɪlˈɑtsɯ
mskheta-mtianeti	tsχetamtijanˈet
mtskheta	sˈetˈa
mtsvane	tʃoanɛ
mujuretuli	moːʒuːretuːliː
mukhrani	muxrˈˈanj
murman shalikashvili	muɾmaːn ʃaːliːk aʃuːjlɛ
nana dzagnidze	na lna tʃaβ̞inidʒe
natalia edzgveradze	nataɫia hetskueɾodzɛ
nika kvekveskiri	nikak tʃi uʃ kiri
niko pirosmani	nɛkɔ pɪ rosumɛn
nikoloz rachveli	nʲikoluz ɪrɑtʃwɛliɛn
nona gaprindashvili	nona fɛrɛ aprɛndaʃulj
nulovani	nˈʌɭɑvɑni
nuskhuri	nosxuɾe
otar iosseliani	ɔtari joselian
otar vasilis dze taktakishvili	tʰɑr vɑsɪlisʰtsʰɛ tʰɑktʰɑkʰi ʃʰiɬi
otskheli	ɔtsxɛli
qvevri	kvɛvɨri
rachuli	ratʃuli
ritskhvebi	ɾɛitsʁɒb
rkatsiteli	patrikɛn
rkatziteli	fəkˈatsipˈɛli
roinishvili	roiːne̞ʃuːlø
sachkhere	saːtʃxere
sachmeli	sɒtʃmɒˈli
sagaredscho	sagaredʒo
sakartvelo	saðadʒuɛlo
saparevi	sapɦɛraːvɛj
saperavi	safæɾɐv
shavidze	ʃaːbidzə
