"сэ" жызыӏэ	sˈa ʒˈɛzˈa
3и бзэ текӏуэда куэд кхъэм щӏэлъщ	zip zɛtɛ kwadw ka kwad sɑm zwˈɑs
3и бзэ хуимытыжыр и бзэ токӏуэдэж	zi bzəxwjm tʒˈˈɾiː bzə tɑkwdɛʒ
3и былым кӏуэдам псэкӏуэдищэ къехь.	zi bʒimkwam sɛ kwadj ʃaqʁɛh
3и гур фӏым и нэгури фӏыщ	zigr fʊ̞m ɪ̞næ grʲif ɫs
3ымылъэгъуа хашэ хъуркъым	zɪ̞mɪ̞sæʁɑ χæʃɪ̞ χʊ̞rʲɪm
3ыщӏэр мажэ, зымыщӏэр мэжей	zəs sɫaːrma ˈʒe zəˈmus lˈɐɾmɐ ˈʒe
3эдауитӏ яз нэхъ захуэщ	zə daˈwid jɑs nxza xoʃ
3экӏуэлӏитӏыр зэщӏасэщ	zɐkɔtɫitɛr za tɾasaʃ
3экӏуэцӏыпхауэ щылъ дыгъужьыр тхьэкӏумэкӏыхьым йощэ.	zakwat rɛpxa wɛʃ ʃɪʃtɪʁɣu dʒirtʰɛk ɣmʷtʃ jɛjm jo ʃɪ
3эрызыхь ӏыхьэфӏэщ	zrzɑħ ħafɑʃ
3эхэзылъхьэм зэхихыжынщ	zæxæzɪ̞kl hæm zæxʲi χʲiːns
alkaterna	arnˈʃaːmi
bibras natkho	biː bæs næt xo
eмыкӏyp ӏупщӏэ-ӏупщӏэу зэхэлъщи, алътмакъ зыпщӏэхэлъым зищӏэжкъым.	jɛmɪ̞ kɵrɪ̞w̜sɑ upsäːɵzɯ̞χɛɮsʲi äɮtmɑqʰɯ̞ zɯ̞psäːχɛɮɪ̞m zʲiːsäɪ̆ʃ ɪ̞m
«адыгэ вакъэ лъэныкъуэу схуэшхэкъым, шхэуэ уэрэд схужиӏэкъым» - жиӏащ шейтӏаным.	ɐdɪkɛ vɐkaʃanɐn qɔ̙ɔ̙sɔ̙χkue ɵmʃkæe ɵmʃkæe wɔ̙rɔ̙t sɵgɵkæe ɵmʃiː ɑːs ʃetaaŋ mɪ
«ажэр зыдыгъуам ажафэ техыгъуэм сыкъищӏэнщ» - жиӏащ зи ажэ ядыгъуам.	ha dʒiz dɪˈʁɑm ʒafet ke qɑˈrɔm səqiʒan sətʃjʔət diːaʒe jˈa dɪˈʁam
«дахэр лыращ» жиӏащ хьэфизым	daːxar ddʒərɑʃ ʒiːʔəʃ həfiːzm
«ди жэмыр зышха дыгъужьым кхъуэлым хуэдэу сигу щыкӏащ» жызыӏам нэхъей	dʒɐmer zɪʃxadɞɢɞdʒɪm qɑjzɪmko̙o̙tawʂiːk wʃtʃaas bɪ̞zɐʔɑm nɐχɪ
«ди фэр бэзэрым щызэхуэзэжынщ» - жиӏащ бажэм.	tifɾ bɒzɒɾiˈm sɒziχɒzɒdʒiˈnɒs ʒiˈɒs bɒdʒɒm
«нал ӏунэр бэн ӏунэ зыщӏыж тхьэр щыӏэщ» жиӏащ гъукӏэм и фызым	nɑz jɛnɛr bæn jɛnulʁa hær su ʔɛsiju ʔɑr ʃuʁutʃa miʃgim
«пӏащӏэр сэ къызихьэлӏарэт» жиӏащ фадэм	pɑʃɑr sɑgɑ zihazɑrɯ tʏ̞j æʃ fadɪ̞m
«сылъатэмэ, сыфочыпэ кӏуэдщ, сыхэсмэ, сыхьэпщӏэу ӏусщ» жиӏащ ныбгъуэм.	sætlætɪmˈɑ sæfʁø̞tʃ pæekwaaːld sɵsɪχɛs mæs mæs ħar̊tʃo̞aːw sɵɕi ɑi̯ʃnɯ̞ brʊm
«хэт и щхьэр нэхъ дахэ?» щыжаӏэм, шылъэгум и щхьэр къригъэжащ	xɛ tïi̠sʲhɑr nɑqdɑh kʲɑsʏ̞ʒæ ɑmʂɪ̞sʲɑ gʏ̞mʲɪsʲɑr qɯ̞j ɢæ ʒɑs
«шхэмэ, и нэзэрыхъэ мэхъей» жери щыхьащ («хьэкъ имыӏэу щыхьащ» жыхуиӏэщ)	ʃkə maj næzərxˈʰə maːxje dʒeres ħas ħaqim ɑw ˈsahas dʒəˈʃi ˈ as
«щхьа мыпхуэдэу цӏыкӏуу укъэна, дзыгъуэ?» щыжаӏэм, «джэдум сыщышынэурэ» жиӏащ.	ʃamb waˈde waˈtsʰai waqaːna d zoɣɑsʃa dʒʌʔəm dʒadum sˈe ʃiʃinwa wɾazviːʔaːʃ
а гъатхэр къыздэкӏуа хэкухэм къинащ, къуэпсрэ лъапсэрэ куууи щидзащ.	hɑqat χɛr qizdak wəkə kwɑhˈham qenaaːʃ sqwəb sr̥ːa ʃaːb sr̥ːa kʰohe ʃidzəʃ
а зыр	ˈɒziɾ
абазэ	abˈazɐ
абазэ шатэ	abazi ʃate
абазэкхъуей	æbˈʔazɑbɑˈxuːɛj
абазэхэ	abazʲaxa
абазэхэбзэ	abbazəxapzə
абазэхэр	ɑbaːzæxˈt
абгъуауэ	abʁwˈaɪwˈa
абгъуауэ хъун	ʔabɣoːa waːχoːn
абгъуэ	abɣo
абгъуэрынэ	atqoɾiŋa
абгъуэхэр ящӏ	hɑːb gohər jaz
абдеж	apteiʃ
абдей	apdij
абдж	amtʃ
абджхэлъхьэ	uptʃəχkəhar
абджыбз	abdʒuz
абджынэ	taptʃina
абджыпс	tʃapdʒɪps
абджыфэ	abdif
аби	adi
аблэкос	abʒakoz
абрагъуэ	abravo
абрэдж	abɾˈɛdʒ
абрэмывэ	aprenuza
абхаз	abχaz
абхъаз	abxazabxazxaˈr
абхъаз-адыгэ	apˈχazadˈige
абхъаз-адыгэбзэхэр	atqazzətɪkɪ̞pzɛxɪ̞ɾ
абы	tɑːrbø
абы {махъсидэм} дигъэцӏыхуащ ягъэпщылӏхэм щыщи зыгъэпщылӏхэм щыщи.	abdiaʁaːtsxwa jɑʁa pʃitli xom ʃoʃi zɣa pʃitli xom ʃoʃi
абы адэкӏэ	abɯ̞r adɑdʒɑ
абы деж	abɐ diːʃ
абы ещхьу	æmˈdæ jæʃ ko
абы и мащэ уралъхьэнукъым	ʕaʕmiː maː ʃawraː tħanʔam
абы и нэ зэвхэр щӏыӏэу, ябгэу плъэрт.	ɑːbiːnəzəv haɾˈjʃlɑ ɑːu jɑːb go psoɾæd
абы и плъэкӏэ	ˈæbi pˈɛstɪdʒˈɛ
абы и фӏыщӏэкӏэ	abliːvəz ɔtjɑ
абы и шынэхъыщӏэт	abei ʃiːnɑːx zæd
абы и ӏуэху щхьэхуэщ	ɑːbɨ ɔfʃ χɔʃ
