a	aɾ
abal	ɑbɑn
abdullah öcalan	ɑbdullɑh ʔødʒɑlɑn
abes	ɑːbəs
abor	aːbuɫɯɾ
abxaz	ɑpɣɑz
abxazya	abɣaːzjɑ
abxazî	ɑbxʊɑzi
acinî	əɟʰniː
acizker	ɑːdʒɯzkaɾ
acîl	ɑːgː
adar	ɑːdɑːr
ade kirin	ɑtɑtsɯrɯn
ademî	ɑːd̪æmiː
ademîzad	ɑːdmiːzɑːd
ader	ɑːdɑr
adir	igɑːtɯr
adûde	aːduːda
adûtî	adodi
afrîn	afrin
afstapelen	astæwɒlæn
agah dan	ɑːgəndɑːn
agahdar	ɑːgɑːħdaːr
agahî	ɑːgɑːhɪ
agir	ʔɑgɪr
agirbest	aːgɪrbɛst
agire	aːgjɾæ
agirgîr	ɑgɛrgiːr
agirî	ˈoˈdʒiːɾiː
agur	aːgɯɾ
ah	ˈaɪˈ
ahal	ɑːhɑl
ahar	ɑhɑʃ
ahd	ɑht
aheng	ɑːhæŋ
ahter	ɑhtɑr
ahtergo	aːxtarguː
ahterşinar	ɑːftɾʃænʲɑr
ahên	ɑːhiːn
aj	ɑːs
aj dan	ɑʒdɑn
ajal	ɑːʒɑːl
ajar	ɑːʒɑːr
ajawe	æʒɑːvɛ
ajda	aʒda
ajotin	aːʒultum
akam	ɑːkɑːm
akrê	akri
akwarel	əˈkwaːrəl
al	ɑːl
ala	ɑlɑ
ala kurdistan	ɑːlɑː qulbɪstan
ala rengîn	ɑlɑ rngriːn
alal	ɑːlɑːl
alale	ɑlɑlɑ
alan	ɑːlɑːn
alav	ɑlɑf
alem	ɑɢlim
algûne	ɑlguːnə
alim	ɑʕlɯm
aliyekê	ɒˈliːeki
almanî	ɑlmɑːniː
aloxuşa	ɑːlvxʃɑː
alozî	ɑːluːziː
altdarî	ɑːltidɑːri
alî	ajl˧
alîgir	ɑliːgər
alîkan	aːljˈsɾˈ
alîkar	ɑːlikɑːr
alîstin	ɑlɪstɨn
amadedan	ɑːmɑːdɑːn
amazîx	ɑmɑzˈiːx
amazîxî	ɑːmɑːziːɣiː
ame	ɑːmɑ
amed	ɒːmd
amerzîş	aːmɛrˈziʃ
amijîn	aːmg
amiz	ɒːmz
amizger	ɑːmzgər
amizî	ɑːmziː
amle	ɑmlɑ
amojin	aːmoːʒiːn
amut	ɑɣˈmut
amuxte	aːmxta
amêjen	nɑːmʲeːdʒn
amêr	ɑːmiːɾ
amûdê	aːmuːde
anarşîst	ɑnɑːɾʃist
anatomî	ɑnɑtʊmiː
anirîn	ˈɔnɹˈin
anix	ɑnɪx
anjî	aŋʒiː
antîbiyotik	ɑntibjɔtik
anî	ɑːniː
ap	ɒp
aqûbet	aːquibˈet
arasteker	ɑrɑstækæɾ
ardas	ɑrdɑs
ardelîn	ʔrdrliːn
ardpîc	artbiːtʃ
ardû	ɑːrdəw
arekardiş	arekaːrˈdəʃ
areste	aɾaʃta
arex	ɾx
arf	ˈaɾf
arga	aːrga
argund	aɾgund
arizû	ɑːrzuː
arjen	ajrɛxˈcɒˈm
arpîç	arpidʒ
arzişkênandin	ɑrˈzɯʃkeneandin
asayî	ɒːsɒːiː
asayîş	ɑːsɑːˈʃ
asfir	ɑːsfər
asgûn	tɑsguːn
asiyen	ɑːsijæn
askûl	ɑːskuːl
aso	ɢɒsˈl
asris	æsres
astem	ɑːstæm
asteng	astæŋ
astengî	ɾaːstængiː
asîb	asˈib
asîde	ɑsidɑ
asîk	ɒːsɪ
asîman	ɒːsiːman
asîmeyî	ɑːsimeiː
asûn	ɑːsˈon
atlahî	tˤklɑtˤ
atlos	mˈɑːtlˈoːs
atol	ɑːtɔl
atom	ɑtɯm
av dan	ɑfdɑn
ava kirin	aːvagrɯm
ava mezin	ɑɑˈbɑm azɯn
avahî	ɑːvɑhi
avbir	tɒvbˈiɾˈ
avdal	ɑfˈdɑl
avdank	afˈd̪ank
avdonk	afuˈðoŋk
avedanî	ɑːvˈdɑːniː
