abadîn	ɑbɑdiːm
abone kirin	ɑbunɨkɪrim
abonetî	ɑːboneːtiː
aboneyî	ɑːbɔːneiː
aborandin	ɒbɒɾɒndiˈn
aborkar	aːboɾkaːr
aborkarî	ɑːbɔrkʰaːri
aborî	ɑːbːoːriː
aborîn	ɑːbɔːɾiːm
aborînas	abuɾiːtnɑs
aborîzan	ɑːbɔːɾzɑːn
abîde	ɑbidɛ
acardiran	ɑːdʒɑːɾdɯɾɑn
aciz	ɑːdʒɯz
aciz bûn	ɒːdʒizbun
aciz kirin	aldʒɨz kɪrin
acizandin	ɑdʒɯzɑndɯn
acizbûyî	dʒaʒbujj
acizî	ˌɐdiziˈ
acûr	adʒur
adanî	ɑːdɑːniː
adarok	atäːrok
adem	ɑdæm
aderî	ɒːdæɾiː
adet	ʕadʒt
adetparêz	aːdeːtpaːrɪs
adetperest	ɑːdətpæɾest
adetî	ɑːdtiː
adirbest	ɑːdɯrbɛst
adres	adres
afat	ɑːfɑːt
afatî	ɑːfɑːtiː
aferandin	aːfraːndiːm
afetjentî	ɒːfædgɛnti
afiran	ɑfraːn
afirandin	ɑfraʊ̞ndɯ̞n
afirandox	ɑfraːnˈdɔx
afirandêr	aːffrˈandər
afirandî	aːfraːndi
afirîn	æˈfæˌrɪːn
afirînek	aːferiːnæk
afirînende	aːfrinendɛ
afirînendetî	aːfrinˈnenddiː
afirîner	afɾiːnær
afiyet	aˈvjɛt
afret	ɑfrˈe
afrîkî	æfriːkiː
afrînî	æfriːniː
afsun	tafsuːn
agah	aga
agahdar kirin	ɑˈgɑhtɑr kɛren
agahdarî	ɑːgəhtare
agahname	ɑːgæhnɑːmæ
agahî	ɑːgɑːhiː
agahîname	ɑːgəjiːnɑːmæ
agihandin	agɒhɒndˈin
agihîn	ɑːgʰiːn
agirbar	ɑˈgɯɾbɑɾ
agirbaran	ɑːgɯrˈbɑːɾɑːn
agirberdan	aːgɾbærɟa
agirdadan	ɑːgɾˈdɑːdɑːgæɾˈdɑːdɑːgɾˈdɑːdɑːgɾˈdɑːd
agirdank	agɾdɑnk
agirdar	agɯɾˈdɑr
agirgirtin	aʁiɾgiɾtiɴ
agirker	ɑˈgɯr
agirkuj	aːgɾkɵʒ
