'	apostrof
1	eɱt
10	tsɯ˥˩
100	aloːt
10000	tsiŋ
105	ɔnnˈɔtvɑnnˈœf
112	unotsʔweəløv
115	unɛtʋɔvtsɛŋ
120	ˈunɔtsʰɔmtsˈɪç
124	oːlˈnɔːtfajərɑːntsʋantsoːʃ
13	dɾˈaɪtsˌɛŋ
1300	θau̯sɛndrai̯hɔnɔt
156	onɔtsɛkzafɔftsɛʃ
16	sɛɾʃtsɛŋ
160	ɔnɔtsɛskɒtse
161	ulnɔdeːnɑzɛʃsɪʃ
165	onotvɔnvajarzəʃsøːʃ
169	unotningˈazɛʃsˈtˈæʃ
18	ʊɪ̞ʃtˈsŋ
1840	vɔxʃtsʰnɦahɔnˈnɑːtfajˈatʃˈɛɾs
185	lnɔːtfɔnwˈaːnˈaxtsɛz
1883	vɔɪssʲtsʲɛngɔnˈaːtrajˈanˈaxtsɛʃ
19	nõŋdsɛŋ
19. joerhonnert	nˈɔntsɛŋkjˈu ˈɔl nˈɑt
1916	nõŋtsɛŋɔnɔtsɪɛʃtsɛn
1925	nʌntsijŋɔnɛtɾɛnˈvɑːntsvˈɑntsɪŋ
1936	nõŋtsemɔ̃gɔrtsɛksanadɔvəsø̃tʃ
1939	nõŋsɛŋɔrnɔtniŋhɔ̞ndɔsɔʃ
1947	nˈʌntsɪnˈaɴdɑdˈiːvənˈanfˌɑːrjɑɾtsˈəʃ
1951	nʊntsɛɛŋɔnˈnadɛjˈnafɔftsiʃ
1956	nʊntsɛŋɔnˈtɑltsɛkzɑlfɔftsøʃ
1958	nˈontsɛŋhˈɔnɜtˈɛdɜfhˈoːftsˈɪʃ
1974	nontsʃiŋˈanˈotfɛjɾazɪvˈɛntsɪk
1979	nʊnˈtsəŋoːnˈaʊtniːŋˌɑːzˈɪvəntsuːɾʃˈ
1981	nʊ̃ŋsʲɛɛnɑːtʲiːnɑːnɑːxtsøːʃ
1982	nuntsʃiːnɦʔunɛɾtsvˈeːɜnˈaxtsɪʃ
1983	nuŋtsʰənːəlnɔtɾɑjɑnɑːnɑːxtsɛʃ
1991	nˈɔntsʏnkˈɔllrˈɛtˈeːnɜnˈɔntsøʃ
1992	nˈontsɛnˈomɔtspɛˈanontsɛʃ
1994	nʌntsɛɛnɑɫɦɑjɾanʊntsɛʃ
1997	nʊ̃ŋhɔ̃nɔːtsivɪˈnanʊ̃ŋsɪ̞ʃ
1998	nˈoːnsˈæːnˈhɔnɑːrædɑnˈoːnsˈɑʃ
2	tsvˈe
20. joerhonnert	tsvˈant tˈʃˈʌɾ stʒˈɔɾ hˈɔɾn nˈɔɹt
200	tsvˈeɪlnˈɔt
2000	tsvˈeːtˈaʊzənt
2004	tsvˈeːtˈaʊzəntfɛjˈɑːr
2006	tsvˈeɪdˈaʊzəndsˈɛks
2010	θɹˈeɪˈθaʊzəndtˈɪŋ
2017	tsvˈeːtˈaʊzənttsˈɪvəntsˌɪŋ
21	enamtsvɔntsos
21. joerhonnert	enam tsvam tsərstiːɔɾomnɔrt
22	tsʋɛjɔ̃swɔndsɛʃ
23	drajaːmtsvɑntsøz
24	fˈaɪranttsvˈɑndøz
25	fˈɵnnənvɑnzˈʋɑnntsʌz
250	tsveːrˈɔnɚtfʊftseɾʃ
26	sɛksɔntsvɔntsʃ
27	siːvənɑːntsʋɑːntsˈɚʃ
29	nɛŋˈantsvɑntsøz
3	trˈeː
3-d-imprimante	tˈɾˈdeɛ̃pɹimɛnˈt
3-d-imprimanten	tˈʁˈˈdˈɛɛ̃pˈʁeməntən
3-d-printer	trˈaɪdˈepɾˈɪntɔr
3-d-printeren	trˈaɪdˌeːpɾiːnˈtˈeːrˌɛɾn
30	tɔsɨz
300	trˈaɪhˈonˈɔt
31	enandʁasˈɔt
33	tʁɛ̃ːˈtˈɑ̃dʁəsˈœʃ
330	tajˈvɑlnɔtɹɑsøˈʃ
35	fɔnʋɑndəɣəsøːʃ
36	sˈɛgzəndˈdˈiʁsˈœʃ
37	sʲivɪnɔndɔɾəsɨz
38	ˈœvʁdˈɑ̃dɹəsˈœʃ
39	nenandɔzsøz
3d-drécker	trˈajdeˈtɹekˈraɾ
3d-imprimante	dˈɾˈaːideːɛmpˈrˈimɛnt
3d-imprimanten	tʁɛdˈeɛ̃pʁɛmɛʁtˈɔn
3d-printer	trˈaːjdˈepɹˈɪntˈaʁˈ
3d-printeren	trajdejpɾintoram
4	fæˈjɑ
40	fajˈatsos
43	drajafajˈoɾtsøz
46	sɛkzɑufɛjratsɔʃ
47	sˈiðɪnˈaʊfhˈədoʊdˈtsˈoʊtʃ
49	ne̞ŋaʊfhəjˈɔttsoːʃ
5	vˈɛ̃nˈøv
500	fɛnˈnufɔllnɔt
51	enˈafˈoftøʃ
52	tsʋˈeːjˌaːfˌɔftər
55	fʊŋɛvɑːfɔftsɪɾs
56	sˈɛksˈaʊffʊftsˈɪç
57	sˈivənˈaʊfhˈuftsˈɚʃ
6	sˈɛks
62	tsviːjazɛʃtsɛs
63	dɔɛjɔːsɑʃtsʃiʃ
65	fɔ̃vˈɒsæʃtʃsˈɛʃ
66	tsʲɛkzæˈzæʃtʃør
666	sɛksɔnɔtsɛksɒzɛʃtsʃ
67	siːvənɑːzɛʃtsˈɛʃ
69	nɛŋɔzɛʃtʃɔʒ
70	zɨvəntsˈoʃ
700	sˈiːvənhˈoməlt
72	tsvˈeːɾzˈɪvəntsˈɚʃ
720	siːvənˈɔnɔːtˈvɑːntˌaɪʃ
74	fajʁazivintsoʃ
