'ржена	rʒɛna
1 (еден)	ɛːbɛn
650	ʃɛstʊtʲinɪɪ̞pʲɪdɪ̞sʲɪt
`рж	qɑq
aco jonovski	aːtsɔ jɔnɔfski
admir mehmedi	aːdmiɾ mɪ fɛ medij
agim ibraimi	aːdʒim ɪbrɛjɪmɪ
aleksander sarievski	uʃtaŋdɛr sɛrˈɛvski
amerikai virgin-szigetek	t̪eβ̞s t̪eniɾ els t̪ɾoβ̞eɾ
anastasija bogdanovski	anastatsiɐ bogdɐnɔvski
angel	ˈangəl
angeloski	anʲeɫosm
arijan ademi	ariən ðəmi
aмин	amim
aтмосферата	ɑtmɔsʋiːrata
bojan	bujɑn
bojaxhiu	bojadʒiu
branko crvenkovski	brankɔ tsərvɛŋkɔuski
brasil	bɾˈazel
bклучете го светлото	v kɫutʃɛtɛ gˈo svɛtɫoˈtɔ
damjan stojanovski	damjan stɔjannɔsʲki
dejan iliev	dæɑn iːlæf
denes nad makedonija	de˩˥ːnes nət makɛdɔnia
dobar den	dobærðɪ̞m
dona	d̪ona
dragan georgiev	draɣam ɣeoɾpjef
drita islami	drita islami
dzvezda	tsviztɐ
emil dimitriev	imil demetrio
emilio percan	emilio peɾtʃɐn
english	ɪŋgɫɪz
filip lazarov	filɪp lɑzrɔn
filip mirkulovski	filip mirgulɯvski
galichica	galiːtʃitsa
gjorge ivanov	gɔrˈɟe ɪbanov
gjorgje ivanov	ɟɔɾɟiɛ ɛvɛnɔf
goce georgievski	guɫtsɪ gɛurigɛvski
gonxha	gondʒo
grcevski	grɛtʃevski
ilija nestorovski	ilia nɛstorofski
ivan trickovski	jˈban trˈitʃkoskˈi
joti	iljɔki
jugohrom	juːgoːxˈroːm
jапонофилија	ˈjaponoˈfilia
kaliopi	kalijopi
kepencite	kepensite
keti markovski	kettimarkoskis
kiril lazarov	kʲiɾɨɫɫɑzʊ̞rʊ̞w
lipkovo	lipko
ljube boskoski	bijobaːn bɒʃ bɒz
ljubomir frckoski	ljobu mɛt frɛtʃkofski
ljupco	ljuptso
macedonia	makað̞nia
makedonija	makað̞oɾnja
marjan pejoski	marɪan pajoski
marko blaževski	maːrkɔ bɫɔʒɛvski
martin popovski	mɐrtɪn pɔblɔrsʲki
martin velkovski	mɐrtɪn wɪlkɔfski
muarem muarem	muarem moarem
mакедонец	makidɔnˈets
mакедонка	makjeːdɔnka
mакедонци	makiðontsi
nikola gruevski	nˈikoɫɑ grʊɛvski
nikola kljusev	nikoɫa kljuˈsɛf
nikola markoski	nikolɔm ɑrkuski
nikolče noveski	nigɔtʃe noˈveski
oтворете го прозорецот	otvorete kuprozorɛtsut
oче	tʃɛ
panče ḱumbev	taːnʲtʲi sʏndæː
paskal	pasko
pero antic	ˈpero antjtʃ
predrag samardziski	predrak samardviski
riste pandev	riste pandef
sateska	sadɨʃka
sexy	sɛg̊si
shkendija	ʃkəndiˈɑ
skopje	skɔbjɛ
srce	sɯ̞rtsɛ
staro nagoričane	staro˥˩ː ma˥˩ːgo˥˩ːritʃane
stefan ristovski	stɛfɛn rɪstofski
svetozar ristovski	se dɔzɑr bɾɛjzdɔv
sангари	zˈaŋgaɾi
sвезда	tsviztɔ
sвезда вечерница	zvˈezda vɛtʃɛrnitsa
sвезда водилка	zvizda˥˩ vo˥˩ːdilka˥˩
sвезда деница	tsviztodɛnitsɔ
sвезда зорница	zveˈzda zornitsa
sвезден	tsvˈeːzdən
sвездест	d̪viztɪst
sвездичка	zvɛzɟitʃka
sвекне	tsvˈɛkni
sвекнува	tsvˈeknˈuːɾ
sвер	dzʋʲɛr
sвере	zvɛːrɛ
sверче	zvjɛrtʃɛ
sвечалка	tsvɛtʃaɫka
sвечка	tsvɛtʃk
sвечкав	tsvɛtʃkɐf
sвон	svˈɔ̃
sидови	zidovi
sидоса	zidɔstʃa
sидосува	dziduʃsua
sирка	tsɪrk
sирне	tʃiɾne
sирнува	zʲirnuːva
sрцала	tsɛrtsɑla
sрцало	dzɛrtsalɔ
sумба	zˈumba
sуни	tsuni
sуница	tsunitsa
sунлив	dtsonʝˈɛ
tikveš	tikvɛʃ
titov veles	ditoˈv ˈʋeˈles
trpčeski	truppɛn
vardar	vaɾdaɾ
vasil tupurkovski	vasju tupurguvzsʲkɛ
velice sumulikovski	veɫitʃe ʃumʊɫikɔvski
vlatko ilievski	ʋɐdkɔ i lʲiːʲevsʲki
vojdan stojanovski	bɔjden stɔjanovski
vranec	vranɛts
vrapcište	vraptʃiʃtɛ
yugoslavia	jugosɫavja
zapoznav	zpoznw
zdravo	zdraʋo
zlatko tanevski	zɫadkɔ kaːnɛːsk
zoran zaev	zorɑn zɑjæp
а	a
а-витамин	aɣitɔmin
аjдахо	qajdaɣu
аjова	ajɔvɑ
абдомен	ʔabdɔmɯ
аболицира	aboliːtsˈira
абортира	ɐbˌeɾətiɾˌɐ
абортус	aboltuz
аванс	avˈɑ̃s
авантури	ʔavəntʊɾe
авганистан	alɣ̞anist̪an
авганистански	afgɐnistˈɑnski
август	ævgʊst
авениjа	θθeniːa
авении	vini
авиjатичар	aviatˈar
авиjатичарска	ʔvjt̪tʃɾzka
авиjатичарски	avjɛtitʃarski
авиjациjа	avjatsɪja
авил	abu
авиокомпаниjа	aviukompanha
авиокомпании	avˈiʊkˌumpɐnˈi
авион	avjom
авиони	avioni
австралиец	ast̪ralja
австралискиот	au̯s̺t̪ɾaliz̻kjot̪
австралија	afstrˈɑlia
австралијка	astraligo
австралијци	astralˈi
австриска	tɑːstɯrɯk
австрискиот	astrˈiskˈeɫ
австрија	afstria
австроунгарскиот	aʃtrʊ̞ngajɾskʲot
автобус	aːt�bu
автоматски	afˈtomɑtskij
автомобил	automɐbɨl
автор	ˈaftɔɾ
авторка	aftorka
агалак	aɣalak
агол	ˈaɣuʊ
адвокат	kɔzɔkɑt
адвокатка	advukatka
адекватен	adɛkvatɛn
адекватна	adɛkvatn
адекватни	adɛkvatnʲi
адекватно	adɛkwˈatnˈɔ̃
адмир мехмеди	ɑːɾnɑːɾ nəxneːre
адолесцент	d̪oleθθen
адолесценти	adolestentɾ
адреналин	adrɛnavim
адријан	adriːan
аеродром	aɛɾodrɔm
ажурира	asad̪iɾa
азбука	azboːk
азбучен	asbutʃɛn
азбучна	azɛtʃɛn
азербејџан	ɑzɛrbɛdʒaːn
азот	azup
азотен	azutˈen
азотест	ɑzudɑst
азотна	azutnɒ
аквариуми	akvarˈiu̯mɪ
ако	ako
актер	aktɛr
актерка	akdɛrka
активна	aktɨvna
активно	aktivno
активности	aktivnɔstɨ
актиниум	optimjju
акцент	aktsɛnt
акцизна	aktsisno
акции	aktsiː
акционер	aktsionˈeɾ
акција	aktsɪa
албанија	alβ̞ãn̪ia
александар	alɛksandɑɾ
александра	alɛksaːndrɑ
алергија	ælɛɾgjæ
алжир	ɑɫdʊɾuv
алка	ˈalk
алтипармаковски	altipaɾmakovski
алуминиум	alumˈinim
алхемичар	alhenitʃaɾ
аматер	amat̪eɾ
аматери	amatəɾe
амеба	amjba
американец	ameɾikanetsː
американка	ameɾikaˈɛnka
американска	amɛrikanzka
американската	ɑmiːɾˈikanˈskatə
американци	ɑmeɾikɑntsʰi
америциум	ameriðiõ
амортизација	amazdiˈzatsija
амстердам	amstɛrdom
амур	ɑmuɾ
ана	anna
анализи	analisi
аналогно	ɑmɛɫugnʊ
ананасна	anandʒiːzæn
анархистички	anarkʲistitʃkʲi
ангара	aŋgaɾa
ангеловски	aŋgɛɫovski
англиски	angliski
ангола	anˈnola
андора	adoɾa
андора ла веља	ãn̪d̪oɾa d̪e beʝa
аниме	ɑnɪm
анимирано	animirano
анкара	ankar
аномален	anomaren
анонимен	anonimɛn
анонимни	anɔnɛmɛk
антарктик	antˈarktik
антивоено	antivono
антигва и барбуда	ãn̪t̪ikβ̞a es maɾβ̞uð̞a
антимон	antimon
апарат	aparat
апартман	apɾt̪man
апартмани	apartmaːni
апелационен суд i	apɛlatsiɔnɛn sʊd ɛðɛn
апелационен суд ii	apɛlatsiˈon ɛntsʊt va
апостол	apostul
април	apɾiw
априори	apriɔri
априорна	apriˈɔrnʌ
апсолутниот	absolutnʉ
аптекарка	aptɛkaːrka
апче	apt
апчиња	ɑptsinɑ
аранджеловац	aɾaŋɣelɑβ̞ats
арапски	ɑraːpski
арапски јазик	ʔɑrɑpskiː jɑːzɪk
арачиново	araːtʃinoː
аргентина	argentˈina
аргон	ɑrguŋ
аритметика	ɐɾitmɪtɪkɐ
арка	ark
арктичка малина	arktitska maljˈnˈa
армија	ˈaɾmja
ароматен	aɾomaten
ароматна	aromadna
арсен	ärsæm
архаизам	arxajsam
архаично	arɣaildʒt
архангели	arxangeli
археолог	ɑrχɛɫoːk
археологиjа	arxʲeologʲija
археолози	arkeoloːzi
археолошка	arxeoloʃka
археолошки	arxʲeoloʃkʲi
архитект	ɑɾχʲitɛkt
архитектура	aɾxjtektuɾa
асани	æˈsɑːne
асолна	asɔm
асортиман	asoɾt̪jme
асоциjациjа	ʔəsɐtsiʔazi
аспарагус	tɐʃpˈaɾɐgʊʃ
аспект	nʲa
аспида	aspida
астат	ɑːstɑf
астероид	astæɾuːid
астероиди	asteroidi
астрологиjа	astroloːgʲiː
астронаутика	astɾonˈoːtɪk
астрономиjа	astronomʲi
астрономија	ɔstronomja
ат	ɑt
атеизам	atɛizɑm
ателjе	atilʲe
атина	atina
атлантик	ɑtlɑntɪk
атлас	aplɐ
атлет	atlɛt̪
атлетика	atlʲetɪka
атлетска	aplˈɛtsk
атлетски	atʃɪtsʲki
атмосфера	atmosɛr
атмосферата	atmosfɛrata
атрибут	atribut
аудио водич	auˈdijoˈ vɔditʃ
аудиториум	audɨtˈoɾjʊ
аукција	auktsia
аферим!	ɑθɛɾim
афинитет	affinitat
афирмациjа	afiɾmatsʲɛ
афирмира	tɐfiɾmniɾa
афија	afːjˈa
афоризам	aforizv
африка	afɾɪkːɑ
африкански	ɑfɾikɑnski
афродита	afrodit
ацетон	atseto
ајвар	ajvɑr
ајде	ajde
ајкула	aɪkua
ајнштајниум	ajɛʃtɑjnɪjʊm
ајфон	ˈaɪfˌɔn
ајфон 6	iːfone ʃɛst
баба	baba
бабина	bɑɓɛn
бабичка	bɑbitsk
бавча	ba
багаж	β̞aɣ̞az
багажна	bʊˈgəs
багрем	baːgɾɐ
бадем	bada
бадемов	padɛmɔ
бадемова	batɛmɔva
баерн	bˈaɪn
база	vazˈa
базен	bazˈen
бакалаврска	bakaɫabərˈska
бакар	baka
бакарен	vakr
бакарна	bakər
баклава	bakɫava
бакне	bakn
бакнеж	baknɛʃ
бакнува	aknˈu
баку	bako
бал	au
балада	balaːd
баланс	balɛn
балансира	bˌɐlˈanθiɾɐ
балерини	ɓʊ̞leɾini
балкан	β̞alkan
балкон	balkon
бамбус	balbuz
банана	banana
банани	banane
бангладеш	β̞anɣ̞lad̪eʃ
банка	bˈanka
банкарство	bankarsɫo
банкетна	bæŋkjɛtne
банкетни	bɑŋkɪtni
банкноти	banknoti
бараш	baras
барбадос	baɾβaðos
баргузин	bˈaɾʒʊzɪn
бариум	barɪum
барнаул	β̞aɾnou
барокен	maɾɔkɛn
барс	vˈɛrs
барселона	bˌɐɾθelˈona
басни	bˈɑsni
батинци	baːtɛnt
бахами	dahami
бахреин	ðaxrein
бајерн	bai̯eɾ
бања	mpaɲːa
беа	bea
бебе	bebe
бебиња	bˌeβiɲˌa
бевме	beːsˈme
бега	beˈgˈa
без	bɪs
безбедност	bezbˈɛdmˈɔ̃st
безделничи	tɛzɨtɛoneɟe
безобразни	bɛzɔbraːzni
бел	bˈɪl
бел дроб	bel d̪rop̪
белана	biɾona
белвица	bɛɫʋitsa
белгија	bɪlgjɑ
белград	bʲɛlɣrɑs
белег	bˈɛlɛk
белези	beˈlazi
белизе	beliva
бело	pɛːlɔ
белорусија	bˌeloɾˈusja
бенд	bˈɛnt
бензин	benzɨm
бенин	benin
берилиум	berilio
беркелиум	beˈrˈkeˈlio
берлин	berɾɪn
берн	bɪrn
берово	berobe
бескрупулентност	be̞skɫuɛkʊlɛnkɔ
бесмислено	bɛstmɪslɛn
бесни	beˈsˈlˈ
бесплатен	bɪsplɑtɪm
бесплатно	bʲespɫɑtna
бестселер	bˈesˈtˈeʝˈlˈaɾ
бетонира	betoniɾa
беше	vˈeʃ
беља	bella
бибер	biːbær
библии	bibːli
библиска	bjblʲiska
библиските	bʏ̞bɫʲiskʲitæ
библијата	bibliˈata
