'എനിക്ക് മീൻ ഇഷ്ടമാണ്'	ɛnɪkːeː meːn ɪʃt̪ːɐmɑːnɛ
100	nˈuɾɐ
1000	aɪrɯm
10000	pəpɳaːɾum
11	pat̪enõn̪a
12	ʋɐn̪d̪ɾɐɳɖɖɯ
13	pˈeðimˈuna
14	paːdinaːle
15	pað̞ĩŋẽntʃe
16	pad̪inɾa
17	pːaːɾineːɾɯ
18	p̪ɐjɳat̪ːɐ
19	ɑːkːɑːnpɐd̪t̪
2	ɾaɳɖɐ
20	ɪrubːadɯ
2008	əɳːaːjɾt̪eʈːʋ
2009	ɾɐaŋɖaɪɾd̪paːn̪b̪d̪u
30	mupːəɾu
4	maːlɐ
40	naːlboɖɐ
5	antʃɨ
50	anβ̞að̞
6	ɑːrɑː
60	arobatɯ
7	jɛ˥˩ʐɤ˨˩˦
70	ɛgɐbɯdɯ
8	jɐʈː
80	eːmp̪d̪u
90	tonurɛ
a unit of distance	alo niː e̞ɣ̞riːa
achan	aːtːʃɛm
adipoli	əriːj
ahalya	ʔaħɑlɑ
akshay anthikatt	ətʃːeːjɐnɾigaːɳ
akshay anthkatt	əʃiː aːntqɑːr
alappuzha ((ആലപ്പുഴ)	aːl̪pːɻɑː
alapuzha	ajɫenʊˈɾɑ
alleppey	alapi
ambili	ambɪli
amma	amma
andezhath	ɑn̪d̪eːɻt̪ː
anesh (അനീഷ്)	aːnɛʃ
arhtihc	aːrte
ashanth	ʃɑːnt
ask	tʃoːdʒɪkkiɾa
aurora	au̯roːɾaː
ayyappan	aɪ̯ɯpən
bhaaratham	kaaːˈkøʃtam
bharatham	abavjɑtɑm
bharathapuzha	paːrʊɖɐpːɯɻpː
bindu	ɾˌɪnd̪u
chaattam (ചാട്ടം)	t̪ɕaːʈːam
changanacherry	seŋnasiri
chattam (ചട്ടം)	tɕəʈːɐm
cherthala	tʃɛrtɛla
chinnu	tʃˈɛˈɛ
chithra	tʃˈitɾa
chomathella	tʃɔːmʊdʒəˈlæɾ
chottanikkara	tʃoːtaːnʲiɟkaɾab
chunangad	tɕʏ̞næɴjˈɑɾ
devi	deβ̞i
dhanvik	ðenbˈikː
dhruva	truva
elamkunnapuzha (ഇളംകുന്നപ്പുഴ)	əɭəm kunːəpː piɻɑː
ernakulam	ɐɾɳaːkːuɭam
ethrayo janmamayi	nˈe trˈo
evide	ˈɛvɹidˈeɪ
gandhiji (ഗാന്ധിജി)	kaːndidʒi
geevarghese	diːbɚgiz
guruvayur	gɯɾɯvaalɛ
hai	həˈɪ
india	nð̞ja
ivide oru porotta	ɪvɪɖʌɾʊ pɐɾɑːɖt̪ːɑː
jnani (ജ്ഞാനി)	dˌiːzə nˈi
kaakka	kɑːkˈkɑː
karadi	kaːɾɐɖi
karnataka	kaɾnaɾəg
kasera	kasɯːraː
katham (കാതം)	kaːt̪em
kavassery	kavɛerde
kerala	kɛɾɛlɑk
keralam	kɛɾɐlɐm
keralam (കേരളം)	kɛrɑlɑm
keralam(കേരളം)	keːɾɐlɐm
keraleeyan	kɛːɾɐɻiːjən
kidakka	kɪːɽkːqaː
kidakkaviri	kɪːnːdakːɐviːd̪iː
kizhakku	kˈɾˈɐkˈɾˈɑ
kochi	kotʃi
kodimatha (കോടിമത)	koːɖimtaː
kodungallur	gɐɖuŋgɐɭːuːur
kollam (കൊല്ലം)	ɔllɐm
koodiyattam (കൂടിയാട്ടം)	koːɖi əːʈːɐm
koranga	kɑɾəŋa
korangan	kɒɾængæn
kottayam	koːɾɐjəm
kovalam	koːoɯlam
kozhi	koːˈriː
kozhikode	koːɽiːkoɽu
kumarakom	kumãrækˈam
kundara	unɖəɾa
kunnamkulam	unəŋguɻum
kuppi	kupi
madi	mati
madiyan	mɐdiːjɐn
madiyo	maljoː
