aaв	av
amarbuyant	ɑmɯ̞rpʊ̞jənt
aurinbold	ælæmpɔ̙ɮtɔ̙
avtobus	ɑftʊz
avtobusnii buudal	ɑftɔzlɑj bɔɾtʃ
baasanjaw	basɨmtsʲo
baljinnyam	bæ̹ldʒɪnʲɪm
baruun naran	bʊ̞rʊ̞ŋ nïːɢ
batukhan	bʊ̞tɑɫkæn
bayarlalaa	ɢɒwˈrɒssɒ
bayartai	bˈɐriːftɐ
bi chamd hairtai	kijtʃem dɑrtɛ
bolortuya purev	to̙o̙ɮaʃtʰtʰɵɵ akɵɾuː
boon tsagaan nuur	buhõːn tsǎɢɑ noɾ
byambasuren davaa	bjam suɾɯ̞ŋ dɑwa
chinggis khaan	tʃiŋˈɾˈis hæŋˈ
dampildorj	tænpɪɮtɐrtʃ
daraa uulzii	parau̯tsɨ
deel	bɪːʃ
dornod	tɑrnɯnɑtʊ̞
dulguun batsaikhan	tɔ̙ɬɢɔ̙ɔ̙ŋ pæetsɪsæe χɪŋ
dzud	sˈot
enkhbaysgalan	ixpɔisɔʁɔnɔu
enkhtuya davaadagva	iʃtʰuɪ̞äe tɑwɑt ɑɫk
ganbat dashtseren	qɑmbat taʃɯtɕirɯn
gar utas	kɒɾbˈis
genghis khan	tʃiŋ˨˩˦gis˥˩xa˥˥ŋ
gengis khan	tʃiŋˈgiz hɑn
hustai	bɔsta
höömij	komi
javhlan	tsiǎp˥sŋ˥˥
katya zol	kʰatia zo̙ɮ
khongoryn els	hoŋgɹˈiŋ ˈɪf
khoomi	xɤ˥˥
khoomii	xɤ˥˥
khosbayar zeveg	χɑs pɑjɯ̞r tɕɪjɫɪ̞p
khutulun	χʊ̞tsʃʊ̞ŋ
kublai khan	ʁusɛʁˈʁɑm
mongol	uŋɢuɫ
mongol khel	mɔ̙ŋɢɔ̙ɔ̙ sɪɮɪ
mungunzul bayarkhuu	mʊŋaː tsʊɮ pairɢuː
munkhbat aajim	muʁbat ɑːdʒɛm
muunokhoi	muːn˧
mонгол	mɔ̙ŋgɔ̙s
nergüi	nrkiː
novsh	nos
ongotsnii buudal	aːl utsɯnev βːoɾoɯtɯz
otchigin	ɒtˈitʃɒgin
sagsan bombog	sɒksim bɒldiq
sain	san
sartai	sɑrtɑj
sergelen	sʲirɪ̞kʲɪlʲɪŋ
shuvuu	ʃubo
sübedei	subede
taivanbat	tɛŋmɛnbat
takhi	efˈɛ
tavan tolgoi	tʰɐw̜ɔ̙n tʰɐ̆ɮɢɔ̙ɔ̙
temujin	timˈuːjin
temujın	kimo˥˩tɕiŋ˨˩˦
temuulen	tʰɪmuːɮin
terelj	piriɮtɕi
tsakhiagiin elbegdorj	kakˈijɑlˈinː ɪʃpˈyɭtɑrtsʲ
tserenchuluun	tʃeɾimtʃolun
tugrik	tʊ̞gɯ̞rʊ̞k
tатар	tˈatˈaɾ
ukhaa khudag	ɵɵχäː hʊ̞tɯ̞k
ulaanbaatar	ʊ̞zɑːmpɑkɪtɯ̞r
uugankhuu bolormaa	ʊ̞ɢu hu pæsdʊ̞rmɑ
uurga	uɫuraq
yc	ʊ̞s˦
yumjirdulam	jʊ̞mʒʊ̞ttɔʊ̞zɯ̞m
zeerd	tsiːlt
ögedei khan	ɯk˥a˥˥tʰe˥˩haŋ˥˥
аав	aɣ
аалз	als̺
аалигуйтэх	æ̹lkɵtɪ̞k
абахай хаан	aprɛxˈaːŋ
авав	ɑːmɑːm
авах	ɑbɑq
авгалдай	aɫqɑstɛ
аврах хантааз	ɑwɾah χantɑts
австрали	astraʃ
автобус	avtobus
авчрав	aftʃɯɾaːl
авчрах	ɐrtrɐq
адуу	ato
ажил	tɕiɾ
азот	ʔtsat
айл	ɛʃ
аймаг	ʔamk
айраг	ɑjrak
айх	ˈɛʁ
албан	ʔas˨˩pɔ˥˥
алгоритм	ɐðkɐrɪtːɪm
алдар	ɑːspɑɾ
алдах	ɑstɑ
алдрах	ɑɮtrɑχ
аливаа	ɛkva
алий нь	el fãn
алим	hæθɪ̞m
алмааз	ɔɾmɑːts
алт	t
алтай	astɛ
алтай хот	ɢɒtpɒχɒt
алтан	aːstɑŋ
алх	eˈasʁ
аль	s
альнаас нь	ætlʲɪnesn
ам	aːm
амаа тат	ʔamaː tˤ
амархан	amrəxaːn
амбаар	amβ̞aɾ
амгалан	ɔ̙mɔ̙ɔ̙
америкийн нэгдсэн улс	ɛmɛrkːʲiː mitsiŋ ʊ̞ss
амжилт хүсье	ʔim dʒkləkˈxusiː
амиа хорлолт	ɛmæ χɑrɑft
амлах	ˈaːmʃɑχ
ампер	aɻˈdʒɑ
амрах	ɑmrɑχ
амт	m
амтлагч	amtsaxt
амттай	amtsitˈe
амттан	ɑmtsɯtaŋ
амьд	emt
амьд үлдэгч	χæmte̞ uɫtɪ̞ɢtʃ
амьдрал	endɾez
амьтан	dɑːn
анаконда	anakonda
англи	əŋir
анзаарах	ɑnˈzɑrəx
анимэ	ɛnɪmɛ
антенн	aɪnˈtiːn
анхаарал тавих	æŋxäɾɯ̞s tɛwɪ̞χ
анхаарах	ɑχɑraχ
анхны	axni
арав	ʔarav
араг	ɑrɯ̞k
арвайхээр	ärʋæhʲir
арван найм	ɑrwɯ̞n næn
арван хоёр	ɑrmɑŋ hɑjɯ̞r
арга	ɑrɯ̞q
аргамжих	ɑrqɑmdʒɑq
аргон	akon
ард	ɑrt
ардчилах	ɑrtʃɯʃɫɑχ
ардчиллын алтан хараацай	ɐrtʰi tʃiɮɪtɮɪnɪŋ aɮnɑχ χɐrɑːtsɛ
аригбөх	ɛrɛkpuh
архангай	ɑrχɑŋgɑ
архитектур	ɛçtʲeɢtʊ̞r
арц	aɾts
асашорюү	æθæʃaɪˈrɑh
астаачар	astatʃar
асууна	ɑsn
асуух	asˈɔʁ
афганистан	askanistdan
африк	afrikk
ахих	ækjɪχ
ахиц	ɑgɯ̞tsɯ̞
ахуй	aʁə�eˈ
ачаа тээш	atʃɑ teʃ
ашиг	æʃɪ̞k
аяга	ɑjɑq
аялагч	ajtsʃɮɯtːʃ
баавгай	paːlˈʁæ
баар	dˌaːr
баасан	fɑ˥˥sən˥˩
бага	pˈak
багадах	pɑqtɑq
багаж	tɑ˥˥ʃʰ
багалзуурдах	tɐɢɐɬso̙o̙rtʰɐχ
баглаа	bɑːksɑ
баглах	pakʂax
багц	bakhˈtˈz
багш	paks
багшийг	ɑχʃɛk
байгаль	bæjɑkɑs
байгуулдаг	bɛɦɛɦˈɑk
байна	bˈɛn
байнга	bən˧˥
байнгын хороо	æn geːn haɾaː
байр	bɛr
байршил	pɛrʃɪ̞ð
байсан	lasˈɯŋ
байцаа	etsa
байцай	tajtsɛ
байшин	pɛʃɪ̞m
байшингийн дээвэр	ərʃɛnɣin ʒubˈɑl
бангкок	dankak
банз	pɑnts
банзал	pɑːnzə
банк	bank
бар	bˈaɾ
барагдах	bɑrɑktɑ
бардам	bɑrtɑm
барилгажуулах	kɐrɮɐχtɕuː̙ːɮɐχ
баруун	paroŋ
баруун-урт	bärɯ̞rɯ̞ŋɯ̞rt
бархирах	bːaɾʲkɪ̞
басбиш	bɑsbiʃ
бат	bat
батаарын	ɑtɑɾiːn
батбаяр	bätpajɯ̞r
батраш	batraʃ
бахь	bæˈs
баян	tɑ˥˥jɐŋ˥˩
баян түмэн	paːnˈtoːm
баян-өлгий	pæ̝ːuːlkiː
баянтүмэн	pajntum
баянхонгор	bɐ̝jɪ̞ŋhɔ̙ŋgɔ̙r
баяр хүргеэ	bâːjɛr χurgiː
баярлалаа	bɔzɑ
баярласан	bɑjrɯzɯ̞ŋ
баярлах	ɐ̝jɪrɪ̞ɬːɐχ
баяртай	baʃtɛ
бензол	bənˈzɑɹ
бетон	la
би	bˈeɪ
би багш	pi bakʃ
би гоё бэлэг авлаа.	piɪ̞ː qɔ̙j piɮe w̜zaa
би хүүтэй	pixute
би цэнхэр өнгөнд дуртай.	pi̠ tsɪnχɪ̞r o̙nɢɪ̞n to̙rtʰæe
би чамд хайртай	miːl tʃɒm tʃɒz te
бид	it
бие	pi˥˩
бие даах	pˈitɑx
биеэр	bijɾ
биеэр уулзах	bʲir oːlʲts
бизон	bisɑ̃
бий	li˥˩
бийр	iɾ
билэг	bʲisɪ̞k
билээ	bʲilɪ̞
бирм	piːrim
битгий	bˈiski
бичгийн сав	bitʃe sɑv
бичив	bɪtˢə
бичиг	bitʃik
бичигтэй	bitsʃɪxtɪ
бичих	bitʃik
богд хаан	lifta˥˩n
бодогдох	tɔ̙tɞ̙ɢtɔ̙
бодол	tɔtɑʃ
болгар	bo̙skar
болгосон	pɔ̙ɮɔ̙ksɔ̙ŋ
болжмор	pɑɮtɕmɔ̙r
болно	bɔʃn
боловсрол	patʰɔ̙srɔ̙ɬ
боловсрох	ɞ̙rɮaksr
болон	pɐsɐ̆ŋ
болох	pɔ̙ɮɐ̆χ
боох	dˈœ̃
бордоо	pɑrta
боржигин	dɑrʧɑŋ
борлуулагч	pɞ̙rɞ̙o̙o̙tʰäçtʰi
боршувуу	doːrʃuː
босгох	basqoχ
бохир	bɐχjɐr
буг	tɔk
буга	q
бугат хот	bʊ̞ʁɯ̞t χɑt
бугуйвч	bɒhɒtʃ
будаа	pot̪a
буддын шашин	kʊŋ˨˩˦ tɕjɛ˥˩nʲː sʲaʂɪ˥˧
будрах	pɔtɾah
булах	pɔ̙ɮɑq
булга	doʃkɑ
булган	po̙o̙χo̙
булчин	pɔ̙ɮtɕin
бульдозер	pɛstɑtɪr
бунхан	mɔ̃xɛm
бурам	tojrɑm
буриад	kʏrɛt
буруу	dʊrɔ
бурхан	tʊ̞xæng
буух	pux
буцалгах	pɔ̙tsɞ̙ɮɢɐχ
бэлтгэнэ	piʲtgɪn
бэлтгэх	bʲistɫʲɪç
бэлхүүс	bɛlxʊz
бэлэг	wˈiːlik
бэлэг барих	pɪ̞ɮɪ̞k pæræx
бэх	pʰiʃ
бээлий	be
бялзуухай	bʲertsɪw̜ːχäw̜
