aai	ajn
aai cha gho	əʲːtsaːgʱoː
aai lavkar vaad	ɦɛjɛ laːʊkɐɳlaːɺa
aaji	dʒo
aajoba	atzoba
aakash	ɑtɑʃ
aamba	amba
aaple	aple
aath	t
aayat	ajɛt
abhanga	ɑ̃nbuitˈ
abhishek	ʔibːuzi
abhyas	ɔbjɑs
adnyan	admioːn
adrak	kˈatʁək
agney	agnɛjʊ
akalkoth swami	əqkəl koʈ sɔɑːmi
akhandapane ani nehami	əˈkʰɑ ɳəpɑɳe əɳe nə mi
ananas	ɑnɑnɑs
anjanamma	ẽn̪ɣ̞enma
apun	əˈpən
araddhya	aɾabia
asha	ɑːlɕjɑːn
asha bhosle	ɑːʃɑː bʱoːs liː
ashtami	əʃtʃmɪ
ashtavinayaka	baʃtɔvinaːk
ashubh	ɑʃuvum
ashutosh gowarikar	aːʃtʃʰoːʃ goʋaːrʃkɾ
ashwini	aʃn
atadrūpa	katat̪rupa
avalokitēśvar	aoʝolokoteeswaɾa
avshadh	oʃæ
baba	bɑ˥˥bɑ˥˥
babasaheb ambedkar	pa ba seɾ bãn beɾt̪oɾ
bahin	ʋəhiːɳ
bajirao peshwe	maːnˈdʒiːɾaːu bˈiʃli
bajri	bəzɾiː
bakarwadi	baːkəɾʋəɽi
ballaleshwar	ɓəlːəɽeːɑːʃʋəɾ
bangal	bʱɐ̃ŋgaːl
bangla	bɐŋɪlɑː
batata	bəˈtɑtə
batata vada	bʱaːt̪aː waːɽa
bhaat	bʁˈat
bhadkamkar	bəɺkəmkat
bhagya	bʱɑːgɪl
bhaji	bʱaːdʒiː
bhakri	bʱkɾiː
bhaoo	bau
bharat	nɑːrɪt
bharit	bʱɐɾiːp
bhasha	baʃa
bhatji	bətʃiː
bhatukali	bʱaːt̪uːkəliː
bhau	həw˧
bhavsar	bɑːlsɑːr
bhopala	bupˈɛ̃
bhopla	bʱoːpːlaː
bindaas	bɪndˈəs
borkar	borkɑɾ
brahma	bɾəmːʱuː
brahmadev	ʃəprəmpədiːr
brahman	ɖəmːən
budhi	bud̪ːi
chaar	dʒaː
chaavii	tɕviː
chaitra	tʃˈeɪtɹum
