a'tlatl	atˈlats
acahya	akaaxia
acatl	ɑːtɑːt
acatl tzin	akatsʲ
acazotic	akasotʃ
acazotzin	akasotʃen
acecec	asˈese
achi	atʃi
achiotik	atʃjɔtik
achiotl	atʃotl
achitzin	atʃitsin
achiya	atʃia
achiyoc	atʃiok
achtohui	atʃtoˈi
achtopa	atʃtopa
aconcah	aʃoŋka
acopan	akopẽn̪
acquiya	akia
acuicuiyachi	ɑkuekuiʄɑti
acxoyatl	akʃoxatl
ahci	axsiː
ahcic	akt̪z̟z̺ɪg̊
ahcicamati	axsikamai̯t̪e
ahhua	ˈakvə
ahhuiac	axuʝak
ahmo	amo
ahmo nicmati ninahuatlahtoz	amoni kɛmɑtɛni na wɑkɑtɔsni
ahuacamolli	aɣokamɔlɟl
ahuacatinih	auakatini
ahuacatl	auakət
ahuacatlan	ɑwɑqɑtəlɯ̞m
ahuachtli	auaʃtɭi
ahuaxtla	auaʃtra
ahui	oi
ahuizotl	ˈawˈisˈɔtən
alaxox	allaʃaʃ
alaxoxtoca	alaʃosˈtoka
altepeco	altepekˈo
altepemeh	altepeme
altepetl	ltˈpˈtl
amameh	amame
aman	aman
amati	amatʲe
amatl	ɑmɑt
amatlan	atɫɑŋ
amehuantin	amejxantin
amehwan	amejˈxwan
amelco	amelko
ameyalli	ʔamijæl
amiqui	amiki
amitla	amiekl
amo	amo
amo ximolini	amo ʃimælˈlini
amochantzinco	amotʃanttsinko
amochitl	amo˩˥ːtʃ˥˩
amochtli	amoʃtli
amocualli	amokwali
amoxmeh	amoʃme
amoxtli	amoʃtli
amoxtlikoyan	amoʃtlikoian
anahuac	anaua
aneh	ane
anmohhuantin	anmohontin
anmomachtianimeh	anmomatʃtianime
anmomachtique	anmumatike
aoc	au
aocmo	auqm
apitzalli	apetsale
apiztli	apistli
aporaroh	aporalo
apotzonalli	apotsonali
aquetzalli	akestsˈaˈli
aquihque	akɪçkæ
aquin	akim
aquinzazo	akimsasa
atiya	atia
atl	at
atlacatl	atʃaːkat
