0	lĩŋ˨˩ kʰoŋ˥˥
1	i˥˧t˥tsit˥˥
10	sip˦
100	tip˦a˥˧
1000	tˈɛˈtsˌwi
10000	tsi˨˩ba˥n˥˩
11	tɕat̚˨˩ʔit̚˨˩
110	pa˥˥it˦
12	tapli
120	pa˥˥li˨˩˦
12306	it˦ i˧˧sɑ˥˥m̩˨˩˦niŋ˨˩liɔ˨˩
13	zatsa
130	patsa
14	tsap˦ si˧˧
140	a si
15	tsap˦˥ o˥˩˦
150	a˥˩kjo˥˩
16	tsap˦˥˥
160	fok̚˦lɐk˥
17	tɕap˦˥tɕʰit˥
170	pa˥˥sit˦
18	tˈɛstʁə bwˈɛ
180	pa˥˥bu˥˩
19	tsap˦˥kau˥˥
190	ma˥˧kɑʊ˥˥
2	ði˧˧ nən˧˧
20	di˧˧tsap˨˩
200	d̪ɨŋ˨˩pa˥˥
21	liap it
22	liː
23	jɑqsɑ
24	tˈɛʁ
25	liaʔ˦go˧˧
250	neŋ˨˩paː˥˥lo˨˩˦tsap˦
26	tʰi˨˩aʔ˨la˥
27	lɛʁtˈsuit
28	liap˥˧ue˥˧
29	ljap˨ka˥˥
3	saːm˩˩˦
30	sa˥˩tsap˦
300	sa˥˩pa˥˥
31	samiːt˨˩
32	sɑːmfli
33	sam sa
34	sˈam si
35	sɑŋ˥˥hɔ˥˥
350	tsaːbaːlɔːʈap
36	sã˥˩m˥˩báp˨
360	saːpaːrak
37	sãm
38	sã˥˥pʰu˥˧
39	sɐm˨˩kauː˥
4	sˈi
40	sˈiːzɑp
400	fˈɛ
41	siap˨it˦
42	siap˨˦li˥˩
426	tʃiːaraː
43	dˈak ˈsa
44	sjˈɛˈʁˈsijˈ
45	atbo˨˩
450	ɕi˥˧pa˥˥ʔtsap˦˥
46	ɕiat˨˩la˥
47	tsit˦
48	ɕap˦ kɔ̀eː
49	tɕakˤau˥˧
5	ŋɔː˧˥ŋɔː˧˥
50	ŋɔː˩˧tsap˦
500	ŋɔː˩˧paːk˥
502	ŋɔː˧liŋliː
51	ko˥˥ it
52	go˨˦li˥˩
53	gotsa
54	go tse
55	lɔːgɔ
550	ŋɔː˩˧paː˥ŋɔː˩˧
56	o˩˥ːla˥˥
57	gɔːtsi
58	goːpɔ̀ːi
59	nˈoːtˈau
6	lã˧˧
60	náːk˨˩saːb˥
600	la pa
61	laːkjˈt
62	a mi
63	laksa
64	lak˨si˥˩
65	lak o
650	naːk̚˨˩laː˥
66	tɑqɫæk
67	n˧ak˨˩tsit˦
68	lakue
69	la kau̯
7	tɕʰi˧˧
70	tɕʰi˥˧tsap˨˩
700	tɕi˥˧pa˥˥
71	tʰiː˥˩ i˧˥
72	tɕʰiːtliː
73	tɕʰi˥˩swan˥˥
74	dˌiːzə sˈi
75	tɕiːk˥ kʷɔː
750	tɕʰiːp̚˨˩paː˥˩ʔɔː
76	tɕʰil˥˩laːk
77	sit˦sit˦
78	sit˦pɔ˥˥
79	gɔːm
8	pue̯˥˥at˦
80	pue˥˧tsap˨˩
800	puepa
81	poj it
82	pue˨˦ li˨˩
83	pɔˈɛk saː
84	pue˥˧si˥˧
85	pueŋɔ
850	pʰɯ̟˥pa˥˥lɔ˨
86	voʔ˨˩˦e˧˧la˥˧k˥
87	bo˥˩j˧tsit˦
88	bue˥˩ bu˩˥ː
89	pue˥˧ kau˥˥
9	kalˈlqiu˨
90	jɛː˥
900	tɕjɛ˥˥
91	kau˥˥it˦
92	tʰau˨˦li˥˩
93	kaːuː˧˥saː˩˦
94	tɕʰi˥˧
95	ka˥˥
950	pɐ˥˥lɔː˩˧
96	aː˥˩lk
97	tɕau˨˩tsit˦
98	aʊ˨˩kweɪ˥˥
99	tɕjɛ˥˥
a-bú-khá-lò	apokalo
a-lí-san	a˦˥li˥˩sãn˥˥
ab胶	eˈpˈika
ai-kiû	ai̯kjoʊ˨˩
ai-pi	ˈaɪ bˈi
ai-uàn	aɪ˥˥wãn˨˩
au-á	aua
a片	e˩˦pɛn˨˩˦
banana	kĩ˥˥ a˥˧
ba̍k-chi̍t-nih-á	atʃimia
ba̍k-kiànn	bakja
be̍h-á-tê	beate
boah-to	lua˨˦t˥oʊ˨˩˦
bo̍at-thàn	bɑt̚˥˥an˥˩
bo̍k-bo̍k-siû	mok˨mok˨si˧˧
bo̍k-chhiūⁿ	mou̯˨˩tsʰiː˥
bân-lâm	ban˨˩lan˨˩
bí-phang	pi˥˧pʰaŋ˥˥
bîn-chòng	nˌiŋˌtsʌŋ˨˩
bîn-ióng	minjjoŋ
bîn-ke chhù-á	pĩn˨˩ke˥˥ tɕʰu˥˥a˥˧
bô chi̍t-ê khò-hōaⁿ	mua˧˧tsit˦e˨˦kʰɔ˨˩ hũã˨˩
b超	pi˥˧tsiaʊ˥˥
chak-chō	tako
chhe-kah-sái-phài ( 差教使派 )	tsʰeː˧˥kaː˥˧sai˥˧ pʰai˨˩
chhiú-hêng	tsʰiu˥˧hĩũ˨˩
chhân-eⁿ	tsiŋ˨˦i˥˧
chhéng phiò	tɕʰiŋ˥˥pʰiu˨˩
chhím-thâu	tsʰim˥˥ tʰau˨˦
chhī-chháu	si˥˧tsʰau˥˧
chiam-thâu siah thih.	sã˥˥ tʰau˧˧satʰi˥˩
chiang-chiu	tɕiŋ˥˧tsiu˥˧
chih-chài bē tiâu	si˥˧tsai˥˧be˧˧tiau˨˦
chiong-hòa	tsioŋ˨˩hŋa˥˧
chiâu-tio̍h	tɕau˥˧tioŋ˨˩
chiù-khí	tiu˥˧kʰi˥˧
chng-chŭn	dʑɪn˨˩˦tɕjɛ˥˥
chóan-chia̍h	tswan˥˥
chôan-chiu	tswan˥˥e˨˦
ct	sitˢ
ecfa	eke˨˩ hɔ˧˧ la˥˧
fou	m
giâ-kê	dʒa ke
go̍eh-keng	gu˧˧ ħ˧aŋ˥˥keŋ˥˥
gâu	gɑl
gâu-tsá	tau̯tsa
gî-lân	˦li˥˩lan˨˩
hiang-chòng	kĩã˥˥tsõŋ˨˩
hiang-ióng	hĩ˥˥ ðə˧˥mɪŋ˧˥
hiong-káng	hioŋ˨˦kaŋ˥˧
ho chiak	po˨˩˦tɕiat˨˩
hoa-liân	hualen
hokkien	hɔqin
hong-thai	hʰɔ̀ːŋ˨˩tʰaʔ˦
huawei	hua˥˥wi˥˧
hun-pì	hʊn˥˥pit˦˥
hàu-ko͘-tū	au̯ko˥˩tʰu˥˩
hái-kháu	hai˥˧kʰɑʊ˨˩˦
hái-lâm	pʰaɪˌɛːlɑːn
hòan-chhù	kwan˥˥tsu˨˩˦
hòng-sàng-thâu	hŋ˥˥sãŋ˥˩tʰa˥˥
hó bīn-chêng khiā	pʰi˧˧ min˨˦ tsiong˧˧kʰia˥˧
hô-ló	aɻo
hôe-sî-á	po˨˩e˨˦si˨˩a˥˧
hûn-lîm	pʰiŋ˨˩tiːn˨˩
hōan-sè ( 凡勢 )	uan˥˥sɛ˥˧
hōng-thāi	hʰɔ̀ŋ˨˩tʰaʔ˨
hūi-oaⁿ	tsit˦ hã˨˦
io̍h-kio̍k	jo˥˩ok˨aɔ˧˧
it-liap-it	ilˈlˈɛ aːmjid
it-tó-it	o tɔj
ià-siān	iasen
iàu-ì	iau˨˦
iû-kio̍k	iu˨˦ kio˨˩
ji̍t-pún	ti˨˩kɔ˨
ka choa̍h	na˥˩tsuɑŋ
ka-gī	i˥˩
ka-lún-sún	a˥˥lun˥˥syn˥˩
kam-chiah-teng	kã˥˥sit˦ ħə˥˥ŋ˥˥˥
ke-kiám thàn, chiah bē sàn.	kʰeː˨˩rk˥ãːm˥˥tsiaʔ˨be˧˧sat˦
ke-lâng	ke˥˩ laːŋ
keng-thé	kiŋ˨˦ tʰe˥˥
khang-chhùi	kʰŋ˨˩ tsʰu˨˩˦i˧˧
khau-sé	kʰau˨˩sue˥˥
khau-to	kɐʊˈtɐ̃
kha̍t-sàu	kɔ˧˧sau˧˧
khiā-ke	kʰi˥˥a˥˧ke˥˥
khok-hêng	kʰɔːkʰiːŋ
khòaⁿ a-kong chia̍h ko-á, bián nōa.	kʰɑm˥˥ koŋ˧˧tsiaʔ˨ kə˥˥ a˥˧ le˨ˀnɔ˨˦ tɔ˧˧a˥˧
khòaⁿ án-kong chia̍h ke-kiān chheh chheh	kʰũã˨˩ koŋ˥˥tsiaʔ˨ke˥˥ken˥˥ tsʰe˨˩tsʰɯ˨˩
khòng-kang	kʰʊŋ˨˩kɑŋ˥˥
khōng-kha-khiàu	pʰŋ˨˩kʰa˥˥kʰiau˨˩
khōng-khōng-tian	u˨˩ŋ˥˥ɔ˨˩˦ tɕʰĩ˥˥
kim bí-lêng	ki˧˧ bi˧˧ tiŋ˨˦
kim-mn̂g	kĩ˥˥mǎŋ˧˧
kim-mûi	kimue
kin-le	kĩ˥˥ ne˥˩
kiám-chhái	ki˥˧am˥˥tsʰai˨˩
ko-hiông	p˨o˥˧hĩũ˥˧
káu-hūn	kau˥˧hun˨˦
káu-hūn-á	kaluna
kî-si̍t	kiː˧
kī-kī-kia̍uh-kia̍uh	tʃiʃi˥˧kʰɒːɾkʉ˥ˈ
lamigo桃猿	amiko˥˧tʰɤ˥˥ wan˧˧
la̍k-la̍k-tshuah	lak˨la˥k˨ tsʰua˥˥
lio̍k-thiòng	lɛkthɔ̀
liân chiàn	lientseŋ˨˩
liōng-siōng	lioŋ˨˦sioŋ˨˦
lo̍k-káng	l˥ok̚aŋ˧
làng-chām	laŋ˨˩tsan˥˧
lâm-tâu	lãŋtâːu
lân-kan	tan˨˩kan˥˥
lâu chî	lau˥˧tsĩ˨˩
lîm kiàn-liông	tin˨˦ ke˥˥ioŋ˨˦
lō͘-chháu	loː t˥aːv
min nan	banˈdɑm
mn̂g-pang	lɤŋ˧˧kɑŋ˥˥
music	ˈkeɪvusˌeɪlt
má-keng	ma˨˩koŋ˥˥
má-king (馬公)	má˥˥pi˧˥ an˧˥
múi-kiáⁿ	muː˧˧ kaŋ˧˧
múi-tang	mujitam
múi-tiū	muitɪu
nuà-tshn̂g	nua˨˦tsɯ˥˥
nńg-kauh-kauh	non˧˧kau˧˧kau˧˧
nńg-kô-kô	nɤ̞ŋˈkɤˈgɤ
nńg-lóan	nŋ˥˥luan˥˧
n̂g bûn-hiông	ŋ˥˥bun˥˧hioŋ˧˧
n̂g-sng-hō͘	vˈaɪ̚tʁ
oyster	dˌiːzə
o͘-liông-tê	aʎlioŋte˨˩
pa̍t-á	bat̪na
phah-sńg	tʰaː˧˥sɯŋ˨˩
phêⁿ-ô͘	pɛːo
phîⁿ-ô͘	pɛː˥˥ɔː˧
pin-siâⁿ hok-kiàn-oē	tĩ˥˥sĩã˨˩ hɔ˧˥kiat˦ tuə˥˧
péⁿ	bˈɛn
pí-phēng	i˥˧tioŋ˨˩˦
pîn-tong	tinton
pún-chiâⁿ	pu˧˧tsĩã˨˩
pēⁿ-chàu	pɪn˨˩tsɐp˨
pēⁿ-siū	pæ̀ːnˈsiu˥
pēⁿ-ôan	piŋ˥˧kuan˥˥
pōng	tɔŋ˥˧
pōng-chiam	boŋ˨˩tsiam˥˧
qq空間	kʰiːuːkʰiːuːkʰŋ˥˥k̚˦˥an˥˩
qq空间	kʰiu˥˧kʰʊŋ˥˥ kan˥˥
quemoy	tjˈɛn ləŋ
q币	tʃiu pe
sia sam khí chhù thàn hiān-kim.	sã˥˥sã˥˥mkʰi˧˧ tsʰu˧˧ tʰan˥˩hẽ˧˥kiŋ˨˩
sian-ang-á	se˨˩nraːŋaː
siang-kǹg	sjɛn˥˩kə˥˩
sin-ka-pho hok-kiàn-ōe	siŋ˨˩ka˥˥ pɔ˥˥ lo˥˩ːk keŋ˨˩˦ue˨˦
sin-pak	sin˨˩tak˨
su beng (史明)	sũ˥˥bĩŋ˨˩˦
suh tek-ko	sɑw˨t˦ip˦kɔ˨
suh thih-ki	su˥˧tʰi˧˧ki˧˧
suh thiāu-á	sʊŋ˥˥tʰiau˨˩˦a˥˧
sù-siông	s˥u˥˧sioŋ˨˩
sē sai-bóe lê	se˨˩sai˥˥ buit˦le˨˦
taipei	tɐi̯˨pɐ˥
taiwan	tai˥˥wan˨˦
tan-kǹg	tɑ̃kə
tek-ko phiò	nɘk˦ kə˥˥ kio˨˩˦
tek-koaⁿ	tik˦li˥˩ qɑŋ˧˧
thih-phiáⁿ	tʰi˧˧kʰiaʔ˨
thit-thô	tʰit˦tʰa˥˧ tʰit˦tʰa˧˧
thui-chông	tʰuːi˥˧tjoŋ˨˦
thâu-mn̂g tshàng-tshàng	tɰau̯mŋ˨˩tsʰau˥˥tsʰau˥˥
thô-hn̂g	fɔː
thô͘-phâng	tʰɔ˥˥
tiam-tiam	tian tian
tin-kùi	tʃiːzi tʃiːzi
tiong-hoâ	tioŋ˨˩hɔ˨˩˦
tiò-hî-ang	tio˨˩ hi˥˥ aŋ˨˦
tiāⁿ-thâu	tiŋ˨˩ tʰau˨˩
tiāⁿ-tio̍h	ĩã˨˩tio˨˩
tn̂g-kang ( 長工 )	tən˧˧
tn̄g-jī	tãn˧˥ tɕi˥˥
