'a	a
'a casciaforte	æˈka ʃaːt ˈɑltˈɛ
'a frangesa	a fɾamɣ̞esa
'a pizza	ɑːbɪ sɯnˈɑ
'a tazza 'e café	abdɑtsɯj kafe
'a vucchella	a β̞okella
'e	dˈeɪ
'e llente	elˈɛnte
'gneficato	nˌiɐvɐgˈatɐ
'mbomma	bʊm
'mbraccio	brat̪ɣ̞se
'mbrello	mbrelˈlˈa
'mbriacone	briˈaːgona
'mbroglie	mbroʎe
'mmericina	meriːigina
'mmìdia	mˈiɾia
'mpazzì	vatsi
'mpruvvisamente	provisamɛnt̪ɐ
'n'italiano	nˈlˈɪaˈtˈam
'na	nɑ
'ncanna	nɛ
'nce	ntsʰiɛ
'ncielo	ntʃɛle
'ncoppa	nˈgˈɔpːa
'ncuorpo	nʊˈtːɐ
'ndringhete ndrà	nʒɵɬˈinːgˈiʰʒˈɛdnˈgˈiʰla
'nfaccia	fajɣ̞
'nfatto	vat
'nfronte	imfrˈonte
'nfrunghete	mfrʊmgtɛ
'ngignà	ʒˈeɲˈɑ̃
'ngrato	grat̪a
'ngule	uɫɯ̞
'ntampecone	mdˈaːmpˈakɔvnˈ
'ntennere	ntɛjnere
'nterra	tera
'nturtiera	toltʃera
'nturzaje	nturtsaie
'nu	nɔ̃
'nzalata	tsalata
'nzallanuto	θalanuð̞a
'nzerrà	zəˈra
'nzieme	ntsʲma
'nzurarse	zwraɾsɛ
'nzurato	zulˈata
'o	u
'o cardillo	a gavrðiʝa
'o ciucciariello	dʒuːdʒaːjæɾvɑːlɑː
'o guarracino	aːrwa raxina
'o marenariello	omara naɾiella
'o sarracino	næfˈsæɾnægˈʃiːdɑː
'o sole mio	mɔ̃sɔˈɑ̃ vjˈɛ̀
'rrevutà	ʒˈə-vˈotˈa
'stu	stup
'zzicco	fˈikː
a cavallo rialato nun se guarda 'mmocca.	la kaβ̞al̪t̪eɾja lat̪ els ũn seɣ̞uaɾt̪ la mwk
a fess e mammt	avist iːmaːmt
a zi'	adzi
a' scapece	aʃka vʲeʒa
a: com'è finita la partita con la fiorentina?b: ngul a mammt!	kˈama finita la partˈita kon la fiorentˈina gʊlaˈlmaˈmmata
abbabbià'	abˌaːbːjˈa
abbacchià'	aabakia
abbacchiàto	apmãkːjat
abbaccà'	abakːa
abballà	aballa
abbandunà	abandˈona
abbaraccia	abrˈatʃːa
abbascio	abaiʃa
abbecìno	abɨxˈiŋ
abbenì	aːbni
abbià	abjˈa
abbrile	abbrˈiːla
abbuccà	abuka
abbuffato	abufˈata
abbuscà	ɑbʊʃka
abbàscio	abaʃ
acacia	ˌɐgˈaʒɐ
accapputtà	akaputɑ
accarezzame	aːqˈkəɾˈeˈeːtˈɕəlo
accattà	akatã
accavallà	əɾkɑɐɫːlɐm
acchiappà	tʃiɑpˈpɑ
accio	laːʒ
accirere	atʃiˈɾɛɾɐ
accirerse	atʃiros
acciso	atʃˈiz
accummencià	akumẽn̪t̪ʃa
accummincià	akomɛntʃa
accuncià	akuntʃa
accuppà	akʊpa
accussì	akusˈi
accà	aka
aco	aːkˈa
acqua	akompano
addenucchiarse	adlukːaɾs
addereto	adɾetɐ
adderitto	adːˈrˈitː
addimannà	atð̞imẽn̪na
addiruso	adiɾusɛ
addrubbechià	aðɾubbɨkja
addrèto	anðɾeð
addubbecà	atːukbɣˈab
addurmì	dormi
addò	at̪ð̞u
aeroplano	roaɾm
affacciare	aːfˈatʃˈaɾ
affatturà	afattuɾa
afora	aˈvɔɾə
afravola	fˈraːvˈuxt
africa	aːvrɐgɐ
aggarbà	agareβ̞
aggio perduto 'o suonno	patʃo pɔr pʎuːtɔspu
agnèll	anʲerɫa
agricultura	agrikultura
aiere	aʎˈaˈɛɾɐ
aieressera	aeɾəsˈeɪɾɐ
aieri	aj
ajere	aʎˈeɾɐ
ajeressera	aiɾaseiɾa
albèrgo	alberg
alizzo	alˈitsˈ
all'intrasatta	allintˈɾˈazˈaptˈa
allamentà	lalamẽn̪d̪a
allardiate	allaˈrdiate
allazzà	alɫatsa
allecuorde	alagʊɾdɨ
alleramente	aleɾamentʊ
alleria	alleˈria
alliccarse	alikazs
allicurdà	alɛeːkuɾdaː
alligatòr	aliɣˈadʊrɐ
alluccà	alukˈa
allà	alaː
amalfi	alaːlɑlɑtɯ
amaro	amaˈɾɐ
ammenaccià	amɦatʃa
ammesurà	ammːesˈwɾa
ammezzà (ospitare)	la mɛdˈθa
ammore	ɐmˈowɾɐ
ammulà	ammul
ammusciato	ammʊʃˈatˈɔ
ammuìna	amoin
ampressa	amprɛssɐ
ampresso	ambɾes
amà	ama
