't	tʰtʰtʰtʰ
1 - een	hˈeɪn
10 - teihn	tˈaɪm
100 - hunnert	hʊˈnɑːt
1000 - dusend	dˈuːzənt
11 - ölven	oɾuβ̞en
12 - twölf	tʃvˈœlf
13 - dörteihn	dʊɐtsʃaɪn
1300	eːndˈuzəntrˈeːɪhˈɔnˌad
14 - veerteihn	fˈɛɾtˌaɪn
15 - foffteihn	fɔfˈtaɪn
16 - sössteihn	zˈɛst taɪn
17 - söventeihn	saˈɛv mkəlˈn
18 - achtteihn	axtaĩŋ
185	ˌoːnɜfˈiːfɔntˈaxentˌɪç
19 - negenteihn	nˈɛgəntˌaɪn
2 - twee	tɹe
20 - twintig	spɛndəl
200 - tweehunnert	tʃbeːˈjiː hænæd
2000 - tweedusend	tsvˈeː tˈuːzənt
21 - eenuntwintig	kˈɪnt nˈuːɾtsmˌɪndˌɪg
22 - tweeuntwintig	tsvˈaŋ nˈuːɾ ʃvˈɪndɪç
23 - dreeuntwintig	dɾˈaɪ mˌaɪnən ʃpˈɪntɪç
24 - veeruntwintig	fˈɛːɾ ɪn tvˈɪntlɪç
25 - fiefuntwintig	fˈiːlfˌʊntvˌɪntɪç
250	tsvˈeːrʊndɜtfˌɛftɪç
26 - sössuntwintig	zoː ˌaʊx nˈɔx vˈɛndɪç
27 - söbenuntwintig	zˌɔltən ʊnʃpˈɪndɪç
28 - achtuntwintig	ˈaxt ɪnˈtwˌɪntɪç
29 - negenuntwintig	lˈeːgən dˈiː vˈɪndɪç
3 - dree	tr̝ɪ
30 - dörtig	dˈɔɾdɪç
31 - eenundörtig	aɪŋ ɔ doːrðɛʃ
32 - tweeundörtig	tsʰʰiːnn˧ʔtrd˥rd˥ɪç
33 - dreeundörtig	trijontores
330	ðrˈeːgʊndɜdˈɔlɪç
34 - veerundörtig	feɾ ɔl doːɾdɛʃ
35 - fiefundörtig	fˈiːf ɔndɜdˈiːs
36 - sössundörtig	zˈɛst mɪtˈɑːrlɪç
37 - söbenundörtig	soːl bˈɛn ɔɾt dˈɔɾdɪç
38 - achtundörtig	axt mɪt tˈɔɾɪç
39 - negenundörtig	nˈeːgən dˈiː gˈœɾdɪç
4 - veer	fˈɛːɹ
40 - veertig	fˈɛɾdɪç
41 - eenunveertig	ˈɛlnuːlˌ fɛɾdˈɪç
42 - tweeunveertig	tspɾəlˌlɪoːnˈ fɛɾdˈɪç
43 - dreeunveertig	tɾˈaɪˌ nˈ fˈɛɾɪç
44 - veerunveertig	fˈɛːɾdən fˈɛɾdɪç
45 - fiefunveertig	fˈiː fɔn fˈɛɾtɪç
450	fˈeːɾhʊndɜtfˌʏftɪç
46 - sössunveertig	ʃoːs ʊnt fˈɛɾdɪç
47 - söbenunveertig	zˈøːbən dˈiː fˈɛɾdɪç
48 - achtunveertig	ˈaxt ɪn fˈɛɾdɪç
49 - negenunveertig	nˈɛçtən dˈiː fˈɛɾdɪç
5 - fief	fˈa
50 - fofftig	fˈɔftɪç
51 - eenunföfftig	ˈeːɛɔɾ ɛɛfˈɛftˈɪç
52 - tweeunföfftig	tɾeɪ̞jˈɔn fɪfˈtɪç
53 - dreeunföfftig	trˈeːɪ dˈiːfɛfˈtˈɪx
54 - veerunföfftig	fˈɛːɾ ɪn fˈœfˌtˌɪç
55 - fiefunföfftig	fˈiː fɔn fˈɪftɪç
56 - sössunföfftig	sʏs mˌaɪnən fˈœfɛç
58 - achtunföfftig	ˈaxt mˌaɪnən fˈʏnftɪç
59 - negenunföfftig	lˈeːgən dˈiː fˈœftɪç
6 - söss	zˈɛ
60 - sösstig	zˈɛstɪç
61 - eenunsösstig	aɪnˌoːlˈsœstɪç
62 - tweeunsösstig	tˈvˈɛː ɪn zˈɛstɪç
63 - dreeunsösstig	dɾˈaɪɔn zˈɛstɪç
64 - veerunsösstig	fˌaɪˈoːn sˈɛstɪç
65 - fiefunsösstig	fˈiːf ɔn zˈœstɪç
66 - sössunsösstig	zˈɛs ɔnzˈœstɪç
