-abel	ɑːbəl
-abelt	ɑːbəlt
-able	ˈɑbl
-else	els
-en	jˈɛn
-is	bˈɪs
-olog	ˈʊlˌoːk
0	nˈo
100	kundrɛ
1000	tʃoːsɯm
14	fjuːtˢn
16-åringen	sajsnˈoːɾɛnˈɛ
1800-tallet	atnʲɪʏ̞ndʲɪrʏ̞täɫːɑ
1870	atːˈinsøːtːˈɛ
1982	nˈɪtnˈoːtɛtˈu
1984	nˈɪtˈnˈuːtˈtˈiːfˈiːra
1992	nˈɛˈtnˈɛˈtetuː
2	tu
20	kjˈɵ
2000	tɔtˈutˈu
2000-tallet	tˈuːtˈuːsəntˈɑːlˈeː
2001	tˈoːtˈʏsnˈɔːˈɛn
2011	tˢoˀtˢʉzˢenˈɔkˈɛlva
26	ʃɪwˈˈɛs
27	kiukiu
2a0	tuːˈɑːnˈɵl
30	tɾɛtːɪ̞
33	tˈrˈatˈjˈtrˈe
3d-skriver	trædəskrɪvɪ̞r
4	fˈiːra
40	fɛkːli
5	fɛm
50	sente
6	sˈɛks
60	sɛkstˈe
7	søːn
70	tutːe
77	keˈœvʁʃˈy
8	otːa
80	�otʃɯ
90	ne
92	dˈiːt˦tit˺ˈuː
a	a
a battuta	abatːutːa
a cappella	a kapˈɛlla
a dato	aːdatˈo
a due	a duːə
a fortiori	afoɾo teore
a jour	ˈa ʃuːl
a konto	ˈaː kˈɔntu
a la carte	alˈakartˈ
a la carte-meny	alaː kaʈt mˌaˈni
a la carte-menyen	ɑɫä kaːrt mɛnexɛn
a la carte-menyene	alla kaɾt meniŋe
a la carte-menyer	ala kaɾt mɛn jøø
a la carte-servering	aːlɑːr ɑːɾʈ salʋeɾi
a la carte-serveringa	allad̪ɣ̞ard̪ sɑːrvənɪnˈɣ̞e
a la carte-serveringen	ɑɫɑ qɑɾtɯzˈselveɾigin
a la carte-serveringene	ɑˈlɑ kaˈrtʃɑ vɛrɪŋ jeˈnɛ
a la carte-serveringer	ala kaɾt selveɾyŋy
a la carten	allakˈɑrtn
a la cartene	ala kaɾtˢinɯ
a la carter	ala katːu
a la grecque	ˈala gɾˈɛk
a la mode	alˈlamoːd
a poeng med	a põiŋme
a posteriori	a pʊstˈerioɾi
a prima vista	a prima viˈstːo
a priori	aprior
a tempo	a tˈɛmpo
a verbo	a vˈɛrbo
a viso	avˈiːsˈo
a vista	a vˈisto
a-bomba	aːbumaː
a-bombe	aːbˈombə
a-bomben	iʃbombɪn
a-bombene	ɑɦbumbini
a-bomber	aːbˈombˌeːr
a-egg	ˈaɪd
a-egga	ˈɑɹeːgə
a-eggene	ææiːgɪnɪ̞
a-egget	ˈɔdˈɛg
a-en	ɔːn
a-ene	ˈɛɾfɑːr
a-er	ˈɔl
a-format	fɔːmɑːt
a-formata	afrmˈatːa
a-formatene	afɔrmˈatne
a-formater	afɔrmataːr
a-formatet	afolmɔtːɛ
a-ha	hah
a-klinikk	aklinˈik
a-klinikken	aklinˈɪkɪn
a-klinikkene	aklinˈɪkɪnə
a-klinikker	aklinˈiːkki
a-lag	aːlˈɑːk
a-laget	ˈɑːlˈɑːg
a-menneske	aːmennæskvæm
a-moll	ˈɑmɔl
a.d.	aɔdɛ
a0	ɑːnˈʉ
a1	ˈɔɾˈɛn
a10	ˈɔti
a2	atˈu
a3	atr̝e
a3-ark	atrˈejˈark
a3-arka	aːtrɛjarkɔ
a3-arkene	atrɛjarkːiːnə
a3-arket	atrˈɛɐkˈɛ
a3-format	atrˈefˈɔrmant
a3-formata	atr̩iːfɔɾmˌɑːtːa
a3-formatene	aːtɾˈefˈoːrmantnˌeː
a3-formater	atrˈefˈɔrmatər
a3-formatet	atrˈefˈuːmˈatə
a3-papir	atr̩epapˈiɾ
a3-papira	atrˈepˈɔpˈirˈɔ
a3-papirene	ætr̩pˢapiːlˀɛnə
a3-papirer	atrˈepˈɑːpˈiːrər
a3-papiret	atrˈepapˈiɾə
a4	afˈiːrə
a4-ark	ɑːfˈiːrɑːrk
a4-arka	afiːrˈarkːɐ
a4-arkene	afiːrɑːrknæ
a4-arket	aːfˈiːrarke
a4-format	ɑːfˈiːrfˈɔrmat
a4-formata	ɑːfˈiːrəfˈoːrmatˌɑː
a4-formatene	ɑːfˈiːrəfˈoːrmˈɑːtˈiːnə
a4-formater	ɑːfˈiːrfˈoːrmatər
a4-formatet	ɑːfˈiːrfˈɔrmɑːtːɛ
a4-liv	æˈafiːreːlˌiːv
a4-liva	aːfiːrɪlˈiːvɑ
a4-livene	ɑːfˈiːrɛːlˈiːvənə
a4-livet	aːfˈiːrəlˈiːvə
a4-menneska	afiːrmˈɛnəsgˌuːn
a4-menneske	afjlmẽn̟ːʃkjɛ
a4-menneskene	avfjˈɾəmənˌɛsknʉ
a4-mennesker	avfˈiːrmˈɛnəskə
a4-mennesket	afˈiːləmˈɛnɪskə
a4-papir	ɑːfˈiːrˈupapˈiɾ
a4-papira	ɑːfˈiːrɛpˈɑpiɾˌɑ
a4-papirene	ɑːfˈiːrɛpˈɑːpɪrɛnˌa
a4-papirer	ɑːfˈiːrəpapˈiːrər
a4-papiret	ɑːfˈiːɾpɑpˈiɾ
a5	ɑːfˈæm
a5-ark	ɑːfɛmˈmˌɑːrk
a5-arka	aːfɛrmarka
a5-arkene	ɑˈfɛmɑrkida
a5-arket	aːfɛmmˈærkə
a5-format	ɑːfɛmfʊrmat
a5-formata	ˈafːefˈormatːo
a5-formatene	avfˈɛmfˈoːrmatˌiːnə
a5-formater	avfˈɛmfˈoːrmatˌøːr
a5-formatet	afenfʔoːrmˈatː
a5-papir	ɑːffʰæmpɑpˈiːr
a5-papira	afɛmpapˈiro
a5-papirene	ɑːfɛmˀpɑpɪrɛnɛ
a5-papirer	aːfˈɛmpˈɑːpˈiːrər
a5-papiret	afˈɛmpˈɑpˈirə
a6	ˈɑɹsˈɛks
a7	ˈɛɹsˈɛv
a8	aˈotːə
a9	oni
aagaardstrand	ɒːguztan
aage	ogɛ
aagenaes	ˈɔɾgˈanəs
aagot	oˀgɔt
aalberg	ɔɫbɛr
aalesund	ɔɾlɔsɑjˈ
aarset	oʃæt
aarstad	oʃta
aas	ˈɔs
aase bye	qoːsɛ biːjɛ
aasmund olavsson vinje	aʁsmeinulˈaː sɑ̃dvˈenjˈa
aass bryggeri	ost rixiˈɾi
aatol	ˈɔɾtuːl
ab	op
ab oslo	abuʃlu
ab ovo	abu
ab-kjøp	ˈaʊpjˈʌp
ab-kjøpa	ˈɑːsəpˈɛˈ
ab-kjøpene	abˈʃøˈpˌinɛ
ab-kjøpet	aapkep
ab-kontrakt	ˈaˈɔfkɔntɾˈakt
ab-kontrakten	aːlkoːntɾaktɛ
ab-kontraktene	alpɔnðrɑplnɛ
ab-kontrakter	avkˈɔntˈrɑːktər
abaca	abˈɔka
abacaen	abokˈa
abacaene	abɔkɔn
abacaer	abɑːqɑːjeː
abakus	abɑkɯʃ
abakusen	ɑːbɑːkhʊsen
abakusene	aːbˈakːozˈnˈɛ
abakuser	ɑːbɑːkʰeːsøɾ
abandon	abandˈom
abandonen	abandonˈon
abandonene	abandonini
abandoner	abandonɾ
abandonere	abondˈonejɜi
abandonerende	abandumnejeɾini
abandonerer	abandonɛjɛrɛ
abandonering	abãŋdˈoneɾɨm
abandoneringen	ˌɐbɐ̃ŋdˈõnɨɛɾɨŋɛ
abandoneringene	aːpɑndoneːɾiŋene
abandoneringer	abandoneˈɾiŋeˈɾ
abandonert	abãn̪d̪oneɾt̪
abandonerte	abandonertˈe
abandonfrist	aːvandˈoːŋfrˈyːst
abandonfristen	abˈandonfrˈɛstən
abandonfristene	abantˈuŋfrˈɪstnə
abandonfrister	abandˈoːŋfrˈɪstər
abandonrett	abˈandoːnmɪrˈett
abandonretten	abːaːndˈoːŋrˈɛtən
abandonrettene	abandogirˈɛtnə
abandonretter	abːandˈoːŋrˈɛtər
abasi	tˈɛstssə
abasi-astasi	abˈasˈiːapˈtˈasˈiː
abasi-astasien	abasiastasjæ̃n
abasi-astasiene	abasieastasieena
abasi-astasier	abasˈiastazˈiːr
abasien	abassɪjːn
abasiene	abasiʎe̞nɐ
abasier	abasijɯɾ
abasist	abasist
abasisten	abozistˈan
abasistene	abasistnɛ
abasister	avbˈɑːsɪstər
abattoir	abatvar
abattoira	abatuara
abattoirene	abatˈuaɾɨna
abattoirer	abat˩˥ːua˥˩rə
abattoiret	abtˁɛθwˈaɾ
abaya	abajɑ
abayaene	abajɑn
abayaer	abajjːaɾ
abayen	abajon
abba	æbːa
abbed	aːlbˈɪt
abbeden	abidin
abbedene	albɪdɛmɪ
abbeder	abːɯdɯr
abbedi	abdˈi
abbedia	abːedˈio
abbediene	abdˈiːjɪne
abbedier	abːad̥iːr
abbediet	abˈdˈi
abbedissa	abeˈdisa
abbedisse	abetiste
abbedissen	abd̪aðisɪm
abbedissene	abɛdɪsɪne
abbedisser	abədɪsər
abbedissestua	ælbeːtð̞ɪssɪst̪ør
abbedissestue	æˈbɛdɪsˈɛsdˈʉ
abbedissestuen	ˈɑbɜðˈɪsɪzdˈuːən
abbedissestuene	abədɪsɪsdɵənə
abbedissestuer	ævbˈɛdəsˈɛzduːr
abbedlig	abˈɛdli
abbedlige	ˈaʊppətlˈeːə
abbedverdighet	hˈabˈvøːdvˈeːrdˈiːhˌət
abbedverdigheta	hˈɑːrbˈœdvœrdihˈetːa
abbedverdigheten	hˈævbˈødvˈɛɾdihˈeːtən
abbedverdighetene	abˈðuːðværdiːhˈɛtna
abbedverdigheter	ɑːbɔøðvøːrdihˈeːtər
abbedvigsel	abːøːdviksəl
abbedvigselen	abˈɛtvˈɪksəlˌɛ
abbedvigslene	oppeːtveːgʃlənːə
abbedvigsler	albɛtviksjɫeːr
abbor	abːoɾ
abborbråte	apurbrˈotːə
abborbråten	hapːoːrbˈlˈoːtˈtˈˈn
abborbråtene	aːpˈoːlbˈɾˈoːtnˈɑ
abborbråter	apːoɾbrˈoːtːur
abboren	abːɔn
abborene	abbona
abborer	abːoɾe
abborfamilien	abˌoːrfˌamˈiljən
abborfiske	aːbˈbɔrvijskɛ
abborfisker	apːoːrˈfˈiskeːr
abborfiskere	oppoɾfjskep
abborfiskeren	aboːrfiskɾen
abborfiskerne	appɔrfiskaˈnɑ
abborfisket	abˌoːrfɪskə
abborgras	abˈuːɾʒɾˌɑs
abborgrasa	abɔrgrasa
abborgrasene	ɑːbbˈɔrgɾˈɑsnˈa
abborgraset	abˈbɔrˈigrasə
abborgress	abˈuːrgɾəs
abborgressa	bɔrgˈrɛstɑ
abborgressene	apɔɾegɾˈɛstaˈnɛ
abborgresset	abuːɾˈgɾɛzse
abborrusa	aaboːrusa
abborruse	abɔrʉsa
abborrusen	abɔrʲizæm
abborrusene	hopɔɾtʊjsɛnˈna
abborruser	abpɔjrɔsɛ
abboryngel	alboreɪnɣəl
abboryngelen	æbːoːriːnˈgəlˈɛn
abborynglene	abːoɾiiŋgəɾlana
abbreviasjon	abrɛvjɛʃum
abbreviasjonen	aprɛvjaʃuːm
abbreviasjonene	abrˈɛvijaʃuːna
abbreviasjoner	abrɛvjeːrʃuːlnøɾ
abbreviator	abrɛviatˈor
abbreviatoren	abrɛ̀viatuːn
abbreviatorene	abɾeviatːuːrənə
abbreviatorer	abrəvjaːtˈɾi
abbreviatur	abrˈeːviːˌɑːtˈʉr
abbreviaturen	ˈɑːrbrˈeːfiatˌuːrən
abbreviaturene	ˈaprɛvjatˌyːrənə
abbreviaturer	ˈɑːvrəvjatˈʉrər
abbrevier	abrɛvjæ
abbreviere	abˈrˈeviˈɛr
abbrevierende	aprɛvjɛrənə
abbrevierer	abrɪvjɛrər
abbrevieres	ˌɐʊbrɨviˈeɪɾɨʒ
abbreviering	obrevjæri
abbrevieringen	ˈɑbrəvjəjˌeːrɪŋən
abbrevieringene	abrˈɾɐvijədˈɾiŋənˌ
abbrevieringer	abɾəvˈiʒˈeɾiŋ
abbreviert	apːɾəvjˈeːɐt
abbrevierte	abrˈeviərtə
abbé	abe
abc	obese
abc-a	abesˈeːɾ
abc-barn	ɑːbsɛːˈbɑːn
abc-barna	obeseebona
abc-barnene	oβ̞eszeɾbõn̪a
abc-barnet	abseɾbˈɔɾnæ
abc-bok	aːbəsɛːbuk
abc-boka	obɛsɛːeːbuːka
abc-boken	abɛsɛːbou̯kɛn
abc-bøkene	ˈɔfbɛssˈeːrbˈøːkənə
abc-bøker	ɑːvɛsbˈøːkər
abc-en	obesˈseɪn
abc-ene	oβɛsɛjɛn
abc-er	abɛsˈeɾ
abc-krig	ɑbe̞sɪˈɛkɾiːk
abc-krigen	albɛseːeːkriːgɨm
abc-krigene	oˈbɛsɛˈɛkɾˈigɪnˌa
abc-kriger	abesseekriɾ
abc-krigføring	abˈɛssˈeːkrɪkfˈøːrɪŋ
abc-krigføringa	absˈeːkˈrɪkˈfˌøːrˈyŋa
abc-krigføringen	abrsˈeːkrˈiːkfˈøːrːiːŋən
abc-krigføringene	avbˈɛsːəkrˈiːgføːrˌiːŋiːnə
abc-krigføringer	aːbˈɛssˈeːkrˈiːgfˈøːrɪŋar
abc-offiser	ɑːbsɛjɔfˈsɛ
abc-offiseren	obəsˈeˈɔfˈisˈeːlɪŋ
abc-offiserene	obɨsˈeɔfisˈeɾɐnˌɐ
abc-offiserer	obɨsɨjɔfisˈeɾɨ
abc-områda	opəsjˈmˈɹˈudˈɔ
abc-område	ˌɐʊbɨsˈeɪmʁˈodʊ
abc-områdene	obɛsɛːjomrodnɛ
abc-områder	abssˈjˈomrˈɔbɪʁ
abc-statene	aːbsɛˈstɑːtna
abc-vern	obesejɛvɑn
abc-verna	obesˈeɪlərnɑ
abc-vernene	oˈbsˈevɑrɛnˈne
abc-vernet	abɛsˈebˈɑɾn
