'arif	uʔib
'arif raqs čïqarur, urur χοš säma’. [әхмәд йүгнәки]	ɑrɪf rast ʃɛqɑr oɾuːr xɑːʃtʃ ðmɑʔ
a-a	ɑ
ab	ɑb
aba	ɑbɑ
aba bašï	ababaːʃa
aba jaztï ẹrsä, bajat qïnatï. [йосыф баласагуни]	ɑbɑ jɑztɯ̞ ʲir sɛ bɑjɑt qɑnɑtɯ̞
aba oγlanï	æbäwɯ̞ʁɫɑnɯ̞
aba oγlanï barča aslï bẹδük. [йосыф баласагуни]	ɑbɑ ɑwʁlɑnɯ̞ bɑrtʃɑ ʊ̞sɫɯ̞ bɪ̞j jʏk
aba oγlanïn törütmäk	ɑbɑ ʊ̞ʁʊ̞ɫɑnɯ̞n tʏrʲɪtmæk
abad	abot
abadan	abadon
abadan bolmaq	ɑbɑdɑn bɯ̞ɫmɑq
abalï	ɑbɑɫːɑ
abam	abam
abam bir adaqïn sïsar, ičintäki tatïγ tögülgükä. [türkische turfan-texte]	ɑβɑn biɾ ɑdɑqɯn sɯzɑr ɪtʃɨmtɛki tɑtɯq tigylgykɛ
abam bir adaγïn sïsar, ičindäki tatïγ tögülgükä. [türkusche turfan-texte]	ɑbɑn bir ɑdɑgɯn sɯsɑr ɪtʃɨndɛkːi tɑtɯz tøgylgykæ
abam birök	abam bʲirɛk
abam birök ẹrklig bẹg ẹši ẹlči jalavač küčün tutup čamlasar... [uigurische sprachdenkmäler]	ɑˈbɑn biɾuk etlik bek esi ɛltʃi jɑɫɑpɑtʃ kytʃim tutub tʃɑm βɑsɑr
abam birök… ẹdgü tutmajïn, qodï asïra kišičä tutsar mẹn… [uygurische sprachdenkmäler]	ɑbɑn bʲirɪ̞k ɪ̞tgʲɪ tʊ̞tmɑjɯ̞n qoðɑ ɑsrɑ kɪ̞ʃi ʲitʃæ tʊ̞tsɑr mɪ̞n
abam čam čarïm qïlsarlar… [uigurische sprachdenkmäler]	ɑbɑm tʃaːm tʃɑːm qilsɑrlɑr
abam, birök bu oγulnïŋ küčin alip, bodqa tẹgmištä orunïn jẹgin qïlmajïn… [uygurische sprachdenkmäler]	ɑbɑm birɛk bu uɫɯ̞ɢ mɪ̞næn kʏtʲʃiŋɪ̞ ɫæ bʊ̞tqæ tʲɪkmʲɪʃtæ oɾʊ̞nʊ̞n ji gʲɪn qɯ̞ɫmɑjɯ̞m
abam-oq	əbamɑq
abam-oq on iki sïq ču jaqasïn iliktä tẹp berürmiz. [uigurische sprachdenkmäler]	ɑbɑmɑ qɑnɯjki sɑqtʃu jɑqɑsɑn iliktɛ tip bɛrylmɪz
abamu	abamu
abaqï	ɑbɑqqɑ
abačï	abatʃi
abačï kẹldi. [мәхмүд кашгарый]	æbɑtʃik jɪldi
abaŋ	abɑn
abaŋ sẹn barsa sẹn.	ɑbɑŋ sen bɑrsɑ sen
abaŋ ẹdgü bolsa bu bẹglär özün, bajur bodnï barča kör ẹtlür ačun. [йосыф баласагуни]	ɑbaːn ɟetkʉj buɫsɑ bu bʲigɫɛr øsvɪn ba joɾβurupnɑ bɑrtʃɑ kɯr etlʲɪrɑtʃɯn
abišik	ɑ̃bisˈik
abišik qïlmaq	ɑβiʂiː qɯ̞ɫmɑq
abišik qïlmaqlïγ	ɑβiʂi kɯ̞ɫmɑqɫɯ̞ʁ
abišik qïlmaqlïγ padak ol.	əbʲiʃi qɨlmɑqlɯ̞q pʊ̞dɑ qʊ̞ɫ
abla	ɑbɫɑ
ablan	ɑbɫɑn
abqa önmäk	ɑpɯ̞qɑ ʊ̞nmæk
abïdmaq	ʊ̞bʊ̞dmɑq
abïmaq	æbɯ̞mɑq
abïtmaq	abtˈmˈaːk
abïtγan	abatˈgan
ad	ɑːd
ada	ɑdɑ
ada tuda	a da tuda
adab	ɑdɑɾ
adaj	oːdˈde
adaj tutuŋ	a da jtɔtʊm
adajï	ɑdæjjæ
adala	ɑdɑɫɑ
adalan	ɑdɑɫɑn
adalïγ	ɑðɑlɯ̞q
adam	ɑdɑm
adam oγlanï	ɑtɑmɑʁlɑnɯ̞
adaq	ɑdɑq
adaq tutuq	ɑtɑq tʊ̞tʊ̞k
adaq ur	ʊ̞dɑq uɾ
adaqlamaq	ɑtɑqɯ̞ɫɑmɑq
