'ਕਿਰਨਜੀਤ ਕੌਰ ਵੋਹਰਾ	kʌrəndʒiːd kɑːr bəɣuːrɑː
'ਗੁਰਪ੍ਰੀਤ ਸਿੰਘ'	gʊɹpɹiːt sˈɪŋ
'ਚ	tjˈɛ̃
'ਚੋਂ	dʒɔːn
'ਤਕਦੀਰ	təkdiːr
'ਤੇ	tˈe
(우리) 어디에서 만날까요?	uɾi ɔd̪iː eːsɑɔ at̪nalkajːo
,ਫੂਲਕੀਆਂ ਸਟੇਟ	fʊl kiːn sɛtɪtɛ
0	sɨfɜ
6ਵੀਂ ਸਦੀ	tʃjmin sɑːdiː
8 ਲੱਖ	ɑtʰ ləq
agasat	agɐst
ahluwalia	äˈluːvəliːɑ
ainvayi	mi
akal	ʔql
aloo	allu
aman	ɑmɑni
amandeep	əmənɖiːpː
amarjeet	amardʒi
amritsar	amɾetfɛr
ashtapadi	əʃtpdiː
assi	asˌi
atta	ˈɑtːɑ
aujla	au̯d̪ʒaː
baat	vˈasənt
baljinder	β̞alʝand̪aɾ
bathinda	bət̪ɪnd̪a
battle of muktsar	bˈætəl əv məkˈeɪər
bauka	poqa
bhagat	paktɯ
bhagat singh	pagtseŋ
bhang	pang
bhangra	pəŋgɪɖa
bhullar	bwˈllɒˈɾ
bindrakhiya	benrakia
bundee	guːndiː
chalaque	tʃəlaːq
chandigarh	tʃəɳɖɪgɑːɽ
charanpreet	tʃarnbrit
chitta	ʈit̚˨˩taːɾ
daljit	dðədʒiːt
darbar sahib	ɖəɾbaːɾ sɑːɦɪd
dastaar	dastˈaːr
delhi	tˌilˈliː
devanagari	evɛnɑlgɛɾi
dharm	tɑrɨm
dhesh	dˈeʃ
dhillon	tɛlˈnɔ̃
dosanjh	d̪ʃæːʒ
dupatta	dupʈʰa
faridkot	fəˈɾidkoʊt
gajendra	gədʒeːndər
geetan	kitan
gem stones ਤੋਂ ਤਿਆਰ ਦਵਾਈਆਂ ਬਾਰੇ ਮੇਰਾ ਨਿਜੀ ਅਨੁਭਵ ਹੈ	dʒeːm st̪ɾoːnz̪ ʈuːt̪n t̪iɔɹd̪ʋəɳjɑː baɽe miɾaː ɳidʒiː ɔnpɔːb ɦɛː
gulab jamum	gʊlɑb dʒəmɾ
gurdaspur	gʊɾdɑspʊɾ
gurdwara	gʊɾdʊaɾa
guru	gˈuɾəv
guru gobind singh	guɾ goːben sˈɛŋg
guru nanak	gʊɾˈnɑːnək
haan jee	hãn̪d̪i
hanji	anʲdʑi
hardev singh billing	həɾ ðɪ ɪv θɪŋ blɪŋ
harmandir sahib	χəɾ mənˈd̪r saːɦil
harpreet	ˈɑɹfɹiːd
hasna	hɑsnɑ
ikk	ikːɯ
india	ɪnˈdɪə
intikhab	ɑntqɑb
jalandhar	dʒɪlɛndɛr
jasjit	ɟʝaɾɣ̞iɾ
jathedar	dʒətʰeːdaːɾ
jatt	dʒɑʈ
jhabal kalan	ɟebːɭakːaː
jo bole so nihal	dʒo˨˩go˧˧lso˥˩ nïː˩˦aːl
kabaddi	kbʈi
kabutar	kɐbutər
kadahi	kɾɑːɦiː
kapurthala	qpoːrt̪ʰɐlɐ
karastan	laːɾɨstɑːm
kaur	kˈɔɹ
kerala	ke˥˩rlaː
khalsa	kalfa
kheer	kˈiɹ
khet	ked
khushi	kʊˈʃiː
kohinoor	koːˈhɪnːoː
kutta	kˈutːa
lassi	lafˈ
loda	ɾiʝoːɾaː
loda le la mera. :take my dick	loɾa lɛʔmeɾa
ludhiana	lodɛ̃aːɳa
ludhianvi	loːd̪eːnɑːɳoːi
manmohan singh	mandəmonə tʃeŋgːn
matha tek	mətʰɑː teːk
mattar paneer	mʌtʃqniːr
mehervan	mʲŋ
mian	mja
mul mantra	muːl məntər
naal	nɑːl
navjot singh sidhu	na bɛʒoːtˈa zˈɛŋga sɛ dˈuː
navneeth	navˈnˈit
nijjer	neˈdʒɒr
onkar	onka
pakie	paki
parmatma mere naal he	ɸɾmət̪mə miːre ˈnɑːl ə
patiala	bəˈtiːaaːlɑː
pind	ɛndɑ
preet	bɪːd
punjab	pãn̪xau̯
punjabi	pɛ̀ːnˈɣ̞ɑbiː˨
puthay	pupˈe
qawwali	kʋɑːliː
rajbir	radʒbeː
rajpoot	ɾɒdʒbuːd
rajput	ɾɑːdʒpʊɳ
rawalpindi	ɾaːʋɐlpiɳɖi
saag	sag
salam	sælɑm
salwar-kameez	sluɑːrkʌmɪz
sarbat khalsa	särbæt kʰɑnsɑ
sardar	sɛndɑːr
sat sri akal	taːtˤ tˤrjjːːəkaːr
sauvignon blanc	tɨ bɨbɨ ʁa blɔ
sikandar hayat khan	sɪkɪndər hɑjɑt kʰɑn
sikhi	sɛki
singh	senð̞
site_vajom	sɪtːeːʋədʒn
sticker	stakɚ
sukh panech	sok pə nˈɛdʒ
surjit	sɔɹdˈit
swimming	tʃlɛmɪŋ
takreeban	akɾibən
tamaatar	təmaːtə
taran	lauron
teknhaa	t̪eːkɳə
teraa	fˈeɾa
tiger jeet singh	tˈaɪgɚ dʒˈit sˈɪŋ
tikat	eːkəʈ
tiuhaar	tio˨˩ha˥˥
tuhaadaa	t̪uɑd̪a
udon	udum
ujjal dosanjh	uʒyɫdʒu sɑndʒɛv
umar	umər
uttar	putːar
varunjot	ʋəɾuːndʒoːd
waheguru	ʋɑːegʊɾuː
waraich	bˌaɾˈað
yoga	ʒˈɛlgɑ
بہاولپور	bʱɑːwəlpɾ
راولپنڈی	ɾaːʋɐlɪpeːɳɖiː
پنجاب	pɔːnˈɑːb
پٹھان	pəˈtʰɑːn
چناب	ʃanˈaːb
ہڑپہ	spə
ਅਉਧ	ˈaʊd
ਅਉਸਰ	aːlsar
ਅਕਤੂਬਰ	ɑkˈtɑˈwˈbər
ਅਕਰਮਕ	ɑkɑrmɐk
ਅਕਰਾ	əkrɑ
ਅਕਲ	ɑqəlɯ̞
ਅਕਲ 'ਤੇ ਪੜਦਾ	əˈkəl teː pɾd̪a
ਅਕਲ ਤੇ ਪੜਦਾ ਪੈਣਾ	əˈkəl te pɐɽdɑ pəɳ
ਅਕਲ ਦਾ ਅੰਨ੍ਹਾ	əˈkal daː ənnə
ਅਕਲ ਦਾ ਦੁਸ਼ਮਣ	ɑql da dʊʃməɳ
ਅਕਲ ਦਾ ਵੈਰੀ	əql da ʋəɾiː
ਅਕਲ ਮਾਰੀ ਜਾਣੀ	əqəl maːriː dʒɑːɳiː
ਅਕਲਮੰਦ	əkəlmɑnˈdi
ਅਕਲਮੰਦੀ	əklməndd̪iː
ਅਕਲੀ	ɑqɐliː
ਅਕਸ	akθ
ਅਕਸ ਪਾਉਣਾ	ak spɔu̯nɛ
ਅਕਸਰ	ɐkθər
ਅਕਸਰ ਪੁੱਛੇ ਜਾਂਦੇ ਸੁਆਲ	aqsaɾ q upʃajdn dɛsɨɑ ɛ
ਅਕਸਰੀਅਤ	aðθaɾiet
ਅਕਸ਼ਾਂਸ਼	tʃuː
ਅਕਸ਼ੈ	ɑqʃɛ
ਅਕਸੀਰ	ˈɑkθiːr
ਅਕਹਿ	ɔːkɛ
ਅਕਾ	aka
ਅਕਾਂਖਾ	ʔakn
ਅਕਾਂਖਿਆ	əˈgaːnkʰeːɔ
ਅਕਾਉਣਾ	əkoːna
ਅਕਾਦਮੀ	qɑdˈmi
ਅਕਾਰ	ɔːkɑːr
ਅਕਾਰਥ	akaːrɐt
ਅਕਾਰਥ ਜਾਣਾ	əqaːr t̪ʰa dʒɑːɳa
ਅਕਾਰਨ	ˈæˈkaːrɪn
ਅਕਾਲ	nˈtˈakaˈal
ਅਕਾਲ ਚਲਾਣਾ	əqɑːl tʃʰləɳə
ਅਕਾਲ ਪੁਰਖ	əˈkaːl bərkʰ
ਅਕਾਲਗੜ੍ਹ	əpaːlgəɽe
ਅਕਾਲੀ	əqɑːliː
ਅਕਾਲੀ ਦਲ	ɑqɑːliː daː
ਅਕਾਸ਼	əkɑːʃ
ਅਕਾਸ਼	əkɑːʃ
ਅਕਾਸ਼ ਗੰਗਾ	əːkɑːʃ gəŋgə
ਅਕਾਸ਼ ਬਾਣੀ	əkɑːʃ baːɳiː
ਅਕਾਸ਼ ਵੇਲ	ˈɛˈɛkˈaːʃˈveːlˈ
ਅਕਾਸ਼ੀ	əkɑːsiː
ਅਕਿਰਤਘਣ	əkɾt̪kaːɳ
ਅਕਿਰਤਘਣਤਾ	əgɛrtɛqɛɳta
ਅਕਿਰਿਆਸ਼ੀਲ ਸਾਂਝੀਵਾਲ	kɾjɑː ʃiːl sɑːntʃj bɑːr
ਅਕਿਰਿਆਸ਼ੀਲਤਾ	akːriːaʃiːlta
ਅਕੀਦਤ	aːkiːðæt
ਅਕੇਵਾਂ	ɔqɪːvaːn
ਅਕੜਾ	akɺa
ਅਕੜੇਵਾਂ	əkaɺeːʋaː
ਅਕੱਟ	əkɐʈː
ਅਕੱਥ	ʔk̚˦˥t̚˥˩ʰɔː
ਅਕੱਥਤਾ	ɑqatːʰda
ਅਖਤਿਆਰ	aktɛjaːr
ਅਖਰੋਟ	əkɾɔːt
ਅਖਲਾਕ	əkʰəlaːq
ਅਖਵਾ	akvaː
ਅਖਵਾ ਘਲਣਾ	əkʰ waː kə ɭəɳa
