abhidhamma	əbd̪ʱm
abhidhammapiṭaka	əɓʰiːd̪ʱəmɭpiːʈəkə
abhidhammattha	əmd̪ʱmmətːʰɑ
abhidhammatthasaṅgaha	ɑbdʱdʱmæt̪ːssngd̪ɦeːn
abhidhammāvatāra	ɐbɪd̪ʱʌmmaːʋʈɑːraː
abhidharma piṭaka	əbʱiˑ d̪ʱaɾmaˑ piʈaːkaː
abhiññā	abimˈnˈɑ
abhiṇhaṃ	ɦɛbʱɪrˈnɛn
abyāpajjho homi	əˈbjɑː pdʒɦ ɦoː miː
acci	a˥˩tsi˥˩
addhā	əd̪ʱaː
adhigacchati	əɖʰiːgɐt̪t̪iː
adhipati	əɖʰiːpət̪iː
adhiṭṭhāna	ad̪t̪aka
adhiṭṭhāna-pāramī	əd̪ʱiːtʰɑːnɑːpaːɾəmɛ
aggamahāpaṇḍita	əgmahaːpəɳɖit̪a
aggañña sutta	akːaɲjj asutːa
aggi	agia
ahaṃ	ɑhæm
ahi	ɦəi
aja	aða
ajja	taʧˈa
ajjhatta	ədʒʰt̪a
akkhi	akːiː
akkosati	əkoːsəti
akusala	akˈkɑsˈla
amacca	amːatʃja
ambu	ambo
amhākaṃ	ʔamɦwɑːkəng
ammā	ɑmɑ
anagārika	ənəgɑːrkə
anagārika dharmapāla	ənɣɑːrɪkə d̪ʱɐl maːpɑːla
anattā	anata
anicca	anitʃa
aniccā	anitʃa
animitta	ʔanmætˈtˤa
antarā	entra
anubandhati	ənoːbənd̪ʱt̪e
anugacchati	anuːgətʃadi
anukampati	ãmbkõmpat̪iɾ
anumodati	anamɔtɑtiː
anusāsati	ɑnʊsɑsɑtˈi
anussati	anuʃti
anuttara	ɑnutˤra
anuttarapurisadammasārathī	ʔanʔaltrpɾsadmassaʕratiː
anāgata	anaːgata
anāgāmi	annaːgəmi
anālayo	analajo
aṅguli	əŋgwliː
apadāna	aːpdaːnɑ
api	api
apāya	ˈapɔjɔ
arahā	əˈɾɑhɑː
arañña	aranˈɟa
ari	ariː
ariya-sacca	ɦɾijasɐtʃjɐ
ariyo	ˈɑɹioʊ
ariyo aṭṭhaṅgiko maggo	oɾio ˌatːaŋgˈiko mˈadʒu
arya	ˈɑriə
arūpa-jhāna	ɑːruːpəɑnɑː
asani	ɑsɑniː
asappurisa	asəbpərisaa
asaraka	asɾakɐ
asi	ʔasi
asoka	asɔkɐ
assa	asˈsˈɑ
assayuja	æsˈæjːægˈɑ
assu	asɔ
asuro	asˌumɾˈoː
atimaññati	aːt̪imɪn̪jat̪i
atithi	atːiːt̪iː
atthaññū	aðt̪anːiːu
atthi	aːtˢt̪iːʔ
aṭavi	əɖəwe
aṭṭhi	ət̪ʰiː
avanti	abãnt̪e
avijjā	avˈa
avīci	avitʃiː
ācariya	əːtʃriːe
ādadāti	ɑːd̪dɑːt̪iː
āgacchati	äːgɐtsʃɐteː
āharati	aːɦrət̪iː
āhiṇḍati	ɑːhiːɳɖət̪iː
