a-má	a.ˈma
aba	ˈa.bə
abacateiro	a.ba.ka.ˈtey.ɾʊ
abacaxi	a.ba.ka.ˈʃi
abacha	a.ˈba.ʃə
abacial	a.ba.si.ˈaw
abade	a.ˈba.dʒɪ
abadessas	a.ba.ˈde.səs
abadia	a.ba.ˈdʒi.ə
abadias	a.ba.ˈdʒi.əs
abadiânia	a.ba.dʒi.ˈã.ni.ə
abadá	a.ba.ˈda
abadás	a.ba.ˈdas
abadín	a.ba.ˈdʒĩ
abaetetuba	a.ba.e.ti.ˈtu.bə
abafa	a.ˈba.fə
abafada	a.ba.ˈfa.də
abafadas	a.ba.ˈfa.dəs
abafado	a.ba.ˈfa.dʊ
abafador	a.ba.fa.ˈdox
abafadores	a.ba.fa.ˈdo.ɾɪs
abafados	a.ba.ˈfa.dʊs
abafamento	a.ba.fa.ˈmẽ.tʊ
abafando	a.ba.ˈfã.dʊ
abafar	a.ba.ˈfax
abaiara	a.bay.ˈa.ɾə
abaixa	a.ˈbay.ʃə
abaixada	a.bay.ˈʃa.də
abaixadas	a.bay.ˈʃa.dəs
abaixado	a.bay.ˈʃa.dʊ
abaixador	a.bay.ʃa.ˈdox
abaixados	a.bay.ˈʃa.dʊs
abaixamento	a.bay.ʃa.ˈmẽ.tʊ
abaixando	a.bay.ˈʃã.dʊ
abaixaram	a.bay.ˈʃa.ɾãʊ̃
abaixo	a.ˈbay.ʃʊ
abaixo-assinado	a.bay.ʃo.a.si.ˈna.dʊ
abaixo-assinados	a.bay.ʃo.a.si.ˈna.dʊs
abaixou	a.bay.ˈʃow
abajur	a.ba.ˈʒux
abalada	a.ba.ˈla.də
abaladas	a.ba.ˈla.dəs
abalado	a.ba.ˈla.dʊ
abalados	a.ba.ˈla.dʊs
abalam	a.ˈba.lãʊ̃
abalando	a.ba.ˈlã.dʊ
abalar	a.ba.ˈlax
abalaram	a.ba.ˈla.ɾãʊ̃
abalaria	a.ba.la.ˈɾi.ə
abalava	a.ba.ˈla.və
abalavam	a.ba.ˈla.vãʊ̃
abalos	a.ˈba.lʊs
abalou	a.ba.ˈlow
abalroado	a.baw.xo.ˈa.dʊ
abalroamento	a.baw.xo.a.ˈmẽ.tʊ
abalroar	a.baw.xo.ˈax
abalroou	a.baw.xo.ˈow
abaluartada	a.ba.lu.ax.ˈta.də
abaluartadas	a.ba.lu.ax.ˈta.dəs
abaluartado	a.ba.lu.ax.ˈta.dʊ
abana	a.ˈbã.nə
abanando	a.ba.ˈnã.dʊ
abanar	a.ba.ˈnax
abanda	a.ˈbã.də
abando	a.ˈbã.dʊ
abandonada	a.bã.do.ˈna.də
abandonadas	a.bã.do.ˈna.dəs
abandonado	a.bã.do.ˈna.dʊ
abandonados	a.bã.do.ˈna.dʊs
abandonam	a.bã.ˈdõ.nãʊ̃
abandonando	a.bã.do.ˈnã.dʊ
abandonar	a.bã.do.ˈnax
abandonaram	a.bã.do.ˈna.ɾãʊ̃
abandonarem	a.bã.do.ˈna.ɾẽỹ
