!	pˈoŋtʊʃikˈlɐmɐsˈɐ̃ʊ̃
! (vykřičník)	dɨ ɨʃklˌɐmɐsˈɐ̃ʊ̃
" o suntuoso ( josé mário stroeher) comanda a tesouraria de forma exemplar e digna."	uz tʃuɾsfɛs e iɾfaɾiswa s̺oala es ðoɾaɾiɐs fɔŋ izemplaɾ a iʃiɣit̪a
" puede salir " não é da língua portuguesa. não coloquem frases e palavras que não sejam em português aqui!	u ˌedɨ sɐlˈiɾənɐ u ɛ dɐ lˌiŋgwɐ pˌuɾətuɣˈezɐ nˌɐ̃ʊ̃ kˌulˈɔkɨŋ fʁˈazɨʃ i pˌɐlɐbɹɐʃ kɨ nˌɐ̃ʊ̃ seʒˈeʊ ˈe�
"a insubmissão é um privilégio dos loucos. porém só os loucos percebem a sabedoria em um mundo de pessoas normais." (rike morais)	ɐ ʃupˌemisˈɐ̃ʊ̃ ɐ ũŋ pˌevilˈɛʒʊ dʊʒ lˈowkʊʃ
"aquela pessoa tinha aparência cadavérica".	akˈɛlɐ tɨsˈoɐ tˈɪnʊ ɐ ˌɐpɐɾˈeɪŋsjɐ kˌɐdɐvˈɛɾikɐ
"aquele homem surpreendeu-se desejando um palácio. e o desejo que tinha começado pequeno rapidamente cresceu, ocupando todo o seu querer com cúpulas e torres, fossos e porões, e imensas escadarias"	u minˈsʊɾəɛŋdˈeʊ sɨ dˌɨzˈeʒɐ̃ŋ ũŋ pˌɐlˈaʃjʊ dˌɨzˈitʃʊʒ ˌɛtɨ kˌumɨsˈadɨ bˌikˈɛnʊ ʁˌeptɨmˈeɪŋtɨ kɹ�
"carne de boi"	kaːrjɛn˧z˥e buːn˧˥j˧˥
"chocolate" em francês é "chocolat".	ʃˌukulˈatɨ ɛ fɹˌɐ̃ŋsˈeʃ ɛ ʃˌukulˈa
"chove chuva, chove sem parar" (jorge benjor)	ʃˈɔvɨ ʃˈuvɐ ʃˈɔvɨ seɪmpɐɾˈaɹ
"da janela vê-se o corcovado, o redentor, que lindo." (tom jobim)	dɐ ʒɐnˈɛlɐ vˈeʃɨ u kˌuʁkuvˈadʊ u ʁˌevɨɐ̃ŋtˈoɹ kɨ lˈiŋdʊ
"depois traga as pêras para a gente cozinhar."	tɨpˈoɪʃ dɹˈagɐ ˌɐʃpˈeɪɾʊʒ pˌɐɾɐ ɐ ʒˈeɪŋtɨ kˌuziɲˈaɹ
"deus criou o cachorro para que os homens tivessem um exemplo prático de como se deve amar".	dˈeʊʃ kɹˈeoɐ u kˌɐʃˈovʊ pˌɐɾɐ kɨ uʒ ˈomeɪŋʒ tˌivˈɛsɨ ũŋ ˌezˈeɪmpww pɹˈatikʊ dɨ kˈomʊ sɨ dˈɛvɨ ɐmˈaɹ
"ela é a mãe da criança, é indubitável que cuidará bem dela."	ˌɛlɐ ɛ ɐ mˈɐ̃j dɐ kɹˌiˈɐ̃ŋsɐ ɛ ˌiŋtuˌbitˈavˌil kɨ kuidɐɾˈaɹ ɐ bˈeɪŋ dˌɛlɐ
"em cada despedida eu vou te amar, desesperadamente" (vinicius de moraes)	ˌeɪŋ kˈadɐ dˌɨʃpɨdˈidɐ eʊ vuw tˌeɾɐ ɐmˈaɹ dˌɨzɨʃpˌeɾiɾɐdɐmˈeɪŋtɨ
"em resumo vale o que dizia o velho guerreiro: sou do tamanho daquilo que sinto."	e ʁˌezˈumɐ u vˈaʎʊ kɨ dˌizˈiɐ u ʒʊɾəɹɹi sˈow dɨ tɐmˈɐ̃njʊ dɐkˈelɨ kɨ sˈiŋplɨ
"em seu rosto correm lágrimas de dor" (vinícius de moraes)	eɪŋ seʊ ʁˈoʃtʊ kˈɔʁeɪŋ lˈagɹɨmɐʒ dɨ dˈoɹ
"eu gostaria de comprar dois quilos de queijo, por favor."	eu gˌuʃtɐɾˈiɐ dɨ kumpˈaɹ dˈoɪʒ kˈilʊʃ dɨ kˈeixʊ pˌuɾə fɐvˈoɹ
"eu vou lá" onde haja sol	eʊ vuw lˈa ˈoŋdɨ ˈaʒɐ sˈɔl
"feliz ano velho" (livro de marcelo rubens paiva)	fɨlˈizɐ nʊ vˈɛʎʊ
"isso é coisa do cramunhão."	isw ɛ kʊɛsɨɾjɐ dɨ pɹɐ mɐnˈeɪʊ
"les souffleurs" c'est un mot de la langue française, pas portugaise. é uma palavra francesa, não portuguesa, então a pronúncia fica em francês.	ɛ ˌumɐ pɐlˈavɹɐ fɹˌɐ̃ŋsˈizɐ nɐ pˌuɾətugˈezɐ eɪŋtˈɐ̃ʊ̃ ˌaː pɹˌunˈũŋsjɐ fˈikɐ ˈeɪŋ fɹˌɐ̃ŋsˈeʃ
