.अश्वमेधाधिकं	aːʃuːniːɖɦdiːkəm
.ऊरू	uɾu
.शिरोमे	ʃɾomi
.स्तुवंति	stʊantj
aacaaryam	ɑːtʃɑːɾiːəm
aadhunika	aːd̪ʱuːne
aadishakti	əːd̪ʱiːʃəɖt̪iː
aakaashavaanii	əːkɑːrʃʋɑːɳiː
aakarshhana	äːkɐɾʃɐ̃ɳ
aamaatya	amaːt̪jɐʊ̃
aanandamayah	animdamɑjɯm
aanglabhaashhaa	əːnglbʱɑːʃɑː
aanusuya	ənˈusʊjˈɑ̃
aaraadhya	aːɾaːn̪d̪ʱjɐ
aarambha	ɑːrəmːbʱʱɑː
aarohati	əːroːɦt̪iː
aaruudha	ɑːroːɭ
aasanam	ɑːsɑnum
aashcharyam	əʃtʃəɾjəm
aashcharyamayam	əʃtʃəɾjəmɪ̞m
aasurah	ɑsˈbɑr
aatmaa	atmaː
aatmaanam	ɑːt̪maːn̪ɐm
aatmabhaava	ɔt̪mɔbʱaːɹo
aatmagyaana	tʃiːzibatːɪr
aatman	əːkmən
aatmasaath	ɑːt̪məsɑːt̪
abdhuta	adbuta
abhaya	papːoːaɪlːə
abhayam	əbajim
abhayas	tɑ̃dˈdˈʁajɑ̃
abhimanah	ɔbimaːn
abhiniveśa	abjiːnɪbjaʃːa
abhyasa	əmbːjɑːsə
abhyudaya	ampute
abhyuttaana	əːbʱʱt̪ɑːɳ
abhyutthanam adharmasya	əʋjʊt̪nːaː mɐɖɐrmɐsɪ̆ɦ
abrahmanya	ʔoːbɾaːmɳɳiːu
acharya	aːtʃaːrɪjə
acyuta	atʃuta
adhaḥ	adˈða
adho	ɑːd̪oː
adho mukha svanasana	kʰʊŋ˨˩˦ ʂavan˥˩
adhvaryu	atplorio
adhyaya	ʔt̚˨˩jɑː˩˧joː˧˥
adi shankara	äːd̪ɪsand̪ɐrːɦ
advaita	atˈvaɪtˈa
agni	aːgni
agni purana	əgniː puːrɑːn
agnih	bˁd̪ʒə
ahamkara	ɦɑːmkaːr
ahana	ʔˈohɑlɑ
ahankara	au̯jˈtjæˈʌŋ˧
ahirbudhnya	ɑhʲirbudnʲe
aindri	ɔɪnˈdˈɾi
ajātaśatru	adʒaːtɛʃɛtruːp
akasha	əˈkɑːʃə
aklishta	pliːʃt
akrodha	ɑːkroːt̪
akṣobhya	akˈʃoːphˈɪɾ
ambaramaṇi अम्बरमणि	əmbərə maniː
amita	amita
amitabha	ɐmˌɛtˈaβa
amitābha	əmitɑːb
amitāyus	amitˈaɪʊs
amrit	amrt̪a
amritam gamaya	ɑmɾtəm gəmɐjɐʋ
amritasya	ambrɨtɐsʲit
amriteswaryai	lamɾteʃʋaːrjajaiː
anahata	anaħatɯ̞
ananda	ɑnɑndɑ
anandatwa	naːnəndət̪u
anapanasati	ənpɑːnsɑːt̪ʰiː
anatta	aːnaːssda
anayat	ænɑːjæd
angaraka	ɔŋɔːlɔkːoʋ
anitya	aːnitˈtiɴ
anugraha	ənoːgɾəɦäː
anushasana parva	anʊˈʃaːsene pə ro
anusmṛti	anduʃpɾeti
anusvāra	asvaːra
anutpada	ænælˈbɑːðæ
anuttara	ɑnɯttɑɾa
anuśāsanam	kɑːrnəʃɑːsənəm
apabhraṃśa	abramʃo
apam	aːpəm
aparigraha	aːpareːəgrap
api	api
apramāṇāni	əpɾəmaːɳaːni
apsarā	absˈraː
aranyani	aɾɛaɲɛni
ardha chandrasana	ɑˈrdɑgɑ dʒndɯrasɯn
ardha-uttanasana	ərd̪ʱʊt̪t̪əɑːn̪ʔə
ardhamagadhi	ɑːrdʊmɑːgɖiː
arhat	ærhæt
arjuna	ɑrdʏnʏ
artha	ʔɑrtɑ
arthaśāstra	ərpʰɦɑːʃɑːst̪ɾɑ
arya	ˈaɾiɐ
asamkhya	aːsaˈnɯuβe
asamsakti	əsəɳsət̪t̪iː
asana	aːsana
asanas	ɑːsɑːnɑːs
asato ma	bost˨om˨˩a˥˩
ashtanga	au̯s̺t̪aːŋu
ashtavakra	bava
ashtavinayaka	aʃtɒvnˈɒɾnˈ
ashthadhyayi	əʃʈaːd̪ʱaːiː
ashwa	anʃva
ashwagandha	bɑʃbɑbɑː
ashwin	aʃvˈɪn
astapajcazat	ʔʂtɕapntsɑʔsɛt
asteya	astˈeɪo
asura	ɑsˈura
atha	atːo
atharva veda	ətʰaːr mɔʋeːdu
atharvaveda	apaɾmamɛdˈɛm
atithi devo bhavah	ət̪iːt̪ʰiː ɖeːʋoː bʱɣaː
atma	aːtvɑ
atman	atma
aum	ˈɔm
avalokiesvara	anlaloqideʃvɑr
avalokiteshvara	awħwkit̪aʃoɾa
avalokitesvara	aɣalokitaespoaːla
avasarpini	awəsərpeni
avasthanam	aːwstħaːnaː
avatamsaka	aβ̞ataunsɾkap
avatar	avotaro
avatara	ibataːra
avidya	omit̪e
avirati	abˈiɾati
avoloketiswara	əʋɐluːkiːd̪eːʃʋɐɾəm
ayodhyá	laiːɔːgˈa
ayurveda	ajɯɾβeɣ
aśoka	aʃolta
aśvaghoṣa	aʃlɑnɹɔʃɑ
aśvatthāma	aʃwaðtaːma
aṅguli	aːngli
aṣṭādhyāyī	ʔaʃtaːtjaːne
baba	baba
badarayana	lalɛːnraː
baddhangulyasana	bləbɖɦaːnguljɑːs
bagavad gita	bogbat giːtaː
bahulya	bɑːɣʊljɐ
