'mpapucchiari	nupapukiare
'ncapizzari	kapitsːare
'ncuffari	inkoffari
'ntisa	ntiːsa
'ntze	jʊn̪kjoe
'nzitari	ntsˌɯtˈaɪl
11	ulnitʃe
12	ɾuːɾitʃi
13	tiːrɪtʃɪ
14	pertord̪itʃe
15	kovinnitʃi
2	roːɛ
4	tɹɑːt̪
5	tʃingo
6	se
7	sˈɛt
8	wɒttə
9	nɔvɛ
a bbizzeffa	a bjdzɛvɑ
a dda banna	a da bãn
a latu	allaːh
a li tanti	alitandɾi
a malu jittari	a mˈalʊ itˈaɾj
a manu manca	am manumanka
a manu ritta	amatoritːa
a piscistoccu	atusʃestu ɔkʊ
a sanfasò	a sen fasõ
a scanciu	as ganj
a scancu a scancu	aːskanqo aːskanqo
a taci maci	atˈaʒ dˈimɐʒ
a tutti i menzi	a tutːi il mˈɛnse
a usu	a u sɔ
a vogghia	a voʝa
abbabbalucchiri	abambalukːejɾed
abbabbanire	aːbbaːniːr
abbaddariàri	abˈanˈnariare
abballu	apan
abbanniàri	əˈbɑːnjaː
abbasta	abastˈa
abbiari	aːbːiare
abbissi	abˈeθa
abbissu	abiso
abbitazzioni	abidaptio
abbriviazziòni	abbrɛviatsiˈone
abbucatu	m̩˨˩lmaː˧
abbuccàri	abqaːʔət
abbunari	apɣunɑɾɑ
abbunnanza	abunˈnˈanta
accabbàri	akːapˈare
accamarora	akɐmɐɾɔnɐ
accanaziatu	akanakiatʊ
accapizzari	aːkavˈetˈsˈaɾ
accapputtari	akapotare
accaremia	aːtːaːrjna
accattari	akatˈaɪl
accennu	atʃenːo
accentu	atʃˈeɪŋdw
accessu	atʃeso
acchianari	atsjɛnari
accia	atʃːa
accianari	atʃenare
accidenti	akːkˈɪdˈɛntˈɪ
accilirazzioni	atʃːilˈerˈatsiˈone
accirenti	atʃiremde
acciu	atʃom
accuddì	ɑːkɔɳːe
accuminciari	aːkːʊ̃mɪlˈdʒajː
accuordu	akˈoɾdo
accupari	akːˈaʊbˈaɾˈɐ
accussì	akusi
aceddu	aʒiɛdˈɔ
acitizza	atʃititsˈa
acitu	aʒˈidu
acqua	ðiakːo
acragas	aːkragaːs
acìtu	æiːtælˈ
addauru	adauro
addizzione	adlitsiˈone
addubbari	adobbaːr
addumari	adumare
adurterju	alunteɣ̞o
adurtirinu	aduɾtɛlĩŋu
affisa	afˈizɐ
