!	vikritʃɲiːk
%	pɛrtsɛnt
(	zaːtvorka
)	tsaːtɛoraka
+	plˈʌs
,	tʃiarka
-	minus
100	stɔ
101.	stoprvɪjctoprovaːtoprovɛː
113.	stɔtrinaːsti
148.	stɔʃtiriːtsiatiːvʋɔsmi
15:49	pɛtnaːsʃtɛvitsaɟɛvɛt
1980	tisˈeːtsdɪvˈɛtstɔɔsɔmtɪsjɛt
1990	tɪɕitsdzʲvɛstɔdivjadzɛɕɛ
1991	tiːtizdɪvˈɛtsttˈudjˈudɪsedɪdnˈ
1993	tisˈitdzɛvjɛtstsodʒɛvjɛdziʃɛtri
1994	tisistdzɛvjɛtstɔdʒɛvjadʒisatʃtɪri
1995	kisˈizdˈiʁvˈɛtˈtˈzˈasdˈiʁkˈˈvˈlisˈas
1996	kikisizdɛvɛtstɒɟɛvɛdʲeʃɒtʃæz
1997	kisʲisʲdzʲavʲatstsodsʲabʲadʲisʲatsadzʲan
1998	tɪsˈiːtsdivjɛtstɔdivjɛdisiɛtɔsɛm
1999	tisistdʒezɛtstɔdʒuʃiɛddisɛtdʒuʃi
2.	ɖruŋiːdruɦɑːdruxɑeːeːʔ
20	dvatsˈotʃ
2000	dvˈadˈisiʑ
2001	dvajtɪsʲitsjɛdæn
2002	dvˈatisˈitdvˈa
2003	dvˈadˈisiːtstrˈi
2004	dvɛtisʲitʃtɪtʃtɛri
2005	dvˈatɪsˈitspɛc
2006	dvɛtjsistʲitʃɛsdʑ
2007	dvʲatsjusʲitsædzjɛm
2008	dvjɛtɪsiːtzasɛm
2009	dvˈatisˈitzdzˈemɛk
2010	tˈvˈtisˈiksdˈeʁɛsˈɛtˈ
2011	dvɛtɛθɛjɛdɛnastɛ
2012	dvɛtɪsiːtsdvˈanˈaːsc
2013	dvɛtɪsiːtstrˈiːnɛːsc
2014	dvˈatisˈiːtsʃtɛrnastɪ
21-ročný	dvatsaɟɛdɛnrˈotʃniː
21.	dvatsjatiprviːi
234	dvɛsdotrɪtsatʃtiri
234.5	vɛstɔtrɪtsatʃʃtiriːtsɛliːxpɛt
26.	dvatsjɛrtɛʃistɪ
27	vatsatsɛɟɛːmɛ
30	tritˈsantˈ
44	ʃtíɾitsaʃtʃtʲiri
48	ʃtîːrɪtsˈaɟɔsɛm
5 km	pɛtɕ kilomɛtriau
6	ʒˈɛst
7	sagɛm
7.	sɛːdmiːsɛːdmaːsɛːdmɛ
8.	ɛʃvɛɛsniɛvɛsmavɔsmɛ
80	ostɛmiːdɛsiatʃ
=	rovnaːsa
?	ˈotaːzɲɪk
@	zˈaˈvinatʃ
a	a
abakteriálny	abæktɛljaːlni
abakus	abakus
abcházska republika	abxaˈska rɛpublika
abeceda	abatida
abecedný	abɛtsɛdni
aberácia	amberatsia
abiogenéza	abiogẽnˈɛza
abnormalita	abanoɾmalita
abonenti	abonanki
abonenti denníka n dostanú každý deň tieto noviny do svojej poštovej schránky.	abonɛntjɛ ɟɛnˈika a ɛndɔsɔnu kaʒdij dɛnɟi ʒtɛ jɛtɔ nɔvɪmi dɔ svɔj pɔʃtɔvɛj sxraːnkɪ
abonentský	abonɛntskɛ
aborigéni	abarigeni
abov	abobo
abovská	abawʂka
abovské	aːbɑ˥˩uskɛ
abovský	abovski
abrahám	abraɦaːm
abrahámoviny	abraɦaːˈmɔʋiːnɛ
abreviatúra	abreviatura
absces	apstsɛs
absencia	absɛnɕia
absentér	apsɛntɛr
absolutista	aβ̞sonofika
absolutistický	abzolutistitskiː
absolvent	apzɔlvɛnt
absolventka	apsɔvɛntka
absolventský	apsɔɫɛnskiː
absolvovať	apsoɫvavatsʲ
absolútne	abzɔlutɲɛ
absolútnosť	aβ̞solut̪nɔst
absolútny	apzuɫuːtnɨ
absorbovať	apzorpovac
absorpčný	apzorptɕnɛ
abstinencia	abztɪnɛnzɪjɑ
abstinent	abstinent
abstrakcia	apstraktsja
abstrakt	apstrakt
abstraktnosť	apstrɑktnɔst
abstraktná	abstraktɛna
abstraktní	apstraktɲiː
abstraktný	abztrˈaktnˈ
abstrakčný	apstraktʂɲi
absurdný	abzurdni
absurdum	absoɾtom
aby	api
abú zabí	a buzamɛ
acetylén	ʔapksɛtʰiːlɑːn
acetón	atsɛtuːlˈn
adam	ɑdam
adam jánošík	adˈam jˈaːn dʒˈiːk
adam nemec	ada mnʲemʲets
adam zreľák	adam zrɨlak
adam ďurica	adˈɒm dˈiʁ litsˈe
adamcuľa	adamtsulia
adaptovaný	adaptɔvɑniː
adaptovať	adaptovak
adaptér	adaptɛr
adekvátnosť	adɛkvaːtnost
adekvátny	ʔadɛkvaːtni
adept	adːɛpt
adeptka	adəptka
adjunkt	adjumpt
administratívny	admɪnistratɪːvnɪ
administrácia	admɪnistraːtsia
administrátor	administratɔr
admiralita	admiɾaɫita
admirál	aðmɪɾaːw
adolescencia	adɔlɛstɛntsja
adolescent	adɔlɛstsɛnt
adolf scherer	adob ʃɛrɛr
adoptovaný	adoptovanɛjɛ
adrenalín	adrɛnaliːn
adresa	adrɨsa
adresný	adrɛsniː
adresovať	adrɛsɔvac
adresár	adrɛsaːr
adresát	adrɛsat
adut	adot
advent	advɛnt
adventista	adventista
adventný	advæntsniː
adverbium	atvɛrbivɔm
advokácia	adɔkɑːtsia
advokát	aːdvokaːt
advokátka	advokaːtka
advokátsky	adfokaːtskɪ
aerobik	aɛroˈbɪk
aerodoprava	ajrɔdɔprava
aeroklub	ajɛrɑplup
aerolínia	aɛroˈljɛnia
aerotaxi	ɑɛrɔtaksi
afekt	fˈɛkˈtˈ
afektovaný	afɛktovanɪiː
afganec	afganits
afganistan	afganˈɪstəm
afganka	afˈgankə
afganský	afgaɲski
aforista	aforista
aforizmus	afɔɾjʃmʊʃ
africký	afrɛtskiː
afrika	afɾika
afázia	aːfaːzjˈa
aféra	afˈɛra
agenda	agɛnda
agendou	agɛndɔʊ
agentka	agɛntska
agentúra	aɣentura
agentúry	adventuri
agitka	agitka
agitátor	adjtaːtor
agitátorka	agitaːatɔrka
aglomerácia	aglomɛraːtsia
agnostik	ˈagnɔstɪk
agregácia	agrigatsia
agregát	agrɛgɑːt
