aborigiidna	aborɛgjna
abstrákta	abstrˈakta
adde	ad
addet	ʔaːtˤet
addiba	adɛba
addibeahtti	ædːibæhti
addibehtet	aːd̪ɪbɛxtɛt
addit	ʔadtɪk
addá	adːa
addán	adːæn
adjágas	aːddʒagos
adreassa	ɑːdˈrɑːstˈɑ
adreassaid	æˈd̪ɾæstæd
adreassain	ɑːdɾɑːsɑjn
adreassan	ɑːdɾɑːsɑːn
adreassas	adresas
adreassat	adˈresˈt
adressii	ɑːdɾəsiː
adventisma	adventisma
advokáhta	ɑːdvɔkʰæˈneɪtæ
advokáhtaid	ɑːdboːkoheːde
advokáhtain	ɑːdvoːkʰahtɑːn
advokáhtan	ɑːdvkʰeɦtæn
advokáhtas	ɑːdvkæhtæst
advokáhtat	ɑːdvkæhˈdɑd
advokáhtii	ɑːd̪ævʊkæhti
afrikánsagiela	afɾikanzaqˈjala
afrikánsagielain	afliːkɛnˈɛːrsɑkɛkɛllɛn
afrikánsagielas	afriːkˈansɑkiːˈjˈlas
afrikánsagiella	afriːkansˈakːˈalla
afrikánsagiellan	afriːkˈansˈɛkəlˈɛn
afrikánsagillii	afrikˈansˈakellˈi
agálaš	aːgɛlɑʃ
agálašvuohta	aːgɛlɒʃvoːtɒ
agálašvuođa	ɑːgɛlɛʃbɔdɑ
ahte	ˈaxte
aiddo	ai̯t̪o
ain	aɪn
aitosaččat	ɑjtozɑdʒɑt
akkusatiiva	akˈsɑːtɪkɪvɑ
akkusatiivan	akːuːsatɛjavan
akkusatiivii	akkoztiːbj
akkusatiivva	akuzativa
akkusatiivvaid	akːusatːivvaʃt
akkusatiivvaide	akːusatˈiːnvˈaɪte
akkusatiivvaiguin	akozatejnvaikojn
akkusatiivvain	akːuːsatːeːbvajn
akkusatiivvas	akkozætɪmvas
akkusatiivvat	akːusɑtiivɑt
ala	aːla
albmi	ˈæləkmi
albmin	aləkmɛn
albmosii	alebmɔsɛi
albmái	alɛʔgmaj
albmát	ælˈmˈækt
albánagiella	ɑlˈpɑænɑkielˈlˈɑ
alde	alte
alfabehta	alfabəta
alfabehtaid	ˈalfɑːbəzˌaɪt
alfabehtaide	alfapɛtajidɛ
alfabehtaiguin	alfapɛtajkwn
alfabehtain	ˈalfɛɾbˈɛçtaɪn
alfabehtan	ɑːlfɑːpæˈhtæn
alfabehtas	alfabæad̪əs
alfabehtat	alfapˈɛtat
alfabehtii	alfabˈexte
allalávlla	ɑllɑælæwala
allaskuvla	allatskodlˈehˈum
allaskuvllas	allasguvð̞as
allasullo	allˈlaˈsˈuːlˈlˈɔ
allasullos	allasellas
allasullui	alasuɫluj
allasuolu	allasˈuːalə
allat	allat
almmi	alme
almmiid	almið
almmiide	almiːde
almmiiguin	ælmiːkuin
almmiin	ɑːlmiːn
almmis	ˈælmɪs
almmit	ˈalmˈɪçt
almmolaš	aːlmɔlaʃ
almmuha	almoha
almmuhan	ɑːlmʊˈhæn
almmuhat	ælmoθað
almmuheaba	almuhɛba
almmuheahppi	almʊsħahabʲ
almmuhedje	ɑːlmʊzəlʲitʃe
almmuhehpet	ælmuhekbɪt
almmuheidde	ɑlmuhiːtɛ
almmuheiddet	almˈoheːˈjdˈeːt
almmuheigga	almuheikːɑ
almmuheimme	ɑlmæjm
almmuheimmet	ælmohejmət
almmuhetne	almːoːhɛtnə
almmuhii	ælmoheː
almmuhin	ɑːlmʊh
almmuhit	almuːhˈit
almmut	almˈuːt
almmái	almaj
almmálaš	lmeːlɛs
amasgiella	aːmˈaskˈælˈlæ
ambassáda	ɒːmbasɑadɑ
ambassádaid	ɑnbasæhɑdæt
ambassádaide	ɑnpasɑhɑdɑjde
ambassádaiguin	ɑnpæsædɑːjkæniːd
ambassádain	ɑːmbasaːhɑːdɑːjæ
ambassádan	ɑːmbeːe̞s̻ed̪ɒːn
ambassádas	ɑːmbisaadɑs
ambassádat	ɑnbasˈɑːdɑt
ambassádii	ɑːmbzaːde
amerihkká	ɑːmˈɛɾiːskˈɑ
amerihká	amˌmeːriːˌktˈkʰˈa
amerihkálaš	aːmːərˈiːçkˈælɜs
amerihkás	ɑːmˈɛriːˈsˈkæls
amharagiella	əmˈhɑːrɑgəlˈla
antropologiija	antropolukia
antropologiijain	antropologˈiːjann
antropologiijan	antrˈɔpːˈɔlˈɔgˈiːn
antropologiijas	antropologˈiːjəs
antropologiijii	antropoloːgijɛ
anár	ɑːnæɾ
anára	ɑnæɾæm
anára gielda	ɑˌnɑˌrɑ keltˌɑ
anárašgiela	ɑˌnɑˌˈrɑsjællæ
anárašgielain	ɑˌɑnɑdɑskˌiˌɑlˌɑin
anárašgielas	anɑraskialas
anárašgiella	ɑˌnædˌoʃkella
anárašgiellan	ɑˌnɑˌrɑskæˌllɑn
anárašgillii	aːnænˌsdilˌli
anárašsápmelačča	ɑnˈnˈrɑstapməˈlɑtʃːa
anárašsápmelaččaid	ɑnɑrɑʃsɑpmɛlætʃːit
anárašsápmelaččaide	ɑnaraːʃtʃsɛjmɛlaːtʃɛjde
anárašsápmelaččaiguin	ɑnɑrɑrstæbmæˈlætʃtʃɑjːgʏɪn
anárašsápmelaččain	ãːnaːrɔzɛpmɛlatʃajn
anárašsápmelaččas	aːnaːɾozdaːbmɛloktʃoz
anárašsápmelaččat	ɑnɑrɛsɛtmɛlodʒat
anárašsápmelaš	ɑnɑrˈɑʃtʰbɑrme̞jɬɑʃtʰ
anárašsápmelažžan	ɑnɑrɛzɑtɑtmɛlɑddʒɑn
anárašsápmelažžii	ɑnɑrɑːʃtævætmæˈlɑːdʒiː
anárii	ɑːnˈɑːri
anáris	ɑːnæɾiːθ
anárjávri	ɑnəælæmʕoːre
