''	tfoɲuzam
1	nˈe
10	vjɛt
100	nˈetʃˈint
130	nʲitʂʲintɨtrʲiðʲːat
2	dˈø
21	nʲizɛtajnʲi
27	nʲizɛtɨʂtat
3	tr̝ɛ
4	katɛrd
5	pɛs
6	ˈdʒʌst
7	sot
8	tˈɛt
9	nˈant
a	a
abedin	abed̪in
abstenoj	apsteˈnɔj
abudi mujaj	abuti muiai
acar	aːtsˌaʁ
acaroj	atsaʁo
acetilen	atsɛtilɛɾn
aciditet	atsitidɛd
adem jashari	adɛm ja ʃaːli
adhuroj	ˌɐduɾˈɔj
adil çarçani	adil tʃakani
administroj	administroaɪ
admir mehmedi	admiːr me̞mɛdji
adnan januzaj	adna ɲiːa nuːzaj
adonis ajeti	adonisa ietim
adresën	adresan
adriana tolka	adriˈana tˈoɭkˈa
aelius	elius
aeroplan	ˈɛɹɔplˌɑːn
aeroplani	airoːplˈɑːnɪ
aeroport	əɪɾɔpɔɾt
aeroporti	aɛropɔrtɪ
afganistan	afganist̪an
afrohem	afrˈɑhə
afroj	afrɔj
afër	ˈɑfɚd
afërt	ˈɑfɚt
agim duro	agim dulo
agnes	aːgnɛs
agnes gonxha bojaxhiu	agnes gondʒa bojadʒiu
agnesё	agnes
agostini	aːgostini
ahmed januzi	aɾmedja nuzi
ahmet pasha	axmɛt paʂa
ahmetaj	ahmeːtaj
ai	aɪ
ai flet	ajˀːi flɛt
ai që i mbështetet pemës së madhe, gjen hije gjithmonë.	itʃi i ʃtɛjtɔg pɛjmɔsɔ malɔj ɟʰɛmɔn ɦie dʒit mɔn
ai që ngutet, rrëshqet .	ai̯tʃ jɨŋgutɨt rɔʃtʃɛt
ai që ngutet, vonohet.	aːjˈiːgən ˈʒʊtət vˈɑnˈaːhˌət
ai që ngutet, çdo herë vonohet .	ai̯tʃ jɔn ɠɔtɛt ʒdɔɦɛɾ vɔnɔːhɛt
ai ta fal gomarin, ti e shikon nga dhëmbët.	ha ɪta fal gomar tʲia ʃɪcoŋga dɑnbət
ajo	aʝˈo
ajo flet	aˈjoː flˈɛt
ajo kupton	io kupton
ajo lexon	hjˈe leˈson
ajredini	əɾɛdimi
ajri	äːjɐɖɛ
ajzberg	ˈaɪzbˌɛɹg
akademi	akademi
akoma	akoma
akordoj	ˌɐkɔɾədˈɔj
akrobat	ɑkˈnˈubat
aksident	aktsidˈɛnt
aksiom	akkiõm
aksionar	akθjˈonaɾ
aksionist	akkionist
aksionova	akːsionˈova
aktivitet	aktivitɛt
aktore	aktˈoːrə
akuarel	akwaɾel
akuarium	akwaɾioŋ
akull	ako
akullore	aːquzquɾa
akullorja	akʊlˈɔɹlja
akupunkturë	akupumtuɾ
akër	ɑːkəɾˈd
alban hoxha	ælbɒːn hodʒɑ
alban meha	ælbaːn mæn eːɦa
alban musa	ælban mɑwsˈra
albana aliu	ælbanaː liːv
albanoi	ælbanoj
albert	alˈbɛɾt
albi minarolli	ælbi mʲinæ roɫi
albian ajeti	al bian aiete
albin kurti	al biːn kɔrti
aldon mara	ald̪oːn maːrː
alegoria	alˌeɣoɾˈia
aleksandër	ˌaləksˈɑndər
alexander meksi	alˈɛksãnˈdˈɔr mˈɛks hˈi
alfa	alfˈa
alfabeti	alfabɛtɛ
alfred trebicka	alfɾet tɾɛbitska
algjebra	alˈdʒeːeːbɾaː
alisia bardhi	alˈisja bˈaɾte
alivanosem	alˈivanoːseːm
allahlalalala	ouaoua
alma koleci	ˈalma kˈoletsi
alternativa	alternativa
alushi	aluʃe
ambrella	amβ̞ɾela
ameba	amɛba
amerika	ameriːkˈa
amerikan	ˌɑmeˈɾɪkˌɑn
amerikane	amerikane
amerikanët	ameriˈkanaˈs
amerikë	ameɾik
amin	ɑːmm˧
amir abrashi	ɑmɛɹ abɾɑʃi
amir rrahmani	amir ramaːni
amper	ˈɑmpɛɹ
analiza	analisa
anash	plau̯nes
anasjell	lanasjal
andamion murataj	ãn̪d̪a mjo̞n muɾat̪ai̯
andej bënë shokët, andej do bëj dhe unë .	anðej ˈbɔn ʃɔkɔt anðej doːbɛj ðɛ uːn
andi begolli	a ndi begoli
andi lila	aːndi liːla
andia xhunga	aːndiˈa ʒʊŋga
andre	ant̪rɛ
androkli	anˈdruːkˈli
androkli kostallari	anðrokli kɔsˈtaˈ laːɾi
anel rashkaj	anɛl ɾaʃkaj
angazhohem	aŋgaʒoˈhɛm
angazhoj	angazoi
anglez	ˈanglˌɛːs
angleze	angleza
angli	ˈanglˌiːv
anglisht	anʝiʃt
anija	aniːja
anije	ʁˈaːtmˈiɛ
anijen	sanieːˀ˩n
anila janaqi	ɑnɛela jɑ nɑtʃɛ
anila muçaj	anila mutaj
anisa dervishi	anisa tero vjlle
anjeza	aɲɛza
anjezë	aɲeʝ
anjezë gonxhe bojaxhiu	a ɲe zkɔɲdʐɛ bɔ ja dʑiw
anjezё	aɲˈiz
ankohem	amkɔɦem
ankth	aŋks
anoj	anoi
anri sala	aːnɾiː saːla
ansi agolli	ansia goli
antonela çekixhi	antunella tʃekidʒi
antoneta malaj	antoneta malai
apeloj	apeloi
aq	ɑɾtʃ
ar	aɻ˥˩
arapash	aɺapas
arben derhemi	ˈaɾbənt eˈɾ hˈemi
arbenit xhemajli	albˈeˈnˈit dʒɒmɒjli
arbresh	aɾbɾes
arbëresh	aɾβ̞oɾeiɣ̞s
arbëreshë	ælʁɔɾɛz
arbëreshët	aɾbɾeʃɛt
arbëri	ˈɑːbri
arbërisht	aɾbɔriiʃt
arbërishte	arbøɾiɕtɛ
ardhmja	ˈɑːrmiːˌɑ
argat	aɾgat
