cачара	satʃara
абайрап	əbəjrab
абалау	abɑlɑl
абалаҡ	ɑpɑɫɑq
абағыру	ɑbɑɣɑru
абағырып	æbäʁɑrɑt
абтай	ɑpdɑiː
абу ҡылу	ɑ buqɯ̞ɫɯ̞w
абый	ɑpɯj
абығар	ɑpɯ̞ʁɑr
автономия	apˈtɒnɒmiːɒ
автономияныңҡы	ɑftɑnɑmɪjælɪŋqä
автономиясы	aptonɔmjjzɛ
авыллары	ɑwɯ̞ɫɑrɯ̞
агацының	ɑrɑtsiˈnɯŋ
адаш	ɑdɑʒ
адашты	ɑðɑʂtɑ
адашу	asˌaʃu
адашцыл	ɑðɑʃtsɯl
адзиг	aðik
адзудзан	hɒzwɒzɒˈn
адуцы	ɑtutsɑ
ажашу	paʒaʃu
ажашцыл	azoztsɛl
ажашҡан	ɑʐɑʃqɑɫɯ̞n
ажыра	ɦɑzɑvɑ
ажыру	æʒaruɣ
аз-аулаҡ	ɑzɑuɫɑq
аза	ɑˈzɑ
азаба	ɑzɑbɑ
азайу	ɑzɑjˈu
азалийә	æzæliːjæ
азап	azap
азатлау	ɦɔzɑtɫɑu
азау	ɑzɑv
азис	ɑːziz
азлыну	ɑzɫɑnɯ̞w
азмалау	azmɑlɔv
азранды	ɒzɾɒndɒˈ
азрау	zˈrɔv
азыҡ	ɑzɯk
азыҡлану	ɑzɫɯ̞qɫɑnʊ̞w
аилбаш	aiɫbaʃ
аилдзы	æjɯɫd
айазғу	ʌjazɣu
айайты	əjjtæ
айал	ojˈɫ
айамағын	æjɑmɑgɯ̞n
айап	ajɑp
айап кән тимесен анта цейә, ицкем йыймағансын!	æjæp kænt jɪl ɑntɑtsɯjɛ ʲits kɪ̞m jɪlmɑʁɑnsɯ̞n
айас	ɑjˈʔɑs
айаслау	əjæslɑu
айау	jɑu
айағуйын	ɑjɑʁujæn
айағыр	ɑjɑʁɯ̞r
айаҡ	ʔiʁ
айаҡ йөслек	ɑjɑq jɑslɯc
айаҡ тарту	ɑjɑqtɑrtɯ̞w
айаҡ цицү	ɒ jɒq tʃiː tʃuː
