0 பூஜ்ஜியம் அல்லது சுழியம்	bʊjʃiʲam bʊjʃiʲam alladɯɕoːʋijam
1 ஒன்று	wan˥ryt˨˩ wan˥ryt˩
10 பத்து	pɐt̪ːɯ pat̪ːɯ
100	nˈuɾɯ
11 பதினொன்று	p̪din̪oːɳɖu p̪tinɔːɳɖu
12 பன்னிரண்டு	pniɾɛɳɖu pniɾɛɳɖu
1234	ɑːjɪɾt̪ːuɾɛɳuːɾːupuʈːinŋɑːr
12345	pɐnːɛɳɖɑːɑːjɾt̪ːimn̪ut̪t̪in̪ɐpːɐt̪ːiaɪ̯n̪d̪
123456	ɔɾɔlɐtʃʌt̪ːʰːeɾibʊt̪imɳənaːjəɾːət̪ːenaːnʊt̪aɭɳɖɛtɕːɑːr
1234567	ənːaːɳɖəlakʃatʃimpɔt̪ːnaːl̪ajɾat̪ːiajn̪ut̪əɾumjeːɻʌm
12345678	poːɾukːoːɖjiɾujt̪mnalatɕːɪtɕːunapːats̺ndʒaːjɾaːt̪ːʰːaɾat̪ɾutaɾnat̪eɖukəeʈ
13 பதின்மூன்று பதிமூன்று	t̪i̯ɳɔ̃ ɔ̃ɳɖʱu pat̪inɔ̃ ɔ̃n̪d̪ɾu paɟinɔ̃n̪
14 பதினான்கு	pd̪jnaːŋgɯ pd̪iːnaːŋgʌ
15 பதினைந்து	pd̪iãn̪d̪u pd̪iãn̪d̪u
16 பதினாறு	pat̪ːnaːɾɯ pat̪ːinaːɾɯ
17 பதினேழு	pat̪gɛɾeːɾ pat̪gɛɾɐ
18 பதினெட்டு	pʌd̪inɪɖːu pədinɪɖːu
19 பத்தொன்பது	p̪t̪ːənbd̪u pʌt̪ːənbd̪u
2 இரண்டு	rɛɳɖɯ ɾɛaɳɖɯ
20 இருபது	ɾɯbɯɾɯ̄ː ɾɯbɯɾɯ̄ː
24 மணிநேரம்	ɨrʊd̪ʈː naːngu maɳi ɳɛːɾəm
3 மூன்று	mɔ̃nˈdʒʊ̃ mɔ̃nˈdʒʊ̃
4 நான்கு	nɑːngʏ nɑːŋgʏ
5 ஐநது	aɪ̯nːɯ ɑjnˈd̪ɯ
6 ஆறு	ɑːrɯ ɑːrɯ
7 ஏழு	jɛɾʊm jɛrɯ
8 எட்டு	jɛʈːɯ jɛʈːɯ
80	enbd̪u
81	ɛn̪ːp̪ːɯɒn̪ːɾɯ
82	ɛn̪ːpɐɪʈːuɾɐɳɖu
83	ɛnptumuːnɾu
84	ɛn̪pɐʈːun̪aːngu
85	ɛn̪ːpt̪ːuai̯n̪d̪u
86	ɛn̪ːpt̪ːuɑːru
87	ɛnpɐt̪ːueːɻɯ
88	ɛn̪t̪ːuɛʈːɯ
89	ɛn̪pɐɾʈuʌn̪p̚ɐ
9 ஒன்பது	ʋnbd̪ai̯ ʋnbd̪ai̯
90	t̪ɳːɾɯ
91	d̪nːoːɕuɒnɾʌ
92	t̪ɾn̪ːuːd̪ɾɯiruɳɖu
93	tʊnːɔːtʲːɪmɔndɪ
94	n̪oːn̪ːuːd̪ɾɐnaːngu
95	n̪uːt̪ːɾuɐjɳ̪d̪u
96	t̪oɳːuːt̪ːrɯɑːɾɯ
97	n̪oːn̪ːuːtɕːɯeːɻɯ
98	n̪oːt̪ːɾɪeʈːe
99	t̪ɳːɳɖoːrːɾɯɒnbd̪u
agappai	əgəpːɯj
akka	ˈæˈkɑː
alagesh	nɑːgɪʃ
amaidhi	labˈaɪzmə
amma	ammɑa
ananda coomaraswamy	ɒnnd̪e komaːɾas oɑʋɑʋi
annann	ənːən
appa	apːa
apuram pakalam	əpəɾəm paːk kaləm
arivali	əɾiʋɑːliː
arivazhagan	að̞ieβ̞aɾaan
arumai	əɾumai
azhagu	paˈɾˈɛdˈi
bommai	buð̞omˈejs
chennai	sænˈleɪ
chithappa	setˈeppa
chiththi	sepˈti
ennai mannikkavum	ɛnːaɪ man̪iugːum
ganapathy	kɾˈnˈɐpˈd
irappu	irɐpːɨ
irungattukottai	iruɳgɑːʈːukkoʈːe
it means "don't like", as in "i don't like" (எனக்கு பிடிக்காது), "they don't like" (அவர்களுக்கு பிடிக்காது),	piɾɐkaːɾu
it means hole. there is a hole in the shirt "சட்டையில் ஒரு ஓட்டை இருக்கிறது"	ʃɐʈːai̯jɭ ɒɾʊ ɒːoːʈːai̯ iruɭkiːɾɐd̪
iḷanchivappu (இளஞ்சிவப்பு)	irɑntʃibabːɯ
kaalai vanakkam	kaːʋɑːj ʋɐnɐkːɐm
kaatru	katrɯ
kabilam (கபிலம்)	kabil ɐm
kadal	kʰəˈd̪əl
kadhal	kaːd̪ɐl
kajan	katʃɛn
kalappai	gɭːɑːpːɑj
kalappai uzhum -	kɐlɐpːɐj uɻum
kanavan	kɾəɳaːn
