(หนึ่ง)ทุ่ม	hŋ˨˩tʰʊm˥˩
+	buʔk
-	lob
... ผ่านไปแล้ว	aː˥˩n˩˩˦pajʔlw
... ภาษาไทยพูดว่ายังไง	pʰaːsaː˩˩˦tʰaː˥˩ɐpʰuːt̚˨˩waː˥jɐŋ˧lɤj˧
0	sˈoʊn
1	hŋ˥˩
10	sip
100	náŋ˧rɔːj
100,000	nɯŋ˧srn˧
1000	n˥ŋ˧pʰaːn˩˩˦
10000	n˩˩˦ŋ˧muːn˧
100000	n˥ŋ˧srn
1000000	hŋ˨˩laː˥˩n˧
11	sikʰʔt˥
12	sip˦sɔːŋ˦˥
13	sìbzaːm
14	sˈɛpsi
15	sɛpʰaː
15 ค่ำ เดือน 11	sìbhaː˥˩kʰam˧ ʔduːn˧sìbʔɛf
16	sɛpˈʁˈɔ̃
17	siptʃek
18	sipɛdd
19	sɪbkaːʊ
2	sũã˥˥
20	jiseb
200	sŋ˨˩rɔːi˨˩
2018	sʰɔ̀ŋ˧pʰan˩˩˦sìbʔp̚˥˩tʰ
21	iː tʃiː tʃeʔt
22	n˩˩˦i˥ʔsìb
23	n˩˩˦i˥ʰsìbθaːm˥˩
24	sìb
2561	s˦˥ɔ̄ːŋ˧pʰal˧hoarɔːjhkʰsìʔətʰ
2562	sʔŋ˧pʰan˩˩˦haː˧rɔːjhk̚˦˥sìpsʔŋ˧
27	dʑiːʰsìbʔtɕʰ
28	n˩˩˦i˥ʔsìbʔt̚˨˩kʰ
29	ʔiːk̚˦˥k̚˥˩aːw˥˩
3	sǎːm
30	saːm se̞b
31	sǎam˧sìtʰt̚˨˩t̚˨˩
32	sǎːm˥˩sìbʔsʰɔ̀ŋ˧
33	s˦˥aːm˥˩sìbk̚˨˩saːm˥˩
34	sâːm˧sìbsiː
35	sǎːmsìbhaː
36	sǎːm˥˩sik̚˨˩kʰ
4	sˈi
40	seː iːsɪ̞p
41	sì˥˩sìbʔt̚˨˩
42	sìbtsɔ̄ːŋ˧
43	sìː˥sìbsaːm˩˩˦
44	sì˥sìb
45	sìbʔø
46	s˦˥iː˧˥bhʌk
5	hæ
50	aːsip
55	haː˧sìbhɑː
555	haː˧˥ haː˧˥
6	hɔ˥˩
60	hoːpusi
7	dʑt̚˨˩
70	tʃɛtsʲip
8	pɛːt̚˨˩
80	pɛːt˥sip
86	ʔsa˨˩bpʰ
88	ʔt̚˨˩aːsip̚˨˩ʔt̚˨˩
89	ʔt̚˨˩sìbkʰaːw˩˩˦
9	tɕau̯
90	k̚˦˥aːnsip̚˨˩
99	kaːʋ˧sìbkâːʋ
=	tʰaːp
abhisit vejjajiva	tʰaːtʰjn˧ʔsìɛ̄ːt̚˨˩ʰtɕʰaː˩˩˦tɕʰiːwaː˧
adhinan	atʰiːnɔ̃n
aditya assarat	ɑːt̚˨˩id̪ ɑːtsʰrɑʈ
aek	e̞
aekpongpaisit	ʔɛːpʰɔːŋ˧ʔkʰ
agkachai	aːkʰʈtʰ
ajcharaporn kongyot	ɔ̄ːaːt̚˨˩ʃaːraːpʰʔnkʰŋ˩˩˦jt
amnat charoen	amnaː jlɔn
ampawa	ɔːam˥pʰaːw˧aː
amphawa	aːmˌpɐˈwaɹ
amphoe	ɔ̀am˥pʰə˥˩
amphoe mueang	ɔːamrmɯːʔ
amphoe sai yok	ɔːam˧ʔt̚˨˩ʰɔː˧saː˩˩˦ɔː
amphur sri maha phote	ɔ̀am˧m˧maːhapʰt̚˨˩
amporn	ampɔn
amporn hyapha	ɔ̀aːm˥˩kɔ̀n˥˩ɑ̀ʔjaː˥˩pʰaː˨˩
anand panyarachun	ɑnɑn ɑnˈja ɾasˈoːt
ananta samakhom	æn ɑntæsɑmɑː kɔm
ang thong	ɔːam˧tʰɔːm˧
anicca	aː˧n˩˩˦tɕaː˥˩
anne thongprasom	n˩˩˦tʰ˥aː˧˥sŋ˨˩˦
anocha suwichakornpong	a˦˥n˧ʰt̚˨˩aːsʰt̚˨˩aːk̚˦˥ɔ̀n˧kŋ˧
ao manao	ɑw˨˩ ma˧˧ naːw˧˧
ao thai	aːw˨˩pʰaː˨˩
apichatpong weerasethakul	ʔap̚˦˥kʰtpʰŋ˧ʔwiː˧raː˧tnt̚˨˩n˧
ar-harn	aːħaːn
ari	pʰaːriː
aroy	aɾɾoʝ
aroy dee	ɔːarɔːj˥diː˧
arunee	aːruni
arunsrisangchai	ɔ̀n˧n˥˩s˦˥iːʰsɛːŋ˩˩˦tɕʰʰ
asanee suwan	aas̠n̪iːs̺uan
asava	aːsǎvaː
asok	a sˈoː
attakorn	ap̚˦˥pʰa˦˥kɔ̀n˧
attakorn vechanon	ɔ̄ːt˥kɔːn˧liːʃʰaː˧nn
avalokitesvara	ʔaːwɔ̀lɔːkʰt̚˦˥tʰn˩˩˦n˧
awatan	aːwat̚aːn
ayudhaya	aːjot̪tajaɹ
ayudhya	aʝɯt˦e̞aː
ayuthaya	a˦˥jt˥ʰa˥˧jaː˧
ayutthaya	ajutʰe̞jaː
baht	bat̚
bahurada manimaya	tʰaːwrám˥˩an˥hjm˥˩ʰ
bami haeng ped	baː˧miː˧ʔhaŋ˥
bami mu daeng	ba˥˩miː˧ muːuːdɛːŋ˧
ban thap chang station	satʰaːn˧iːʰbaːn˧pʰaːtɕʰaː˥˩ŋ˧
bang bon	a˥ŋ˥bɔːn˥˩
bang bon nuea	baːŋ˧bɔːn˧ʔɛ
bang bon tai	baːŋ˨˩bɔːn˧tǎ˥j˧
bang kapi	boːn˧kʰəpiː˨˩
bang khae	bɑŋ˥ˀʔkʰeː
bang khen	paːŋ˥˧kʰeː˧n˨˩
bang kho laem	taːŋ˥kʰɔːlɛːm
bang khun thian	baːŋ˥kʰun˩˩˦ʰieɪn˧
bang na	n˧a
bang phlat	baːŋ˧plat̚˨˩
bang rak	baːŋ˧rak̚˨˩
bang sue	boaːŋ˧
bang wa	daŋ˥˩waː˥˩
bangkok	boa̯ŋ˧k̚˨˩aʔ
bangkok noi	ŋ˥kɔːp̚˨˩nʰɔːj
bangkok yai	bankʔkʔh
banglamphu	boaːŋ˧lam˧
bangna	baːn˩˩˦naː
bangpoo	be be tʃiːzi luːl
banharn silpa-archa	bn˧haːn˩˩˦sɛn˥˩nɑːpaː˧kʰaː˥˩n˧
battleground	ʔtm˧kraːw˧
baung	bõŋ
beijing	tʰak̚˥˩keŋ˧
benchalak	ben˧tɕaɾak
benjasiri	ʔpentraːsiriː
bhumibol	ʔuːmiʔpn
bhumibol adulyadej	pʰuːmiːkʰon˧ʔan˧n˩˩˦j˧ʔdʔ
bigass	bɪig æs
birabongse bhanubandh	pʰiːraʔkʰɔ̀ŋ˥˩kʰaː˥˩n˩˩˦ʰw˧kʰan˥˩
bo kluea	boː˧klɤa̯
bodhisattva	ko˥˩ti˥˩sat
bodindradebayavarangkun	boːdiːntʰraːtʰe pəˈja ʔwraːnfɾuːj
book	ʒˈɛnʁəlɚˈ pʰɪsuː tʃˈuː tʃˈaʊˈisʁɑŋtʰɔː
boonyaratglin	monʝaɾat̪ kalĩŋ
borobudur	ruːn˧bʰtʰ
borommaratchachonnani	bɔːrmɔraːʃaʃonˈnani
buddha	pʰuːtpʰaʔɔː rãː puːt̚˨˩aːw˧
buddhadasa	kʰut̚˦˥a˥kʰaː˥˩tʰ
buddhasakarat	pʰuːt˧sakkaɾaːt
bueng kan	bɯ̀ŋ˥k̚˥˩aː˧n˩˩˦
bueng kum	ŋ˨˩kũ˥˩m
bukkhalo	uk˨a˥˥lɔ˥˧
bumrungrad	amŋ˧raːt
bunyawi thamchaiwat	bn˩˩˦ʔjâːw˧i˧ ðʰam˧ʃajʋat̚˨˩
burapha university	maːhaː˧w˧ʔtʰeːjwɔː ʔfua̯nklaː˧
buri	bɾuːjˈ
buri ram	buɾi iɾam
buriram	ri ram
burirom	bolilom
ccvc	si˧˧ si˧˧ vi˧˥ si˥˩
central chidlom	ʔsɛn˧ʔaː˥˩tɕhiːt̚˨˩lʰm
central embassy	sʰnt̚˨˩rɑːʋ˧ʔim˧baː˧sìː
centralplaza pinklao	n˧ʔpʰlɑːsaː˥˩n˥k̚˥˩laːw˧
cha am	tʃaˈjam
chachoengsao	faː˧˧ tɕʰɯə˧˧ saːw˧˧
chaeng watthana	tɕɛːŋ˧wɑt̚˦˥n˧aː˧
chaengwattana	tseŋ˨˩wat˦hɐn˨˩aː˧
chai nat	tɕʰaːn˧aːt̚˨˩
chaikriangkrai	tɕʰaj˧k̚˦˥riːjŋ˧kraj˧
chainat	kʰɔːn˧aːt
chaipattana	tɕʰaːjpʰan˧aː
chairut	tɕʰaːj˧ra˦˥
chaiwat	tɕʰjɛ̀u̯
chaiyaphum	ʃaːj˧ɛ̄ːp̚˨˩ŋ˧
chakrabongse bhuvanadh	tɕakʰa˥˩kʰŋ˧toaw˧n˧ʰaː˧
chakri	tsakri
chakri dynasty	raːŋ˧ʃwŋ˨˩ʈakrɪ
chaleo yoovidhya	tɕʰaːl˧iauː tʰoʊ˥˩jaː˧
chalerm yubamrung	tɕʰmɔ̀
chalermkrung	tɕʰaːm˧ʔmk̚˥˩ŋ˧
chalida vijitvongthong	tɕʰaːjdavk̚˥˩it˥˩wŋ˧tʰɔ̀ŋ˧˥
chaloem phao	tɕʰan˧ʔhɔ̀ːm˥˩ʔâː
chalong riewraeng	tɕʰlɔŋ˧ʔriːw˧rɛːk˥
chang	ʃaŋ˨˩
chantaburi	dʑantʰbʊːrɪ
chantara	ʂan˨˩˦
chanthaburi	tɕaŋ˧tʰaːkdjɔː
chao chom	tɐw˧ʈom
chao chom manda	tɕaːwʈʰɔ̀m˥maː˧n˩˩˦taː˧
chao fa	tɕaːw˥faaː˥˩
chao phraya	tɕaːp̚˨˩ra˦˥jaː˧
chao phraya chakri	tɕaːpɹɔːjɑːtɕaːʔk̚˨˩rŋ˧
chao sam phraya	kʰaː˥˩saːŋ˩˩˦pʰra˦˥jaː˩˩˦
chaovarat chanweerakul	tɕʰaːráp̚˨˩ʃaːn˧ʔirkn˧
charoen	t̪eraɣ̞ən
charoen jaichon	ʥaʔrntɕaj˧tɕʰon˧
charoenmuang	tɕarɛːnmɯ̄ːʌŋ
chatchada	t̪ɕat̪˨tsað̞a˥˧
chatchai market	plaːt̚˨˩ʔtɕʰapʰ
chatichai choonhavan	tɕʰaːttɕʰaːjnhʰaːʋan˦˥
chatramue	tɕʰaːtraːm˥˩ɯːʔ
chatreechalerm ukol	tɕʰaːtɹiːʃa̯m˧ kʰon˧
chatri	tɕʰaːtɹiː
chatri maivijit	tɕaːtɕɹimajʋtɕit̚˨˩
chatuchak	tut˦a˥˩
chavalit yongchaiyudh	tɕʰaːw˧˥ɔːlit̚˨˩tɕʰaː˧˥tuːaːm˥˩kʰaː˧˥te˨˩w˧˥
chaweng	ʰwŋ
chedi	te˨˩li˨˩ʔ
cherd songsri	tɕʰɛːt̚˨˩sʰŋ˧s˦˥iː˧
cherry chevapravatdumrong	ʃɔːj ɔːjɑʃwa pʰraːˈvɑt̚˨˩t̚˨˩amrŋ
chiang	siaŋ˨˩
chiang dao	ʈsiajŋ˨˩daː˧w˧
chiang hung	sʰi˥˧jŋ˨˩n˧uːŋ˧
chiang khong	tɕʰiŋ˨˩kʰoŋ˨˩
chiang mai	sieŋ˨˩ma˥˧
chiang mai university	ua̯h̯aː˧ʔztʰj˧ɔ̀ʔalaj˧ʃiːjɐm˥˩hm˥˩aj
chiang rai	kiaŋ˧˧rai˥
chiangmai	tʰian˥˥maː˧˧
chieng	kʰiː˥˧ŋ˨˩
china	tʃɔ̀j˧hnaaː
chiraprabha	tɕiːlaːpraːpʰaː
chitchai wannasathit	tɕʰiʔtɕʰj˧ʔw˧n˧a˦˥sat̚˨˩itʰ
chitlom	sjtlom
chok-dee	ʃok bi
chom thong	tɕɔːmpoɔːŋ˨˩
chon buri	ʃɔnɓuɾːiː
chon daen	tsʰwɔːn˥den˧
chonburi	tɕonkoriː
chong nonsi	tɕʰɔ̀ŋ˧n siː
chongboonprasert	tsʰŋ˧n˥pn˩˩˦a˦˥ʔsrn˧
choo chee	su˥˩
chuan leekpai	tɕʰw˧nklɪk˥hɛ̄ː
chuchi pla kaphong	ʔtɕʰiː˥˩pn˩˩˦a˥kra˨˩pʰŋ˧
chulabhorn	ʔtsulaːpʰn
chulabhorn walailak	ʔlaːpɔ̀ːn˧waːrai˥n˩˩˦ap
chulachomklao	jʔtɕaːmk̚˨˩l˧aː˥˩w
chulalongkorn	hɔ̀laːlŋkɔ̀ːn˥
chumbhotpong paripatra	tsʰŋ˩˩˦pʰt̚˨˩kʰɔ̀ŋ˧p̚˨˩ra˦˥kʰat̚˨˩
chumphon	tʃun˧kʰon˧
chumpol silpa-archa	tʃuːn˧˥minsidʑmɔːpajʔ˨
computer	kompʰutʰɔ̀
daeng	dæŋ
damnern saduak floating market	laː˧hŋ˩˩˦tʰam˧ʔn˧iːʰtɕt̚˨˩wk̚˦˥
damnoen saduak	rtʰɔ̀n˧sa˨˩tɕɛŋ˧p̚˦˥
damrong rajanubhab	dam˧n˧ŋraː˧tɕanupʰaː˧k̚˨˩
dao khanong	daːv kʰanom
dara	dara
dechawat poomjaeng	t̚˨˩eːtɕʰawat̚˥˩mʰon˧ʈʰŋ˧
dej-udom	ʔt˧eːʔdome
dhevi	ke̞riː
din daeng	din˥ʔt̚˨˩ŋ˧
doi inthanon	doi̯ ɔ̀n˧t̚˨˩ɛɔ̯n˧
doi luang	lojŋ
doi suthep	dɔj˧t̚˨˩oɾ
don hoi lot	tɔːn˧houaʔhlɔːt̚˨˩
don mueang	tɔ̀n˥mɤjagʰ
don tum	n˧ɔ̀ntòm
dr. sanguan kunaporn	tápʃɔ̀rsaŋˈwnˀua̯n˥kɤ˥aːk˥hɔːj˧
duangjitt	duaŋ˧
dusit	du sɪt
dxkbạw	dok˨˩ buːa˥
e-mail	iɲˈɛˈo
egypt	ɪgip
ekachai uekrongtham	ʔɛk˥tɕʰaj˧ɔːk̚˥˩n˧ɔːŋ˧tʰam
ekkamai	æ̹kæm˧ʰɑj˧
emquartier	ɛːm˥˩kʰɔːa˥˧tʰiː˥˧ɔːa˥˧
england	aŋ˧k̚˦˥lɪt̚˨˩
english	ˈɪŋlɪʃ
erawan	ɔːaːn˧
farang	faɾau̯
gaeng	kɛ̀ʰŋ˥˩
gaeng keow wan	keŋ˥˥sioŋ˨˩ wan˨˦
galangal	ka˥˥
gang	plˈæn
garuda	kʰʊp˨˩
gaysorn village	kʰeːk̚˨˩ɔːn˧rin˦˥lɤt̚˨˩
german	ɛɾˈmɑːn
gif	tip
guangxi	kuan˨˦ti˥˥
harnn	jˈan
harnroongroj	haː˧n˩˩˦ŋ˧rɔːt̚˨˩
help me! i'm lost. ช่วยด้วย ฉันหลงทาง	ʔt̚˦˥ʰʔt̚˨˩wj˩˩˦ʈʰǎn˧lŋ˧tʰaːŋ˧
hiranpruek	ɯ̞jɑn n̪t̪ pɾɯ̞
hong kong	hʊŋ˥˥kɔːŋ˧˧
hong num	hʰɔːŋ˧n˧aːm˧
hong-nam	hoŋnaːm
hor mok	hɔːmɔ
hua hin	hʊːaː˧hɪn˧
hua hin train station	sa˨˩tʰaː˧ʔtʰj˧rodʔfʔhua̯ʔŋ
hua lamphong	uã˥˥ lam˥˩pʰoŋ˨˩
hua mark station	sotʰa˥˥ni˥˩ wɔ˨˩˦ma˥˩
huai khwang	ua̯j˥kʰw˥˥aŋ˨˩
huai ta mai	tʰaːmɑj
iconsiam	ɛ̄ːkɔːn˧s˦˥jaːm
ikea	iikːia
im-leaw	m˥˩lɛːw˧˥
ipad	ɛːpʰt̚˨˩
ipad pro	ɔ̀ːj˧pʰʔpn˩˩˦oː˧
iphone	jfʊn
itthichai	ʔit̚˨˩tʰiː˥˩ʰtɕʰt̚˥˩
jaonnaay	tsau̯nai̯
japan	jˈiːpən
jatuporn	tɕat̚˨˩upʰon˧
jessadabodindra	tɕsdaːp˥ra˨˩n˩˩˦
jing	tsiŋ˨˩
jirayu tangsrisuk	kʰiw˧raː˧jtoaːŋ˨siːk̚˦˥
jomtien	tɕɔ̄ːmʔɪː˥˩ɔːn˧
jungceylon	tɕaŋ˧siːlɔːn˧
kaeng	kŋ˨˩
kaeng chuet	kɛ̀ːŋ˧ʔk̚˦˥
kaeng chuet wun sen	kɛ̀ːŋ˧ʔt̚˨˩t̚˨˩n˧ʔn
kaeng hangle	kæŋ˥˧ ha˥˥
kaeng ho	kẽ˥˥ng˥˧hou˧˧˧
kaeng kari	pjɛ̀ːnˈtjɑriː
kaeng khae	djɛːn˥˩kʰeː˨˩˦
kaeng khiao wan	keŋ˥˥ kioan˨˦
kaeng lueang	kŋ˥˥lɯŋ˧˥
kaeng matsaman	ka˥˥ma˥˩˦sman
kaeng om	sen˨˩om˧
kaeng om mara	tɛŋ ɔmra
kaeng phanaeng	kɛːn˧pʰan˧ɛ̀ːn˧
kaeng phet	kɛ̀ːŋ˥pʰt̚˨˩
kaeng phet pet yang	kɛ̀ːŋ˧ʔptʰt̚˨˩ʰa̯˧
kaeng som	kɛːŋ˧som˧
kaewsri	kelki
kai phat khing	k̚˦˥k̚˦˥lʰpʰt̚˨˩ŋ˧
kai phat met mamuang himmaphan	kɛ̀ːtpʰt̚˨˩rntʰmaːmwŋʔm˥mapʰ
