'di	bi
'di naman	diːnæmæn
'pag	tɑg
'yo	dˌiːzə
@	sat̚˨˩
a (the vowel)	aː
a!	ˈa
aa	aa
aalis	alˈis
aalis ba sila	aˈalis basalaː
aalug-alog	aːallogallog
aam	a
aanyayahan	ʔaːʔanjajjan
aasahan	aasɑːhɑn
aba	ab
aba!	tˈelə
abaca	ɑɓɑqɑ
abahin	ʔabah
abain	æbæn
abaka	abaka
abakada	abaqaða
abakadahin	abakadaˈhɪn
abako	ambako
abakus	ɑbɑqˈus
abala	ˈabala
abalahin	ʔablaːhm
abalang-abala	abalaŋabalaɾ
abaloryo	abaloɾio
abanderado	abandirado
abandonada	ʊˈbɑndɔnɑda
abandonado	aβ̞ãn̪d̪onat̪o
abang	abãŋ
abang-aba	ɑˈbɑŋɑbɑ
abangan	abəŋan
abaniko	aba˥˩niko˥˩
abanikuhan	nɪkˈhɑːn
abante	abãnpe
abay	abaj
abay na pandangal	aba eʝ nakaːndaŋan
abdulmari asia imao	ɛʋɾnˈʊŋaɾiː ˈɛɦʃˈia imaːv
abelyana	aːbɛljɑːnɑ
abenida	aβ̞ẽn̪ið̞a
abentura	aβ̞ẽn̪t̪uɾa
abenturero	abintorero
aberya	ˈɑberija
abesedaryo	abˌɛsˈedˈaɾio
abilidad	ˈabiliðˌad
abiso	abiso
abisuhan	abisuhan
abito	aβito
abitsuwelas	bitselas
abitswelas	abitswelas
abla	aˈbˈlˈaː
abnormal	abnoɾmal
abnoy	abnoj
abo	aˈbːo
abog	abˈog
abogado	abogado
abogasiya	abogaʃa
abogasya	aːbˌulgˈaʃia
abok	a
abokado	abokaðʊ
abong	abõm
abono	abono
abonohan	abonoɣan
aborsiyon	aːboɾsiˈon
abot	abod
abot ng isang kabisa	abot nɛŋ isaːŋ kabisa
abot ng isip	abot nŋ isip
abot ng mata	abotnnɛtʃtʃɔmata
abot ng tanaw	abot nɑŋ tɑnɑw
abot ng tingin	abotna antɨɲin
abot tanaw	a botanau
abot tanaw na pangarap	abot̪ ð̞ɑn̪a una pɑŋaɾɑf
abot-dinig	abutdɛniːn
abot-isip	abotʔiːsɪb
abot-tanaw	abotanau
abot-tingin	abutteŋim
aboy	tɐbˈoɪ
abra	abra
abrasador	abrasador
abrasete	ampɾasete
abrasibo	aprasibo
abrigo	abrigo
abriguhan	aːbrigɔhan
abril	aːpɾˈil
abrilata	abrɪlata
abrisete	apresete
absent	æbsˈɛnt
abseso	abseso
abstinensya	abst̪jnẽn̪t̪s̺e
absulbihan	ɑfəsbjhɑŋ
absulusyon	ɑːbsɔːlˈʃɑːn
absuluto	absoluto
absuwelto	apswelto
absuweltuhin	ɦaːfswltohl
abswelto	abswɛltɔ
abubot	aːbubˈo
abugado	avɐgadɔ
abuhan	abuhaːn
abuhin	abuhim
abukado	abˈaɢado
abukay	abukaj
abuloy	apuloi
abuluyan	abuluja
abunado	abonado
aburido	aburido
aburiduhin	abʊɾiduːhɪn
abusada	abosɑðɑ
abusado	abosaˈdo
abusera	abosera
abusero	abost̪eɾo
abuso	abʊsʊ
abusuhin	abusˈuhˈiŋ
abut-abot	abuabo
abutan	abotan
abutili	abɔtile
abutin	aβ̞ut̪jnt̪
abuwela	abuella
abuwelo	ˈabwˈelo
abuy-aboy	ɑboːjɑboːj
abyad	ɣəbjad
abyador	nβ̞jað̞oɾ
abyarin	abjãrin
abyasyon	aβ̞jaθjon
abyog	abiːl
abá	ab
abó	abo
actor	ɑktoɾ
adamson university	ˈædəmɪsən jˌunəvˈɚsəti
adarna	adarna
adberbyo	atberabio
adbiyento	ambjɛnˈtɔ
adelantada	adilantaða
adelantado	adilantado
adelanto	adelanto
adhika	tadʒɪkʰe
adhikain	adˤħikːʔəiːn
adik	aːðk
adikto	adikto
adisyon	að̞ikion
adisyunal	ədiːʃʃənɑːl
adiyos	adios
adlaw	adlao
administrador	administrað̞oɾ
administrasyon	administ̪ɾas̺ioŋ
admiral	atmʲiralʲ
adobe	adobɛ
adobo	adobo
adobong	adobo
adobong palaka	aɗoboŋ pɑlɑkɑ
adopsyon	adɔpʃɔɲ
adorador	adɔɾadoɾ
adorasyon	adɔrasiˈon
adorno	adornɔ
adornohan	adornuan
adulterado	adolteɾaðɔ
adulterasyon	adˌolˈtˈɾakjõ
adulto	adulto
adwana	at̪ːoan̪a
adya	adja
adyenda	aɣ̞ɛn̪d̪a
adyo	adio
adyos	adʒos
adyusan	ædʒiːˈsæm
ag-ag	agazʊ
ag-agan	akakan
aga	aga
agaas	fagazt
agad	agad
agad-agad	ɑgɑdɑgɑd
agahan	gɑːhɑn
agahas	agahas
agam-agam	agamagam
agam-agamin	aɠɑmɑgɑɲɛ
agamagam	aɣamaɣam
agamahan	ɑgɑmɑːn
agap	aga
agapan	agapan
agapay	aːgapːˈeɪ
agapayanan	agapajanãn
agaran	agaraːn
agarin	agarim
agas	ˈagˈæs
agas-as	agasas
agasas	boːkasas
agatat	aːgatat
agaw-aw	agauau
agaw-buhay	ˌɐgˌɐlˌˌpuˈˌɐɪ
agaw-dilim	aːgəʊdelim
agaw-tulog	agau'tulu
agawan	agnãn
agawin	agaujn
agay-ay	aɣajaj
agham	agˈɑm
aghimo	akimo
aghimuin	akːimˈoːiːn
agik-ik	əgigi
agikik	həgik
agila	agila
agimat	agima
agimatan	aagimatan
aginaldo	aɣ̞ɾĩŋaɾð̞o
aginalduhan	lakinaalt̪omɾat̪
aging-ing	aginĩŋ
agit-it	aːgitit
agiw	agio
aglahi	ɣəlaːhɪ
aglahiin	æglaaːne
agnas	aagnˈav
agnasin	agnasio
agnos	agnɔs
agnostika	aɣnɔstɪkˈa
agnostiko	jɛgnɔstɪkɔ
agong	aːgõŋ
agos	agos
agosto	agosto
agoy	aɣˈoɪ
agpang	aktaŋ
agpangan	aqpəŋan
agrabyado	agrabbiado
agrabyaduhin	agrɑːbjaːdɔheːne
agrarya	aklaria
agraryo	agrˈaɾjo
agresibo	resibo
agridulse	akɾidolse
agrikultor	agɾigul̪t̪oɾ
agrikultura	agrikoltura
agrikultural	ankɾikultʊran
agrimensor	akɾiminsor
agtas	abas
agting	taktˈɪŋ
agueda esteban	agoʎt̪e d̪a jis̺tɑβ̞ãn
aguha	saguha
aguhilya	aːgoːljʎjˈa
aguho	aɣoho
aguhon	aːgˈohˈn
aguiluz	akulws
aguinaldo	aginaldo
agunyas	aguɲas
agusan	aɣuzan
agusan del norte	aɣˈusˌan del nˈoɾðe
agusan del sur	agnoza ʔandaj l
agwa	ˈagwa
agwa-bendita	agwabɛnˈdita
agwa-plorida	ˈagwaplˈoɾiða
agwado	aguato
agwador	agwadɔɾ
agwahe	aguaɾe
agwanta	aguanta
agwantahin	agwant̪ain
agwaras	aŋgoar
agwardiyente	agordjente
agwardyente	akoardʒente
agwas	aglas
agwat	aˈgwˈa
agwatan	kwat̪an
ahas	ɑhɑs
ahasin	ɦɑːsɪm
ahedres	ˈeɪgɾˈɛs
ahensiya	tʃom
ahensyang panglakbay	ɦɛnʃaŋtʰɑŋlɑkkbai̯
ahente	ˈaɣente
ahin	ɑːhɪm
ahit	ʔˈahɪt
ahitan	aɦit̪a
ahitin	tähiːt˦i˧m
ahon	ion
ahunan	ahɔnɑn
ahunin	ɦoːn
aircon	ˈaɾkoˌn
airport	epɔɾ
aising	fˈaɪzlˈɛ
akademik	akakini
akademika	akadˈmikˈa
akademiko	qadɛniko
akademista	ɣabɛmistɐ
akademya	ʔaːqadɛmjɑ
akala	qlaːqaaːlaː
akalain	aqalaːʔa
akap	ɑqɑb
akapin	qapn
akasya	aʃa
akay	əqaj
akayan	qɑjɑm
akayin	qɑqɑjmi
akbay	qqq
akbay-akbay	ɑqbäjjɑqbäj
akbayan	akbaːjɑm
akda	aqdaʔ
akibat	əkibat
akin	akim
akinin	laːˈkɪnin
akitin	akijtiŋ
akkorde	qoɾde
aklamasyon	aklamaːsʃon
aklan	ʔˈaː
aklas	ɑˈklɑs
aklasan	ɦæqlaːsæn
aklat	qɫq
aklat-talaan	qɯ̞n˧t̚˨˩aːɾaː
aklatan	aklat̪an
aklimatado	katkliːmatato
akma	qmɑq
akmain	qɯ̞mɑjɯ̞n
ako	ako
ako mismo	koˈmɪsmo
ako na ang magdadala	aqɯ̞nna ɑŋmɑgdɑ dælæ
ako na rin	ˈakɔ nˈaɾiŋ
akompanya	kompanʝja
akompanyador	kakompanjador
akompanyahan	koːmpanjˈahaːn
akompanyamiento	akompaɲamɛnto
akompanyante	akompanʝante
akong	ɑqɔŋ
akorde	ɑqɑːrðɪm
akrobat	æqɾubat
aksaya	ɑqsɑja
aksayahin	qɪsijːˈjɑhiːn
akselerador	aqsaːleːɾadzɑːr
aksesoryo	aktsisoɾjo
aksidental	aktsɛdɛntɑl
aksidente	aktsidɛntɛ
aksido	aksido
aksis	aqsɪs
aksiyon	tɐkʃɔn
aksiyonista	akʂɔnisda
aksiyunan	aqʃunæn
aksiyunista	aqtʃonistɐ
aksyon	ˈɑksɔlˈ
aksyonista	aktsɪoniːstˈaː
aksyunan	aqʃunˈɒn
akta	tɐt˦ta˥˩ʔ
