adidas	ɑdiːdˈas
adət	ʔɑːdət
ajb	ɑjb
ajə	oja
akademijə	akademˈiːa
akademik	akademik
alacyq	ɑlɑtʃɯc
alaska	ɑːlɑːsˈkɑ
almanija	almonija
altaj	ɔɫtɔj
aləf	ɑˈdɑf
ambur	ɑmbuʒu
amu	ɔmɯ
angyšte	ɑŋɟɯʃte
aprel	opɾel
argentina	ɑːɾgəntˈinɑː
aryšte	ɑrɯʃte
asp	aʃˈp
astovə	ɑʃtuba
avgust	ɑlgust
avlod	ɑŋɫut
avropəž	ɑ̃vˈʁˈupˈaʒˈ
avə	ɑˈbɑ
avəgurrə	aɫuagudʒa
avərə	aˈvara
ašmarde	aʃmɑrdɯ
bais	bɔːz
bais be	boɪz be
bajtar	bɒːjtɒːɾ
balaban	bɑlɑːbɑn
balduz	bolˈduz
balnisyə	pɔnˈysˈe
balə	bɑɫɑ
baləq	bɑˈlɑx
band	bɒnd
bandykuž	bɑndɯkjumulsa
bandəm	bɐndam
bandəq	bɑŋdɑx
bandəq gynie	bɑndäʁgɯ̞ nïi
baqanaq	bɑɢɑnɑq
bar	bɑɾ
bardan	bɒɾˈdon
barde	b�rðe
bardəq	mɒɾdɒːq
barz	bˈɑɾz
barzi	bɒrzi
barzin	bɑɾzɨn
barzəti	bɑːrzæthæm
baste	boste
baxš	bɒxˈʃ
baxše	bɒxʃɒ
baxšə	bɒxˈʃah
baš	bɒʃ
bašbilit	boʃɟilit
be	b
bebəfo	beˈʃe
bebək	bebˈak
beciz	betʃiz
becizəti	betʃɛzæti
becort	betʃoɾt
becəš	beˈʃæʃ
beduni	beˈdini
befoidə	befojda
behanəti	beˈhɑːnɑːti
behol	beˈhɯl
beholəti	beːɦulati
behton	beˈtun
behuš	beʃ
behušturi	beˈʁyʃtidi
behəjo	beːɦɒjoː
bekarde	bekɑrde
bekefəti	be̞kæpæˈti
bekejf	bɪkɛf
beko	bˈeko
bekoəti	bekoɑti
bekyrnie	beˈkɯrni
belcika	bɛltʃɛko
bele	bale
beme	tɛmɪ
bemor	bimoɾ
beməj	bemaj
beməno	beˈmano
bemərifət	bemaːrɪˈvæt
beməsulijət	bemæsʔuːliːt
beməxə	bemoʁa
ben	ben
benizoməti	benizmɑti
benizoməti karde	benizmati kɑɾdi
beobur	ɑːbˈuɾ
beobur be	beˈʔɒbuːl be
beovandəti	beʊvˈondati
berdəm	beɾˈdɑm
berlin	vɛrdin
besije	bʲesʲe
besojb	bˈˈasˈujˈbˈ
besojbəti	besɔibati
besəjvon	beˈsajvun
besəjvonəti	be̞sæjvõːnæti
betov	bɛtuv
betəm	beˈtam
beumidəti	vˈɛˈumydˈɛti
bevangin	bevɔŋimˈgin
bevarde	bevaɾde
beviždon	bebʲɟˈdʊn
bevəfo	bevafɔ
bevəč	be̞ɫæʃ
bexəbə	bexba
bexəbə be	tbeχɑˈhaba be
bezor	beˈzor
bezu	bɛʒu
beše	beʃe
bib	bˈip
bibi	bibij
bibikinə	beˈbɪkina
bibər	biːbæɾ
bijonə	biːjuːnæm
bijonə be	bijunɒbe
bijonə karde	beˈjɒnɒ kɒɾˈde
bijə	biːjaː
bijə baste	biːja bɒste
bijə varde	biːɣɑ bɑːrde
bijəjn	bˌiˈaɪn
bil	bjˈl
bili	bili
bilit	bɪlˈit
bin	bin
bino	bino
binorə	binoˈra
binym	benim
biton	bitun
biz	biz
biz-biz	bizbiz
bič	midʒ
bičor	bizˈzɒɾ
bičəti	bidʒati
biət	bʲæːt
biət varde	biˈjˈɒt kɒɾdiˈ
bo	bo
bobo	bɔgum
boci	pu˥˩tɕʰy˥˩
bodjə	budʒuˈja
bodom	buðum
bofte	buftɛ
boho	bˌoɣˈoː
boj	bɔj
bojdəq	bʊˈjˈdɑk
bojli	bɔjli
bol	bul
boli	bɔli
bolqarija	ulɣoɾija
bolyš	ɑˈpuɫɯʃ
bolyšnə	bɔɫuʃna
bon	bunʊ
bonəkulə	bunakula
boq	bɔ̃
boqcə	buʁtʃa
boqəvon	boɢaˈbun
boqəvonəti	buʁɒbunatʃi
bor	bɔɾ
bordum	buɾdʊm
borut	bɒːɾuːt
boston	boʃton
bovne	buoˈne
bovnie	bovnʲe
bovə	buva
bovə karde	buʋɑq aɾˈde
boxcə	bɔχʃa
boxlə	bˈɔqlˈɑ
boxor	baxur
boz	buz
bozi	bozɪ
bozi rome	buzirɔme
boškə	bʊ̞ʂkɑ
bošək	buʃɑk
boə	bwˈa
boəti	boːti
braziliə	bɾɔziljɐ
bu	bu
bukə	bˈɾˈ
bul	bˈɔl
bulkə	bʊɫkɑ
bum	bum
bumambu	lə-mˈɛ̃bʁˈ
bumazi	bæmɔːzi
buməku	bumakum
buməlarzə	bumalɒɾˈzɒˈ
bumərišə	bumˈɑriʃˈa
buməsef	bumˈsˈf
bung	buŋ
buq	bˈuʁ
bure	bɪ̞rɛ
burrə	burɾa
burs	buz
buəvulə	buɒvulɒɾ
by	b
bydə	bɯda
byjə	bɯ̞ja
bylang	wɪ̞lɔŋ
bylynd	bɯ̞ɫʊ̞nt
byn	bɯ̞n
byndyn	bɯ̞ntɯ̞n
bynjo	benju
bynə	bɯ̞nɑ
bynədə	bɯ̞nʲɑdʲa
bynəkor	bɯnɑkur
byr	bɯɾ
byr-kymot	bˈɪrkamˈut
byrhoz	bərɦʊz
byrie	bɯɾe
byrimon	bˈʌrɪmˈaŋ
byrnie	bɯ̞rnej
byrqədir	bərˈgɑdiːr
byrqədirəti	brɣadɾaːtni
byrqədə	brɣada
byrynč	bɐrɛndʒi
byrynčəriš	bɯrɯnʒaɾiʃ
byrz	bɯ̞rs
byrzəbyrə	bɪ̞ɾzɐbɾa
byrč	bɤrtʃ
byrəzukkə	bɾɑzukˈkɑ
byrəžən	bɾaʒan
bysk	bəsk
byvə	bɯ̞ɫɑ
byxi	bˈaxˈi
byxor	baxur
byxorin	baxɑrʲin
byxov	baxov
byz	bəz
byzang	bʊ̞zɒŋ
byzək	bɐzɑk
byzəvon	vɨzau̯on
byšte	bɯ̞ʂtæ
byštə	bɯ̞ʂtæ
byə	bra
bə	a
bəbe	baˈbe
bəbol	ˈaɾəwˈl
bəbyr	bɐbɤɾ
bəd	bˈɑːd
bədbəxt	batˈvaʁt
bədbəxti	balaɣʃati
bədbəxtəti	baːdbaʁtatiː
bədheybət	bed̪he̞bat
bədigə	bˈaːdiːgˈaː
bədnom	bˈˈdnˈom
bədnoməti	badˈnˈomɑːtɛ
bədqymon	bˈɑtgəmun
bədsuluk	bˈˈtsiˈluːk
bədu	badˈø
bədvoj	advˈoɪ
bədxo	betʃo
bədəməl	badamal
bəg	bˈag
bəgi	bˈaɣˌi
bəgyrdo	baldo
bəgəm	bˈagˈam
bəgəm karde	bogæm kɑːrðe
bəh-bəh	bˈɑhˈbɑh
bəhašt	bɑhɑʃt
bəhašte	beˈʃte
bəhi	bʱɪ
bəhr	bɑhɾ
bəhrin	bħrɪn
bəhs	bˈas
bəhs karde	baʃkɑːrde
bəhəšə	bhæʃa
bəhəšə že	beˈʃeʃeʒe
bəivrə	bˈaiɪbɾˈa
bəičo	bˈeˈʔidʒu
bəj	bˈaɪo
bəjži	bˌeʒi
bəjəndy	bajɑndɯ
bəjəndy-byžənəti	beˈjɒndibˈiʒˈɒnɒti
bəke	bˈæke
bəle	bɑːlɑː
bəlel	balˈɛl
bəlet	balt
bəlo	balˈo
bəloci	baloːtʃe
bəlujəkot	balˈiʁjakˈuʁt
bələd	balad
bələxə	balaɣ̞a
bəme	bæmæ
bəmu	bæmo
bəmu karde	v mo kɑːɾdæm
bəmə	bama
bənav	panov
bənd	bˈand
bənd be	tʃiːzi be
bəndi-bərə	bandeβeɾa
bəndər	baldaɾ
bəng	bˈaŋk
bənno	anno
bənə	bane
bəpe	bˈæpˈʰe
bəpeštə	vpeʃte
bərbod	bæɾbʊd
bərbod be	bɒɾbˈud be
bərbod karde	berˈbuːt kɑːɾdɛ
bərdošt	bæɾdæst
bərdošt be	bɑɾ duʃt be
bərk	bˈark
bərkədə	bˈarkˈadˈa
bərmi	bæɾˈmi
bərobər	barubar
bərobərin	balobarĩŋ
bərobərəti	baloːbaraːti
bərpo	bˈɾˈpoː
bərsim	bˈɛɹsˈɪm
bərə	bæɾa
bərəkət	bˈɾækˈæst
bəs	bˈas
bəsonə	bˌasˈuna
bəsə	vˈasˈa
bəsəpo	basapo
bəv	bˈɑːv
bəvədə	babada
bəxt	ˈaxt
bəzi	bˈaze
bəzuz	bˈˈgˈtʃ
bəzəgin	bæzæˈgæn
bəšə	bæʃa
caj	tʃɔj
cang	ʃɒŋ˥˥
cili	tʃili
cin	tʃɪn
cinijə zyvon	tʃi nˈe zˈɛvun
cinojət	dʒænɑːjæd
cok	tʃok
col	tʃul
colə	ʃuɫa
cuk	dʒʊk
cukotka	tʃɵkɵtka
cunki	tʃuŋki
cy	tʃu
cyrk	ʃɯɾk
cyrk be	tʃɛrk bɛ
cyrk karde	tʃɯɾ kaɾde
cyrkin	ʃɛrkʲin
cyrkinəti	ʃɾknˈti
cəj	tʃaj
cəkuš	tʃakʊʃ
cəmə	tʃɛmɑ
cəmə dijədə navko penč gylə ovəding bə.	tʃamadijadɐnˈnɔfku pjʒgɨlɑ uˈbɑˈdiŋkɔ
cəp	tʃʰæb
cəqəcəš	tʃɣtʃæɾ
cərqəd	ʃarɣad
cəvon	tʃaːvon
cəxo	tʃɑhɑm
cəš	tʃʃ
cəš karde	tʃʃkɑːrdæ
cəšmə	tʃʃˈmɑ
da	dɒ
dairə	dˈɔɪɾɑ
daj	dɒj
dajə	dɑja
dajək	dajak
damaq	dɔmoʁ
damar	dɔmɔr
dambul	dambyl
dame	dɒme
daminə	dɑmɪnɑ
damkə	dɐmka
damə be	tɔma bɪ̞
damə karde	dɑːmɑː kɑːɾdɛ
dandon	dɔnˈdɔn
dandonin	dandʊnˈin
dandonə	dɒnduna
dandonə-xylik	tɒndunˈɒhχɒldik
dang	dɔŋ
dang be	dnɣ bɪ
dang karde	dˈɑˈn kaːɾde
dangəsə	dongasa
daniel defo	daniːl dˈefo
danče	daːndʒɛ
dančənə	dɒntɒnɒ
dard	dɔɾt
