กก	gok
กกไม้	gok.mai
กด	got
กน	gon
กบ	gop
กม	gom
กวด	gu:at
กวยเตียว	gu:ai.ti:ao
กว่า	gwa:
กว้าง	gwa:ŋ
กอง	gɔ:ŋ
กองไฟ	gɔ:ŋ.fai
กอน	gɔ:n
กอบ	gɔ:p
กะ	ga
กะคุ	ga.ku
กะจก	ga.jok
กะดอง	ga.dɔ:ŋ
กะดาด	ga.da:t
กะดาดแข็ง	ga.da:t.khɛŋ
กะดาน	ga.da:n
กะดิก	ga.dik
กะดุม	ga.dum
กะดูก	ga.du:k
กะด้อกะเดี้ย	ga.dɔ:k.ga.di:a
กะต่า	ga.ta:
กะทะ	ga.tha
กะปอง	ga.pɔŋ
กะปุก	ga.puk
กะละกะดาคม	ga.la.ga.da:.khom
กะละมัง	ga.la.maŋ
กะลัง	ga.laŋ
กะหล้ำ	ga.lam
กะหล้ำปี	ga.lam.pi:
กะเดย	ga.də:i
กะเทียม	ga.thi:am
กะเปา	ga.pao
กะเปาเป้	ga.pao.pe:
กะเพาะ	ga.phɔ
กะโดด	ga.do:t
กะโปง	ga.po:ŋ
กะโหลก	ga.lo:k
กัด	gat
กัน	gan
กันญาย๊น	gan.ɲa:.yon
กันไก	gan.gai
กับ	gap
กับตัน	gap.tan
กับเข้า	gap.khao
กั้น	gan
กากะบาด	ga:.ga.ba:t
กากี	ga:.gi:
กาง	ga:ŋ
กางเกง	ga:ŋ.ge:ŋ
กาตูน	ga:.tu:n
กาน	ga:n
กานเมือง	ga:n.mʉ:aŋ
กาบ	ga:p
กาย	ga:i
กาละเทสะ	ga:.la.the:.sa
กาแฟ	ga:.fɛ:
กำปั้น	gam.ban
กำลัง	gam.laŋ
กำแพง	gam.phɛ:ŋ
กิดจะกัม	git.ja.gam
กิน	gin
กิ่ง	giŋ
กิ่น	gin
กีบ	gi:p
กีลา	gi:.la:
กุงเทบ	guŋ.the:p
กุงไทย	guŋ.thai
กุนแก	gun.gɛ:
กุนแกข้อมือ	gun.gɛ:.khɔ:.mʉ:
กุนแจ	gun.jɛ:
กุมพา	gum.pha:
กุมพาพัน	gum.pha:.phan
กุ่บ	gup
กู	gu:
กู้	gu:
ก่น	gon
ก่อ	gɔ:
ก่อกน้ำ	gɔk.na:m
ก่อง	gɔŋ
ก่องแก่ง	gɔŋ.gɛŋ
ก่อน	gɔ:n
ก่อส้าง	gɔ:.sa:ŋ
ก่ำ	gam
ก้น	gon
ก้ม	gom
ก้วย	gu:ai
ก้อกๆ	gɔ:k
ก้อง	gɔ:ŋ
ก้อน	gɔ:n
ก้อนหิน	gɔ:n.hin
ก้อนเมก	gɔ:n.me:k
ก้า	ga:
ก้ากๆ	ga:k.ga:k
ก้าน	ga:n
ก้าม	ga:m
ก้าว	ga:o
ขดตะหมาด	khot.ta.ma:t
ขน	khon
ขนส่ง	khon.soŋ
ขม	khom
ขวด	khu:at
ขวน	khu:an
ขวา	khwa:
ขอ	khɔ:
ของ	khɔ:ŋ
ของขวน	khɔ:ŋ.khu:an
ของหวาน	khɔ:ŋ.wa:n
ของเหล้น	khɔ:ŋ.len
ขอซ้าง	khɔ:.sa:ŋ
ขอทาน	khɔ:.tha:n
ขอนไม้	khɔ:n.mai
ขอบ	khɔ:p
ขอบคุณ	khɔ:p.khun
ขอบิ่น	khɔ:.bin
ขอบใจ	khɔ:p.jai
ขอโต	khɔ:.to:
ขะบวน	kha.bu:an
