.ئاسلان	bɑzɫæ
anangni sikey	ʔanˈŋsˈ k
dilaram	tɯ̞ɫɑrɑm
muntizar	muntuzɑɾ
tengri tagh	tʰʰŋ˨˩˦ rɛː˧˥ tʰaː˧˥
tengritagh	tʰaŋ˨˩luːtɑ˨˩
täŋritağ	tʰɑŋrtɑq
təngritaƣ	tʰɑŋrɑtːɑk
uyghur	bujeʁuɾ
кульчик	qʊppiˈtʃek
тәңри тағ	tɦɛŋɾtɑʁ
уйғур тили	ʊ̞jʊ̞r ti̠lɪ̞
ғуля	fildʒa
ئا	ɑː
ئائورتا	aːlɔɾˈtɑ
ئائورومىتسىن	ɑrumitsæn
ئائىت	ɑːiːt
ئائىدە	aida
ئائىرە	aːr
ئائىز	ɑːˈiz
ئائىزخان	ɒːiːæzˈhɑːn
ئائىزە	ɒːizˈde
ئائىشىبانۇ	aːˈisbanʊ
ئائىشىبىبى	ajsbb
ئائىشىنۇر	aːjtʃuŋuɾ
ئائىشە	aɻ˥˩i˥˩ɕjɛn˥˥
ئائىلىلىك	ɑjallik
ئائىلىلىك ئادەم	ʔɑilnlɨk ɑdæm
ئائىلىلىكلەر بىناسى	ɑimliɫkɫɛr pinɪsɪ
ئائىلىنى تاشلىماق	ɑˈlini tɑʃlamɑq
ئائىلىۋى	qɒilɒbi
ئائىلىۋى تۇرمۇش	ɑilini tursa
ئائىلە	ɒilɒˈ
ئائىلە باشلىقى	ɑilɛ bɑʃlɨqiq
ئائىلە بويىچە	aːiliː bɔjitʃɛ
ئائىلە تاۋابىئات	ɒilɒ tɒvɒbɒt
ئائىلە تەربىيىسى	ɑilɑ tɛrbɪsɪ
ئائىلە تەۋە	ɒːil tɛˈvɛr
ئائىلە خىزمەتچىسى	qɑjlɑq hizmætsˈsæ
ئائىلە قۇرماق	ʔɑilɑ qurmɑq
ئائىمە	ɑːimæ
ئائېروب	ɑːiːrop
ئاب	ab
ئابات	abat
ئابامۇ	abamu
ئابايا	ɑːbɯja
ئابايىقى	bɑɪ̞qɪ̞
ئاببات	abat
ئابخاز	ɑːbxæz
ئابخازىيلىك	abxazˈjlik
ئابدال	ɑbdɑl
ئابداللىق	ʔɑbtɑllɪq
ئابدىمىلىك	ʔɑddɪmɪlɪk
ئابدۇسالام	ɑbdʒusˈsɑlɑm
ئابدۇسەمى	ɑːbdosɛmi
ئابدۇللا	ɑbdɯllɑ
ئابدۇۋارىس	opdovaris
ئابروي	abroj
ئابرويسىز	abrojsiz
ئابرويسىزلانماق	pabrojsɨzlɑnmɑq
ئابرويسىزلىق	ʔɑbrɑjliq
ئابرويلۇق	abroːjloːq
ئابرويپەرەس	abɾuːjpæɾˈs
ئابرويپەرەسلىك	ɒbroːjpɛrɛʃtik
ئابرۇي	ɔbɾuːj
ئابرۇيسىز	pabɾɔjsiz
ئابرۇيسىزلانماق	ɑprojsɪzlɑnmaq
ئابرۇيسىزلىق	ɑprojsɨzlɯˈq
ئابرۇيلۇق	pɑbrujluq
ئابرۇيپەرەس	ɑːbɾuːjpæɾæs
ئابرۇيپەرەسلىك	ɑːbrɔjpæɾˈsælk
ئابزاس	ɑːbzɑːs
ئابزاسلىق	obzɑslɯk
ئابستراكت	abstɾak
ئابستراكتلاشتۇرماق	ʔɑpɪstirɑkitlɑʃturmɑq
ئابستراكتلاشماق	ɑbistɯrakitlɑʃmɑq
ئابستراكتلىق	ʔɑbsturɑkitlɪq
ئابستراكسئونىزم	abɯstɾaːksionɯzɯm
ئابستراكسئونىزمچى	ɑˈpʰstˈɾɑˈksionˈismtlɪ
ئابستراكسىيىلىك	abstraːksiːlik
ئابستراكسىيە	abstɾaːksijæ
ئابستىراكتلاشماق	ɑpɯstɯrɑkkiplaːʃmɑq
ئابسورپسىيە	absoɾpisjɐ
ئابسېسسا	abseːsˈsˈa
ئابونت	aːbun
ئابىدارما	ɑːbidɑːrmɑ
ئابىدىخان	ʔɑbɪjtɨχɑn
ئابىدىنسا	abɪdɪnsɑ
ئابىدە	ɑːbiːdæɾ
ئابىرا	ɑːbiːra
ئابىراۋان	ɑːbɯrɑːvɑn
ئابىرە	abiˈɾɑ
ئابىزەمزەم	ɑːbjzæmˈzæm
ئابىكەۋسەر	ɑːbiːkɔsɛr
ئابىناۋات	aːbineloːt
ئابىچەشمە	ɑˈbjitʃesmæ
ئابىھايات	ɑˈbʲihajat
ئابھاۋا	ɦvɑ
ئابۇئاش	abuaʃ
ئابۇنىچى	aːbunitʃi
ئابۇنە	ɑbunɑ
ئابېرتىن	ɑbɛrtɪ̞ŋ
ئابېرراتسىيە	abrˈasˈjæ
ئات	ɒt
ئات باقار	qätpɑqɑr
ئات بەيگىسى	aːtpɛgisɪ
ئات توپى	otupi
ئات مىنمەك	atmɨnmɛk
ئات-ئۇلاغ	bɑtˈʔulɑ
ئات-پات	atːpat
ئاتا	a
ئاتا - ئانا	ata ana
ئاتا جەمەت	tɑtɑ dʒɛmæt
ئاتا مىراس	atamras
ئاتا-ئانا	ataɔnɑ
ئاتا-ئانىلىق	ɑtɑɑnɯnlɯq
