(ممتاز حسین (مصنف	multasuzɛ
(گجرات (پاکستان	gʊdʒɾaːt pɑkɪstɑn
aligarh	ə̃liːgəɾ
amir	ɑːˈmɛɾ
baltistan	blt̪ɪst̪ɑːn
bhatti	bʱəɖɪ
faisalabad	fəsˈɑlˈʔabad
gwadar	gˈɑɫadr
hello	əˈsəlɑːməˈleːkən
himalayas	hemalˈlija
kashmir	kazmiːr
lahore	lahoɾ
larkana	laːɺkaːnɑ
mahd	maːhˈæd
mardan	mrd̪aːn
menaal	milaːl
mohsin hamid	mˈoːsˈiŋhˈɑmɛd
multan	mlt̪ɑːn
murree	mriː
naya sal mubarak	na ja salmobˈaɾak
pakistan	kɑkɪstɑːn
pishin	bʃiːn
punjab	pɛn̪xam
punjabi	pə̞nˈdʒɑːbi
sialkot	sˌiːˈalkˈuɾt
sukkur	sɐqːɪ̞ɾ
tehzeeb	ʔɛzʔb
wali	baliː
آ با واجداد	abau adʒdɑb
آ بیل مجھے مار	ɑː beːl mədʒeː maːɾ
آ بیٹھے	ɑː beːʈʰe
آ رہے	ɑː ɾəhe
آ لپٹا	ɑ ɑlɑfqa
آ لپٹنا	ɑ ɑlə pə ʈunːa
آ چکا	a tʃoˈka
آ کر	ɑːgɑːr
آ کرچلے گئے	ɑːkəɾ tʃleː gɪẽːʔ
آ گیا	ə gɪjɑ
آؤ	aɔ
آؤبھگت	ɑu̯bʱɐgʈ
آؤبھگت کی	əʋbʱəgət̪kiː
آؤتاؤ	aw˧ːta˥˩w˧ː
آؤٹ	au
آئر	maːɾɪuː
آئر لینڈ	aɪoʝɑn
آئرش	tɛw˧˥eɪ˨˩˦tɕʰy˨˩˦ʂʰan˥˩tan˥˩ʔtie˥˩wx˥
آئرلینڈ	ɒhɒɾlɒˈnˈ
آئس لینڈ	ɑɪsɫæn
آئل	ni˨˩˦tu˥˩ʂɚ˥˩ʂu˥˩ɑ˥˥ʂɚ˥˩ɯ˥˩ʂu˥˩ʂu˥˩ɑ˥˥ʂɚ˥˩ɯ˥˩
آئل سیٹ	ʔaɪlsˈiːt
آئندہ	aɣyŋdɑ
آئندہ سفر کا	ajdaːl sɐfɐɾˈgaːʔ
آئندہ سیاست	ɑjɯndɑ siːjɑsæt
آئندہ کے خدشے	ɑiʝnɑː kʰeː xɛtʃeʔ
آئِل آف مین	ˈaɪl əv men
آئی	fˈaɪv
آئی کو کون ٹال سکتا ہے	ɑːi ko koɳ ɗʊl̪ʃəkt̪ə əɪ̯n
آئی کھڑی ہو	əj kʰəɽiː ho
آئی گئیں	ˈɑːgəl
آئین	aːaːjim
آئین اکبری	əˈjɪn əgbˈriː
آئین زبان بندی	ɑːjneː zbɑn bndʒiː
آئین فوجداری	ɑːliː nfʊːʒdɑːriː
آئین کی پاسداری	ɑːiːn kiː paːsd̪ɑːriː
آئینِ نو	ajne mɔ
آئینہ	aː
آئینہ اردو	aː iʝe urdup
آئینہ خانے	ɑːiːˈnɑː xɑnɛ
آئینہ دار ہیں	ɑːjnaː dɑːr ɦẽːʔ
آئینہ داری	ʔaːaːiːnə dɑːɾiː
آئینہ ساز	ɒːiːtnɒː sɑːz
آئینہ سازی	ɒːiːænɒː sɑːziː
آئینہ سیما	wa iːnɛ ɛsjmɑh
آئینہِ بے مہریِ	ɑːiːnɛ be mʱɾiː
آئینی حدود	aːjniː ħuduːl
آئینے کی صُورت	la ini ki ˈsuːrɑt
آئیوری کوسٹ	aɪvˈɔriːˈ kˈɔst
آئیں ہوں گی	fãĩˈɛn pˈoːliː
آئے	aːjˈe
آئے دن	ai̯d̪im
آئے روز	əɪ̯ roːz
آب	aːb
آب بقا	ɑbɛ baqtɑh
آب حیات	ɦɑː bʱɪtʰiːɑːt̪t̪
آب خورہ	ab koːrɑ
آب دوز	ʔaːb gɾuːz
آب دیدہ	qɑːb diːgə
آب زمزم	ɑːb ʒɑmˈʃɑm
آب و حیات	ɑːbɑː ɦɛjɑːt
آب و ہوا	ʔaːbʱavɑː
آب چشم	abatʃaʃ
آب گاہ	abgˈɑh
آب گوشت	a tɨ gost
آبا	ɑbɑ
آبا ؤ اجداد	əˈbɑː oːʃtɑːd
آباء	ɑhɑbɑʔ
آباؤ اجداد	aːlboː oːʒtad
آبائی	ɑːɓɑːi
آبائی تعلق	ʔɑːbɑːliː tɑːlˈq
آبائی شہر	ɑːbɑːi ʃæɦr
آبائی علاقہ	ʔabai laːqaa
آباد	ɑːbɑːn
آباد ہوئے	ɑːbɑːd ɦueːʔ
آباد ہونے	ɑːbɑːd ɦoːne
آباد ہے	ɑːbɑːd eːeːʔ
آبادی	äːd̪ɦäːtiː
آبان	ɑːbɑːn
آبدوز	atuz
آبدوزکشتی	nɑːdostkʃtiː
آبرو	aːbruː
آبرو ریزی	ɑːbɾuː reːziː
آبرُو	aːbɾu
آبشار	ɑːkʃɑːɾ
آبلہ	ɑˈbɯda
آبلۂ روئی	əːblaːruiː
آبنائے باسفورس	ɑɑbɾnɑː je ɑːbɑːsijə brɑsˈtiː
آبنوس	ɑːbɔːnuz
آبى	ɑːbɪ
آبِ حیات	ɑːb ɦɪjɑːt
آبگاہوں	ɦɑːbgɑːnɦoːn
آبگینہ	aːbjiːn˧ɯ
آبگینہ میوزیم	ɑɪbgiːla mjuziːm
آبھا	abʁaː
آبی	tɑbiː
آبی حیات	ɑːbi ɦɪjət
آبی ذخائر	ɑːbizɑ xɑːʔəɾ
آبی وسائل	ʔɑːbɪ vzɑːʔiːl
آبی پرندوں	ʔaːbie peɾ be
آتا	mˈaːdə
آتش	atɪʃ
آتش افروز	ʔaːtæʃ aːfruːz
آتش بازی	ɑːtɛʃ baːziː
آتش دان	ɑːt̪eːʃtɑːn
آتش زنی	ħɑtæʃ zænʎɪŋ
آتش عشق	ʔɑsiːʃi ʔiʃq
آتش فشان	mɑːtɪʃ ʃɑːm
آتش فشاں	aːrdəʃ fʃaːm
آتش فشاں پہاڑ	ɑːdæʃ piːʃɑm bɣɑːr
آتش مزاج	ɑːt̪ʃ mæn zænæm dʒuːz məʈˈvɑːnʒ
آتش نفس	baːt̪ɪxẽː nafs
آتش نمرود	ʔaːtʃʰeːnamruːd
آتش نوا	aːt̪eʃ nwa
آتش پرست	ʔɑːdʃ feɾast
آتش پرستی	ʔɑːt̪eʃ pa rɛst̪iː
آتش کدۂ	ɑːt̪eʃ qɑdɑ
آتش گیر	ɑːtʃgɪ
آتش گیر مادہ	ɑːt̪eʃ giːɾ maːd̪d̪ɑ
آتشكده	bɑːɾtɪʃkɑːɖɑʔ
آتشَک	bɑrtæʃæk
آتشِ خاموش	ɑːt̪ʃ χɑːmʃ
آتشِ غم	ɑtɪˈʃ χm
آتشی	ʔaːtaiʃi
آتما	ɑːtwɑː
آتھر	tˈɪ
آتے آتے	ɑtɪ ɑtɪ
آتے جاتے	ɑːt̪eː gɑːt̪eʔ
آتے وقت	ɑːt̪eː wɑqt̪
آتے چلے جاتے	ɑːt̪e tʃəlɛ gɑːt̪e
آتے گئے	ɐːt̪eː gɐe
آثار	ɑsˈɑr
آثار الصنادید	ɑsɑrɑsˈsˈnɑː diːd
آثار حشر	ɑːsɑːr xaʃr
آثار عیاں ہونا	ɑːsɑːɾ mɑjɑ eːnɑ
آثار قدیمہ	ɑsɑr qɑlɪmɑ
آثارِ قدیمہ	ɑsɑr qɑdˈiːmɑn
آج	ɑːdʒ
آج بھی	aːdʒb
آج بھی یہی کل بھی یہی	äːdʒ bi jɛː kəl bi jɛː
آج تک	ɑːstɑt
آج مرے کل دوسرا دن	əʒ məɾeː kəl d̪oːsəɾaː biːn
آج کا انقلاب	ɑːdʒ skɑː ɪlˈkɑlɑb
آج کل	əːdʒkəl
آج کی زبا ن	ɦɑːɾʒ kiː zʊ̃ɑːn
آج کے دور	ɑːtʃkeː dɑːɾ
آج ہی	ədˈhi
آجا	ɑːdʒɑː
آجائيں واپس	ɑːgɑːjeː ʋɑːpəs
آجائے	ɑːgɪɣɑːeʔ
آجائے نظر	ɑːgɑːjeː nəzər
آخ تھو	ɑːχ tʊ
آخر	ɑːxɪr
آخر پر	axxil pæɾ
آخرت	ɑːxjeˈɾæf
آخرت کا سودا	ɑχɪrɛt kɑːsɑ odɑ
آخرش	ɑxʃæiːæʃ
آخرمیں	naːxrmiː
آخرکار	ɑːxɪrkɑːr
آخری	ɑːχɾiːm
آخری آواز	ɑːxriː ɑːwɑːz
آخری اشاعت	ɑxri iʃɑʔɑt
آخری اشعار	mɑːxɾiː æʃʔɑː
آخری اطلاعات	ɑːxriː ɑtˈtˈlaʔət
آخری الفاظ	ɑːxriː alfɑːst
آخری بولی	ʔaxriː boliː
آخری تاجدار	ɑːxri tæʒdɑːr
آخری خط	axreχak
آخری دن	ɑːχɾiːdim
آخری سسکیاں	axriː sɛskɪnɑ
آخری مغل تاجدار	axriː mʊgltɑːʒdɑːr
آخری ملاقات	ɑːxriː məˈlɑqat
آخری نشان	ɑːxɾiː niːʃɑːn
آخری نگاہ	ɑːxriː nigaːh
آخوند	ɑːχol
آخیر	ɑːxˈiːm
آداب	ɑːdɑːb
آداب بجا لاؤ	pəd̪aː bgʱɑː laːoː
آداب بجا لانا	ɑːdɑːb badʒɑlɑːnɑː
آداب بجا لانے	ɑːd̪ɑːb baɣjəlɑːɦɪ
آداب شرفا	ɑːdɑː beʃrfɑh
آداب عرض	ɑːdɑːb ʔərz
آداب عرض کرنا	aːdab ərs qərnə
آداب عرض ہے	ɑdɑ bɔɾɨse
آداب محفل	ɑːdɑːb maħfæl
آدانا	ɑdɑnɑ
آدانہ	ædæna
آدرش	ɑːgɯɾɑʃ
آدرش کی تسکین	ɑːd̪ɾʃ kiː t̪əsˈkiːn
آدم	aːdˈɐm
آدم ثانی	ɑːd̪æm ɦæˈsɑːniː
آدمی	ɑːtmiː
آدمی ناچے ہیں	äːd̪ʱiː näːtʃiː ɦɛːʔ
آدمی کا حُسن	äːd̪ɪniːkäː xʊsn
آدمی ہی دور	ɑːd̪miː ɦeː ɖuːɾ
آدمی ہی نہیں	ɑːd̪əmiː ɦẽː nəɦẽː ʔ
آدها	ɑːd̪ʱeː
آدھا	ɑːd̪ʱäː
آدھا سیر	bɑːd̪ʱäː sɛːv
آدھا کلو	ɑːd̪ʱäː kɪloː
آدھاکرنا	tɦəːkaɾnɔː
آدھی بات	äːd̪ʱiːjäːt̪
آدھی رات	aːndi
آدھی ملاقات	ʔaːd̪ʰiː mlaːqət̪
آدھی چھٹانک مکھن	əːd̪ʱiː dʒʈt̪äːt̪ ʋt̪kʰɐ̃n
آدھے دماغ	ɑːd̪ʰeː d̪æmɑːɣ
آدی واسی	ɑːndiːvɑːsʃiː
