!	tɕam˧˧tʰaːn˧˧
"điện ảnh"	bjˈɛ̃
"đám đông"	dãm˧˧ dăŋm˧˧
$	dɔːlaː
%	vænˈdʒɑːm
'	zau˧˧ɲai˨˦
'ngư trưa' là một từ không có nghĩa trong tiếng việt.	nɤj˧˨ tʂɤ˧˧ laː˧˨ mɔt˧˨ tɤ˧˨ xoŋm˧˧ ko˧˧ ɲe˨ˀ˩ʔ tɕiən˧˧ viəm˨ˀ˩ʔ
'vê' kép	vkkt̪
()	dɑu˧˧
(cuốn) sách	kuən˨˦ sák˨
(cây) bản đồ	kɤj˧˧ faːn˧˧ loːm˧˧
(cây) đồng hồ	lai˧˥laŋ˨˩˦kɔ˨xu˨˩˦
(quyển) vở	kʰua̯n˥˥bɤ˨˩
(tờ) báo	tɤ˧˥ bâu˨˩˦
*	zəˈʃaːm
-	tɕjɛʊ˨˩˦
-1, -2, -3, -10, -100	tɯəw˧˧ mɔ˧˨ kiən˧˧ hɛː˥˥ tiəw˧˧ baːj˧˨ kiən˧˧ mɯəj˧˨ tiək˦˥ kɤ˧˩˨ kɑm˧˧
-c	fɔː
-ng	na
0	fˈɛm
1	mˈɔː
1+1=2	mt̚˨˩s˦˥ɔːm˧t̚˨˩práŋ˧hʰ
1.cardinal number	m˧t̚˨˩
10	mɯəj˧
10.000.000	mɯ̞j˩˩˦tʃʲiːp˨˩
100	multimɛ
100.000.000	tʃamˈtʃiɐl
1000	mk̚˨˩ʁan˦˥
10000	mɯ̀ːj˧ŋ˧an˥˩
10001	mɯəj˧˨ŋaːŋ˧˨xoŋm˧˧cɤm˧˧le˨ˀ˩ʔmɯət˦˥
101	mɯk˨ˀtʃam˧˧lẽ˨ˀ˩mɯk˨ˀ
102	mɯə̯˧k˨˩tsɤm˥˩lẽ˨˦haj˧
105	mɔ̃˦hâũŋ˧˧nãm˧
108	mɔ̀tram˧˧lɛ̀ːt̚˨˩aːm˧˧
11	mɯəj˧˨mɔk˧˨
112	mtram˧˧mɯəj˧˨haj˧˧
12	mɤj˧˨haj˧˧
13	mɯəj˧baː˧
14	mɯ̀˥ʔboː˧
15	mɯəj˧˨lam˧˧
16	mɯəj˧˨saːw˧˧
17	mɯəj˧˨bãʔ˧
1700	p̚˦˥t̚˨˩kʰaːn˩˩˦ʔp̚˥˩
