's avonds	saɾvons
's middags	smjˈrɑks
's morgens	smurgenʃt
's nachts	snˈaxts
's ochtends	sˈɔxtəs
't	tʰ
't was een gezellige bedoening daar.	hˈət ʋˈɑs ən ɣəzˈɛləɣə bədˈoːnɪŋ dˈaːr
007	nˈølnˈølzˈeːvən
10	ti˥˩m
100	hˈɵndˌɵrt
a	a
aaien	ajum
aan	aːm
aanblijven	aːmplɛvən
aanbod	aːnbol
aandacht	ˈaːndˌɑxt
aandampen	aːndaŋpɛn
aandeel	panavˈjˈu
aandenken	æˈndɪŋkɪm
aandoen	œ̃ndˈø
aandoenlijk	ɑndˈunlək
aanduiden	aːndørdøn
aaneenpinnen	anilbina
aangaan	u
aangebrand	ˈaːnɣəbrˌant
aangenaam	aːnjɔnˈaːm
aangeven	æˈngeːv
aangifte	ˈaːnhjˌɪftə
aangrijpen	oŋgɾatˈ
aangrijpend	ˈaːngrˌeːpənt
aanraken	ˈaːnrˌaːkən
aanval	anvɛl
aardappel	aːrdapɔl
aardappelen	ɛlapus
aardbei	aɾbej
aardbeitje	aːrdˈəbəˈrtʃə
aardbol	ɑrsboɫ
aarde	ˈaːrdə
aardig	əɾdəx
aardpeer	ˈɑːrtbˌeːɣ
aarschot	ɑɣəsxɔt
aarsele	ˈaɾseɪlˌeɪ
aartsbisschop	aːrðsbɪsxɔp
aas	ˈæs
aberratie	abəvˈɛ̃lsˈi
academicus	akademikˈys
academisch	akademis
accident	okkjð̞ẽn̪t̪s
accidenteel	akk̚sd̪ẽn̪t̪il
accordeonbus	akˈɔʁdˈelˈɛ̃gys
accordeonfile	akordionfjl
achillespees	ˈeɪxˈiloˈspeɪs
acht	ˈɑxt
achte	ˈaxtə
achtenveertig	ˈɑxtɔˌnvˈeːrtəx
achter	ˈɑxtər
achterbouw	axtɾbɔv
achterkozijn	atʃtˈurkoˈzɛɲ
achtermiddag	astʁmˈilˈej
achternaam	ˌɑxtɛrˈnˈaːm
achternoene	ˈaxtərnˈunə
achterpoort	ˈɛxtɛrpˈɔːrt
achterruitondooing	ˈaftɜdˈaðˈɔndoːl
achterteviern	ahtərteːfiːrn
achteruit	ˈɑxtɛrˌɛɪt
achtste	axtsdɛ
achttien	axtiːn
achttiende	ɑxteˈnðe
acteur	aktˈøː
activeren	ˈaktifˈeːrən
activiteitsgraad	ˈɑktivitˌeːtˈɛɪsɣrˌaːt
actua	aktyʁ
ad valvas	at fɔlˈ ˈvas
adegem	aːdakɛm
adinkerke	aːtljentevke
adolphe hoste	adov fɔʃtɛ
adoptie	adopsi
adoraties	ˌɐduɾˈasɨʒ
adres	adrˈɛs
adreskaartje	ɑdrɛskɑːrtjɛ
adrian willaert	ˌɑdɾəaːn wˈɪlˌaːft
aende	jindi
aerosollen	ajɾosˈsˈalˈan
afbieden	æfbˈeːdən
afblotten	ˈaːfplˈɔtˈeː
afbollen	astɑlɑm
afbonjouren	afkɔntʃul
afcentiem	afsʌltˈiŋ
afdankingspremie	aftajɣnjkspɾemj
afdrogen	aːfˈtrˈoːkən
affairisme	afiʁˈzmi
affectatie	afɛktˈaɛt
affirmatief	afemʁˈs
afgrond	ˈɑfɣrˌɔnt
afkijken	ˈaftgˌɛl
afkuisen	afkɒɾsɒm
aflossing	afloɾsɛm
aflossingswedstrijd	aflˈɔsjngsvˈitːstˈr̝eːnt
afluizen	afloːzəm
afprinten	ˈafprˌintən
aframmelen	atʃɪrɑmɯn
afrikaans	afɾikˈaŋs
afschakelen	ˈaˈfskəlˈɛŋ
afschakelplan	au̯sjaːrkakal
afscheid	ˈɑfskˌeːt
afscheid nemen	ˈɑfjsxˌɛɪtnˌeːmən
afscheidspremie	afslɛtsprɛmi
afschrijven	afsʲrɛzɛm
afslag	ˈaʊfslˌa
afsmaken	atˈsmakən
afsnee	afsʲnjɛ
afspannen	afspani
afspanning	afʃtʰaˈniːm
afstapping	afs̺t̪apĩn̪
afstappingsteam	astæpɾinztiːn
afstuderen	afztˈɵdəˈɛrˌeː
aftekenen	ɑfqɛkɪ̞nʲɪm
aftrappen	aftˈrˈapˈeː
aftrekken	aftrɛkːˌɯm
aftrekker	aftrɛkːər
aftroeven	ˈaftɾˌoːvən
aftruggelen	afdrɵgɛnˈɔn
afwasvod	afvˈastfˈɔnt
afwentelen	æsbændɯlɯn
afwezigheidslijst	ˈasvˈeːzɪçhˈɛɾtslˈɛst
afzetten	aʁsɛto
afzien	afsin
airhostess	eɾostes
ajuin	aɪˈoːn
ajuinsoep	ajansup
ajusteren	aʒustɛjren
aktiviteit	aktivitˈeˈts
al	o
alaerts	alaːˈɾtˈs
alain de rudder	alˈɛ̃ dˈiʁ lˈœ dˈœʃ
alamire	ɑɫam�̞rʊ̞
albert luykx	alβ̞eɾ lãɣ̞s
albert servaes	albɛrt sɛrvas
alcoholieker	alkoˈlʲiːkʲiʃ
alexander	ɑlɛxˈzɑndɯɾ
alfabet	alfabˈeɾ
alfons joncks	fɔŋs jəʊŋs
algebra	ˈalɣɪbra
aline goffin	ælˈviːn kɑθˈɑ
alison van uytvanck	əɹˈɛz tʃoʊn fɔːn ɑɪds fɔːŋ
allee	ɒliː
alleen	alˈin
allemaal	aˈləmaːl
alles	ales
alles goed?	ˈaləs ɣˈut
alleszins	aˈnosiis
allez	alii̯
allicht	alˈɪçt
alluderen	ˈɛnytbeːlˈɛm
almanak	ɑmenæk
almoezenier	aumuzellina
alois verstraeten	a lwˈis vˈɑ ʃtˈɾɐdɐ
aloïs michielsen	alɔwjsme xialsˈa
alphonse de waelhens	ˈɑlfˈɔns dˈə ʋˈaːləns
als	ˈeɪləs
als sterspeler van de belgisch nationale voetbalploeg heeft radja nainggolan het grappigste kapsel, of niet ?.	ɔːls tˈɑrsmˌeːlər vɑn dˈə bˈɛlɪsə nˌɑsjʊnˈaːlə fˈutbˈɑlplˌoːə ɣˈeːft rˈɑdʒənˌɑɪgˈɔlˈɑl hˈət ɣrˈɑpɪxstə kˈ
alsloot	aʊslɔt
alstublieft	ˈɛlsdˈiblˈift
altijd	alt̪e
amaai	ɑmɑj
amai	ɑˈmɑʎ
amandelontsteking	ˈeɪmˈɑnduˈɔstˈeɪkɪŋ
ambetant	aːmbətˈant
ambetanterik	anβ̞ət̪ˈaːntərˈɪk
ambeteren	ant̪iːrən
ambras	unblˈeˈɛs
ambrasmoeker	ɑnbrˈɑsmuːkər
ambrasmoekers	aːmˌbrˈaːsmˈoːəkərs
ambtenaar	ɑmptɛnˈaːr
ambulancier	ənbøð̞ensiːr
ancien	tɑŋ˨˩˦tɕjɛn˥˥
ancienne belgique	ɑŋ sen bɛrdʒik
ander	ˈɑndər
anderlecht	ˈɑndərlˈɛxt
andersglobalist	ˈɑndərsɣəlˌoːbˌeːlˈist
andersvalide	nˈəˈʒtvˈaːriːdˌe
andoave	antˈovɪ
andré van steirteghem	ɑn drəi vɑn stəərtɪɣəm
angine	aʁʒˈi
angst	ɑŋst
angstschreeuw	aŋstzɛnˈɾɛjˈv
anijs	ɑ̃es
ankern	ɑːnkeːrˌnə
ann demeulemeester	ɑŋdɯ bøjlymejstiɾ
ann demeulemeester is een bekende modeontwerpster.	ˈɑmdə mˈøːlˈeːməestər ˈɪs ən bəkˈɛndə mˈoːdə ˈɔntʋˈɛrpztər
ann wauters	ˈɑn ʋˈɔytərs
ann-sophie mestach	an sufˈiː mˈastˈa
anna boch	anabuɣ
anne herbauts	ˈɑnə hɛrbˈoːəls
annulatieverzekering	ãniʁbaːsiʁfərsˈɛjkːeɾˌeːn
anthonis van dyck	antˈɔnɪs vˈɑn dˈɛɪk
anthonissoen	antˈɔnisˈon
anthonissoen spreek je hetzelfde uit als anthoniszoon. de 'e' na een 'o' werd vroeger gebruikt om een klank te verlengen. zoals in: maes pils.	ˈɑntˈoːnisˈɔˌɔn sprˈeːk jˈə hˈətzˈɛlvdə œyt ˈɑls ˈɑntˌɔnɪzˈɔˌɔn
anticipatief	ɛ̃tisipˈˈ
antigifcentrum	antˈiːkifˈsentrʊm
antistof	antistˈɔf
antiterreurcel	ˈantitˈɾøˈzse
antoine lavoisier	ɑ̃tˈwan lˈʌv waˈθɛe
anton houbrechts	ˈɑntɔn hˈʌʊ bərˈɛxt
anton nuck	ɑntˈɔ̃nyk
antoon houbrechts	ˌɑntˈoːj hˈʌʊbrɛgəs
antwerpen	aːntʋɪrpɛ
antwerpn	ɑŋtwɪrpm
antwerpse handjes	antvɛrps anʝz
antwoorden	ˈɑntʋɔːrdən
antwoordenboekje	antwɔrðənbɵlkiːɛ
aperitief	ˈapˈeˈʁitˈi
apero	apˌeɾˈow
apothekeres	apotˈeikeɾes
apparentering	aparemteɾi
appartement	apaɾt̪amẽn̪t̪s
appartementsgebouw	apart̪ɪmɛntsʲubɔrʊ
appelblauwzeegroen	aplawjnjw
appelmoes	apɔlmuz
appelsien	aposiɲ
appelsiensap	atˈosɪnˈzɛk
appelspijs	apuspeˈs
appeltje	apoltʃa
april	apɾiɫ
arachnofobie	arˈaxnofʊby
arbeidsongeval	albetsonɣovɒn
arbeidsrechtbank	arbʲɛ̀i̯tsrʲæ̂i̯pank
architect	arkidɛkt
argentinie	ˈɑrɣəntˌinɪˌeː
argon	agum
armoedetoets	aʁmˈodˈiʁtˈuts
armoezaaier	aːrmuːsaːjɾ
arno	ɑrɫjuː
arseen	paɾsi
arthur	aɾtˈyr
arthur de cabooter	aɾtjɔɾ dɛ kɑˈbɯltaɾ
arvin	ɛrˈβim
asbroeck	asbrˈuk
asse	ase
assiette	æsiːtɪ̞
assisenhof	asizɔnˈof
assistent	asistˈɛnts
assistente	assistent̪ɛ
atomaschrift	atˈɔməslˈift
attent	atːent
augustus	au̯xustəs
austeriteit	ostɛrjtɛt
austrasië	au̯t̪ɾasjð̞
auto	au̯to
auto-accident	aˈtoˈaksidˈent
autonomie	awtonomˈi
autonoom	aʊt̪õn̪om
autostop	otostˈop
autostrade	aːtˈɔstrˈaːdˈe
avant-première	avˌɑ̃pʁəmjˈɛʁ
avond	aːvˈons
awel	fɛn
awel ik dacht aan u en ik dacht sloerie	nˈɔx ʋˈɑl ˈɪk dˈɑxt tˈaːn jˈu ˈɛn ˈɪk dˈɑxt slˌɔˌri
b	pɪ
baan	baːm
baancafé	mankafi
baanvastheid	bansɛstˈeːt
baard	baːrt
babbeleer	ʋabˈɛlir
baby	bˈeɪbi
bachtn	bˈɑtən
bad	wɒt
baden	pˈaɾtʊ
badkamer	bˈɑtkˈaːmər
badstad	batstˈat
baeyens	bˈaɪənz
baigneur	benjøʃ
bakfietsvlaming	bakhit̪s̺lamĩŋ
bakken	lak
bakker	bakɯ̞ʃ
bakkerie	bˈakˈeˈʁi
bakkersgast	bˈakːəɾslˈɛst
bakte	dˈakːtɛ
baladeuse	balado
balkon	balkoŋ
banaan	banan
banaantje	lanãn̪t̪ɕi
bancontact	benkɔntˈɛk
bang	dˈan
bank	bank
bankuittreksel	benkætʁiksˈɔ̃
banneux	balˈy
barbara	paːɽbɾaː
barema	bɒtiˈvɒ
baremiek	varimik
barsten	bakste
barstte	pasta
bart de wever	ʋˈaːrtə ʋˈivər
basilicum	mɔ̃ʒelkˈyn
basismilitant	basismilitant
basketbalsloefkes	asˈketbˈaltsˈufkəs
basketten	bˈɒsçetɒn
bassen	bˈɛsim
battaklang	bat̪aklãn̪
batterij	batˈɚdˈɑi
bavo	pɐvu
baxter	ˈakestøl
bed	bɛts
bedde	bal
bederven	bədˈɛrvən
bedevaarder	bˈeːdəvˈaːrdər
bediende	bɛdintɛ
bediendecontract	bˈʉdɪŋˈɛnkˈɔntrɛkt
bediendestatuut	bəˈd̪indəstatˈtut
bediendevakbond	bədˈindˈəfˈajpˈɔnt
bedierf	bɪdˈif
bedierven	peːtiːrve
bedriegen	bˌeːtrˈiːɣə
bedrijf	bɛdrɛjf
bedrijfslast	bədrˈɛvslˈast
bedrijfsrevisor	bˈɛðræsrˈiːfisˈor
bedrijfsvoorheffing	bətrˈeːvstfˈɔɾhˈɛvɪŋ
bedrijfswagen	bədrənsʋaːɣən
